"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","RD1-ADS","RD1-GINI -ADS","RD1-AIS","RD1-GINI -AIS","RD2-ADS","RD2-GINI -ADS","RD2-AIS","RD2-GINI -AIS","RD3-ADS","RD3-GINI -ADS","RD3-AIS","RD3-GINI -AIS","RD4-ADS","RD4-GINI -ADS","RD4-AIS","RD4-GINI -AIS","RD5-ADS","RD5-GINI -ADS","RD5-AIS","RD5-GINI -AIS","RD6-ADS","RD6-GINI -ADS","RD6-AIS","RD6-GINI -AIS","RD7-ADS","RD7-GINI -ADS","RD7-AIS","RD7-GINI -AIS","RD8-ADS","RD8-GINI -ADS","RD8-AIS","RD8-GINI -AIS","RD9-ADS","RD9-GINI -ADS","RD9-AIS","RD9-GINI -AIS","RD10-ADS","RD10-GINI -ADS","RD10-AIS","RD10-GINI -AIS","RD11-ADS","RD11-GINI -ADS","RD11-AIS","RD11-GINI -AIS","RD12-ADS","RD12-GINI -ADS","RD12-AIS","RD12-GINI -AIS","RD13-ADS","RD13-GINI -ADS","RD13-AIS","RD13-GINI -AIS","RD14-ADS","RD14-GINI -ADS","RD14-AIS","RD14-GINI -AIS","RD15-ADS","RD15-GINI -ADS","RD15-AIS","RD15-GINI -AIS","RD16-ADS","RD16-GINI -ADS","RD16-AIS","RD16-GINI -AIS","RD17-ADS","RD17-GINI -ADS","RD17-AIS","RD17-GINI -AIS","RD18-ADS","RD18-GINI -ADS","RD18-AIS","RD18-GINI -AIS","RD19-ADS","RD19-GINI -ADS","RD19-AIS","RD19-GINI -AIS","RD20-ADS","RD20-GINI -ADS","RD20-AIS","RD20-GINI -AIS","RD21-ADS","RD21-GINI -ADS","RD21-AIS","RD21-GINI -AIS","RD22-ADS","RD22-GINI -ADS","RD22-AIS","RD22-GINI -AIS","RD23-ADS","RD23-GINI -ADS","RD23-AIS","RD23-GINI -AIS","RD24-ADS","RD24-GINI -ADS","RD24-AIS","RD24-GINI -AIS","RD25-ADS","RD25-GINI -ADS","RD25-AIS","RD25-GINI -AIS","RD26-ADS","RD26-GINI -ADS","RD26-AIS","RD26-GINI -AIS","RD27-ADS","RD27-GINI -ADS","RD27-AIS","RD27-GINI -AIS","RD28-ADS","RD28-GINI -ADS","RD28-AIS","RD28-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","MSB-ADS","MSB-GINI -ADS","MSB-AIS","MSB-GINI -AIS","TRC-ADS","TRC-GINI -ADS","TRC-AIS","TRC-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"0","0.3838263","0.5713263","0.13205645161290322","4.09375","2.0","0","2.0","0","2.0","0","2.0","0","2.0","0","17.0","0","3.0","0","3.0","0","3.0","0","1.0","0","3.0","0","3.0","0","2.0","0","3.0","0","3.0","0","1.0","0","8.0","0","4.0","0","3.0","0","2.0","0","6.0","0","2.0","0","3.0","0","1.0","0","3.0","0","4.0","0","3.0","0","3.0","0","3.0","0","2.0","0","3.0","0","1.0","0","2.0","0","2.0","0","3.0","0","0.0","0","5.0","0","1.0","0","3.0","0","2.0","0","7.0","0","2.0","0","2.0","0","3.0","0","4.0","0","1.0","0","2.0","0","2.0","0","6.0","0","3.0","0","2.0","0","2.0","0","3.0","0","1.0","0","6.0","0","2.0","0","9.0","0","0.0","0","0.0","0","12.0","0","24.0","0","18.0","0","1.0","0","29.0","0","0.0","","0.0"
"1","0.3925620","0.5550964","0.125","4.0","2.0","0","2.0","0","2.0","0","2.0","0","2.0","0","9.0","0.1538462","3.0","0","3.0","0","3.0","0","1.0","0","3.0","0","3.0","0","2.0","0","3.0","0","3.0","0","1.0","0","8.0","0","4.0","0","3.0","0","2.0","0","6.0","0","2.0","0","3.0","0","1.0","0","3.0","0","4.0","0","3.0","0","3.0","0","3.0","0","2.0","0","3.0","0","1.0","0","2.0","0","2.0","0","3.0","0","0.0","0","5.0","0","1.0","0","3.0","0","2.0","0","7.0","0","2.0","0","2.0","0","3.0","0","4.0","0","1.0","0","2.0","0","2.0","0","6.0","0","3.0","0","2.0","0","2.0","0","3.0","0","1.0","0","6.0","0","2.0","0","9.0","0","0.0","0","0.0","0","13.0","0.02","24.0","0","18.0","0","1.0","0","29.0","0","1.0","0","8.0","0"
"2","0.3925620","0.5550964","0.125","4.0","2.0","0","2.0","0","2.0","0","2.0","0","2.0","0","9.0","0.1523810","3.0","0","3.0","0","3.0","0","1.0","0","3.0","0","3.0","0","2.0","0","3.0","0","3.0","0","1.0","0","8.0","0","4.0","0","3.0","0","2.0","0","6.0","0","2.0","0","3.0","0","1.0","0","3.0","0","4.0","0","3.0","0","3.0","0","3.0","0","2.0","0","3.0","0","1.0","0","2.0","0","2.0","0","3.0","0","0.0","0","5.0","0","1.0","0","3.0","0","2.0","0","7.0","0","2.0","0","2.0","0","3.0","0","4.0","0","1.0","0","2.0","0","2.0","0","6.0","0","3.0","0","2.0","0","2.0","0","3.0","0","1.0","0","6.0","0","2.0","0","9.0","0","0.0","0","0.0","0","13.0","0.01754386","24.0","0","18.0","0","1.0","0","29.0","0","1.0","0","8.0","0"
"3","0.3925620","0.5550964","0.125","4.0","2.0","0","2.0","0","2.0","0","2.0","0","2.0","0","9.0","0.1363636","3.0","0","3.0","0","3.0","0","1.0","0","3.0","0","3.0","0","2.0","0","3.0","0","3.0","0","1.0","0","8.0","0","4.0","0","3.0","0","2.0","0","6.0","0","2.0","0","3.0","0","1.0","0","3.0","0","4.0","0","3.0","0","3.0","0","3.0","0","2.0","0","3.0","0","1.0","0","2.0","0","2.0","0","3.0","0","0.0","0","5.0","0","1.0","0","3.0","0","2.0","0","7.0","0","2.0","0","2.0","0","3.0","0","4.0","0","1.0","0","2.0","0","2.0","0","6.0","0","3.0","0","2.0","0","2.0","0","3.0","0","1.0","0","6.0","0","2.0","0","9.0","0","0.0","0","0.0","0","13.0","0.01470588","24.0","0","18.0","0","1.0","0","29.0","0","1.0","0","8.0","0"
"4","0.3925620","0.5550964","0.125","4.0","2.0","0","2.0","0","2.0","0","2.0","0","2.0","0","9.0","0.1207547","3.0","0","3.0","0","3.0","0","1.0","0","3.0","0","3.0","0","2.0","0","3.0","0","3.0","0","1.0","0","8.0","0","4.0","0","3.0","0","2.0","0","6.0","0","2.0","0","3.0","0","1.0","0","3.0","0","4.0","0","3.0","0","3.0","0","3.0","0","2.0","0","3.0","0","1.0","0","2.0","0","2.0","0","3.0","0","0.0","0","5.0","0","1.0","0","3.0","0","2.0","0","7.0","0","2.0","0","2.0","0","3.0","0","4.0","0","1.0","0","2.0","0","2.0","0","6.0","0","3.0","0","2.0","0","2.0","0","3.0","0","1.0","0","6.0","0","2.0","0","9.0","0","0.0","0","0.0","0","13.0","0.0125","24.0","0","18.0","0","1.0","0","29.0","0","1.0","0","8.0","0"
"5","0.3925620","0.5550964","0.125","4.0","2.0","0","2.0","0","2.0","0","2.0","0","2.0","0","9.0","0.1075269","3.0","0","3.0","0","3.0","0","1.0","0","3.0","0","3.0","0","2.0","0","3.0","0","3.0","0","1.0","0","8.0","0","4.0","0","3.0","0","2.0","0","6.0","0","2.0","0","3.0","0","1.0","0","3.0","0","4.0","0","3.0","0","3.0","0","3.0","0","2.0","0","3.0","0","1.0","0","2.0","0","2.0","0","3.0","0","0.0","0","5.0","0","1.0","0","3.0","0","2.0","0","7.0","0","2.0","0","2.0","0","3.0","0","4.0","0","1.0","0","2.0","0","2.0","0","6.0","0","3.0","0","2.0","0","2.0","0","3.0","0","1.0","0","6.0","0","2.0","0","9.0","0","0.0","0","0.0","0","13.0","0.01082251","24.0","0","18.0","0","1.0","0","29.0","0","1.0","0","8.0","0"
"6","0.3925620","0.5550964","0.125","4.0","2.0","0","2.0","0","2.0","0","2.0","0","2.0","0","9.0","0.09657948","3.0","0","3.0","0","3.0","0","1.0","0","3.0","0","3.0","0","2.0","0","3.0","0","3.0","0","1.0","0","8.0","0","4.0","0","3.0","0","2.0","0","6.0","0","2.0","0","3.0","0","1.0","0","3.0","0","4.0","0","3.0","0","3.0","0","3.0","0","2.0","0","3.0","0","1.0","0","2.0","0","2.0","0","3.0","0","0.0","0","5.0","0","1.0","0","3.0","0","2.0","0","7.0","0","2.0","0","2.0","0","3.0","0","4.0","0","1.0","0","2.0","0","2.0","0","6.0","0","3.0","0","2.0","0","2.0","0","3.0","0","1.0","0","6.0","0","2.0","0","9.0","0","0.0","0","0.0","0","13.0","0.009523810","24.0","0","18.0","0","1.0","0","29.0","0","1.0","0","8.0","0"
"7","0.3925620","0.5550964","0.125","4.0","2.0","0","2.0","0","2.0","0","2.0","0","2.0","0","9.0","0.0875","3.0","0","3.0","0","3.0","0","1.0","0","3.0","0","3.0","0","2.0","0","3.0","0","3.0","0","1.0","0","8.0","0","4.0","0","3.0","0","2.0","0","6.0","0","2.0","0","3.0","0","1.0","0","3.0","0","4.0","0","3.0","0","3.0","0","3.0","0","2.0","0","3.0","0","1.0","0","2.0","0","2.0","0","3.0","0","0.0","0","5.0","0","1.0","0","3.0","0","2.0","0","7.0","0","2.0","0","2.0","0","3.0","0","4.0","0","1.0","0","2.0","0","2.0","0","6.0","0","3.0","0","2.0","0","2.0","0","3.0","0","1.0","0","6.0","0","2.0","0","9.0","0","0.0","0","0.0","0","13.0","0.008495146","24.0","0","18.0","0","1.0","0","29.0","0","1.0","0","8.0","0"
"8","0.3925620","0.5550964","0.125","4.0","2.0","0","2.0","0","2.0","0","2.0","0","2.0","0","9.0","0.07990012","3.0","0","3.0","0","3.0","0","1.0","0","3.0","0","3.0","0","2.0","0","3.0","0","3.0","0","1.0","0","8.0","0","4.0","0","3.0","0","2.0","0","6.0","0","2.0","0","3.0","0","1.0","0","3.0","0","4.0","0","3.0","0","3.0","0","3.0","0","2.0","0","3.0","0","1.0","0","2.0","0","2.0","0","3.0","0","0.0","0","5.0","0","1.0","0","3.0","0","2.0","0","7.0","0","2.0","0","2.0","0","3.0","0","4.0","0","1.0","0","2.0","0","2.0","0","6.0","0","3.0","0","2.0","0","2.0","0","3.0","0","1.0","0","6.0","0","2.0","0","9.0","0","0.0","0","0.0","0","13.0","0.007662835","24.0","0","18.0","0","1.0","0","29.0","0","1.0","0","8.0","0"
"9","0.3925620","0.5550964","0.125","4.0","2.0","0","2.0","0","2.0","0","2.0","0","2.0","0","9.0","0.07346939","3.0","0","3.0","0","3.0","0","1.0","0","3.0","0","3.0","0","2.0","0","3.0","0","3.0","0","1.0","0","8.0","0","4.0","0","3.0","0","2.0","0","6.0","0","2.0","0","3.0","0","1.0","0","3.0","0","4.0","0","3.0","0","3.0","0","3.0","0","2.0","0","3.0","0","1.0","0","2.0","0","2.0","0","3.0","0","0.0","0","5.0","0","1.0","0","3.0","0","2.0","0","7.0","0","2.0","0","2.0","0","3.0","0","4.0","0","1.0","0","2.0","0","2.0","0","6.0","0","3.0","0","2.0","0","2.0","0","3.0","0","1.0","0","6.0","0","2.0","0","9.0","0","0.0","0","0.0","0","13.0","0.006976744","24.0","0","18.0","0","1.0","0","29.0","0","1.0","0","8.0","0"
"10","0.3925620","0.5550964","0.125","4.0","2.0","0","2.0","0","2.0","0","2.0","0","2.0","0","9.0","0.06796941","3.0","0","3.0","0","3.0","0","1.0","0","3.0","0","3.0","0","2.0","0","3.0","0","3.0","0","1.0","0","8.0","0","4.0","0","3.0","0","2.0","0","6.0","0","2.0","0","3.0","0","1.0","0","3.0","0","4.0","0","3.0","0","3.0","0","3.0","0","2.0","0","3.0","0","1.0","0","2.0","0","2.0","0","3.0","0","0.0","0","5.0","0","1.0","0","3.0","0","2.0","0","7.0","0","2.0","0","2.0","0","3.0","0","4.0","0","1.0","0","2.0","0","2.0","0","6.0","0","3.0","0","2.0","0","2.0","0","3.0","0","1.0","0","6.0","0","2.0","0","9.0","0","0.0","0","0.0","0","13.0","0.006402049","24.0","0","18.0","0","1.0","0","29.0","0","1.0","0","8.0","0"
"11","0.3925620","0.5550964","0.125","4.0","2.0","0","2.0","0","2.0","0","2.0","0","2.0","0","9.0","0.06321839","3.0","0","3.0","0","3.0","0","1.0","0","3.0","0","3.0","0","2.0","0","3.0","0","3.0","0","1.0","0","8.0","0","4.0","0","3.0","0","2.0","0","6.0","0","2.0","0","3.0","0","1.0","0","3.0","0","4.0","0","3.0","0","3.0","0","3.0","0","2.0","0","3.0","0","1.0","0","2.0","0","2.0","0","3.0","0","0.0","0","5.0","0","1.0","0","3.0","0","2.0","0","7.0","0","2.0","0","2.0","0","3.0","0","4.0","0","1.0","0","2.0","0","2.0","0","6.0","0","3.0","0","2.0","0","2.0","0","3.0","0","1.0","0","6.0","0","2.0","0","9.0","0","0.0","0","0.0","0","13.0","0.005913978","24.0","0","18.0","0","1.0","0","29.0","0","1.0","0","8.0","0"
"12","0.3925620","0.5550964","0.125","4.0","2.0","0","2.0","0","2.0","0","2.0","0","2.0","0","9.0","0.05907692","3.0","0","3.0","0","3.0","0","1.0","0","3.0","0","3.0","0","2.0","0","3.0","0","3.0","0","1.0","0","8.0","0","4.0","0","3.0","0","2.0","0","6.0","0","2.0","0","3.0","0","1.0","0","3.0","0","4.0","0","3.0","0","3.0","0","3.0","0","2.0","0","3.0","0","1.0","0","2.0","0","2.0","0","3.0","0","0.0","0","5.0","0","1.0","0","3.0","0","2.0","0","7.0","0","2.0","0","2.0","0","3.0","0","4.0","0","1.0","0","2.0","0","2.0","0","6.0","0","3.0","0","2.0","0","2.0","0","3.0","0","1.0","0","6.0","0","2.0","0","9.0","0","0.0","0","0.0","0","13.0","0.005494505","24.0","0","18.0","0","1.0","0","29.0","0","1.0","0","8.0","0"
