"release","BA1-ADS","BA1-AIS","BA1-ACS","BA1-RCS","BA1-RIS","BA2-ADS","BA2-AIS","BA2-ACS","BA2-RCS","BA2-RIS","BA3-ADS","BA3-AIS","BA3-ACS","BA3-RCS","BA3-RIS","BA4-ADS","BA4-AIS","BA4-ACS","BA4-RCS","BA4-RIS","BA5-ADS","BA5-AIS","BA5-ACS","BA5-RCS","BA5-RIS","BA6-ADS","BA6-AIS","BA6-ACS","BA6-RCS","BA6-RIS","BA7-ADS","BA7-AIS","BA7-ACS","BA7-RCS","BA7-RIS","BA8-ADS","BA8-AIS","BA8-ACS","BA8-RCS","BA8-RIS","BA9-ADS","BA9-AIS","BA9-ACS","BA9-RCS","BA9-RIS","BA10-ADS","BA10-AIS","BA10-ACS","BA10-RCS","BA10-RIS","BA11-ADS","BA11-AIS","BA11-ACS","BA11-RCS","BA11-RIS","BA12-ADS","BA12-AIS","BA12-ACS","BA12-RCS","BA12-RIS","BA13-ADS","BA13-AIS","BA13-ACS","BA13-RCS","BA13-RIS","BA14-ADS","BA14-AIS","BA14-ACS","BA14-RCS","BA14-RIS","BA15-ADS","BA15-AIS","BA15-ACS","BA15-RCS","BA15-RIS","BA16-ADS","BA16-AIS","BA16-ACS","BA16-RCS","BA16-RIS","BA17-ADS","BA17-AIS","BA17-ACS","BA17-RCS","BA17-RIS","CPS1-ADS","CPS1-AIS","CPS1-ACS","CPS1-RCS","CPS1-RIS","GTW-ADS","GTW-AIS","GTW-ACS","GTW-RCS","GTW-RIS","REG-ADS","REG-AIS","REG-ACS","REG-RCS","REG-RIS","MSB-ADS","MSB-AIS","MSB-ACS","MSB-RCS","MSB-RIS","CFG-ADS","CFG-AIS","CFG-ACS","CFG-RCS","CFG-RIS","TRC-ADS","TRC-AIS","TRC-ACS","TRC-RCS","TRC-RIS","MSV1-ADS","MSV1-AIS","MSV1-ACS","MSV1-RCS","MSV1-RIS"
"1","3.0","3.0","9.0","0.13043478260869565","0.13043478260869565","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","4.0","1.0","4.0","0.17391304347826086","0.043478260869565216","3.0","1.0","3.0","0.13043478260869565","0.043478260869565216","4.0","2.0","8.0","0.17391304347826086","0.08695652173913043","3.0","1.0","3.0","0.13043478260869565","0.043478260869565216","4.0","1.0","4.0","0.17391304347826086","0.043478260869565216","3.0","9.0","27.0","0.13043478260869565","0.391304347826087","4.0","1.0","4.0","0.17391304347826086","0.043478260869565216","4.0","1.0","4.0","0.17391304347826086","0.043478260869565216","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","3.0","1.0","3.0","0.13043478260869565","0.043478260869565216","4.0","1.0","4.0","0.17391304347826086","0.043478260869565216","3.0","1.0","3.0","0.13043478260869565","0.043478260869565216","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","3.0","1.0","3.0","0.13043478260869565","0.043478260869565216","5.0","1.0","5.0","0.21739130434782608","0.043478260869565216","11.0","0.0","0.0","0.4782608695652174","0.0","1.0","11.0","11.0","0.043478260869565216","0.4782608695652174","6.0","9.0","54.0","0.2608695652173913","0.391304347826087","1.0","9.0","9.0","0.043478260869565216","0.391304347826087","1.0","20.0","20.0","0.043478260869565216","0.8695652173913043","0.0","0.0","0.0","0.0","0.0"
"2","3.0","3.0","9.0","0.13043478260869565","0.13043478260869565","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","4.0","1.0","4.0","0.17391304347826086","0.043478260869565216","3.0","1.0","3.0","0.13043478260869565","0.043478260869565216","4.0","2.0","8.0","0.17391304347826086","0.08695652173913043","3.0","1.0","3.0","0.13043478260869565","0.043478260869565216","4.0","1.0","4.0","0.17391304347826086","0.043478260869565216","3.0","9.0","27.0","0.13043478260869565","0.391304347826087","4.0","1.0","4.0","0.17391304347826086","0.043478260869565216","4.0","1.0","4.0","0.17391304347826086","0.043478260869565216","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","3.0","1.0","3.0","0.13043478260869565","0.043478260869565216","4.0","1.0","4.0","0.17391304347826086","0.043478260869565216","3.0","1.0","3.0","0.13043478260869565","0.043478260869565216","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","3.0","1.0","3.0","0.13043478260869565","0.043478260869565216","5.0","1.0","5.0","0.21739130434782608","0.043478260869565216","11.0","0.0","0.0","0.4782608695652174","0.0","1.0","11.0","11.0","0.043478260869565216","0.4782608695652174","6.0","9.0","54.0","0.2608695652173913","0.391304347826087","1.0","9.0","9.0","0.043478260869565216","0.391304347826087","1.0","20.0","20.0","0.043478260869565216","0.8695652173913043","0.0","0.0","0.0","0.0","0.0"
"3","3.0","3.0","9.0","0.13043478260869565","0.13043478260869565","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","4.0","1.0","4.0","0.17391304347826086","0.043478260869565216","3.0","1.0","3.0","0.13043478260869565","0.043478260869565216","4.0","2.0","8.0","0.17391304347826086","0.08695652173913043","3.0","1.0","3.0","0.13043478260869565","0.043478260869565216","4.0","1.0","4.0","0.17391304347826086","0.043478260869565216","3.0","9.0","27.0","0.13043478260869565","0.391304347826087","4.0","1.0","4.0","0.17391304347826086","0.043478260869565216","4.0","1.0","4.0","0.17391304347826086","0.043478260869565216","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","3.0","1.0","3.0","0.13043478260869565","0.043478260869565216","4.0","1.0","4.0","0.17391304347826086","0.043478260869565216","3.0","1.0","3.0","0.13043478260869565","0.043478260869565216","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","3.0","1.0","3.0","0.13043478260869565","0.043478260869565216","5.0","1.0","5.0","0.21739130434782608","0.043478260869565216","11.0","0.0","0.0","0.4782608695652174","0.0","1.0","11.0","11.0","0.043478260869565216","0.4782608695652174","6.0","9.0","54.0","0.2608695652173913","0.391304347826087","1.0","9.0","9.0","0.043478260869565216","0.391304347826087","1.0","20.0","20.0","0.043478260869565216","0.8695652173913043","0.0","0.0","0.0","0.0","0.0"
"4","3.0","3.0","9.0","0.125","0.125","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","4.0","1.0","4.0","0.16666666666666666","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","4.0","2.0","8.0","0.16666666666666666","0.08333333333333333","3.0","1.0","3.0","0.125","0.041666666666666664","4.0","1.0","4.0","0.16666666666666666","0.041666666666666664","3.0","5.0","15.0","0.125","0.20833333333333334","4.0","1.0","4.0","0.16666666666666666","0.041666666666666664","4.0","1.0","4.0","0.16666666666666666","0.041666666666666664","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","4.0","1.0","4.0","0.16666666666666666","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","5.0","1.0","5.0","0.20833333333333334","0.041666666666666664","11.0","0.0","0.0","0.4583333333333333","0.0","1.0","12.0","12.0","0.041666666666666664","0.5","6.0","9.0","54.0","0.25","0.375","1.0","9.0","9.0","0.041666666666666664","0.375","1.0","20.0","20.0","0.041666666666666664","0.8333333333333334","1.0","4.0","4.0","0.041666666666666664","0.16666666666666666"
"5","3.0","3.0","9.0","0.125","0.125","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","4.0","1.0","4.0","0.16666666666666666","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","4.0","2.0","8.0","0.16666666666666666","0.08333333333333333","3.0","1.0","3.0","0.125","0.041666666666666664","4.0","1.0","4.0","0.16666666666666666","0.041666666666666664","3.0","5.0","15.0","0.125","0.20833333333333334","4.0","1.0","4.0","0.16666666666666666","0.041666666666666664","4.0","1.0","4.0","0.16666666666666666","0.041666666666666664","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","4.0","1.0","4.0","0.16666666666666666","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","5.0","1.0","5.0","0.20833333333333334","0.041666666666666664","11.0","0.0","0.0","0.4583333333333333","0.0","1.0","12.0","12.0","0.041666666666666664","0.5","6.0","9.0","54.0","0.25","0.375","1.0","9.0","9.0","0.041666666666666664","0.375","1.0","20.0","20.0","0.041666666666666664","0.8333333333333334","1.0","4.0","4.0","0.041666666666666664","0.16666666666666666"
"6","3.0","3.0","9.0","0.125","0.125","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","4.0","1.0","4.0","0.16666666666666666","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","4.0","2.0","8.0","0.16666666666666666","0.08333333333333333","3.0","1.0","3.0","0.125","0.041666666666666664","4.0","1.0","4.0","0.16666666666666666","0.041666666666666664","3.0","5.0","15.0","0.125","0.20833333333333334","4.0","1.0","4.0","0.16666666666666666","0.041666666666666664","4.0","1.0","4.0","0.16666666666666666","0.041666666666666664","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","4.0","1.0","4.0","0.16666666666666666","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","5.0","1.0","5.0","0.20833333333333334","0.041666666666666664","11.0","0.0","0.0","0.4583333333333333","0.0","1.0","12.0","12.0","0.041666666666666664","0.5","6.0","9.0","54.0","0.25","0.375","1.0","9.0","9.0","0.041666666666666664","0.375","1.0","20.0","20.0","0.041666666666666664","0.8333333333333334","1.0","4.0","4.0","0.041666666666666664","0.16666666666666666"
"7","3.0","3.0","9.0","0.125","0.125","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","4.0","1.0","4.0","0.16666666666666666","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","4.0","2.0","8.0","0.16666666666666666","0.08333333333333333","3.0","1.0","3.0","0.125","0.041666666666666664","4.0","1.0","4.0","0.16666666666666666","0.041666666666666664","3.0","5.0","15.0","0.125","0.20833333333333334","4.0","1.0","4.0","0.16666666666666666","0.041666666666666664","4.0","1.0","4.0","0.16666666666666666","0.041666666666666664","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","4.0","1.0","4.0","0.16666666666666666","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","5.0","1.0","5.0","0.20833333333333334","0.041666666666666664","11.0","0.0","0.0","0.4583333333333333","0.0","1.0","12.0","12.0","0.041666666666666664","0.5","6.0","9.0","54.0","0.25","0.375","1.0","9.0","9.0","0.041666666666666664","0.375","1.0","20.0","20.0","0.041666666666666664","0.8333333333333334","1.0","4.0","4.0","0.041666666666666664","0.16666666666666666"
"8","3.0","3.0","9.0","0.125","0.125","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","4.0","1.0","4.0","0.16666666666666666","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","4.0","2.0","8.0","0.16666666666666666","0.08333333333333333","3.0","1.0","3.0","0.125","0.041666666666666664","4.0","1.0","4.0","0.16666666666666666","0.041666666666666664","3.0","5.0","15.0","0.125","0.20833333333333334","4.0","1.0","4.0","0.16666666666666666","0.041666666666666664","4.0","1.0","4.0","0.16666666666666666","0.041666666666666664","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","4.0","1.0","4.0","0.16666666666666666","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","5.0","1.0","5.0","0.20833333333333334","0.041666666666666664","11.0","0.0","0.0","0.4583333333333333","0.0","1.0","12.0","12.0","0.041666666666666664","0.5","6.0","9.0","54.0","0.25","0.375","1.0","9.0","9.0","0.041666666666666664","0.375","1.0","20.0","20.0","0.041666666666666664","0.8333333333333334","1.0","4.0","4.0","0.041666666666666664","0.16666666666666666"
"9","3.0","3.0","9.0","0.125","0.125","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","4.0","1.0","4.0","0.16666666666666666","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","4.0","2.0","8.0","0.16666666666666666","0.08333333333333333","3.0","1.0","3.0","0.125","0.041666666666666664","4.0","1.0","4.0","0.16666666666666666","0.041666666666666664","3.0","5.0","15.0","0.125","0.20833333333333334","4.0","1.0","4.0","0.16666666666666666","0.041666666666666664","4.0","1.0","4.0","0.16666666666666666","0.041666666666666664","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","4.0","1.0","4.0","0.16666666666666666","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","5.0","1.0","5.0","0.20833333333333334","0.041666666666666664","11.0","0.0","0.0","0.4583333333333333","0.0","1.0","12.0","12.0","0.041666666666666664","0.5","6.0","9.0","54.0","0.25","0.375","1.0","9.0","9.0","0.041666666666666664","0.375","1.0","20.0","20.0","0.041666666666666664","0.8333333333333334","1.0","4.0","4.0","0.041666666666666664","0.16666666666666666"
"10","3.0","3.0","9.0","0.125","0.125","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","4.0","1.0","4.0","0.16666666666666666","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","4.0","2.0","8.0","0.16666666666666666","0.08333333333333333","3.0","1.0","3.0","0.125","0.041666666666666664","4.0","1.0","4.0","0.16666666666666666","0.041666666666666664","3.0","5.0","15.0","0.125","0.20833333333333334","4.0","1.0","4.0","0.16666666666666666","0.041666666666666664","4.0","1.0","4.0","0.16666666666666666","0.041666666666666664","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","4.0","1.0","4.0","0.16666666666666666","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","5.0","1.0","5.0","0.20833333333333334","0.041666666666666664","11.0","0.0","0.0","0.4583333333333333","0.0","1.0","12.0","12.0","0.041666666666666664","0.5","6.0","9.0","54.0","0.25","0.375","1.0","9.0","9.0","0.041666666666666664","0.375","1.0","20.0","20.0","0.041666666666666664","0.8333333333333334","1.0","4.0","4.0","0.041666666666666664","0.16666666666666666"
