"release","BA1-ADS","BA1-AIS","BA1-ACS","BA1-RCS","BA1-RIS","BA2-ADS","BA2-AIS","BA2-ACS","BA2-RCS","BA2-RIS","BA3-ADS","BA3-AIS","BA3-ACS","BA3-RCS","BA3-RIS","BA4-ADS","BA4-AIS","BA4-ACS","BA4-RCS","BA4-RIS","BA5-ADS","BA5-AIS","BA5-ACS","BA5-RCS","BA5-RIS","BA6-ADS","BA6-AIS","BA6-ACS","BA6-RCS","BA6-RIS","BA7-ADS","BA7-AIS","BA7-ACS","BA7-RCS","BA7-RIS","BA8-ADS","BA8-AIS","BA8-ACS","BA8-RCS","BA8-RIS","BA9-ADS","BA9-AIS","BA9-ACS","BA9-RCS","BA9-RIS","BA10-ADS","BA10-AIS","BA10-ACS","BA10-RCS","BA10-RIS","BA11-ADS","BA11-AIS","BA11-ACS","BA11-RCS","BA11-RIS","BA12-ADS","BA12-AIS","BA12-ACS","BA12-RCS","BA12-RIS","BA13-ADS","BA13-AIS","BA13-ACS","BA13-RCS","BA13-RIS","BA14-ADS","BA14-AIS","BA14-ACS","BA14-RCS","BA14-RIS","BA15-ADS","BA15-AIS","BA15-ACS","BA15-RCS","BA15-RIS","BA16-ADS","BA16-AIS","BA16-ACS","BA16-RCS","BA16-RIS","BA17-ADS","BA17-AIS","BA17-ACS","BA17-RCS","BA17-RIS","BA18-ADS","BA18-AIS","BA18-ACS","BA18-RCS","BA18-RIS","CPS1-ADS","CPS1-AIS","CPS1-ACS","CPS1-RCS","CPS1-RIS","REG-ADS","REG-AIS","REG-ACS","REG-RCS","REG-RIS","MSB-ADS","MSB-AIS","MSB-ACS","MSB-RCS","MSB-RIS","MSV1-ADS","MSV1-AIS","MSV1-ACS","MSV1-RCS","MSV1-RIS","MSV2-ADS","MSV2-AIS","MSV2-ACS","MSV2-RCS","MSV2-RIS","MSV3-ADS","MSV3-AIS","MSV3-ACS","MSV3-RCS","MSV3-RIS","MSV4-ADS","MSV4-AIS","MSV4-ACS","MSV4-RCS","MSV4-RIS","MSV5-ADS","MSV5-AIS","MSV5-ACS","MSV5-RCS","MSV5-RIS","MSV6-ADS","MSV6-AIS","MSV6-ACS","MSV6-RCS","MSV6-RIS"
"1","1.0","1.0","1.0","0.047619047619047616","0.047619047619047616","1.0","5.0","5.0","0.047619047619047616","0.23809523809523808","1.0","1.0","1.0","0.047619047619047616","0.047619047619047616","2.0","3.0","6.0","0.09523809523809523","0.14285714285714285","1.0","0.0","0.0","0.047619047619047616","0.0","1.0","0.0","0.0","0.047619047619047616","0.0","1.0","1.0","1.0","0.047619047619047616","0.047619047619047616","2.0","1.0","2.0","0.09523809523809523","0.047619047619047616","2.0","1.0","2.0","0.09523809523809523","0.047619047619047616","1.0","0.0","0.0","0.047619047619047616","0.0","1.0","0.0","0.0","0.047619047619047616","0.0","1.0","0.0","0.0","0.047619047619047616","0.0","2.0","1.0","2.0","0.09523809523809523","0.047619047619047616","2.0","0.0","0.0","0.09523809523809523","0.0","1.0","1.0","1.0","0.047619047619047616","0.047619047619047616","1.0","0.0","0.0","0.047619047619047616","0.0","1.0","0.0","0.0","0.047619047619047616","0.0","2.0","0.0","0.0","0.09523809523809523","0.0","4.0","0.0","0.0","0.19047619047619047","0.0","0.0","8.0","0.0","0.0","0.38095238095238093","7.0","12.0","84.0","0.3333333333333333","0.5714285714285714","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2","1.0","1.0","1.0","0.047619047619047616","0.047619047619047616","1.0","5.0","5.0","0.047619047619047616","0.23809523809523808","1.0","1.0","1.0","0.047619047619047616","0.047619047619047616","2.0","3.0","6.0","0.09523809523809523","0.14285714285714285","1.0","0.0","0.0","0.047619047619047616","0.0","1.0","0.0","0.0","0.047619047619047616","0.0","1.0","1.0","1.0","0.047619047619047616","0.047619047619047616","2.0","1.0","2.0","0.09523809523809523","0.047619047619047616","2.0","1.0","2.0","0.09523809523809523","0.047619047619047616","1.0","0.0","0.0","0.047619047619047616","0.0","1.0","0.0","0.0","0.047619047619047616","0.0","1.0","0.0","0.0","0.047619047619047616","0.0","2.0","1.0","2.0","0.09523809523809523","0.047619047619047616","2.0","0.0","0.0","0.09523809523809523","0.0","1.0","1.0","1.0","0.047619047619047616","0.047619047619047616","1.0","0.0","0.0","0.047619047619047616","0.0","1.0","0.0","0.0","0.047619047619047616","0.0","2.0","0.0","0.0","0.09523809523809523","0.0","4.0","0.0","0.0","0.19047619047619047","0.0","0.0","8.0","0.0","0.0","0.38095238095238093","7.0","12.0","84.0","0.3333333333333333","0.5714285714285714","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"3","1.0","1.0","1.0","0.047619047619047616","0.047619047619047616","1.0","5.0","5.0","0.047619047619047616","0.23809523809523808","1.0","1.0","1.0","0.047619047619047616","0.047619047619047616","2.0","3.0","6.0","0.09523809523809523","0.14285714285714285","1.0","0.0","0.0","0.047619047619047616","0.0","1.0","0.0","0.0","0.047619047619047616","0.0","1.0","1.0","1.0","0.047619047619047616","0.047619047619047616","2.0","1.0","2.0","0.09523809523809523","0.047619047619047616","2.0","1.0","2.0","0.09523809523809523","0.047619047619047616","1.0","0.0","0.0","0.047619047619047616","0.0","1.0","0.0","0.0","0.047619047619047616","0.0","1.0","0.0","0.0","0.047619047619047616","0.0","2.0","1.0","2.0","0.09523809523809523","0.047619047619047616","2.0","0.0","0.0","0.09523809523809523","0.0","1.0","1.0","1.0","0.047619047619047616","0.047619047619047616","1.0","0.0","0.0","0.047619047619047616","0.0","1.0","0.0","0.0","0.047619047619047616","0.0","2.0","0.0","0.0","0.09523809523809523","0.0","4.0","0.0","0.0","0.19047619047619047","0.0","0.0","8.0","0.0","0.0","0.38095238095238093","7.0","12.0","84.0","0.3333333333333333","0.5714285714285714","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"4","1.0","1.0","1.0","0.047619047619047616","0.047619047619047616","1.0","5.0","5.0","0.047619047619047616","0.23809523809523808","1.0","1.0","1.0","0.047619047619047616","0.047619047619047616","2.0","3.0","6.0","0.09523809523809523","0.14285714285714285","1.0","0.0","0.0","0.047619047619047616","0.0","1.0","0.0","0.0","0.047619047619047616","0.0","1.0","1.0","1.0","0.047619047619047616","0.047619047619047616","2.0","1.0","2.0","0.09523809523809523","0.047619047619047616","2.0","1.0","2.0","0.09523809523809523","0.047619047619047616","1.0","0.0","0.0","0.047619047619047616","0.0","1.0","0.0","0.0","0.047619047619047616","0.0","1.0","0.0","0.0","0.047619047619047616","0.0","2.0","1.0","2.0","0.09523809523809523","0.047619047619047616","2.0","0.0","0.0","0.09523809523809523","0.0","1.0","1.0","1.0","0.047619047619047616","0.047619047619047616","1.0","0.0","0.0","0.047619047619047616","0.0","1.0","0.0","0.0","0.047619047619047616","0.0","2.0","0.0","0.0","0.09523809523809523","0.0","4.0","0.0","0.0","0.19047619047619047","0.0","0.0","8.0","0.0","0.0","0.38095238095238093","7.0","12.0","84.0","0.3333333333333333","0.5714285714285714","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"5","1.0","1.0","1.0","0.047619047619047616","0.047619047619047616","1.0","5.0","5.0","0.047619047619047616","0.23809523809523808","1.0","1.0","1.0","0.047619047619047616","0.047619047619047616","2.0","3.0","6.0","0.09523809523809523","0.14285714285714285","1.0","0.0","0.0","0.047619047619047616","0.0","1.0","0.0","0.0","0.047619047619047616","0.0","1.0","1.0","1.0","0.047619047619047616","0.047619047619047616","2.0","1.0","2.0","0.09523809523809523","0.047619047619047616","2.0","1.0","2.0","0.09523809523809523","0.047619047619047616","1.0","0.0","0.0","0.047619047619047616","0.0","1.0","0.0","0.0","0.047619047619047616","0.0","1.0","0.0","0.0","0.047619047619047616","0.0","2.0","1.0","2.0","0.09523809523809523","0.047619047619047616","2.0","0.0","0.0","0.09523809523809523","0.0","1.0","1.0","1.0","0.047619047619047616","0.047619047619047616","1.0","0.0","0.0","0.047619047619047616","0.0","1.0","0.0","0.0","0.047619047619047616","0.0","2.0","0.0","0.0","0.09523809523809523","0.0","4.0","0.0","0.0","0.19047619047619047","0.0","0.0","8.0","0.0","0.0","0.38095238095238093","7.0","12.0","84.0","0.3333333333333333","0.5714285714285714","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"6","1.0","1.0","1.0","0.047619047619047616","0.047619047619047616","1.0","5.0","5.0","0.047619047619047616","0.23809523809523808","1.0","1.0","1.0","0.047619047619047616","0.047619047619047616","2.0","3.0","6.0","0.09523809523809523","0.14285714285714285","1.0","0.0","0.0","0.047619047619047616","0.0","1.0","0.0","0.0","0.047619047619047616","0.0","1.0","1.0","1.0","0.047619047619047616","0.047619047619047616","2.0","1.0","2.0","0.09523809523809523","0.047619047619047616","2.0","1.0","2.0","0.09523809523809523","0.047619047619047616","1.0","0.0","0.0","0.047619047619047616","0.0","1.0","0.0","0.0","0.047619047619047616","0.0","1.0","0.0","0.0","0.047619047619047616","0.0","2.0","1.0","2.0","0.09523809523809523","0.047619047619047616","2.0","0.0","0.0","0.09523809523809523","0.0","1.0","1.0","1.0","0.047619047619047616","0.047619047619047616","1.0","0.0","0.0","0.047619047619047616","0.0","1.0","0.0","0.0","0.047619047619047616","0.0","2.0","0.0","0.0","0.09523809523809523","0.0","4.0","0.0","0.0","0.19047619047619047","0.0","0.0","8.0","0.0","0.0","0.38095238095238093","7.0","12.0","84.0","0.3333333333333333","0.5714285714285714","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"7","1.0","1.0","1.0","0.047619047619047616","0.047619047619047616","1.0","5.0","5.0","0.047619047619047616","0.23809523809523808","1.0","1.0","1.0","0.047619047619047616","0.047619047619047616","2.0","3.0","6.0","0.09523809523809523","0.14285714285714285","1.0","0.0","0.0","0.047619047619047616","0.0","1.0","0.0","0.0","0.047619047619047616","0.0","1.0","1.0","1.0","0.047619047619047616","0.047619047619047616","2.0","1.0","2.0","0.09523809523809523","0.047619047619047616","2.0","1.0","2.0","0.09523809523809523","0.047619047619047616","1.0","0.0","0.0","0.047619047619047616","0.0","1.0","0.0","0.0","0.047619047619047616","0.0","1.0","0.0","0.0","0.047619047619047616","0.0","2.0","1.0","2.0","0.09523809523809523","0.047619047619047616","2.0","0.0","0.0","0.09523809523809523","0.0","1.0","1.0","1.0","0.047619047619047616","0.047619047619047616","1.0","0.0","0.0","0.047619047619047616","0.0","1.0","0.0","0.0","0.047619047619047616","0.0","2.0","0.0","0.0","0.09523809523809523","0.0","4.0","0.0","0.0","0.19047619047619047","0.0","0.0","8.0","0.0","0.0","0.38095238095238093","7.0","12.0","84.0","0.3333333333333333","0.5714285714285714","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"8","1.0","1.0","1.0","0.045454545454545456","0.045454545454545456","1.0","6.0","6.0","0.045454545454545456","0.2727272727272727","1.0","1.0","1.0","0.045454545454545456","0.045454545454545456","2.0","3.0","6.0","0.09090909090909091","0.13636363636363635","1.0","0.0","0.0","0.045454545454545456","0.0","1.0","0.0","0.0","0.045454545454545456","0.0","1.0","1.0","1.0","0.045454545454545456","0.045454545454545456","2.0","1.0","2.0","0.09090909090909091","0.045454545454545456","2.0","1.0","2.0","0.09090909090909091","0.045454545454545456","1.0","0.0","0.0","0.045454545454545456","0.0","1.0","0.0","0.0","0.045454545454545456","0.0","1.0","0.0","0.0","0.045454545454545456","0.0","2.0","1.0","2.0","0.09090909090909091","0.045454545454545456","2.0","0.0","0.0","0.09090909090909091","0.0","1.0","1.0","1.0","0.045454545454545456","0.045454545454545456","1.0","0.0","0.0","0.045454545454545456","0.0","1.0","0.0","0.0","0.045454545454545456","0.0","2.0","0.0","0.0","0.09090909090909091","0.0","4.0","0.0","0.0","0.18181818181818182","0.0","0.0","9.0","0.0","0.0","0.4090909090909091","7.0","12.0","84.0","0.3181818181818182","0.5454545454545454","2.0","0.0","0.0","0.09090909090909091","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"9","1.0","1.0","1.0","0.043478260869565216","0.043478260869565216","1.0","7.0","7.0","0.043478260869565216","0.30434782608695654","1.0","1.0","1.0","0.043478260869565216","0.043478260869565216","2.0","3.0","6.0","0.08695652173913043","0.13043478260869565","1.0","0.0","0.0","0.043478260869565216","0.0","1.0","0.0","0.0","0.043478260869565216","0.0","1.0","1.0","1.0","0.043478260869565216","0.043478260869565216","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","1.0","0.0","0.0","0.043478260869565216","0.0","1.0","0.0","0.0","0.043478260869565216","0.0","1.0","0.0","0.0","0.043478260869565216","0.0","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","2.0","0.0","0.0","0.08695652173913043","0.0","1.0","1.0","1.0","0.043478260869565216","0.043478260869565216","1.0","0.0","0.0","0.043478260869565216","0.0","1.0","0.0","0.0","0.043478260869565216","0.0","2.0","0.0","0.0","0.08695652173913043","0.0","4.0","0.0","0.0","0.17391304347826086","0.0","0.0","10.0","0.0","0.0","0.43478260869565216","7.0","12.0","84.0","0.30434782608695654","0.5217391304347826","2.0","0.0","0.0","0.08695652173913043","0.0","2.0","0.0","0.0","0.08695652173913043","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"10","1.0","1.0","1.0","0.043478260869565216","0.043478260869565216","1.0","7.0","7.0","0.043478260869565216","0.30434782608695654","1.0","1.0","1.0","0.043478260869565216","0.043478260869565216","2.0","3.0","6.0","0.08695652173913043","0.13043478260869565","1.0","0.0","0.0","0.043478260869565216","0.0","1.0","0.0","0.0","0.043478260869565216","0.0","1.0","1.0","1.0","0.043478260869565216","0.043478260869565216","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","1.0","0.0","0.0","0.043478260869565216","0.0","1.0","0.0","0.0","0.043478260869565216","0.0","1.0","0.0","0.0","0.043478260869565216","0.0","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","2.0","0.0","0.0","0.08695652173913043","0.0","1.0","1.0","1.0","0.043478260869565216","0.043478260869565216","1.0","0.0","0.0","0.043478260869565216","0.0","1.0","0.0","0.0","0.043478260869565216","0.0","2.0","0.0","0.0","0.08695652173913043","0.0","4.0","0.0","0.0","0.17391304347826086","0.0","0.0","10.0","0.0","0.0","0.43478260869565216","7.0","12.0","84.0","0.30434782608695654","0.5217391304347826","2.0","0.0","0.0","0.08695652173913043","0.0","2.0","0.0","0.0","0.08695652173913043","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
