"release","RD1-ADS","RD1-AIS","RD1-ACS","RD1-RCS","RD1-RIS","RD2-ADS","RD2-AIS","RD2-ACS","RD2-RCS","RD2-RIS","RD3-ADS","RD3-AIS","RD3-ACS","RD3-RCS","RD3-RIS","RD4-ADS","RD4-AIS","RD4-ACS","RD4-RCS","RD4-RIS","RD5-ADS","RD5-AIS","RD5-ACS","RD5-RCS","RD5-RIS","RD6-ADS","RD6-AIS","RD6-ACS","RD6-RCS","RD6-RIS","RD7-ADS","RD7-AIS","RD7-ACS","RD7-RCS","RD7-RIS","RD8-ADS","RD8-AIS","RD8-ACS","RD8-RCS","RD8-RIS","RD9-ADS","RD9-AIS","RD9-ACS","RD9-RCS","RD9-RIS","RD10-ADS","RD10-AIS","RD10-ACS","RD10-RCS","RD10-RIS","RD11-ADS","RD11-AIS","RD11-ACS","RD11-RCS","RD11-RIS","CPS1-ADS","CPS1-AIS","CPS1-ACS","CPS1-RCS","CPS1-RIS","CPS2-ADS","CPS2-AIS","CPS2-ACS","CPS2-RCS","CPS2-RIS","GTW-ADS","GTW-AIS","GTW-ACS","GTW-RCS","GTW-RIS","REG-ADS","REG-AIS","REG-ACS","REG-RCS","REG-RIS","MSV1-ADS","MSV1-AIS","MSV1-ACS","MSV1-RCS","MSV1-RIS"
"1","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","3.0","1.0","3.0","0.2","0.06666666666666667","1.0","11.0","11.0","0.06666666666666667","0.7333333333333333","3.0","1.0","3.0","0.2","0.06666666666666667","6.0","1.0","6.0","0.4","0.06666666666666667","5.0","0.0","0.0","0.3333333333333333","0.0","0.0","13.0","0.0","0.0","0.8666666666666667","0.0","0.0","0.0","0.0","0.0"
"2","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","3.0","1.0","3.0","0.2","0.06666666666666667","1.0","11.0","11.0","0.06666666666666667","0.7333333333333333","3.0","1.0","3.0","0.2","0.06666666666666667","6.0","1.0","6.0","0.4","0.06666666666666667","5.0","0.0","0.0","0.3333333333333333","0.0","0.0","13.0","0.0","0.0","0.8666666666666667","0.0","0.0","0.0","0.0","0.0"
"3","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","3.0","1.0","3.0","0.2","0.06666666666666667","1.0","11.0","11.0","0.06666666666666667","0.7333333333333333","3.0","1.0","3.0","0.2","0.06666666666666667","6.0","1.0","6.0","0.4","0.06666666666666667","5.0","0.0","0.0","0.3333333333333333","0.0","0.0","13.0","0.0","0.0","0.8666666666666667","0.0","0.0","0.0","0.0","0.0"
"4","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","3.0","1.0","3.0","0.2","0.06666666666666667","1.0","11.0","11.0","0.06666666666666667","0.7333333333333333","3.0","1.0","3.0","0.2","0.06666666666666667","6.0","1.0","6.0","0.4","0.06666666666666667","5.0","0.0","0.0","0.3333333333333333","0.0","0.0","13.0","0.0","0.0","0.8666666666666667","0.0","0.0","0.0","0.0","0.0"
"5","2.0","1.0","2.0","0.125","0.0625","2.0","1.0","2.0","0.125","0.0625","2.0","1.0","2.0","0.125","0.0625","2.0","1.0","2.0","0.125","0.0625","2.0","1.0","2.0","0.125","0.0625","2.0","1.0","2.0","0.125","0.0625","2.0","1.0","2.0","0.125","0.0625","2.0","1.0","2.0","0.125","0.0625","2.0","1.0","2.0","0.125","0.0625","3.0","1.0","3.0","0.1875","0.0625","1.0","6.0","6.0","0.0625","0.375","3.0","1.0","3.0","0.1875","0.0625","6.0","1.0","6.0","0.375","0.0625","5.0","0.0","0.0","0.3125","0.0","0.0","14.0","0.0","0.0","0.875","1.0","5.0","5.0","0.0625","0.3125"
"6","2.0","1.0","2.0","0.125","0.0625","2.0","1.0","2.0","0.125","0.0625","2.0","1.0","2.0","0.125","0.0625","2.0","1.0","2.0","0.125","0.0625","2.0","1.0","2.0","0.125","0.0625","2.0","1.0","2.0","0.125","0.0625","2.0","1.0","2.0","0.125","0.0625","2.0","1.0","2.0","0.125","0.0625","2.0","1.0","2.0","0.125","0.0625","3.0","1.0","3.0","0.1875","0.0625","1.0","6.0","6.0","0.0625","0.375","3.0","1.0","3.0","0.1875","0.0625","6.0","1.0","6.0","0.375","0.0625","5.0","0.0","0.0","0.3125","0.0","0.0","14.0","0.0","0.0","0.875","1.0","5.0","5.0","0.0625","0.3125"
"7","2.0","1.0","2.0","0.125","0.0625","2.0","1.0","2.0","0.125","0.0625","2.0","1.0","2.0","0.125","0.0625","2.0","1.0","2.0","0.125","0.0625","2.0","1.0","2.0","0.125","0.0625","2.0","1.0","2.0","0.125","0.0625","2.0","1.0","2.0","0.125","0.0625","2.0","1.0","2.0","0.125","0.0625","2.0","1.0","2.0","0.125","0.0625","3.0","1.0","3.0","0.1875","0.0625","1.0","6.0","6.0","0.0625","0.375","3.0","1.0","3.0","0.1875","0.0625","6.0","1.0","6.0","0.375","0.0625","5.0","0.0","0.0","0.3125","0.0","0.0","14.0","0.0","0.0","0.875","1.0","5.0","5.0","0.0625","0.3125"
"8","2.0","1.0","2.0","0.125","0.0625","2.0","1.0","2.0","0.125","0.0625","2.0","1.0","2.0","0.125","0.0625","2.0","1.0","2.0","0.125","0.0625","2.0","1.0","2.0","0.125","0.0625","2.0","1.0","2.0","0.125","0.0625","2.0","1.0","2.0","0.125","0.0625","2.0","1.0","2.0","0.125","0.0625","2.0","1.0","2.0","0.125","0.0625","3.0","1.0","3.0","0.1875","0.0625","1.0","6.0","6.0","0.0625","0.375","3.0","1.0","3.0","0.1875","0.0625","6.0","1.0","6.0","0.375","0.0625","5.0","0.0","0.0","0.3125","0.0","0.0","14.0","0.0","0.0","0.875","1.0","5.0","5.0","0.0625","0.3125"
"9","2.0","1.0","2.0","0.125","0.0625","2.0","1.0","2.0","0.125","0.0625","2.0","1.0","2.0","0.125","0.0625","2.0","1.0","2.0","0.125","0.0625","2.0","1.0","2.0","0.125","0.0625","2.0","1.0","2.0","0.125","0.0625","2.0","1.0","2.0","0.125","0.0625","2.0","1.0","2.0","0.125","0.0625","2.0","1.0","2.0","0.125","0.0625","3.0","1.0","3.0","0.1875","0.0625","1.0","6.0","6.0","0.0625","0.375","3.0","1.0","3.0","0.1875","0.0625","6.0","1.0","6.0","0.375","0.0625","5.0","0.0","0.0","0.3125","0.0","0.0","14.0","0.0","0.0","0.875","1.0","5.0","5.0","0.0625","0.3125"
"10","2.0","1.0","2.0","0.125","0.0625","2.0","1.0","2.0","0.125","0.0625","2.0","1.0","2.0","0.125","0.0625","2.0","1.0","2.0","0.125","0.0625","2.0","1.0","2.0","0.125","0.0625","2.0","1.0","2.0","0.125","0.0625","2.0","1.0","2.0","0.125","0.0625","2.0","1.0","2.0","0.125","0.0625","2.0","1.0","2.0","0.125","0.0625","3.0","1.0","3.0","0.1875","0.0625","1.0","6.0","6.0","0.0625","0.375","3.0","1.0","3.0","0.1875","0.0625","6.0","1.0","6.0","0.375","0.0625","5.0","0.0","0.0","0.3125","0.0","0.0","14.0","0.0","0.0","0.875","1.0","5.0","5.0","0.0625","0.3125"
"11","2.0","1.0","2.0","0.125","0.0625","2.0","1.0","2.0","0.125","0.0625","2.0","1.0","2.0","0.125","0.0625","2.0","1.0","2.0","0.125","0.0625","2.0","1.0","2.0","0.125","0.0625","2.0","1.0","2.0","0.125","0.0625","2.0","1.0","2.0","0.125","0.0625","2.0","1.0","2.0","0.125","0.0625","2.0","1.0","2.0","0.125","0.0625","3.0","1.0","3.0","0.1875","0.0625","1.0","6.0","6.0","0.0625","0.375","3.0","1.0","3.0","0.1875","0.0625","6.0","1.0","6.0","0.375","0.0625","5.0","0.0","0.0","0.3125","0.0","0.0","14.0","0.0","0.0","0.875","1.0","5.0","5.0","0.0625","0.3125"
"12","2.0","1.0","2.0","0.125","0.0625","2.0","1.0","2.0","0.125","0.0625","2.0","1.0","2.0","0.125","0.0625","2.0","1.0","2.0","0.125","0.0625","2.0","1.0","2.0","0.125","0.0625","2.0","1.0","2.0","0.125","0.0625","2.0","1.0","2.0","0.125","0.0625","2.0","1.0","2.0","0.125","0.0625","2.0","1.0","2.0","0.125","0.0625","3.0","1.0","3.0","0.1875","0.0625","1.0","6.0","6.0","0.0625","0.375","3.0","1.0","3.0","0.1875","0.0625","6.0","1.0","6.0","0.375","0.0625","5.0","0.0","0.0","0.3125","0.0","0.0","14.0","0.0","0.0","0.875","1.0","5.0","5.0","0.0625","0.3125"
"13","2.0","1.0","2.0","0.125","0.0625","2.0","1.0","2.0","0.125","0.0625","2.0","1.0","2.0","0.125","0.0625","2.0","1.0","2.0","0.125","0.0625","2.0","1.0","2.0","0.125","0.0625","2.0","1.0","2.0","0.125","0.0625","2.0","1.0","2.0","0.125","0.0625","2.0","1.0","2.0","0.125","0.0625","2.0","1.0","2.0","0.125","0.0625","3.0","1.0","3.0","0.1875","0.0625","1.0","6.0","6.0","0.0625","0.375","3.0","1.0","3.0","0.1875","0.0625","6.0","1.0","6.0","0.375","0.0625","5.0","0.0","0.0","0.3125","0.0","0.0","14.0","0.0","0.0","0.875","1.0","5.0","5.0","0.0625","0.3125"
"14","2.0","1.0","2.0","0.125","0.0625","2.0","1.0","2.0","0.125","0.0625","2.0","1.0","2.0","0.125","0.0625","2.0","1.0","2.0","0.125","0.0625","2.0","1.0","2.0","0.125","0.0625","2.0","1.0","2.0","0.125","0.0625","2.0","1.0","2.0","0.125","0.0625","2.0","1.0","2.0","0.125","0.0625","2.0","1.0","2.0","0.125","0.0625","3.0","1.0","3.0","0.1875","0.0625","1.0","6.0","6.0","0.0625","0.375","3.0","1.0","3.0","0.1875","0.0625","6.0","1.0","6.0","0.375","0.0625","5.0","0.0","0.0","0.3125","0.0","0.0","14.0","0.0","0.0","0.875","1.0","5.0","5.0","0.0625","0.3125"
"15","2.0","1.0","2.0","0.125","0.0625","2.0","1.0","2.0","0.125","0.0625","2.0","1.0","2.0","0.125","0.0625","2.0","1.0","2.0","0.125","0.0625","2.0","1.0","2.0","0.125","0.0625","2.0","1.0","2.0","0.125","0.0625","2.0","1.0","2.0","0.125","0.0625","2.0","1.0","2.0","0.125","0.0625","2.0","1.0","2.0","0.125","0.0625","3.0","1.0","3.0","0.1875","0.0625","1.0","6.0","6.0","0.0625","0.375","3.0","1.0","3.0","0.1875","0.0625","6.0","1.0","6.0","0.375","0.0625","5.0","0.0","0.0","0.3125","0.0","0.0","14.0","0.0","0.0","0.875","1.0","5.0","5.0","0.0625","0.3125"
"16","2.0","1.0","2.0","0.125","0.0625","2.0","1.0","2.0","0.125","0.0625","2.0","1.0","2.0","0.125","0.0625","2.0","1.0","2.0","0.125","0.0625","2.0","1.0","2.0","0.125","0.0625","2.0","1.0","2.0","0.125","0.0625","2.0","1.0","2.0","0.125","0.0625","2.0","1.0","2.0","0.125","0.0625","2.0","1.0","2.0","0.125","0.0625","3.0","1.0","3.0","0.1875","0.0625","1.0","6.0","6.0","0.0625","0.375","3.0","1.0","3.0","0.1875","0.0625","6.0","1.0","6.0","0.375","0.0625","5.0","0.0","0.0","0.3125","0.0","0.0","14.0","0.0","0.0","0.875","1.0","5.0","5.0","0.0625","0.3125"
"17","2.0","1.0","2.0","0.125","0.0625","2.0","1.0","2.0","0.125","0.0625","2.0","1.0","2.0","0.125","0.0625","2.0","1.0","2.0","0.125","0.0625","2.0","1.0","2.0","0.125","0.0625","2.0","1.0","2.0","0.125","0.0625","2.0","1.0","2.0","0.125","0.0625","2.0","1.0","2.0","0.125","0.0625","2.0","1.0","2.0","0.125","0.0625","3.0","1.0","3.0","0.1875","0.0625","1.0","6.0","6.0","0.0625","0.375","3.0","1.0","3.0","0.1875","0.0625","6.0","1.0","6.0","0.375","0.0625","5.0","0.0","0.0","0.3125","0.0","0.0","14.0","0.0","0.0","0.875","1.0","5.0","5.0","0.0625","0.3125"
"18","2.0","1.0","2.0","0.125","0.0625","2.0","1.0","2.0","0.125","0.0625","2.0","1.0","2.0","0.125","0.0625","2.0","1.0","2.0","0.125","0.0625","2.0","1.0","2.0","0.125","0.0625","2.0","1.0","2.0","0.125","0.0625","2.0","1.0","2.0","0.125","0.0625","2.0","1.0","2.0","0.125","0.0625","2.0","1.0","2.0","0.125","0.0625","3.0","1.0","3.0","0.1875","0.0625","1.0","6.0","6.0","0.0625","0.375","3.0","1.0","3.0","0.1875","0.0625","6.0","1.0","6.0","0.375","0.0625","5.0","0.0","0.0","0.3125","0.0","0.0","14.0","0.0","0.0","0.875","1.0","5.0","5.0","0.0625","0.3125"
"19","2.0","1.0","2.0","0.125","0.0625","2.0","1.0","2.0","0.125","0.0625","2.0","1.0","2.0","0.125","0.0625","2.0","1.0","2.0","0.125","0.0625","2.0","1.0","2.0","0.125","0.0625","2.0","1.0","2.0","0.125","0.0625","2.0","1.0","2.0","0.125","0.0625","2.0","1.0","2.0","0.125","0.0625","2.0","1.0","2.0","0.125","0.0625","3.0","1.0","3.0","0.1875","0.0625","1.0","6.0","6.0","0.0625","0.375","3.0","1.0","3.0","0.1875","0.0625","6.0","1.0","6.0","0.375","0.0625","5.0","0.0","0.0","0.3125","0.0","0.0","14.0","0.0","0.0","0.875","1.0","5.0","5.0","0.0625","0.3125"
"20","2.0","1.0","2.0","0.125","0.0625","2.0","1.0","2.0","0.125","0.0625","2.0","1.0","2.0","0.125","0.0625","2.0","1.0","2.0","0.125","0.0625","2.0","1.0","2.0","0.125","0.0625","2.0","1.0","2.0","0.125","0.0625","2.0","1.0","2.0","0.125","0.0625","2.0","1.0","2.0","0.125","0.0625","2.0","1.0","2.0","0.125","0.0625","3.0","1.0","3.0","0.1875","0.0625","1.0","6.0","6.0","0.0625","0.375","3.0","1.0","3.0","0.1875","0.0625","6.0","1.0","6.0","0.375","0.0625","5.0","0.0","0.0","0.3125","0.0","0.0","14.0","0.0","0.0","0.875","1.0","5.0","5.0","0.0625","0.3125"
