"release","RD1-ADS","RD1-AIS","RD1-ACS","RD1-RCS","RD1-RIS","RD2-ADS","RD2-AIS","RD2-ACS","RD2-RCS","RD2-RIS","RD3-ADS","RD3-AIS","RD3-ACS","RD3-RCS","RD3-RIS","RD4-ADS","RD4-AIS","RD4-ACS","RD4-RCS","RD4-RIS","RD5-ADS","RD5-AIS","RD5-ACS","RD5-RCS","RD5-RIS","RD6-ADS","RD6-AIS","RD6-ACS","RD6-RCS","RD6-RIS","RD7-ADS","RD7-AIS","RD7-ACS","RD7-RCS","RD7-RIS","RD8-ADS","RD8-AIS","RD8-ACS","RD8-RCS","RD8-RIS","RD9-ADS","RD9-AIS","RD9-ACS","RD9-RCS","RD9-RIS","RD10-ADS","RD10-AIS","RD10-ACS","RD10-RCS","RD10-RIS","RD11-ADS","RD11-AIS","RD11-ACS","RD11-RCS","RD11-RIS","RD12-ADS","RD12-AIS","RD12-ACS","RD12-RCS","RD12-RIS","RD13-ADS","RD13-AIS","RD13-ACS","RD13-RCS","RD13-RIS","RD14-ADS","RD14-AIS","RD14-ACS","RD14-RCS","RD14-RIS","RD15-ADS","RD15-AIS","RD15-ACS","RD15-RCS","RD15-RIS","RD16-ADS","RD16-AIS","RD16-ACS","RD16-RCS","RD16-RIS","CPS1-ADS","CPS1-AIS","CPS1-ACS","CPS1-RCS","CPS1-RIS","CPS2-ADS","CPS2-AIS","CPS2-ACS","CPS2-RCS","CPS2-RIS","REG-ADS","REG-AIS","REG-ACS","REG-RCS","REG-RIS","MSB-ADS","MSB-AIS","MSB-ACS","MSB-RCS","MSB-RIS","CFG-ADS","CFG-AIS","CFG-ACS","CFG-RCS","CFG-RIS","TRC-ADS","TRC-AIS","TRC-ACS","TRC-RCS","TRC-RIS","MSV1-ADS","MSV1-AIS","MSV1-ACS","MSV1-RCS","MSV1-RIS"
"11","4.0","1.0","4.0","0.17391304347826086","0.043478260869565216","3.0","1.0","3.0","0.13043478260869565","0.043478260869565216","3.0","0.0","0.0","0.13043478260869565","0.0","3.0","1.0","3.0","0.13043478260869565","0.043478260869565216","3.0","1.0","3.0","0.13043478260869565","0.043478260869565216","3.0","8.0","24.0","0.13043478260869565","0.34782608695652173","3.0","0.0","0.0","0.13043478260869565","0.0","3.0","1.0","3.0","0.13043478260869565","0.043478260869565216","4.0","1.0","4.0","0.17391304347826086","0.043478260869565216","4.0","1.0","4.0","0.17391304347826086","0.043478260869565216","3.0","1.0","3.0","0.13043478260869565","0.043478260869565216","4.0","1.0","4.0","0.17391304347826086","0.043478260869565216","3.0","1.0","3.0","0.13043478260869565","0.043478260869565216","4.0","0.0","0.0","0.17391304347826086","0.0","4.0","1.0","4.0","0.17391304347826086","0.043478260869565216","3.0","0.0","0.0","0.13043478260869565","0.0","2.0","0.0","0.0","0.08695652173913043","0.0","2.0","0.0","0.0","0.08695652173913043","0.0","1.0","6.0","6.0","0.043478260869565216","0.2608695652173913","13.0","15.0","195.0","0.5652173913043478","0.6521739130434783","1.0","10.0","10.0","0.043478260869565216","0.43478260869565216","1.0","20.0","20.0","0.043478260869565216","0.8695652173913043","3.0","7.0","21.0","0.13043478260869565","0.30434782608695654"
"12","4.0","1.0","4.0","0.17391304347826086","0.043478260869565216","3.0","1.0","3.0","0.13043478260869565","0.043478260869565216","3.0","0.0","0.0","0.13043478260869565","0.0","3.0","1.0","3.0","0.13043478260869565","0.043478260869565216","3.0","1.0","3.0","0.13043478260869565","0.043478260869565216","3.0","8.0","24.0","0.13043478260869565","0.34782608695652173","3.0","0.0","0.0","0.13043478260869565","0.0","3.0","1.0","3.0","0.13043478260869565","0.043478260869565216","4.0","1.0","4.0","0.17391304347826086","0.043478260869565216","4.0","1.0","4.0","0.17391304347826086","0.043478260869565216","3.0","1.0","3.0","0.13043478260869565","0.043478260869565216","4.0","1.0","4.0","0.17391304347826086","0.043478260869565216","3.0","1.0","3.0","0.13043478260869565","0.043478260869565216","4.0","0.0","0.0","0.17391304347826086","0.0","4.0","1.0","4.0","0.17391304347826086","0.043478260869565216","3.0","0.0","0.0","0.13043478260869565","0.0","2.0","0.0","0.0","0.08695652173913043","0.0","2.0","0.0","0.0","0.08695652173913043","0.0","1.0","6.0","6.0","0.043478260869565216","0.2608695652173913","13.0","15.0","195.0","0.5652173913043478","0.6521739130434783","1.0","10.0","10.0","0.043478260869565216","0.43478260869565216","1.0","20.0","20.0","0.043478260869565216","0.8695652173913043","3.0","7.0","21.0","0.13043478260869565","0.30434782608695654"
"13","4.0","1.0","4.0","0.17391304347826086","0.043478260869565216","3.0","1.0","3.0","0.13043478260869565","0.043478260869565216","3.0","0.0","0.0","0.13043478260869565","0.0","3.0","1.0","3.0","0.13043478260869565","0.043478260869565216","3.0","1.0","3.0","0.13043478260869565","0.043478260869565216","3.0","8.0","24.0","0.13043478260869565","0.34782608695652173","3.0","0.0","0.0","0.13043478260869565","0.0","3.0","1.0","3.0","0.13043478260869565","0.043478260869565216","4.0","1.0","4.0","0.17391304347826086","0.043478260869565216","4.0","1.0","4.0","0.17391304347826086","0.043478260869565216","3.0","1.0","3.0","0.13043478260869565","0.043478260869565216","4.0","1.0","4.0","0.17391304347826086","0.043478260869565216","3.0","1.0","3.0","0.13043478260869565","0.043478260869565216","4.0","0.0","0.0","0.17391304347826086","0.0","4.0","1.0","4.0","0.17391304347826086","0.043478260869565216","3.0","0.0","0.0","0.13043478260869565","0.0","2.0","0.0","0.0","0.08695652173913043","0.0","2.0","0.0","0.0","0.08695652173913043","0.0","1.0","6.0","6.0","0.043478260869565216","0.2608695652173913","13.0","15.0","195.0","0.5652173913043478","0.6521739130434783","1.0","10.0","10.0","0.043478260869565216","0.43478260869565216","1.0","20.0","20.0","0.043478260869565216","0.8695652173913043","3.0","7.0","21.0","0.13043478260869565","0.30434782608695654"
"14","4.0","1.0","4.0","0.17391304347826086","0.043478260869565216","3.0","1.0","3.0","0.13043478260869565","0.043478260869565216","3.0","0.0","0.0","0.13043478260869565","0.0","3.0","1.0","3.0","0.13043478260869565","0.043478260869565216","3.0","1.0","3.0","0.13043478260869565","0.043478260869565216","3.0","8.0","24.0","0.13043478260869565","0.34782608695652173","3.0","0.0","0.0","0.13043478260869565","0.0","3.0","1.0","3.0","0.13043478260869565","0.043478260869565216","4.0","1.0","4.0","0.17391304347826086","0.043478260869565216","4.0","1.0","4.0","0.17391304347826086","0.043478260869565216","3.0","1.0","3.0","0.13043478260869565","0.043478260869565216","4.0","1.0","4.0","0.17391304347826086","0.043478260869565216","3.0","1.0","3.0","0.13043478260869565","0.043478260869565216","4.0","0.0","0.0","0.17391304347826086","0.0","4.0","1.0","4.0","0.17391304347826086","0.043478260869565216","3.0","0.0","0.0","0.13043478260869565","0.0","2.0","0.0","0.0","0.08695652173913043","0.0","2.0","0.0","0.0","0.08695652173913043","0.0","1.0","6.0","6.0","0.043478260869565216","0.2608695652173913","13.0","15.0","195.0","0.5652173913043478","0.6521739130434783","1.0","10.0","10.0","0.043478260869565216","0.43478260869565216","1.0","20.0","20.0","0.043478260869565216","0.8695652173913043","3.0","7.0","21.0","0.13043478260869565","0.30434782608695654"
"15","4.0","1.0","4.0","0.17391304347826086","0.043478260869565216","3.0","1.0","3.0","0.13043478260869565","0.043478260869565216","3.0","0.0","0.0","0.13043478260869565","0.0","3.0","1.0","3.0","0.13043478260869565","0.043478260869565216","3.0","1.0","3.0","0.13043478260869565","0.043478260869565216","3.0","8.0","24.0","0.13043478260869565","0.34782608695652173","3.0","0.0","0.0","0.13043478260869565","0.0","3.0","1.0","3.0","0.13043478260869565","0.043478260869565216","4.0","1.0","4.0","0.17391304347826086","0.043478260869565216","4.0","1.0","4.0","0.17391304347826086","0.043478260869565216","3.0","1.0","3.0","0.13043478260869565","0.043478260869565216","4.0","1.0","4.0","0.17391304347826086","0.043478260869565216","3.0","1.0","3.0","0.13043478260869565","0.043478260869565216","4.0","0.0","0.0","0.17391304347826086","0.0","4.0","1.0","4.0","0.17391304347826086","0.043478260869565216","3.0","0.0","0.0","0.13043478260869565","0.0","2.0","0.0","0.0","0.08695652173913043","0.0","2.0","0.0","0.0","0.08695652173913043","0.0","1.0","6.0","6.0","0.043478260869565216","0.2608695652173913","13.0","15.0","195.0","0.5652173913043478","0.6521739130434783","1.0","10.0","10.0","0.043478260869565216","0.43478260869565216","1.0","20.0","20.0","0.043478260869565216","0.8695652173913043","3.0","7.0","21.0","0.13043478260869565","0.30434782608695654"
"16","4.0","1.0","4.0","0.17391304347826086","0.043478260869565216","3.0","1.0","3.0","0.13043478260869565","0.043478260869565216","3.0","0.0","0.0","0.13043478260869565","0.0","3.0","1.0","3.0","0.13043478260869565","0.043478260869565216","3.0","1.0","3.0","0.13043478260869565","0.043478260869565216","3.0","8.0","24.0","0.13043478260869565","0.34782608695652173","3.0","0.0","0.0","0.13043478260869565","0.0","3.0","1.0","3.0","0.13043478260869565","0.043478260869565216","4.0","1.0","4.0","0.17391304347826086","0.043478260869565216","4.0","1.0","4.0","0.17391304347826086","0.043478260869565216","3.0","1.0","3.0","0.13043478260869565","0.043478260869565216","4.0","1.0","4.0","0.17391304347826086","0.043478260869565216","3.0","1.0","3.0","0.13043478260869565","0.043478260869565216","4.0","0.0","0.0","0.17391304347826086","0.0","4.0","1.0","4.0","0.17391304347826086","0.043478260869565216","3.0","0.0","0.0","0.13043478260869565","0.0","2.0","0.0","0.0","0.08695652173913043","0.0","2.0","0.0","0.0","0.08695652173913043","0.0","1.0","6.0","6.0","0.043478260869565216","0.2608695652173913","13.0","15.0","195.0","0.5652173913043478","0.6521739130434783","1.0","10.0","10.0","0.043478260869565216","0.43478260869565216","1.0","20.0","20.0","0.043478260869565216","0.8695652173913043","3.0","7.0","21.0","0.13043478260869565","0.30434782608695654"
"17","4.0","1.0","4.0","0.17391304347826086","0.043478260869565216","3.0","1.0","3.0","0.13043478260869565","0.043478260869565216","3.0","0.0","0.0","0.13043478260869565","0.0","3.0","1.0","3.0","0.13043478260869565","0.043478260869565216","3.0","1.0","3.0","0.13043478260869565","0.043478260869565216","3.0","8.0","24.0","0.13043478260869565","0.34782608695652173","3.0","0.0","0.0","0.13043478260869565","0.0","3.0","1.0","3.0","0.13043478260869565","0.043478260869565216","4.0","1.0","4.0","0.17391304347826086","0.043478260869565216","4.0","1.0","4.0","0.17391304347826086","0.043478260869565216","3.0","1.0","3.0","0.13043478260869565","0.043478260869565216","4.0","1.0","4.0","0.17391304347826086","0.043478260869565216","3.0","1.0","3.0","0.13043478260869565","0.043478260869565216","4.0","0.0","0.0","0.17391304347826086","0.0","4.0","1.0","4.0","0.17391304347826086","0.043478260869565216","3.0","0.0","0.0","0.13043478260869565","0.0","2.0","0.0","0.0","0.08695652173913043","0.0","2.0","0.0","0.0","0.08695652173913043","0.0","1.0","6.0","6.0","0.043478260869565216","0.2608695652173913","13.0","15.0","195.0","0.5652173913043478","0.6521739130434783","1.0","10.0","10.0","0.043478260869565216","0.43478260869565216","1.0","20.0","20.0","0.043478260869565216","0.8695652173913043","3.0","7.0","21.0","0.13043478260869565","0.30434782608695654"
"18","4.0","1.0","4.0","0.17391304347826086","0.043478260869565216","3.0","1.0","3.0","0.13043478260869565","0.043478260869565216","3.0","0.0","0.0","0.13043478260869565","0.0","3.0","1.0","3.0","0.13043478260869565","0.043478260869565216","3.0","1.0","3.0","0.13043478260869565","0.043478260869565216","3.0","8.0","24.0","0.13043478260869565","0.34782608695652173","3.0","0.0","0.0","0.13043478260869565","0.0","3.0","1.0","3.0","0.13043478260869565","0.043478260869565216","4.0","1.0","4.0","0.17391304347826086","0.043478260869565216","4.0","1.0","4.0","0.17391304347826086","0.043478260869565216","3.0","1.0","3.0","0.13043478260869565","0.043478260869565216","4.0","1.0","4.0","0.17391304347826086","0.043478260869565216","3.0","1.0","3.0","0.13043478260869565","0.043478260869565216","4.0","0.0","0.0","0.17391304347826086","0.0","4.0","1.0","4.0","0.17391304347826086","0.043478260869565216","3.0","0.0","0.0","0.13043478260869565","0.0","2.0","0.0","0.0","0.08695652173913043","0.0","2.0","0.0","0.0","0.08695652173913043","0.0","1.0","6.0","6.0","0.043478260869565216","0.2608695652173913","13.0","15.0","195.0","0.5652173913043478","0.6521739130434783","1.0","10.0","10.0","0.043478260869565216","0.43478260869565216","1.0","20.0","20.0","0.043478260869565216","0.8695652173913043","3.0","7.0","21.0","0.13043478260869565","0.30434782608695654"
"19","4.0","1.0","4.0","0.17391304347826086","0.043478260869565216","3.0","1.0","3.0","0.13043478260869565","0.043478260869565216","3.0","0.0","0.0","0.13043478260869565","0.0","3.0","1.0","3.0","0.13043478260869565","0.043478260869565216","3.0","1.0","3.0","0.13043478260869565","0.043478260869565216","3.0","8.0","24.0","0.13043478260869565","0.34782608695652173","3.0","0.0","0.0","0.13043478260869565","0.0","3.0","1.0","3.0","0.13043478260869565","0.043478260869565216","4.0","1.0","4.0","0.17391304347826086","0.043478260869565216","4.0","1.0","4.0","0.17391304347826086","0.043478260869565216","3.0","1.0","3.0","0.13043478260869565","0.043478260869565216","4.0","1.0","4.0","0.17391304347826086","0.043478260869565216","3.0","1.0","3.0","0.13043478260869565","0.043478260869565216","4.0","0.0","0.0","0.17391304347826086","0.0","4.0","1.0","4.0","0.17391304347826086","0.043478260869565216","3.0","0.0","0.0","0.13043478260869565","0.0","2.0","0.0","0.0","0.08695652173913043","0.0","2.0","0.0","0.0","0.08695652173913043","0.0","1.0","6.0","6.0","0.043478260869565216","0.2608695652173913","13.0","15.0","195.0","0.5652173913043478","0.6521739130434783","1.0","10.0","10.0","0.043478260869565216","0.43478260869565216","1.0","20.0","20.0","0.043478260869565216","0.8695652173913043","3.0","7.0","21.0","0.13043478260869565","0.30434782608695654"
"20","4.0","1.0","4.0","0.17391304347826086","0.043478260869565216","3.0","1.0","3.0","0.13043478260869565","0.043478260869565216","3.0","0.0","0.0","0.13043478260869565","0.0","3.0","1.0","3.0","0.13043478260869565","0.043478260869565216","3.0","1.0","3.0","0.13043478260869565","0.043478260869565216","3.0","8.0","24.0","0.13043478260869565","0.34782608695652173","3.0","0.0","0.0","0.13043478260869565","0.0","3.0","1.0","3.0","0.13043478260869565","0.043478260869565216","4.0","1.0","4.0","0.17391304347826086","0.043478260869565216","4.0","1.0","4.0","0.17391304347826086","0.043478260869565216","3.0","1.0","3.0","0.13043478260869565","0.043478260869565216","4.0","1.0","4.0","0.17391304347826086","0.043478260869565216","3.0","1.0","3.0","0.13043478260869565","0.043478260869565216","4.0","0.0","0.0","0.17391304347826086","0.0","4.0","1.0","4.0","0.17391304347826086","0.043478260869565216","3.0","0.0","0.0","0.13043478260869565","0.0","2.0","0.0","0.0","0.08695652173913043","0.0","2.0","0.0","0.0","0.08695652173913043","0.0","1.0","6.0","6.0","0.043478260869565216","0.2608695652173913","13.0","15.0","195.0","0.5652173913043478","0.6521739130434783","1.0","10.0","10.0","0.043478260869565216","0.43478260869565216","1.0","20.0","20.0","0.043478260869565216","0.8695652173913043","3.0","7.0","21.0","0.13043478260869565","0.30434782608695654"
"21","4.0","1.0","4.0","0.17391304347826086","0.043478260869565216","3.0","1.0","3.0","0.13043478260869565","0.043478260869565216","3.0","0.0","0.0","0.13043478260869565","0.0","3.0","1.0","3.0","0.13043478260869565","0.043478260869565216","3.0","1.0","3.0","0.13043478260869565","0.043478260869565216","3.0","8.0","24.0","0.13043478260869565","0.34782608695652173","3.0","0.0","0.0","0.13043478260869565","0.0","3.0","1.0","3.0","0.13043478260869565","0.043478260869565216","4.0","1.0","4.0","0.17391304347826086","0.043478260869565216","4.0","1.0","4.0","0.17391304347826086","0.043478260869565216","3.0","1.0","3.0","0.13043478260869565","0.043478260869565216","4.0","1.0","4.0","0.17391304347826086","0.043478260869565216","3.0","1.0","3.0","0.13043478260869565","0.043478260869565216","4.0","0.0","0.0","0.17391304347826086","0.0","4.0","1.0","4.0","0.17391304347826086","0.043478260869565216","3.0","0.0","0.0","0.13043478260869565","0.0","2.0","0.0","0.0","0.08695652173913043","0.0","2.0","0.0","0.0","0.08695652173913043","0.0","1.0","6.0","6.0","0.043478260869565216","0.2608695652173913","13.0","15.0","195.0","0.5652173913043478","0.6521739130434783","1.0","10.0","10.0","0.043478260869565216","0.43478260869565216","1.0","20.0","20.0","0.043478260869565216","0.8695652173913043","3.0","7.0","21.0","0.13043478260869565","0.30434782608695654"
