"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","RD1-ADS","RD1-GINI -ADS","RD1-AIS","RD1-GINI -AIS","RD2-ADS","RD2-GINI -ADS","RD2-AIS","RD2-GINI -AIS","RD3-ADS","RD3-GINI -ADS","RD3-AIS","RD3-GINI -AIS","RD4-ADS","RD4-GINI -ADS","RD4-AIS","RD4-GINI -AIS","RD5-ADS","RD5-GINI -ADS","RD5-AIS","RD5-GINI -AIS","RD6-ADS","RD6-GINI -ADS","RD6-AIS","RD6-GINI -AIS","RD7-ADS","RD7-GINI -ADS","RD7-AIS","RD7-GINI -AIS","RD8-ADS","RD8-GINI -ADS","RD8-AIS","RD8-GINI -AIS","RD9-ADS","RD9-GINI -ADS","RD9-AIS","RD9-GINI -AIS","RD10-ADS","RD10-GINI -ADS","RD10-AIS","RD10-GINI -AIS","RD11-ADS","RD11-GINI -ADS","RD11-AIS","RD11-GINI -AIS","RD12-ADS","RD12-GINI -ADS","RD12-AIS","RD12-GINI -AIS","RD13-ADS","RD13-GINI -ADS","RD13-AIS","RD13-GINI -AIS","RD14-ADS","RD14-GINI -ADS","RD14-AIS","RD14-GINI -AIS","RD15-ADS","RD15-GINI -ADS","RD15-AIS","RD15-GINI -AIS","RD16-ADS","RD16-GINI -ADS","RD16-AIS","RD16-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS","TRC-ADS","TRC-GINI -ADS","TRC-AIS","TRC-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"0","0.1916667","0.5944444","0.18947368421052632","3.6","4.0","0","2.0","0","5.0","0","1.0","0","5.0","0","2.0","0","4.0","0","1.0","0","4.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","1.0","0","3.0","0","2.0","0","4.0","0","8.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","3.0","0","4.0","0","1.0","0","6.0","0","0.0","0","1.0","0","17.0","0","1.0","0","8.0","0","1.0","0","18.0","0","0.0","","0.0"
"1","0.1916667","0.5944444","0.18947368421052632","3.6","4.0","0","2.0","0","5.0","0","1.0","0","5.0","0","2.0","0","4.0","0","1.0","0","4.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","1.0","0","3.0","0","2.0","0","4.0","0","8.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","3.0","0","4.0","0","1.0","0","6.0","0","0.0","0","1.0","0","17.0","0","1.0","0","8.0","0","1.0","0","18.0","0","0.0","","0.0"
"2","0.1916667","0.5944444","0.18947368421052632","3.6","4.0","0","2.0","0","5.0","0","1.0","0","5.0","0","2.0","0","4.0","0","1.0","0","4.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","1.0","0","3.0","0","2.0","0","4.0","0","8.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","3.0","0","4.0","0","1.0","0","6.0","0","0.0","0","1.0","0","17.0","0","1.0","0","8.0","0","1.0","0","18.0","0","0.0","","0.0"
"3","0.2020592","0.5868726","0.1761904761904762","3.5238095238095237","4.0","0","2.0","0","5.0","0","1.0","0","5.0","0","2.0","0","4.0","0","1.0","0","4.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","1.0","0","3.0","0","2.0","0","4.0","0","4.0","0.1071429","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","3.0","0","4.0","0","1.0","0","6.0","0","0.0","0","1.0","0","18.0","0.01086957","1.0","0","9.0","0.02272727","1.0","0","18.0","0","2.0","0","4.0","0"
"4","0.2020592","0.5868726","0.1761904761904762","3.5238095238095237","4.0","0","2.0","0","5.0","0","1.0","0","5.0","0","2.0","0","4.0","0","1.0","0","4.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","1.0","0","3.0","0","2.0","0","4.0","0","4.0","0.15","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","3.0","0","4.0","0","1.0","0","6.0","0","0.0","0","1.0","0","18.0","0.01379310","1.0","0","9.0","0.02857143","1.0","0","18.0","0","2.0","0","4.0","0"
"5","0.2020592","0.5868726","0.1761904761904762","3.5238095238095237","4.0","0","2.0","0","5.0","0","1.0","0","5.0","0","2.0","0","4.0","0","1.0","0","4.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","1.0","0","3.0","0","2.0","0","4.0","0","4.0","0.1666667","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","3.0","0","4.0","0","1.0","0","6.0","0","0.0","0","1.0","0","18.0","0.01428571","1.0","0","9.0","0.02941176","1.0","0","18.0","0","2.0","0","4.0","0"
"6","0.2020592","0.5868726","0.1761904761904762","3.5238095238095237","4.0","0","2.0","0","5.0","0","1.0","0","5.0","0","2.0","0","4.0","0","1.0","0","4.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","1.0","0","3.0","0","2.0","0","4.0","0","4.0","0.1714286","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","3.0","0","4.0","0","1.0","0","6.0","0","0.0","0","1.0","0","18.0","0.01393728","1.0","0","9.0","0.02857143","1.0","0","18.0","0","2.0","0","4.0","0"
"7","0.2020592","0.5868726","0.1761904761904762","3.5238095238095237","4.0","0","2.0","0","5.0","0","1.0","0","5.0","0","2.0","0","4.0","0","1.0","0","4.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","1.0","0","3.0","0","2.0","0","4.0","0","4.0","0.1704545","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","3.0","0","4.0","0","1.0","0","6.0","0","0.0","0","1.0","0","18.0","0.01329787","1.0","0","9.0","0.02717391","1.0","0","18.0","0","2.0","0","4.0","0"
"8","0.2020592","0.5868726","0.1761904761904762","3.5238095238095237","4.0","0","2.0","0","5.0","0","1.0","0","5.0","0","2.0","0","4.0","0","1.0","0","4.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","1.0","0","3.0","0","2.0","0","4.0","0","4.0","0.1666667","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","3.0","0","4.0","0","1.0","0","6.0","0","0.0","0","1.0","0","18.0","0.01257862","1.0","0","9.0","0.02564103","1.0","0","18.0","0","2.0","0","4.0","0"
"9","0.2020592","0.5868726","0.1761904761904762","3.5238095238095237","4.0","0","2.0","0","5.0","0","1.0","0","5.0","0","2.0","0","4.0","0","1.0","0","4.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","1.0","0","3.0","0","2.0","0","4.0","0","4.0","0.1615385","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","3.0","0","4.0","0","1.0","0","6.0","0","0.0","0","1.0","0","18.0","0.01186441","1.0","0","9.0","0.02413793","1.0","0","18.0","0","2.0","0","4.0","0"
