"release","RD1-ADS","RD1-AIS","RD1-ACS","RD1-RCS","RD1-RIS","RD2-ADS","RD2-AIS","RD2-ACS","RD2-RCS","RD2-RIS","RD3-ADS","RD3-AIS","RD3-ACS","RD3-RCS","RD3-RIS","RD4-ADS","RD4-AIS","RD4-ACS","RD4-RCS","RD4-RIS","RD5-ADS","RD5-AIS","RD5-ACS","RD5-RCS","RD5-RIS","RD6-ADS","RD6-AIS","RD6-ACS","RD6-RCS","RD6-RIS","RD7-ADS","RD7-AIS","RD7-ACS","RD7-RCS","RD7-RIS","RD8-ADS","RD8-AIS","RD8-ACS","RD8-RCS","RD8-RIS","RD9-ADS","RD9-AIS","RD9-ACS","RD9-RCS","RD9-RIS","RD10-ADS","RD10-AIS","RD10-ACS","RD10-RCS","RD10-RIS","RD11-ADS","RD11-AIS","RD11-ACS","RD11-RCS","RD11-RIS","RD12-ADS","RD12-AIS","RD12-ACS","RD12-RCS","RD12-RIS","RD13-ADS","RD13-AIS","RD13-ACS","RD13-RCS","RD13-RIS","RD14-ADS","RD14-AIS","RD14-ACS","RD14-RCS","RD14-RIS","RD15-ADS","RD15-AIS","RD15-ACS","RD15-RCS","RD15-RIS","RD16-ADS","RD16-AIS","RD16-ACS","RD16-RCS","RD16-RIS","RD17-ADS","RD17-AIS","RD17-ACS","RD17-RCS","RD17-RIS","RD18-ADS","RD18-AIS","RD18-ACS","RD18-RCS","RD18-RIS","RD19-ADS","RD19-AIS","RD19-ACS","RD19-RCS","RD19-RIS","RD20-ADS","RD20-AIS","RD20-ACS","RD20-RCS","RD20-RIS","RD21-ADS","RD21-AIS","RD21-ACS","RD21-RCS","RD21-RIS","CPS1-ADS","CPS1-AIS","CPS1-ACS","CPS1-RCS","CPS1-RIS","GTW-ADS","GTW-AIS","GTW-ACS","GTW-RCS","GTW-RIS","REG-ADS","REG-AIS","REG-ACS","REG-RCS","REG-RIS","MSB-ADS","MSB-AIS","MSB-ACS","MSB-RCS","MSB-RIS","CFG-ADS","CFG-AIS","CFG-ACS","CFG-RCS","CFG-RIS","MSV1-ADS","MSV1-AIS","MSV1-ACS","MSV1-RCS","MSV1-RIS","MSV2-ADS","MSV2-AIS","MSV2-ACS","MSV2-RCS","MSV2-RIS","MSV3-ADS","MSV3-AIS","MSV3-ACS","MSV3-RCS","MSV3-RIS","MSV4-ADS","MSV4-AIS","MSV4-ACS","MSV4-RCS","MSV4-RIS","MSV5-ADS","MSV5-AIS","MSV5-ACS","MSV5-RCS","MSV5-RIS","MSV6-ADS","MSV6-AIS","MSV6-ACS","MSV6-RCS","MSV6-RIS","MSV7-ADS","MSV7-AIS","MSV7-ACS","MSV7-RCS","MSV7-RIS","MSV8-ADS","MSV8-AIS","MSV8-ACS","MSV8-RCS","MSV8-RIS","MSV9-ADS","MSV9-AIS","MSV9-ACS","MSV9-RCS","MSV9-RIS","MSV10-ADS","MSV10-AIS","MSV10-ACS","MSV10-RCS","MSV10-RIS","MSV11-ADS","MSV11-AIS","MSV11-ACS","MSV11-RCS","MSV11-RIS","MSV12-ADS","MSV12-AIS","MSV12-ACS","MSV12-RCS","MSV12-RIS","MSV13-ADS","MSV13-AIS","MSV13-ACS","MSV13-RCS","MSV13-RIS","MSV14-ADS","MSV14-AIS","MSV14-ACS","MSV14-RCS","MSV14-RIS","MSV15-ADS","MSV15-AIS","MSV15-ACS","MSV15-RCS","MSV15-RIS","MSV16-ADS","MSV16-AIS","MSV16-ACS","MSV16-RCS","MSV16-RIS","MSV17-ADS","MSV17-AIS","MSV17-ACS","MSV17-RCS","MSV17-RIS","MSV18-ADS","MSV18-AIS","MSV18-ACS","MSV18-RCS","MSV18-RIS"
"1","1.0","1.0","1.0","0.038461538461538464","0.038461538461538464","3.0","1.0","3.0","0.11538461538461539","0.038461538461538464","1.0","2.0","2.0","0.038461538461538464","0.07692307692307693","4.0","3.0","12.0","0.15384615384615385","0.11538461538461539","1.0","4.0","4.0","0.038461538461538464","0.15384615384615385","2.0","2.0","4.0","0.07692307692307693","0.07692307692307693","2.0","4.0","8.0","0.07692307692307693","0.15384615384615385","1.0","2.0","2.0","0.038461538461538464","0.07692307692307693","1.0","3.0","3.0","0.038461538461538464","0.11538461538461539","1.0","2.0","2.0","0.038461538461538464","0.07692307692307693","3.0","2.0","6.0","0.11538461538461539","0.07692307692307693","17.0","1.0","17.0","0.6538461538461539","0.038461538461538464","2.0","3.0","6.0","0.07692307692307693","0.11538461538461539","1.0","2.0","2.0","0.038461538461538464","0.07692307692307693","2.0","1.0","2.0","0.07692307692307693","0.038461538461538464","1.0","2.0","2.0","0.038461538461538464","0.07692307692307693","2.0","2.0","4.0","0.07692307692307693","0.07692307692307693","3.0","3.0","9.0","0.11538461538461539","0.11538461538461539","2.0","2.0","4.0","0.07692307692307693","0.07692307692307693","3.0","2.0","6.0","0.11538461538461539","0.07692307692307693","2.0","1.0","2.0","0.07692307692307693","0.038461538461538464","1.0","1.0","1.0","0.038461538461538464","0.038461538461538464","4.0","0.0","0.0","0.15384615384615385","0.0","1.0","11.0","11.0","0.038461538461538464","0.4230769230769231","18.0","12.0","216.0","0.6923076923076923","0.46153846153846156","0.0","10.0","0.0","0.0","0.38461538461538464","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2","1.0","1.0","1.0","0.038461538461538464","0.038461538461538464","3.0","1.0","3.0","0.11538461538461539","0.038461538461538464","1.0","2.0","2.0","0.038461538461538464","0.07692307692307693","4.0","3.0","12.0","0.15384615384615385","0.11538461538461539","1.0","4.0","4.0","0.038461538461538464","0.15384615384615385","2.0","2.0","4.0","0.07692307692307693","0.07692307692307693","2.0","4.0","8.0","0.07692307692307693","0.15384615384615385","1.0","2.0","2.0","0.038461538461538464","0.07692307692307693","1.0","3.0","3.0","0.038461538461538464","0.11538461538461539","1.0","2.0","2.0","0.038461538461538464","0.07692307692307693","3.0","2.0","6.0","0.11538461538461539","0.07692307692307693","17.0","1.0","17.0","0.6538461538461539","0.038461538461538464","2.0","3.0","6.0","0.07692307692307693","0.11538461538461539","1.0","2.0","2.0","0.038461538461538464","0.07692307692307693","2.0","1.0","2.0","0.07692307692307693","0.038461538461538464","1.0","2.0","2.0","0.038461538461538464","0.07692307692307693","2.0","2.0","4.0","0.07692307692307693","0.07692307692307693","3.0","3.0","9.0","0.11538461538461539","0.11538461538461539","2.0","2.0","4.0","0.07692307692307693","0.07692307692307693","3.0","2.0","6.0","0.11538461538461539","0.07692307692307693","2.0","1.0","2.0","0.07692307692307693","0.038461538461538464","1.0","1.0","1.0","0.038461538461538464","0.038461538461538464","4.0","0.0","0.0","0.15384615384615385","0.0","1.0","11.0","11.0","0.038461538461538464","0.4230769230769231","18.0","12.0","216.0","0.6923076923076923","0.46153846153846156","0.0","10.0","0.0","0.0","0.38461538461538464","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"3","1.0","1.0","1.0","0.038461538461538464","0.038461538461538464","3.0","1.0","3.0","0.11538461538461539","0.038461538461538464","1.0","2.0","2.0","0.038461538461538464","0.07692307692307693","4.0","3.0","12.0","0.15384615384615385","0.11538461538461539","1.0","4.0","4.0","0.038461538461538464","0.15384615384615385","2.0","2.0","4.0","0.07692307692307693","0.07692307692307693","2.0","4.0","8.0","0.07692307692307693","0.15384615384615385","1.0","2.0","2.0","0.038461538461538464","0.07692307692307693","1.0","3.0","3.0","0.038461538461538464","0.11538461538461539","1.0","2.0","2.0","0.038461538461538464","0.07692307692307693","3.0","2.0","6.0","0.11538461538461539","0.07692307692307693","17.0","1.0","17.0","0.6538461538461539","0.038461538461538464","2.0","3.0","6.0","0.07692307692307693","0.11538461538461539","1.0","2.0","2.0","0.038461538461538464","0.07692307692307693","2.0","1.0","2.0","0.07692307692307693","0.038461538461538464","1.0","2.0","2.0","0.038461538461538464","0.07692307692307693","2.0","2.0","4.0","0.07692307692307693","0.07692307692307693","3.0","3.0","9.0","0.11538461538461539","0.11538461538461539","2.0","2.0","4.0","0.07692307692307693","0.07692307692307693","3.0","2.0","6.0","0.11538461538461539","0.07692307692307693","2.0","1.0","2.0","0.07692307692307693","0.038461538461538464","1.0","1.0","1.0","0.038461538461538464","0.038461538461538464","4.0","0.0","0.0","0.15384615384615385","0.0","1.0","11.0","11.0","0.038461538461538464","0.4230769230769231","18.0","12.0","216.0","0.6923076923076923","0.46153846153846156","0.0","10.0","0.0","0.0","0.38461538461538464","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"4","1.0","1.0","1.0","0.037037037037037035","0.037037037037037035","3.0","1.0","3.0","0.1111111111111111","0.037037037037037035","1.0","2.0","2.0","0.037037037037037035","0.07407407407407407","4.0","3.0","12.0","0.14814814814814814","0.1111111111111111","1.0","4.0","4.0","0.037037037037037035","0.14814814814814814","2.0","2.0","4.0","0.07407407407407407","0.07407407407407407","2.0","4.0","8.0","0.07407407407407407","0.14814814814814814","1.0","2.0","2.0","0.037037037037037035","0.07407407407407407","1.0","3.0","3.0","0.037037037037037035","0.1111111111111111","1.0","2.0","2.0","0.037037037037037035","0.07407407407407407","3.0","2.0","6.0","0.1111111111111111","0.07407407407407407","17.0","1.0","17.0","0.6296296296296297","0.037037037037037035","2.0","3.0","6.0","0.07407407407407407","0.1111111111111111","1.0","2.0","2.0","0.037037037037037035","0.07407407407407407","2.0","2.0","4.0","0.07407407407407407","0.07407407407407407","1.0","2.0","2.0","0.037037037037037035","0.07407407407407407","2.0","2.0","4.0","0.07407407407407407","0.07407407407407407","3.0","3.0","9.0","0.1111111111111111","0.1111111111111111","2.0","2.0","4.0","0.07407407407407407","0.07407407407407407","3.0","2.0","6.0","0.1111111111111111","0.07407407407407407","2.0","1.0","2.0","0.07407407407407407","0.037037037037037035","1.0","1.0","1.0","0.037037037037037035","0.037037037037037035","5.0","0.0","0.0","0.18518518518518517","0.0","1.0","12.0","12.0","0.037037037037037035","0.4444444444444444","18.0","12.0","216.0","0.6666666666666666","0.4444444444444444","0.0","11.0","0.0","0.0","0.4074074074074074","3.0","1.0","3.0","0.1111111111111111","0.037037037037037035","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"5","1.0","1.0","1.0","0.03571428571428571","0.03571428571428571","3.0","1.0","3.0","0.10714285714285714","0.03571428571428571","2.0","2.0","4.0","0.07142857142857142","0.07142857142857142","4.0","3.0","12.0","0.14285714285714285","0.10714285714285714","1.0","4.0","4.0","0.03571428571428571","0.14285714285714285","2.0","2.0","4.0","0.07142857142857142","0.07142857142857142","2.0","4.0","8.0","0.07142857142857142","0.14285714285714285","1.0","2.0","2.0","0.03571428571428571","0.07142857142857142","1.0","3.0","3.0","0.03571428571428571","0.10714285714285714","1.0","2.0","2.0","0.03571428571428571","0.07142857142857142","3.0","2.0","6.0","0.10714285714285714","0.07142857142857142","17.0","1.0","17.0","0.6071428571428571","0.03571428571428571","2.0","3.0","6.0","0.07142857142857142","0.10714285714285714","1.0","2.0","2.0","0.03571428571428571","0.07142857142857142","2.0","2.0","4.0","0.07142857142857142","0.07142857142857142","1.0","2.0","2.0","0.03571428571428571","0.07142857142857142","2.0","2.0","4.0","0.07142857142857142","0.07142857142857142","3.0","3.0","9.0","0.10714285714285714","0.10714285714285714","2.0","2.0","4.0","0.07142857142857142","0.07142857142857142","3.0","2.0","6.0","0.10714285714285714","0.07142857142857142","2.0","1.0","2.0","0.07142857142857142","0.03571428571428571","1.0","1.0","1.0","0.03571428571428571","0.03571428571428571","5.0","0.0","0.0","0.17857142857142858","0.0","1.0","13.0","13.0","0.03571428571428571","0.4642857142857143","18.0","12.0","216.0","0.6428571428571429","0.42857142857142855","0.0","12.0","0.0","0.0","0.42857142857142855","3.0","1.0","3.0","0.10714285714285714","0.03571428571428571","2.0","1.0","2.0","0.07142857142857142","0.03571428571428571","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"6","1.0","1.0","1.0","0.034482758620689655","0.034482758620689655","3.0","1.0","3.0","0.10344827586206896","0.034482758620689655","2.0","2.0","4.0","0.06896551724137931","0.06896551724137931","4.0","3.0","12.0","0.13793103448275862","0.10344827586206896","1.0","4.0","4.0","0.034482758620689655","0.13793103448275862","2.0","2.0","4.0","0.06896551724137931","0.06896551724137931","2.0","4.0","8.0","0.06896551724137931","0.13793103448275862","1.0","2.0","2.0","0.034482758620689655","0.06896551724137931","1.0","3.0","3.0","0.034482758620689655","0.10344827586206896","1.0","2.0","2.0","0.034482758620689655","0.06896551724137931","3.0","2.0","6.0","0.10344827586206896","0.06896551724137931","17.0","1.0","17.0","0.5862068965517241","0.034482758620689655","2.0","3.0","6.0","0.06896551724137931","0.10344827586206896","1.0","2.0","2.0","0.034482758620689655","0.06896551724137931","2.0","3.0","6.0","0.06896551724137931","0.10344827586206896","1.0","2.0","2.0","0.034482758620689655","0.06896551724137931","2.0","2.0","4.0","0.06896551724137931","0.06896551724137931","3.0","3.0","9.0","0.10344827586206896","0.10344827586206896","2.0","2.0","4.0","0.06896551724137931","0.06896551724137931","3.0","2.0","6.0","0.10344827586206896","0.06896551724137931","2.0","1.0","2.0","0.06896551724137931","0.034482758620689655","1.0","1.0","1.0","0.034482758620689655","0.034482758620689655","6.0","0.0","0.0","0.20689655172413793","0.0","1.0","14.0","14.0","0.034482758620689655","0.4827586206896552","18.0","12.0","216.0","0.6206896551724138","0.41379310344827586","0.0","12.0","0.0","0.0","0.41379310344827586","3.0","1.0","3.0","0.10344827586206896","0.034482758620689655","2.0","1.0","2.0","0.06896551724137931","0.034482758620689655","2.0","1.0","2.0","0.06896551724137931","0.034482758620689655","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"7","1.0","1.0","1.0","0.03333333333333333","0.03333333333333333","3.0","1.0","3.0","0.1","0.03333333333333333","2.0","2.0","4.0","0.06666666666666667","0.06666666666666667","4.0","3.0","12.0","0.13333333333333333","0.1","1.0","4.0","4.0","0.03333333333333333","0.13333333333333333","2.0","2.0","4.0","0.06666666666666667","0.06666666666666667","2.0","4.0","8.0","0.06666666666666667","0.13333333333333333","1.0","2.0","2.0","0.03333333333333333","0.06666666666666667","1.0","3.0","3.0","0.03333333333333333","0.1","1.0","3.0","3.0","0.03333333333333333","0.1","3.0","2.0","6.0","0.1","0.06666666666666667","17.0","1.0","17.0","0.5666666666666667","0.03333333333333333","2.0","3.0","6.0","0.06666666666666667","0.1","1.0","2.0","2.0","0.03333333333333333","0.06666666666666667","2.0","3.0","6.0","0.06666666666666667","0.1","1.0","2.0","2.0","0.03333333333333333","0.06666666666666667","2.0","2.0","4.0","0.06666666666666667","0.06666666666666667","3.0","3.0","9.0","0.1","0.1","2.0","2.0","4.0","0.06666666666666667","0.06666666666666667","3.0","2.0","6.0","0.1","0.06666666666666667","2.0","1.0","2.0","0.06666666666666667","0.03333333333333333","1.0","1.0","1.0","0.03333333333333333","0.03333333333333333","7.0","0.0","0.0","0.23333333333333334","0.0","1.0","15.0","15.0","0.03333333333333333","0.5","18.0","12.0","216.0","0.6","0.4","0.0","13.0","0.0","0.0","0.43333333333333335","3.0","1.0","3.0","0.1","0.03333333333333333","2.0","1.0","2.0","0.06666666666666667","0.03333333333333333","2.0","1.0","2.0","0.06666666666666667","0.03333333333333333","3.0","1.0","3.0","0.1","0.03333333333333333","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"8","1.0","1.0","1.0","0.03333333333333333","0.03333333333333333","3.0","1.0","3.0","0.1","0.03333333333333333","2.0","2.0","4.0","0.06666666666666667","0.06666666666666667","4.0","3.0","12.0","0.13333333333333333","0.1","1.0","4.0","4.0","0.03333333333333333","0.13333333333333333","2.0","2.0","4.0","0.06666666666666667","0.06666666666666667","2.0","4.0","8.0","0.06666666666666667","0.13333333333333333","1.0","2.0","2.0","0.03333333333333333","0.06666666666666667","1.0","3.0","3.0","0.03333333333333333","0.1","1.0","3.0","3.0","0.03333333333333333","0.1","3.0","2.0","6.0","0.1","0.06666666666666667","17.0","1.0","17.0","0.5666666666666667","0.03333333333333333","2.0","3.0","6.0","0.06666666666666667","0.1","1.0","2.0","2.0","0.03333333333333333","0.06666666666666667","2.0","3.0","6.0","0.06666666666666667","0.1","1.0","2.0","2.0","0.03333333333333333","0.06666666666666667","2.0","2.0","4.0","0.06666666666666667","0.06666666666666667","3.0","3.0","9.0","0.1","0.1","2.0","2.0","4.0","0.06666666666666667","0.06666666666666667","3.0","2.0","6.0","0.1","0.06666666666666667","2.0","1.0","2.0","0.06666666666666667","0.03333333333333333","1.0","1.0","1.0","0.03333333333333333","0.03333333333333333","7.0","0.0","0.0","0.23333333333333334","0.0","1.0","15.0","15.0","0.03333333333333333","0.5","18.0","12.0","216.0","0.6","0.4","0.0","13.0","0.0","0.0","0.43333333333333335","3.0","1.0","3.0","0.1","0.03333333333333333","2.0","1.0","2.0","0.06666666666666667","0.03333333333333333","2.0","1.0","2.0","0.06666666666666667","0.03333333333333333","3.0","1.0","3.0","0.1","0.03333333333333333","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"9","1.0","1.0","1.0","0.03125","0.03125","3.0","1.0","3.0","0.09375","0.03125","2.0","2.0","4.0","0.0625","0.0625","4.0","3.0","12.0","0.125","0.09375","1.0","4.0","4.0","0.03125","0.125","2.0","2.0","4.0","0.0625","0.0625","2.0","4.0","8.0","0.0625","0.125","1.0","2.0","2.0","0.03125","0.0625","1.0","3.0","3.0","0.03125","0.09375","1.0","3.0","3.0","0.03125","0.09375","3.0","2.0","6.0","0.09375","0.0625","17.0","1.0","17.0","0.53125","0.03125","2.0","4.0","8.0","0.0625","0.125","1.0","2.0","2.0","0.03125","0.0625","2.0","3.0","6.0","0.0625","0.09375","1.0","2.0","2.0","0.03125","0.0625","2.0","2.0","4.0","0.0625","0.0625","3.0","3.0","9.0","0.09375","0.09375","2.0","2.0","4.0","0.0625","0.0625","3.0","2.0","6.0","0.09375","0.0625","2.0","1.0","2.0","0.0625","0.03125","1.0","1.0","1.0","0.03125","0.03125","8.0","0.0","0.0","0.25","0.0","1.0","17.0","17.0","0.03125","0.53125","18.0","12.0","216.0","0.5625","0.375","0.0","13.0","0.0","0.0","0.40625","3.0","1.0","3.0","0.09375","0.03125","2.0","1.0","2.0","0.0625","0.03125","2.0","1.0","2.0","0.0625","0.03125","4.0","1.0","4.0","0.125","0.03125","1.0","1.0","1.0","0.03125","0.03125","2.0","1.0","2.0","0.0625","0.03125","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"10","1.0","1.0","1.0","0.030303030303030304","0.030303030303030304","3.0","1.0","3.0","0.09090909090909091","0.030303030303030304","2.0","2.0","4.0","0.06060606060606061","0.06060606060606061","4.0","3.0","12.0","0.12121212121212122","0.09090909090909091","1.0","4.0","4.0","0.030303030303030304","0.12121212121212122","2.0","2.0","4.0","0.06060606060606061","0.06060606060606061","2.0","4.0","8.0","0.06060606060606061","0.12121212121212122","1.0","2.0","2.0","0.030303030303030304","0.06060606060606061","1.0","3.0","3.0","0.030303030303030304","0.09090909090909091","1.0","3.0","3.0","0.030303030303030304","0.09090909090909091","3.0","2.0","6.0","0.09090909090909091","0.06060606060606061","17.0","1.0","17.0","0.5151515151515151","0.030303030303030304","2.0","4.0","8.0","0.06060606060606061","0.12121212121212122","1.0","2.0","2.0","0.030303030303030304","0.06060606060606061","2.0","3.0","6.0","0.06060606060606061","0.09090909090909091","1.0","2.0","2.0","0.030303030303030304","0.06060606060606061","2.0","2.0","4.0","0.06060606060606061","0.06060606060606061","3.0","3.0","9.0","0.09090909090909091","0.09090909090909091","2.0","2.0","4.0","0.06060606060606061","0.06060606060606061","3.0","2.0","6.0","0.09090909090909091","0.06060606060606061","2.0","1.0","2.0","0.06060606060606061","0.030303030303030304","1.0","1.0","1.0","0.030303030303030304","0.030303030303030304","9.0","0.0","0.0","0.2727272727272727","0.0","1.0","18.0","18.0","0.030303030303030304","0.5454545454545454","18.0","12.0","216.0","0.5454545454545454","0.36363636363636365","0.0","14.0","0.0","0.0","0.42424242424242425","3.0","2.0","6.0","0.09090909090909091","0.06060606060606061","2.0","1.0","2.0","0.06060606060606061","0.030303030303030304","2.0","1.0","2.0","0.06060606060606061","0.030303030303030304","4.0","1.0","4.0","0.12121212121212122","0.030303030303030304","1.0","1.0","1.0","0.030303030303030304","0.030303030303030304","2.0","1.0","2.0","0.06060606060606061","0.030303030303030304","3.0","1.0","3.0","0.09090909090909091","0.030303030303030304","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
