"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","BA1-ADS","BA1-GINI -ADS","BA1-AIS","BA1-GINI -AIS","BA2-ADS","BA2-GINI -ADS","BA2-AIS","BA2-GINI -AIS","BA3-ADS","BA3-GINI -ADS","BA3-AIS","BA3-GINI -AIS","BA4-ADS","BA4-GINI -ADS","BA4-AIS","BA4-GINI -AIS","BA5-ADS","BA5-GINI -ADS","BA5-AIS","BA5-GINI -AIS","BA6-ADS","BA6-GINI -ADS","BA6-AIS","BA6-GINI -AIS","BA7-ADS","BA7-GINI -ADS","BA7-AIS","BA7-GINI -AIS","BA8-ADS","BA8-GINI -ADS","BA8-AIS","BA8-GINI -AIS","BA9-ADS","BA9-GINI -ADS","BA9-AIS","BA9-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"0","0.2272727","0.5075758","0.21818181818181817","2.1818181818181817","2.0","0","5.0","0","2.0","0","3.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","6.0","0","0.0","0","0.0","0","9.0","0","0.0","","0.0"
"1","0.2272727","0.5075758","0.21818181818181817","2.1818181818181817","2.0","0","5.0","0","2.0","0","3.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","6.0","0","0.0","0","0.0","0","9.0","0","0.0","","0.0"
"2","0.2272727","0.5075758","0.21818181818181817","2.1818181818181817","2.0","0","5.0","0","2.0","0","3.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","6.0","0","0.0","0","0.0","0","9.0","0","0.0","","0.0"
"3","0.2272727","0.5075758","0.21818181818181817","2.1818181818181817","2.0","0","5.0","0","2.0","0","3.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","6.0","0","0.0","0","0.0","0","9.0","0","0.0","","0.0"
"4","0.2272727","0.5075758","0.21818181818181817","2.1818181818181817","2.0","0","5.0","0","2.0","0","3.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","6.0","0","0.0","0","0.0","0","9.0","0","0.0","","0.0"
"5","0.2272727","0.5075758","0.21818181818181817","2.1818181818181817","2.0","0","5.0","0","2.0","0","3.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","6.0","0","0.0","0","0.0","0","9.0","0","0.0","","0.0"
"6","0.2272727","0.5075758","0.21818181818181817","2.1818181818181817","2.0","0","5.0","0","2.0","0","3.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","6.0","0","0.0","0","0.0","0","9.0","0","0.0","","0.0"
"7","0.2272727","0.5075758","0.21818181818181817","2.1818181818181817","2.0","0","5.0","0","2.0","0","3.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","6.0","0","0.0","0","0.0","0","9.0","0","0.0","","0.0"
"8","0.25","0.49","0.1893939393939394","2.0833333333333335","2.0","0","3.0","0.04134367","2.0","0","3.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","6.0","0","0.0","0","0.0","0","10.0","0.01084011","1.0","0","2.0","0"
"9","0.25","0.49","0.1893939393939394","2.0833333333333335","2.0","0","3.0","0.06956522","2.0","0","3.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","6.0","0","0.0","0","0.0","0","10.0","0.01739130","1.0","0","2.0","0"
"10","0.25","0.49","0.1893939393939394","2.0833333333333335","2.0","0","3.0","0.08905380","2.0","0","3.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","6.0","0","0.0","0","0.0","0","10.0","0.02139037","1.0","0","2.0","0"
"11","0.25","0.49","0.1893939393939394","2.0833333333333335","2.0","0","3.0","0.1025641","2.0","0","3.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","6.0","0","0.0","0","0.0","0","10.0","0.02380952","1.0","0","2.0","0"
"12","0.25","0.49","0.1893939393939394","2.0833333333333335","2.0","0","3.0","0.1118881","2.0","0","3.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","6.0","0","0.0","0","0.0","0","10.0","0.02522068","1.0","0","2.0","0"
"13","0.25","0.49","0.1893939393939394","2.0833333333333335","2.0","0","3.0","0.1182266","2.0","0","3.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","6.0","0","0.0","0","0.0","0","10.0","0.02597403","1.0","0","2.0","0"
"14","0.25","0.49","0.1893939393939394","2.0833333333333335","2.0","0","3.0","0.1224044","2.0","0","3.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","6.0","0","0.0","0","0.0","0","10.0","0.02629108","1.0","0","2.0","0"
"15","0.25","0.49","0.1893939393939394","2.0833333333333335","2.0","0","3.0","0.125","2.0","0","3.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","6.0","0","0.0","0","0.0","0","10.0","0.02631579","1.0","0","2.0","0"
"16","0.25","0.49","0.1893939393939394","2.0833333333333335","2.0","0","3.0","0.1264267","2.0","0","3.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","6.0","0","0.0","0","0.0","0","10.0","0.02614379","1.0","0","2.0","0"
"17","0.25","0.49","0.1893939393939394","2.0833333333333335","2.0","0","3.0","0.1269841","2.0","0","3.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","6.0","0","0.0","0","0.0","0","10.0","0.02583979","1.0","0","2.0","0"
"18","0.25","0.49","0.1893939393939394","2.0833333333333335","2.0","0","3.0","0.1268926","2.0","0","3.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","6.0","0","0.0","0","0.0","0","10.0","0.02544824","1.0","0","2.0","0"
"19","0.25","0.49","0.1893939393939394","2.0833333333333335","2.0","0","3.0","0.1263158","2.0","0","3.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","6.0","0","0.0","0","0.0","0","10.0","0.025","1.0","0","2.0","0"
"20","0.25","0.49","0.1893939393939394","2.0833333333333335","2.0","0","3.0","0.1253767","2.0","0","3.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","6.0","0","0.0","0","0.0","0","10.0","0.02451674","1.0","0","2.0","0"
