"release","BA1-ADS","BA1-AIS","BA1-ACS","BA1-RCS","BA1-RIS","BA2-ADS","BA2-AIS","BA2-ACS","BA2-RCS","BA2-RIS","BA3-ADS","BA3-AIS","BA3-ACS","BA3-RCS","BA3-RIS","BA4-ADS","BA4-AIS","BA4-ACS","BA4-RCS","BA4-RIS","BA5-ADS","BA5-AIS","BA5-ACS","BA5-RCS","BA5-RIS","BA6-ADS","BA6-AIS","BA6-ACS","BA6-RCS","BA6-RIS","BA7-ADS","BA7-AIS","BA7-ACS","BA7-RCS","BA7-RIS","BA8-ADS","BA8-AIS","BA8-ACS","BA8-RCS","BA8-RIS","BA9-ADS","BA9-AIS","BA9-ACS","BA9-RCS","BA9-RIS","BA10-ADS","BA10-AIS","BA10-ACS","BA10-RCS","BA10-RIS","BA11-ADS","BA11-AIS","BA11-ACS","BA11-RCS","BA11-RIS","BA12-ADS","BA12-AIS","BA12-ACS","BA12-RCS","BA12-RIS","GTW-ADS","GTW-AIS","GTW-ACS","GTW-RCS","GTW-RIS","REG-ADS","REG-AIS","REG-ACS","REG-RCS","REG-RIS","MSB-ADS","MSB-AIS","MSB-ACS","MSB-RCS","MSB-RIS","CFG-ADS","CFG-AIS","CFG-ACS","CFG-RCS","CFG-RIS","MSV1-ADS","MSV1-AIS","MSV1-ACS","MSV1-RCS","MSV1-RIS"
"11","1.0","6.0","6.0","0.058823529411764705","0.35294117647058826","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","8.0","0.0","0.0","0.47058823529411764","0.0","1.0","5.0","5.0","0.058823529411764705","0.29411764705882354","5.0","9.0","45.0","0.29411764705882354","0.5294117647058824","0.0","7.0","0.0","0.0","0.4117647058823529","1.0","6.0","6.0","0.058823529411764705","0.35294117647058826"
"12","1.0","6.0","6.0","0.058823529411764705","0.35294117647058826","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","8.0","0.0","0.0","0.47058823529411764","0.0","1.0","5.0","5.0","0.058823529411764705","0.29411764705882354","5.0","9.0","45.0","0.29411764705882354","0.5294117647058824","0.0","7.0","0.0","0.0","0.4117647058823529","1.0","6.0","6.0","0.058823529411764705","0.35294117647058826"
"13","1.0","6.0","6.0","0.058823529411764705","0.35294117647058826","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","8.0","0.0","0.0","0.47058823529411764","0.0","1.0","5.0","5.0","0.058823529411764705","0.29411764705882354","5.0","9.0","45.0","0.29411764705882354","0.5294117647058824","0.0","7.0","0.0","0.0","0.4117647058823529","1.0","6.0","6.0","0.058823529411764705","0.35294117647058826"
"14","1.0","6.0","6.0","0.058823529411764705","0.35294117647058826","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","8.0","0.0","0.0","0.47058823529411764","0.0","1.0","5.0","5.0","0.058823529411764705","0.29411764705882354","5.0","9.0","45.0","0.29411764705882354","0.5294117647058824","0.0","7.0","0.0","0.0","0.4117647058823529","1.0","6.0","6.0","0.058823529411764705","0.35294117647058826"
"15","1.0","6.0","6.0","0.058823529411764705","0.35294117647058826","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","8.0","0.0","0.0","0.47058823529411764","0.0","1.0","5.0","5.0","0.058823529411764705","0.29411764705882354","5.0","9.0","45.0","0.29411764705882354","0.5294117647058824","0.0","7.0","0.0","0.0","0.4117647058823529","1.0","6.0","6.0","0.058823529411764705","0.35294117647058826"
"16","1.0","6.0","6.0","0.058823529411764705","0.35294117647058826","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","8.0","0.0","0.0","0.47058823529411764","0.0","1.0","5.0","5.0","0.058823529411764705","0.29411764705882354","5.0","9.0","45.0","0.29411764705882354","0.5294117647058824","0.0","7.0","0.0","0.0","0.4117647058823529","1.0","6.0","6.0","0.058823529411764705","0.35294117647058826"
"17","1.0","6.0","6.0","0.058823529411764705","0.35294117647058826","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","8.0","0.0","0.0","0.47058823529411764","0.0","1.0","5.0","5.0","0.058823529411764705","0.29411764705882354","5.0","9.0","45.0","0.29411764705882354","0.5294117647058824","0.0","7.0","0.0","0.0","0.4117647058823529","1.0","6.0","6.0","0.058823529411764705","0.35294117647058826"
"18","1.0","6.0","6.0","0.058823529411764705","0.35294117647058826","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","8.0","0.0","0.0","0.47058823529411764","0.0","1.0","5.0","5.0","0.058823529411764705","0.29411764705882354","5.0","9.0","45.0","0.29411764705882354","0.5294117647058824","0.0","7.0","0.0","0.0","0.4117647058823529","1.0","6.0","6.0","0.058823529411764705","0.35294117647058826"
"19","1.0","6.0","6.0","0.058823529411764705","0.35294117647058826","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","8.0","0.0","0.0","0.47058823529411764","0.0","1.0","5.0","5.0","0.058823529411764705","0.29411764705882354","5.0","9.0","45.0","0.29411764705882354","0.5294117647058824","0.0","7.0","0.0","0.0","0.4117647058823529","1.0","6.0","6.0","0.058823529411764705","0.35294117647058826"
"20","1.0","6.0","6.0","0.058823529411764705","0.35294117647058826","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","8.0","0.0","0.0","0.47058823529411764","0.0","1.0","5.0","5.0","0.058823529411764705","0.29411764705882354","5.0","9.0","45.0","0.29411764705882354","0.5294117647058824","0.0","7.0","0.0","0.0","0.4117647058823529","1.0","6.0","6.0","0.058823529411764705","0.35294117647058826"
"21","1.0","6.0","6.0","0.058823529411764705","0.35294117647058826","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","8.0","0.0","0.0","0.47058823529411764","0.0","1.0","5.0","5.0","0.058823529411764705","0.29411764705882354","5.0","9.0","45.0","0.29411764705882354","0.5294117647058824","0.0","7.0","0.0","0.0","0.4117647058823529","1.0","6.0","6.0","0.058823529411764705","0.35294117647058826"
