"release","BA1-ADS","BA1-AIS","BA1-ACS","BA1-RCS","BA1-RIS","BA2-ADS","BA2-AIS","BA2-ACS","BA2-RCS","BA2-RIS","BA3-ADS","BA3-AIS","BA3-ACS","BA3-RCS","BA3-RIS","BA4-ADS","BA4-AIS","BA4-ACS","BA4-RCS","BA4-RIS","BA5-ADS","BA5-AIS","BA5-ACS","BA5-RCS","BA5-RIS","BA6-ADS","BA6-AIS","BA6-ACS","BA6-RCS","BA6-RIS","BA7-ADS","BA7-AIS","BA7-ACS","BA7-RCS","BA7-RIS","BA8-ADS","BA8-AIS","BA8-ACS","BA8-RCS","BA8-RIS","BA9-ADS","BA9-AIS","BA9-ACS","BA9-RCS","BA9-RIS","BA10-ADS","BA10-AIS","BA10-ACS","BA10-RCS","BA10-RIS","BA11-ADS","BA11-AIS","BA11-ACS","BA11-RCS","BA11-RIS","BA12-ADS","BA12-AIS","BA12-ACS","BA12-RCS","BA12-RIS","BA13-ADS","BA13-AIS","BA13-ACS","BA13-RCS","BA13-RIS","BA14-ADS","BA14-AIS","BA14-ACS","BA14-RCS","BA14-RIS","BA15-ADS","BA15-AIS","BA15-ACS","BA15-RCS","BA15-RIS","BA16-ADS","BA16-AIS","BA16-ACS","BA16-RCS","BA16-RIS","BA17-ADS","BA17-AIS","BA17-ACS","BA17-RCS","BA17-RIS","BA18-ADS","BA18-AIS","BA18-ACS","BA18-RCS","BA18-RIS","BA19-ADS","BA19-AIS","BA19-ACS","BA19-RCS","BA19-RIS","CPS1-ADS","CPS1-AIS","CPS1-ACS","CPS1-RCS","CPS1-RIS","REG-ADS","REG-AIS","REG-ACS","REG-RCS","REG-RIS","MSB-ADS","MSB-AIS","MSB-ACS","MSB-RCS","MSB-RIS","MSV1-ADS","MSV1-AIS","MSV1-ACS","MSV1-RCS","MSV1-RIS","MSV2-ADS","MSV2-AIS","MSV2-ACS","MSV2-RCS","MSV2-RIS","MSV3-ADS","MSV3-AIS","MSV3-ACS","MSV3-RCS","MSV3-RIS","MSV4-ADS","MSV4-AIS","MSV4-ACS","MSV4-RCS","MSV4-RIS","MSV5-ADS","MSV5-AIS","MSV5-ACS","MSV5-RCS","MSV5-RIS","MSV6-ADS","MSV6-AIS","MSV6-ACS","MSV6-RCS","MSV6-RIS","MSV7-ADS","MSV7-AIS","MSV7-ACS","MSV7-RCS","MSV7-RIS","MSV8-ADS","MSV8-AIS","MSV8-ACS","MSV8-RCS","MSV8-RIS","MSV9-ADS","MSV9-AIS","MSV9-ACS","MSV9-RCS","MSV9-RIS","MSV10-ADS","MSV10-AIS","MSV10-ACS","MSV10-RCS","MSV10-RIS","MSV11-ADS","MSV11-AIS","MSV11-ACS","MSV11-RCS","MSV11-RIS"
"1","2.0","3.0","6.0","0.09090909090909091","0.13636363636363635","1.0","3.0","3.0","0.045454545454545456","0.13636363636363635","2.0","2.0","4.0","0.09090909090909091","0.09090909090909091","1.0","4.0","4.0","0.045454545454545456","0.18181818181818182","1.0","0.0","0.0","0.045454545454545456","0.0","1.0","0.0","0.0","0.045454545454545456","0.0","2.0","0.0","0.0","0.09090909090909091","0.0","2.0","1.0","2.0","0.09090909090909091","0.045454545454545456","2.0","2.0","4.0","0.09090909090909091","0.09090909090909091","1.0","0.0","0.0","0.045454545454545456","0.0","1.0","1.0","1.0","0.045454545454545456","0.045454545454545456","2.0","0.0","0.0","0.09090909090909091","0.0","1.0","0.0","0.0","0.045454545454545456","0.0","2.0","1.0","2.0","0.09090909090909091","0.045454545454545456","1.0","0.0","0.0","0.045454545454545456","0.0","2.0","0.0","0.0","0.09090909090909091","0.0","1.0","1.0","1.0","0.045454545454545456","0.045454545454545456","1.0","0.0","0.0","0.045454545454545456","0.0","2.0","0.0","0.0","0.09090909090909091","0.0","1.0","0.0","0.0","0.045454545454545456","0.0","0.0","10.0","0.0","0.0","0.45454545454545453","10.0","11.0","110.0","0.45454545454545453","0.5","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2","2.0","3.0","6.0","0.09090909090909091","0.13636363636363635","1.0","3.0","3.0","0.045454545454545456","0.13636363636363635","2.0","2.0","4.0","0.09090909090909091","0.09090909090909091","1.0","4.0","4.0","0.045454545454545456","0.18181818181818182","1.0","0.0","0.0","0.045454545454545456","0.0","1.0","0.0","0.0","0.045454545454545456","0.0","2.0","0.0","0.0","0.09090909090909091","0.0","2.0","1.0","2.0","0.09090909090909091","0.045454545454545456","2.0","2.0","4.0","0.09090909090909091","0.09090909090909091","1.0","0.0","0.0","0.045454545454545456","0.0","1.0","1.0","1.0","0.045454545454545456","0.045454545454545456","2.0","0.0","0.0","0.09090909090909091","0.0","1.0","0.0","0.0","0.045454545454545456","0.0","2.0","1.0","2.0","0.09090909090909091","0.045454545454545456","1.0","0.0","0.0","0.045454545454545456","0.0","2.0","0.0","0.0","0.09090909090909091","0.0","1.0","1.0","1.0","0.045454545454545456","0.045454545454545456","1.0","0.0","0.0","0.045454545454545456","0.0","2.0","0.0","0.0","0.09090909090909091","0.0","1.0","0.0","0.0","0.045454545454545456","0.0","0.0","10.0","0.0","0.0","0.45454545454545453","10.0","11.0","110.0","0.45454545454545453","0.5","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"3","2.0","3.0","6.0","0.09090909090909091","0.13636363636363635","1.0","3.0","3.0","0.045454545454545456","0.13636363636363635","2.0","2.0","4.0","0.09090909090909091","0.09090909090909091","1.0","4.0","4.0","0.045454545454545456","0.18181818181818182","1.0","0.0","0.0","0.045454545454545456","0.0","1.0","0.0","0.0","0.045454545454545456","0.0","2.0","0.0","0.0","0.09090909090909091","0.0","2.0","1.0","2.0","0.09090909090909091","0.045454545454545456","2.0","2.0","4.0","0.09090909090909091","0.09090909090909091","1.0","0.0","0.0","0.045454545454545456","0.0","1.0","1.0","1.0","0.045454545454545456","0.045454545454545456","2.0","0.0","0.0","0.09090909090909091","0.0","1.0","0.0","0.0","0.045454545454545456","0.0","2.0","1.0","2.0","0.09090909090909091","0.045454545454545456","1.0","0.0","0.0","0.045454545454545456","0.0","2.0","0.0","0.0","0.09090909090909091","0.0","1.0","1.0","1.0","0.045454545454545456","0.045454545454545456","1.0","0.0","0.0","0.045454545454545456","0.0","2.0","0.0","0.0","0.09090909090909091","0.0","1.0","0.0","0.0","0.045454545454545456","0.0","0.0","10.0","0.0","0.0","0.45454545454545453","10.0","11.0","110.0","0.45454545454545453","0.5","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"4","2.0","3.0","6.0","0.09090909090909091","0.13636363636363635","1.0","3.0","3.0","0.045454545454545456","0.13636363636363635","2.0","2.0","4.0","0.09090909090909091","0.09090909090909091","1.0","4.0","4.0","0.045454545454545456","0.18181818181818182","1.0","0.0","0.0","0.045454545454545456","0.0","1.0","0.0","0.0","0.045454545454545456","0.0","2.0","0.0","0.0","0.09090909090909091","0.0","2.0","1.0","2.0","0.09090909090909091","0.045454545454545456","2.0","2.0","4.0","0.09090909090909091","0.09090909090909091","1.0","0.0","0.0","0.045454545454545456","0.0","1.0","1.0","1.0","0.045454545454545456","0.045454545454545456","2.0","0.0","0.0","0.09090909090909091","0.0","1.0","0.0","0.0","0.045454545454545456","0.0","2.0","1.0","2.0","0.09090909090909091","0.045454545454545456","1.0","0.0","0.0","0.045454545454545456","0.0","2.0","0.0","0.0","0.09090909090909091","0.0","1.0","1.0","1.0","0.045454545454545456","0.045454545454545456","1.0","0.0","0.0","0.045454545454545456","0.0","2.0","0.0","0.0","0.09090909090909091","0.0","1.0","0.0","0.0","0.045454545454545456","0.0","0.0","10.0","0.0","0.0","0.45454545454545453","10.0","11.0","110.0","0.45454545454545453","0.5","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"5","3.0","3.0","9.0","0.13043478260869565","0.13043478260869565","1.0","3.0","3.0","0.043478260869565216","0.13043478260869565","2.0","2.0","4.0","0.08695652173913043","0.08695652173913043","1.0","4.0","4.0","0.043478260869565216","0.17391304347826086","1.0","0.0","0.0","0.043478260869565216","0.0","1.0","0.0","0.0","0.043478260869565216","0.0","2.0","0.0","0.0","0.08695652173913043","0.0","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","2.0","2.0","4.0","0.08695652173913043","0.08695652173913043","1.0","0.0","0.0","0.043478260869565216","0.0","1.0","1.0","1.0","0.043478260869565216","0.043478260869565216","2.0","0.0","0.0","0.08695652173913043","0.0","1.0","0.0","0.0","0.043478260869565216","0.0","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","1.0","0.0","0.0","0.043478260869565216","0.0","2.0","0.0","0.0","0.08695652173913043","0.0","1.0","1.0","1.0","0.043478260869565216","0.043478260869565216","1.0","0.0","0.0","0.043478260869565216","0.0","2.0","0.0","0.0","0.08695652173913043","0.0","1.0","0.0","0.0","0.043478260869565216","0.0","0.0","11.0","0.0","0.0","0.4782608695652174","10.0","11.0","110.0","0.43478260869565216","0.4782608695652174","1.0","1.0","1.0","0.043478260869565216","0.043478260869565216","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"6","4.0","3.0","12.0","0.16666666666666666","0.125","1.0","3.0","3.0","0.041666666666666664","0.125","2.0","2.0","4.0","0.08333333333333333","0.08333333333333333","1.0","4.0","4.0","0.041666666666666664","0.16666666666666666","1.0","0.0","0.0","0.041666666666666664","0.0","1.0","0.0","0.0","0.041666666666666664","0.0","2.0","0.0","0.0","0.08333333333333333","0.0","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","2.0","2.0","4.0","0.08333333333333333","0.08333333333333333","1.0","0.0","0.0","0.041666666666666664","0.0","1.0","1.0","1.0","0.041666666666666664","0.041666666666666664","2.0","0.0","0.0","0.08333333333333333","0.0","1.0","0.0","0.0","0.041666666666666664","0.0","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","1.0","0.0","0.0","0.041666666666666664","0.0","2.0","0.0","0.0","0.08333333333333333","0.0","1.0","1.0","1.0","0.041666666666666664","0.041666666666666664","1.0","0.0","0.0","0.041666666666666664","0.0","2.0","0.0","0.0","0.08333333333333333","0.0","1.0","0.0","0.0","0.041666666666666664","0.0","0.0","12.0","0.0","0.0","0.5","10.0","11.0","110.0","0.4166666666666667","0.4583333333333333","1.0","1.0","1.0","0.041666666666666664","0.041666666666666664","1.0","1.0","1.0","0.041666666666666664","0.041666666666666664","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"7","4.0","3.0","12.0","0.16666666666666666","0.125","1.0","3.0","3.0","0.041666666666666664","0.125","2.0","2.0","4.0","0.08333333333333333","0.08333333333333333","1.0","4.0","4.0","0.041666666666666664","0.16666666666666666","1.0","0.0","0.0","0.041666666666666664","0.0","1.0","0.0","0.0","0.041666666666666664","0.0","2.0","0.0","0.0","0.08333333333333333","0.0","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","2.0","2.0","4.0","0.08333333333333333","0.08333333333333333","1.0","0.0","0.0","0.041666666666666664","0.0","1.0","1.0","1.0","0.041666666666666664","0.041666666666666664","2.0","0.0","0.0","0.08333333333333333","0.0","1.0","0.0","0.0","0.041666666666666664","0.0","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","1.0","0.0","0.0","0.041666666666666664","0.0","2.0","0.0","0.0","0.08333333333333333","0.0","1.0","1.0","1.0","0.041666666666666664","0.041666666666666664","1.0","0.0","0.0","0.041666666666666664","0.0","2.0","0.0","0.0","0.08333333333333333","0.0","1.0","0.0","0.0","0.041666666666666664","0.0","0.0","12.0","0.0","0.0","0.5","10.0","11.0","110.0","0.4166666666666667","0.4583333333333333","1.0","1.0","1.0","0.041666666666666664","0.041666666666666664","1.0","1.0","1.0","0.041666666666666664","0.041666666666666664","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"8","5.0","3.0","15.0","0.2","0.12","1.0","3.0","3.0","0.04","0.12","2.0","2.0","4.0","0.08","0.08","1.0","4.0","4.0","0.04","0.16","1.0","0.0","0.0","0.04","0.0","1.0","0.0","0.0","0.04","0.0","2.0","0.0","0.0","0.08","0.0","2.0","1.0","2.0","0.08","0.04","2.0","2.0","4.0","0.08","0.08","1.0","0.0","0.0","0.04","0.0","1.0","1.0","1.0","0.04","0.04","2.0","0.0","0.0","0.08","0.0","1.0","0.0","0.0","0.04","0.0","2.0","1.0","2.0","0.08","0.04","1.0","0.0","0.0","0.04","0.0","2.0","0.0","0.0","0.08","0.0","1.0","1.0","1.0","0.04","0.04","1.0","0.0","0.0","0.04","0.0","2.0","0.0","0.0","0.08","0.0","1.0","0.0","0.0","0.04","0.0","0.0","13.0","0.0","0.0","0.52","10.0","11.0","110.0","0.4","0.44","1.0","1.0","1.0","0.04","0.04","1.0","1.0","1.0","0.04","0.04","1.0","1.0","1.0","0.04","0.04","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"9","5.0","3.0","15.0","0.2","0.12","1.0","3.0","3.0","0.04","0.12","2.0","2.0","4.0","0.08","0.08","1.0","4.0","4.0","0.04","0.16","1.0","0.0","0.0","0.04","0.0","1.0","0.0","0.0","0.04","0.0","2.0","0.0","0.0","0.08","0.0","2.0","1.0","2.0","0.08","0.04","2.0","2.0","4.0","0.08","0.08","1.0","0.0","0.0","0.04","0.0","1.0","1.0","1.0","0.04","0.04","2.0","0.0","0.0","0.08","0.0","1.0","0.0","0.0","0.04","0.0","2.0","1.0","2.0","0.08","0.04","1.0","0.0","0.0","0.04","0.0","2.0","0.0","0.0","0.08","0.0","1.0","1.0","1.0","0.04","0.04","1.0","0.0","0.0","0.04","0.0","2.0","0.0","0.0","0.08","0.0","1.0","0.0","0.0","0.04","0.0","0.0","13.0","0.0","0.0","0.52","10.0","11.0","110.0","0.4","0.44","1.0","1.0","1.0","0.04","0.04","1.0","1.0","1.0","0.04","0.04","1.0","1.0","1.0","0.04","0.04","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"10","5.0","3.0","15.0","0.2","0.12","1.0","3.0","3.0","0.04","0.12","2.0","2.0","4.0","0.08","0.08","1.0","4.0","4.0","0.04","0.16","1.0","0.0","0.0","0.04","0.0","1.0","0.0","0.0","0.04","0.0","2.0","0.0","0.0","0.08","0.0","2.0","1.0","2.0","0.08","0.04","2.0","2.0","4.0","0.08","0.08","1.0","0.0","0.0","0.04","0.0","1.0","1.0","1.0","0.04","0.04","2.0","0.0","0.0","0.08","0.0","1.0","0.0","0.0","0.04","0.0","2.0","1.0","2.0","0.08","0.04","1.0","0.0","0.0","0.04","0.0","2.0","0.0","0.0","0.08","0.0","1.0","1.0","1.0","0.04","0.04","1.0","0.0","0.0","0.04","0.0","2.0","0.0","0.0","0.08","0.0","1.0","0.0","0.0","0.04","0.0","0.0","13.0","0.0","0.0","0.52","10.0","11.0","110.0","0.4","0.44","1.0","1.0","1.0","0.04","0.04","1.0","1.0","1.0","0.04","0.04","1.0","1.0","1.0","0.04","0.04","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
