"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","RD1-ADS","RD1-GINI -ADS","RD1-AIS","RD1-GINI -AIS","RD2-ADS","RD2-GINI -ADS","RD2-AIS","RD2-GINI -AIS","RD3-ADS","RD3-GINI -ADS","RD3-AIS","RD3-GINI -AIS","RD4-ADS","RD4-GINI -ADS","RD4-AIS","RD4-GINI -AIS","RD5-ADS","RD5-GINI -ADS","RD5-AIS","RD5-GINI -AIS","RD6-ADS","RD6-GINI -ADS","RD6-AIS","RD6-GINI -AIS","RD7-ADS","RD7-GINI -ADS","RD7-AIS","RD7-GINI -AIS","RD8-ADS","RD8-GINI -ADS","RD8-AIS","RD8-GINI -AIS","RD9-ADS","RD9-GINI -ADS","RD9-AIS","RD9-GINI -AIS","RD10-ADS","RD10-GINI -ADS","RD10-AIS","RD10-GINI -AIS","RD11-ADS","RD11-GINI -ADS","RD11-AIS","RD11-GINI -AIS","RD12-ADS","RD12-GINI -ADS","RD12-AIS","RD12-GINI -AIS","CPS1-ADS","CPS1-GINI -ADS","CPS1-AIS","CPS1-GINI -AIS","CPS2-ADS","CPS2-GINI -ADS","CPS2-AIS","CPS2-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","MSB-ADS","MSB-GINI -ADS","MSB-AIS","MSB-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"0","0.2635934","0.5992908","0.15359477124183007","2.611111111111111","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","0.0","0","3.0","0","1.0","0","2.0","0","13.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","0.0","0","6.0","0","1.0","0","4.0","0","1.0","0","3.0","0","0.0","0","1.0","0","8.0","0","5.0","0","7.0","0","0.0","0","7.0","0","0.0","","0.0"
"1","0.2635934","0.5992908","0.15359477124183007","2.611111111111111","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","0.0","0","3.0","0","1.0","0","2.0","0","13.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","0.0","0","6.0","0","1.0","0","4.0","0","1.0","0","3.0","0","0.0","0","1.0","0","8.0","0","5.0","0","7.0","0","0.0","0","7.0","0","0.0","","0.0"
"2","0.2635934","0.5992908","0.15359477124183007","2.611111111111111","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","0.0","0","3.0","0","1.0","0","2.0","0","13.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","0.0","0","6.0","0","1.0","0","4.0","0","1.0","0","3.0","0","0.0","0","1.0","0","8.0","0","5.0","0","7.0","0","0.0","0","7.0","0","0.0","","0.0"
"3","0.2635934","0.5992908","0.15359477124183007","2.611111111111111","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","0.0","0","3.0","0","1.0","0","2.0","0","13.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","0.0","0","6.0","0","1.0","0","4.0","0","1.0","0","3.0","0","0.0","0","1.0","0","8.0","0","5.0","0","7.0","0","0.0","0","7.0","0","0.0","","0.0"
"4","0.2785088","0.5504386","0.14035087719298245","2.526315789473684","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","0.0","0","3.0","0","1.0","0","2.0","0","7.0","0.08135593","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","0.0","0","6.0","0","1.0","0","4.0","0","1.0","0","3.0","0","0.0","0","1.0","0","9.0","0.01951220","5.0","0","7.0","0","0.0","0","7.0","0","1.0","0","6.0","0"
"5","0.2785088","0.5504386","0.14035087719298245","2.526315789473684","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","0.0","0","3.0","0","1.0","0","2.0","0","7.0","0.1212121","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","0.0","0","6.0","0","1.0","0","4.0","0","1.0","0","3.0","0","0.0","0","1.0","0","9.0","0.02666667","5.0","0","7.0","0","0.0","0","7.0","0","1.0","0","6.0","0"
"6","0.2785088","0.5504386","0.14035087719298245","2.526315789473684","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","0.0","0","3.0","0","1.0","0","2.0","0","7.0","0.1409002","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","0.0","0","6.0","0","1.0","0","4.0","0","1.0","0","3.0","0","0.0","0","1.0","0","9.0","0.02905569","5.0","0","7.0","0","0.0","0","7.0","0","1.0","0","6.0","0"
"7","0.2785088","0.5504386","0.14035087719298245","2.526315789473684","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","0.0","0","3.0","0","1.0","0","2.0","0","7.0","0.15","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","0.0","0","6.0","0","1.0","0","4.0","0","1.0","0","3.0","0","0.0","0","1.0","0","9.0","0.02941176","5.0","0","7.0","0","0.0","0","7.0","0","1.0","0","6.0","0"
"8","0.2785088","0.5504386","0.14035087719298245","2.526315789473684","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","0.0","0","3.0","0","1.0","0","2.0","0","7.0","0.1532567","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","0.0","0","6.0","0","1.0","0","4.0","0","1.0","0","3.0","0","0.0","0","1.0","0","9.0","0.02886003","5.0","0","7.0","0","0.0","0","7.0","0","1.0","0","6.0","0"
"9","0.2785088","0.5504386","0.14035087719298245","2.526315789473684","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","0.0","0","3.0","0","1.0","0","2.0","0","7.0","0.1531915","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","0.0","0","6.0","0","1.0","0","4.0","0","1.0","0","3.0","0","0.0","0","1.0","0","9.0","0.02790698","5.0","0","7.0","0","0.0","0","7.0","0","1.0","0","6.0","0"
