"release","RD1-ADS","RD1-AIS","RD1-ACS","RD1-RCS","RD1-RIS","RD2-ADS","RD2-AIS","RD2-ACS","RD2-RCS","RD2-RIS","RD3-ADS","RD3-AIS","RD3-ACS","RD3-RCS","RD3-RIS","RD4-ADS","RD4-AIS","RD4-ACS","RD4-RCS","RD4-RIS","RD5-ADS","RD5-AIS","RD5-ACS","RD5-RCS","RD5-RIS","RD6-ADS","RD6-AIS","RD6-ACS","RD6-RCS","RD6-RIS","RD7-ADS","RD7-AIS","RD7-ACS","RD7-RCS","RD7-RIS","RD8-ADS","RD8-AIS","RD8-ACS","RD8-RCS","RD8-RIS","RD9-ADS","RD9-AIS","RD9-ACS","RD9-RCS","RD9-RIS","RD10-ADS","RD10-AIS","RD10-ACS","RD10-RCS","RD10-RIS","RD11-ADS","RD11-AIS","RD11-ACS","RD11-RCS","RD11-RIS","RD12-ADS","RD12-AIS","RD12-ACS","RD12-RCS","RD12-RIS","RD13-ADS","RD13-AIS","RD13-ACS","RD13-RCS","RD13-RIS","RD14-ADS","RD14-AIS","RD14-ACS","RD14-RCS","RD14-RIS","CPS1-ADS","CPS1-AIS","CPS1-ACS","CPS1-RCS","CPS1-RIS","REG-ADS","REG-AIS","REG-ACS","REG-RCS","REG-RIS","MSB-ADS","MSB-AIS","MSB-ACS","MSB-RCS","MSB-RIS","CFG-ADS","CFG-AIS","CFG-ACS","CFG-RCS","CFG-RIS","TRC-ADS","TRC-AIS","TRC-ACS","TRC-RCS","TRC-RIS","MSV1-ADS","MSV1-AIS","MSV1-ACS","MSV1-RCS","MSV1-RIS","MSV2-ADS","MSV2-AIS","MSV2-ACS","MSV2-RCS","MSV2-RIS","MSV3-ADS","MSV3-AIS","MSV3-ACS","MSV3-RCS","MSV3-RIS","MSV4-ADS","MSV4-AIS","MSV4-ACS","MSV4-RCS","MSV4-RIS","MSV5-ADS","MSV5-AIS","MSV5-ACS","MSV5-RCS","MSV5-RIS","MSV6-ADS","MSV6-AIS","MSV6-ACS","MSV6-RCS","MSV6-RIS","MSV7-ADS","MSV7-AIS","MSV7-ACS","MSV7-RCS","MSV7-RIS","MSV8-ADS","MSV8-AIS","MSV8-ACS","MSV8-RCS","MSV8-RIS","MSV9-ADS","MSV9-AIS","MSV9-ACS","MSV9-RCS","MSV9-RIS","MSV10-ADS","MSV10-AIS","MSV10-ACS","MSV10-RCS","MSV10-RIS","MSV11-ADS","MSV11-AIS","MSV11-ACS","MSV11-RCS","MSV11-RIS","MSV12-ADS","MSV12-AIS","MSV12-ACS","MSV12-RCS","MSV12-RIS","MSV13-ADS","MSV13-AIS","MSV13-ACS","MSV13-RCS","MSV13-RIS","MSV14-ADS","MSV14-AIS","MSV14-ACS","MSV14-RCS","MSV14-RIS"
"1","3.0","2.0","6.0","0.15789473684210525","0.10526315789473684","2.0","1.0","2.0","0.10526315789473684","0.05263157894736842","3.0","0.0","0.0","0.15789473684210525","0.0","6.0","1.0","6.0","0.3157894736842105","0.05263157894736842","3.0","1.0","3.0","0.15789473684210525","0.05263157894736842","2.0","1.0","2.0","0.10526315789473684","0.05263157894736842","3.0","0.0","0.0","0.15789473684210525","0.0","2.0","2.0","4.0","0.10526315789473684","0.10526315789473684","2.0","1.0","2.0","0.10526315789473684","0.05263157894736842","2.0","2.0","4.0","0.10526315789473684","0.10526315789473684","5.0","0.0","0.0","0.2631578947368421","0.0","2.0","2.0","4.0","0.10526315789473684","0.10526315789473684","2.0","3.0","6.0","0.10526315789473684","0.15789473684210525","4.0","0.0","0.0","0.21052631578947367","0.0","2.0","0.0","0.0","0.10526315789473684","0.0","1.0","8.0","8.0","0.05263157894736842","0.42105263157894735","10.0","9.0","90.0","0.5263157894736842","0.47368421052631576","1.0","7.0","7.0","0.05263157894736842","0.3684210526315789","1.0","16.0","16.0","0.05263157894736842","0.8421052631578947","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2","3.0","2.0","6.0","0.15789473684210525","0.10526315789473684","2.0","1.0","2.0","0.10526315789473684","0.05263157894736842","3.0","0.0","0.0","0.15789473684210525","0.0","6.0","1.0","6.0","0.3157894736842105","0.05263157894736842","3.0","1.0","3.0","0.15789473684210525","0.05263157894736842","2.0","1.0","2.0","0.10526315789473684","0.05263157894736842","3.0","0.0","0.0","0.15789473684210525","0.0","2.0","2.0","4.0","0.10526315789473684","0.10526315789473684","2.0","1.0","2.0","0.10526315789473684","0.05263157894736842","2.0","2.0","4.0","0.10526315789473684","0.10526315789473684","5.0","0.0","0.0","0.2631578947368421","0.0","2.0","2.0","4.0","0.10526315789473684","0.10526315789473684","2.0","3.0","6.0","0.10526315789473684","0.15789473684210525","4.0","0.0","0.0","0.21052631578947367","0.0","2.0","0.0","0.0","0.10526315789473684","0.0","1.0","8.0","8.0","0.05263157894736842","0.42105263157894735","10.0","9.0","90.0","0.5263157894736842","0.47368421052631576","1.0","7.0","7.0","0.05263157894736842","0.3684210526315789","1.0","16.0","16.0","0.05263157894736842","0.8421052631578947","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"3","3.0","2.0","6.0","0.15789473684210525","0.10526315789473684","2.0","1.0","2.0","0.10526315789473684","0.05263157894736842","3.0","0.0","0.0","0.15789473684210525","0.0","6.0","1.0","6.0","0.3157894736842105","0.05263157894736842","3.0","1.0","3.0","0.15789473684210525","0.05263157894736842","2.0","1.0","2.0","0.10526315789473684","0.05263157894736842","3.0","0.0","0.0","0.15789473684210525","0.0","2.0","2.0","4.0","0.10526315789473684","0.10526315789473684","2.0","1.0","2.0","0.10526315789473684","0.05263157894736842","2.0","2.0","4.0","0.10526315789473684","0.10526315789473684","5.0","0.0","0.0","0.2631578947368421","0.0","2.0","2.0","4.0","0.10526315789473684","0.10526315789473684","2.0","3.0","6.0","0.10526315789473684","0.15789473684210525","4.0","0.0","0.0","0.21052631578947367","0.0","2.0","0.0","0.0","0.10526315789473684","0.0","1.0","8.0","8.0","0.05263157894736842","0.42105263157894735","10.0","9.0","90.0","0.5263157894736842","0.47368421052631576","1.0","7.0","7.0","0.05263157894736842","0.3684210526315789","1.0","16.0","16.0","0.05263157894736842","0.8421052631578947","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"4","3.0","2.0","6.0","0.15789473684210525","0.10526315789473684","2.0","1.0","2.0","0.10526315789473684","0.05263157894736842","3.0","0.0","0.0","0.15789473684210525","0.0","6.0","1.0","6.0","0.3157894736842105","0.05263157894736842","3.0","1.0","3.0","0.15789473684210525","0.05263157894736842","2.0","1.0","2.0","0.10526315789473684","0.05263157894736842","3.0","0.0","0.0","0.15789473684210525","0.0","2.0","2.0","4.0","0.10526315789473684","0.10526315789473684","2.0","1.0","2.0","0.10526315789473684","0.05263157894736842","2.0","2.0","4.0","0.10526315789473684","0.10526315789473684","5.0","0.0","0.0","0.2631578947368421","0.0","2.0","2.0","4.0","0.10526315789473684","0.10526315789473684","2.0","3.0","6.0","0.10526315789473684","0.15789473684210525","4.0","0.0","0.0","0.21052631578947367","0.0","2.0","0.0","0.0","0.10526315789473684","0.0","1.0","8.0","8.0","0.05263157894736842","0.42105263157894735","10.0","9.0","90.0","0.5263157894736842","0.47368421052631576","1.0","7.0","7.0","0.05263157894736842","0.3684210526315789","1.0","16.0","16.0","0.05263157894736842","0.8421052631578947","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"5","3.0","2.0","6.0","0.14285714285714285","0.09523809523809523","2.0","1.0","2.0","0.09523809523809523","0.047619047619047616","3.0","0.0","0.0","0.14285714285714285","0.0","6.0","1.0","6.0","0.2857142857142857","0.047619047619047616","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","2.0","1.0","2.0","0.09523809523809523","0.047619047619047616","3.0","0.0","0.0","0.14285714285714285","0.0","2.0","2.0","4.0","0.09523809523809523","0.09523809523809523","2.0","1.0","2.0","0.09523809523809523","0.047619047619047616","2.0","2.0","4.0","0.09523809523809523","0.09523809523809523","5.0","0.0","0.0","0.23809523809523808","0.0","2.0","2.0","4.0","0.09523809523809523","0.09523809523809523","2.0","5.0","10.0","0.09523809523809523","0.23809523809523808","4.0","0.0","0.0","0.19047619047619047","0.0","2.0","0.0","0.0","0.09523809523809523","0.0","1.0","10.0","10.0","0.047619047619047616","0.47619047619047616","10.0","9.0","90.0","0.47619047619047616","0.42857142857142855","1.0","8.0","8.0","0.047619047619047616","0.38095238095238093","1.0","16.0","16.0","0.047619047619047616","0.7619047619047619","2.0","0.0","0.0","0.09523809523809523","0.0","3.0","0.0","0.0","0.14285714285714285","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"6","3.0","2.0","6.0","0.14285714285714285","0.09523809523809523","2.0","1.0","2.0","0.09523809523809523","0.047619047619047616","3.0","0.0","0.0","0.14285714285714285","0.0","6.0","1.0","6.0","0.2857142857142857","0.047619047619047616","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","2.0","1.0","2.0","0.09523809523809523","0.047619047619047616","3.0","0.0","0.0","0.14285714285714285","0.0","2.0","2.0","4.0","0.09523809523809523","0.09523809523809523","2.0","1.0","2.0","0.09523809523809523","0.047619047619047616","2.0","2.0","4.0","0.09523809523809523","0.09523809523809523","5.0","0.0","0.0","0.23809523809523808","0.0","2.0","2.0","4.0","0.09523809523809523","0.09523809523809523","2.0","5.0","10.0","0.09523809523809523","0.23809523809523808","4.0","0.0","0.0","0.19047619047619047","0.0","2.0","0.0","0.0","0.09523809523809523","0.0","1.0","10.0","10.0","0.047619047619047616","0.47619047619047616","10.0","9.0","90.0","0.47619047619047616","0.42857142857142855","1.0","8.0","8.0","0.047619047619047616","0.38095238095238093","1.0","16.0","16.0","0.047619047619047616","0.7619047619047619","2.0","0.0","0.0","0.09523809523809523","0.0","3.0","0.0","0.0","0.14285714285714285","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"7","3.0","2.0","6.0","0.13636363636363635","0.09090909090909091","2.0","1.0","2.0","0.09090909090909091","0.045454545454545456","3.0","0.0","0.0","0.13636363636363635","0.0","6.0","1.0","6.0","0.2727272727272727","0.045454545454545456","3.0","1.0","3.0","0.13636363636363635","0.045454545454545456","2.0","1.0","2.0","0.09090909090909091","0.045454545454545456","3.0","0.0","0.0","0.13636363636363635","0.0","2.0","2.0","4.0","0.09090909090909091","0.09090909090909091","2.0","1.0","2.0","0.09090909090909091","0.045454545454545456","2.0","2.0","4.0","0.09090909090909091","0.09090909090909091","5.0","0.0","0.0","0.22727272727272727","0.0","2.0","2.0","4.0","0.09090909090909091","0.09090909090909091","2.0","6.0","12.0","0.09090909090909091","0.2727272727272727","4.0","0.0","0.0","0.18181818181818182","0.0","2.0","0.0","0.0","0.09090909090909091","0.0","1.0","11.0","11.0","0.045454545454545456","0.5","10.0","9.0","90.0","0.45454545454545453","0.4090909090909091","1.0","8.0","8.0","0.045454545454545456","0.36363636363636365","1.0","16.0","16.0","0.045454545454545456","0.7272727272727273","2.0","0.0","0.0","0.09090909090909091","0.0","3.0","0.0","0.0","0.13636363636363635","0.0","2.0","0.0","0.0","0.09090909090909091","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"8","3.0","2.0","6.0","0.13636363636363635","0.09090909090909091","2.0","1.0","2.0","0.09090909090909091","0.045454545454545456","3.0","0.0","0.0","0.13636363636363635","0.0","6.0","1.0","6.0","0.2727272727272727","0.045454545454545456","3.0","1.0","3.0","0.13636363636363635","0.045454545454545456","2.0","1.0","2.0","0.09090909090909091","0.045454545454545456","3.0","0.0","0.0","0.13636363636363635","0.0","2.0","2.0","4.0","0.09090909090909091","0.09090909090909091","2.0","1.0","2.0","0.09090909090909091","0.045454545454545456","2.0","2.0","4.0","0.09090909090909091","0.09090909090909091","5.0","0.0","0.0","0.22727272727272727","0.0","2.0","2.0","4.0","0.09090909090909091","0.09090909090909091","2.0","6.0","12.0","0.09090909090909091","0.2727272727272727","4.0","0.0","0.0","0.18181818181818182","0.0","2.0","0.0","0.0","0.09090909090909091","0.0","1.0","11.0","11.0","0.045454545454545456","0.5","10.0","9.0","90.0","0.45454545454545453","0.4090909090909091","1.0","8.0","8.0","0.045454545454545456","0.36363636363636365","1.0","16.0","16.0","0.045454545454545456","0.7272727272727273","2.0","0.0","0.0","0.09090909090909091","0.0","3.0","0.0","0.0","0.13636363636363635","0.0","2.0","0.0","0.0","0.09090909090909091","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"9","3.0","2.0","6.0","0.13043478260869565","0.08695652173913043","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","3.0","0.0","0.0","0.13043478260869565","0.0","6.0","1.0","6.0","0.2608695652173913","0.043478260869565216","3.0","1.0","3.0","0.13043478260869565","0.043478260869565216","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","3.0","0.0","0.0","0.13043478260869565","0.0","2.0","2.0","4.0","0.08695652173913043","0.08695652173913043","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","2.0","2.0","4.0","0.08695652173913043","0.08695652173913043","5.0","0.0","0.0","0.21739130434782608","0.0","2.0","2.0","4.0","0.08695652173913043","0.08695652173913043","2.0","7.0","14.0","0.08695652173913043","0.30434782608695654","4.0","0.0","0.0","0.17391304347826086","0.0","2.0","0.0","0.0","0.08695652173913043","0.0","1.0","12.0","12.0","0.043478260869565216","0.5217391304347826","10.0","9.0","90.0","0.43478260869565216","0.391304347826087","1.0","9.0","9.0","0.043478260869565216","0.391304347826087","1.0","17.0","17.0","0.043478260869565216","0.7391304347826086","2.0","0.0","0.0","0.08695652173913043","0.0","3.0","0.0","0.0","0.13043478260869565","0.0","2.0","0.0","0.0","0.08695652173913043","0.0","4.0","0.0","0.0","0.17391304347826086","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"10","3.0","2.0","6.0","0.13043478260869565","0.08695652173913043","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","3.0","0.0","0.0","0.13043478260869565","0.0","6.0","1.0","6.0","0.2608695652173913","0.043478260869565216","3.0","1.0","3.0","0.13043478260869565","0.043478260869565216","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","3.0","0.0","0.0","0.13043478260869565","0.0","2.0","2.0","4.0","0.08695652173913043","0.08695652173913043","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","2.0","2.0","4.0","0.08695652173913043","0.08695652173913043","5.0","0.0","0.0","0.21739130434782608","0.0","2.0","2.0","4.0","0.08695652173913043","0.08695652173913043","2.0","7.0","14.0","0.08695652173913043","0.30434782608695654","4.0","0.0","0.0","0.17391304347826086","0.0","2.0","0.0","0.0","0.08695652173913043","0.0","1.0","12.0","12.0","0.043478260869565216","0.5217391304347826","10.0","9.0","90.0","0.43478260869565216","0.391304347826087","1.0","9.0","9.0","0.043478260869565216","0.391304347826087","1.0","17.0","17.0","0.043478260869565216","0.7391304347826086","2.0","0.0","0.0","0.08695652173913043","0.0","3.0","0.0","0.0","0.13043478260869565","0.0","2.0","0.0","0.0","0.08695652173913043","0.0","4.0","0.0","0.0","0.17391304347826086","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
