"release","BA1-ADS","BA1-AIS","BA1-ACS","BA1-RCS","BA1-RIS","BA2-ADS","BA2-AIS","BA2-ACS","BA2-RCS","BA2-RIS","BA3-ADS","BA3-AIS","BA3-ACS","BA3-RCS","BA3-RIS","BA4-ADS","BA4-AIS","BA4-ACS","BA4-RCS","BA4-RIS","BA5-ADS","BA5-AIS","BA5-ACS","BA5-RCS","BA5-RIS","GTW-ADS","GTW-AIS","GTW-ACS","GTW-RCS","GTW-RIS","REG-ADS","REG-AIS","REG-ACS","REG-RCS","REG-RIS","MSB-ADS","MSB-AIS","MSB-ACS","MSB-RCS","MSB-RIS","CFG-ADS","CFG-AIS","CFG-ACS","CFG-RCS","CFG-RIS","MSV1-ADS","MSV1-AIS","MSV1-ACS","MSV1-RCS","MSV1-RIS"
"1","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","2.0","4.0","8.0","0.2222222222222222","0.4444444444444444","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","2.0","0.0","0.0","0.2222222222222222","0.0","1.0","3.0","3.0","0.1111111111111111","0.3333333333333333","3.0","3.0","9.0","0.3333333333333333","0.3333333333333333","0.0","4.0","0.0","0.0","0.4444444444444444","0.0","0.0","0.0","0.0","0.0"
"2","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","2.0","4.0","8.0","0.2222222222222222","0.4444444444444444","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","2.0","0.0","0.0","0.2222222222222222","0.0","1.0","3.0","3.0","0.1111111111111111","0.3333333333333333","3.0","3.0","9.0","0.3333333333333333","0.3333333333333333","0.0","4.0","0.0","0.0","0.4444444444444444","0.0","0.0","0.0","0.0","0.0"
"3","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","2.0","4.0","8.0","0.2222222222222222","0.4444444444444444","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","2.0","0.0","0.0","0.2222222222222222","0.0","1.0","3.0","3.0","0.1111111111111111","0.3333333333333333","3.0","3.0","9.0","0.3333333333333333","0.3333333333333333","0.0","4.0","0.0","0.0","0.4444444444444444","0.0","0.0","0.0","0.0","0.0"
"4","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","2.0","4.0","8.0","0.2222222222222222","0.4444444444444444","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","2.0","0.0","0.0","0.2222222222222222","0.0","1.0","3.0","3.0","0.1111111111111111","0.3333333333333333","3.0","3.0","9.0","0.3333333333333333","0.3333333333333333","0.0","4.0","0.0","0.0","0.4444444444444444","0.0","0.0","0.0","0.0","0.0"
"5","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","2.0","4.0","8.0","0.2222222222222222","0.4444444444444444","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","2.0","0.0","0.0","0.2222222222222222","0.0","1.0","3.0","3.0","0.1111111111111111","0.3333333333333333","3.0","3.0","9.0","0.3333333333333333","0.3333333333333333","0.0","4.0","0.0","0.0","0.4444444444444444","0.0","0.0","0.0","0.0","0.0"
"6","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","2.0","4.0","8.0","0.2222222222222222","0.4444444444444444","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","2.0","0.0","0.0","0.2222222222222222","0.0","1.0","3.0","3.0","0.1111111111111111","0.3333333333333333","3.0","3.0","9.0","0.3333333333333333","0.3333333333333333","0.0","4.0","0.0","0.0","0.4444444444444444","0.0","0.0","0.0","0.0","0.0"
"7","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","2.0","4.0","8.0","0.2222222222222222","0.4444444444444444","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","2.0","0.0","0.0","0.2222222222222222","0.0","1.0","3.0","3.0","0.1111111111111111","0.3333333333333333","3.0","3.0","9.0","0.3333333333333333","0.3333333333333333","0.0","4.0","0.0","0.0","0.4444444444444444","0.0","0.0","0.0","0.0","0.0"
"8","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","2.0","4.0","8.0","0.2222222222222222","0.4444444444444444","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","2.0","0.0","0.0","0.2222222222222222","0.0","1.0","3.0","3.0","0.1111111111111111","0.3333333333333333","3.0","3.0","9.0","0.3333333333333333","0.3333333333333333","0.0","4.0","0.0","0.0","0.4444444444444444","0.0","0.0","0.0","0.0","0.0"
"9","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","2.0","4.0","8.0","0.2222222222222222","0.4444444444444444","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","2.0","0.0","0.0","0.2222222222222222","0.0","1.0","3.0","3.0","0.1111111111111111","0.3333333333333333","3.0","3.0","9.0","0.3333333333333333","0.3333333333333333","0.0","4.0","0.0","0.0","0.4444444444444444","0.0","0.0","0.0","0.0","0.0"
"10","2.0","1.0","2.0","0.2","0.1","2.0","2.0","4.0","0.2","0.2","3.0","1.0","3.0","0.3","0.1","2.0","1.0","2.0","0.2","0.1","3.0","1.0","3.0","0.3","0.1","2.0","0.0","0.0","0.2","0.0","1.0","4.0","4.0","0.1","0.4","3.0","3.0","9.0","0.3","0.3","0.0","4.0","0.0","0.0","0.4","1.0","2.0","2.0","0.1","0.2"
