"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","BA1-ADS","BA1-GINI -ADS","BA1-AIS","BA1-GINI -AIS","BA2-ADS","BA2-GINI -ADS","BA2-AIS","BA2-GINI -AIS","BA3-ADS","BA3-GINI -ADS","BA3-AIS","BA3-GINI -AIS","BA4-ADS","BA4-GINI -ADS","BA4-AIS","BA4-GINI -AIS","BA5-ADS","BA5-GINI -ADS","BA5-AIS","BA5-GINI -AIS","BA6-ADS","BA6-GINI -ADS","BA6-AIS","BA6-GINI -AIS","BA7-ADS","BA7-GINI -ADS","BA7-AIS","BA7-GINI -AIS","BA8-ADS","BA8-GINI -ADS","BA8-AIS","BA8-GINI -AIS","BA9-ADS","BA9-GINI -ADS","BA9-AIS","BA9-GINI -AIS","BA10-ADS","BA10-GINI -ADS","BA10-AIS","BA10-GINI -AIS","BA11-ADS","BA11-GINI -ADS","BA11-AIS","BA11-GINI -AIS","BA12-ADS","BA12-GINI -ADS","BA12-AIS","BA12-GINI -AIS","BA13-ADS","BA13-GINI -ADS","BA13-AIS","BA13-GINI -AIS","BA14-ADS","BA14-GINI -ADS","BA14-AIS","BA14-GINI -AIS","BA15-ADS","BA15-GINI -ADS","BA15-AIS","BA15-GINI -AIS","BA16-ADS","BA16-GINI -ADS","BA16-AIS","BA16-GINI -AIS","BA17-ADS","BA17-GINI -ADS","BA17-AIS","BA17-GINI -AIS","BA18-ADS","BA18-GINI -ADS","BA18-AIS","BA18-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","MSB-ADS","MSB-GINI -ADS","MSB-AIS","MSB-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS","TRC-ADS","TRC-GINI -ADS","TRC-AIS","TRC-GINI -AIS"
"0","0.3546019","0.5770751","0.15217391304347827","3.347826086956522","9.0","0","1.0","0","2.0","0","6.0","0","2.0","0","2.0","0","4.0","0","1.0","0","4.0","0","2.0","0","2.0","0","1.0","0","3.0","0","2.0","0","3.0","0","2.0","0","4.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","13.0","0","0.0","0","1.0","0","11.0","0","6.0","0","9.0","0","1.0","0","9.0","0","1.0","0","20.0","0"
"1","0.3546019","0.5770751","0.15217391304347827","3.347826086956522","9.0","0","1.0","0","2.0","0","6.0","0","2.0","0","2.0","0","4.0","0","1.0","0","4.0","0","2.0","0","2.0","0","1.0","0","3.0","0","2.0","0","3.0","0","2.0","0","4.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","13.0","0","0.0","0","1.0","0","11.0","0","6.0","0","9.0","0","1.0","0","9.0","0","1.0","0","20.0","0"
"2","0.3546019","0.5770751","0.15217391304347827","3.347826086956522","9.0","0","1.0","0","2.0","0","6.0","0","2.0","0","2.0","0","4.0","0","1.0","0","4.0","0","2.0","0","2.0","0","1.0","0","3.0","0","2.0","0","3.0","0","2.0","0","4.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","13.0","0","0.0","0","1.0","0","11.0","0","6.0","0","9.0","0","1.0","0","9.0","0","1.0","0","20.0","0"
"3","0.3684211","0.5755149","0.15019762845849802","3.3043478260869565","9.0","0","1.0","0","1.0","0.1071429","6.0","0","2.0","0","2.0","0","4.0","0","1.0","0","4.0","0","2.0","0","2.0","0","1.0","0","3.0","0","2.0","0","3.0","0","2.0","0","4.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","13.0","0","0.0","0","1.0","0","11.0","0","6.0","0","8.0","0.02142857","1.0","0","9.0","0","1.0","0","20.0","0"
"4","0.3684211","0.5755149","0.15019762845849802","3.3043478260869565","9.0","0","1.0","0","1.0","0.15","6.0","0","2.0","0","2.0","0","4.0","0","1.0","0","4.0","0","2.0","0","2.0","0","1.0","0","3.0","0","2.0","0","3.0","0","2.0","0","4.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","13.0","0","0.0","0","1.0","0","11.0","0","6.0","0","8.0","0.02790698","1.0","0","9.0","0","1.0","0","20.0","0"
"5","0.3684211","0.5755149","0.15019762845849802","3.3043478260869565","9.0","0","1.0","0","1.0","0.1666667","6.0","0","2.0","0","2.0","0","4.0","0","1.0","0","4.0","0","2.0","0","2.0","0","1.0","0","3.0","0","2.0","0","3.0","0","2.0","0","4.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","13.0","0","0.0","0","1.0","0","11.0","0","6.0","0","8.0","0.02941176","1.0","0","9.0","0","1.0","0","20.0","0"
"6","0.3684211","0.5755149","0.15019762845849802","3.3043478260869565","9.0","0","1.0","0","1.0","0.1714286","6.0","0","2.0","0","2.0","0","4.0","0","1.0","0","4.0","0","2.0","0","2.0","0","1.0","0","3.0","0","2.0","0","3.0","0","2.0","0","4.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","13.0","0","0.0","0","1.0","0","11.0","0","6.0","0","8.0","0.02905569","1.0","0","9.0","0","1.0","0","20.0","0"
"7","0.3684211","0.5755149","0.15019762845849802","3.3043478260869565","9.0","0","1.0","0","1.0","0.1704545","6.0","0","2.0","0","2.0","0","4.0","0","1.0","0","4.0","0","2.0","0","2.0","0","1.0","0","3.0","0","2.0","0","3.0","0","2.0","0","4.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","13.0","0","0.0","0","1.0","0","11.0","0","6.0","0","8.0","0.02798507","1.0","0","9.0","0","1.0","0","20.0","0"
"8","0.3684211","0.5755149","0.15019762845849802","3.3043478260869565","9.0","0","1.0","0","1.0","0.1666667","6.0","0","2.0","0","2.0","0","4.0","0","1.0","0","4.0","0","2.0","0","2.0","0","1.0","0","3.0","0","2.0","0","3.0","0","2.0","0","4.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","13.0","0","0.0","0","1.0","0","11.0","0","6.0","0","8.0","0.02666667","1.0","0","9.0","0","1.0","0","20.0","0"
"9","0.3684211","0.5755149","0.15019762845849802","3.3043478260869565","9.0","0","1.0","0","1.0","0.1615385","6.0","0","2.0","0","2.0","0","4.0","0","1.0","0","4.0","0","2.0","0","2.0","0","1.0","0","3.0","0","2.0","0","3.0","0","2.0","0","4.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","13.0","0","0.0","0","1.0","0","11.0","0","6.0","0","8.0","0.02530120","1.0","0","9.0","0","1.0","0","20.0","0"
