"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","RD1-ADS","RD1-GINI -ADS","RD1-AIS","RD1-GINI -AIS","RD2-ADS","RD2-GINI -ADS","RD2-AIS","RD2-GINI -AIS","RD3-ADS","RD3-GINI -ADS","RD3-AIS","RD3-GINI -AIS","RD4-ADS","RD4-GINI -ADS","RD4-AIS","RD4-GINI -AIS","RD5-ADS","RD5-GINI -ADS","RD5-AIS","RD5-GINI -AIS","RD6-ADS","RD6-GINI -ADS","RD6-AIS","RD6-GINI -AIS","RD7-ADS","RD7-GINI -ADS","RD7-AIS","RD7-GINI -AIS","RD8-ADS","RD8-GINI -ADS","RD8-AIS","RD8-GINI -AIS","RD9-ADS","RD9-GINI -ADS","RD9-AIS","RD9-GINI -AIS","RD10-ADS","RD10-GINI -ADS","RD10-AIS","RD10-GINI -AIS","RD11-ADS","RD11-GINI -ADS","RD11-AIS","RD11-GINI -AIS","RD12-ADS","RD12-GINI -ADS","RD12-AIS","RD12-GINI -AIS","RD13-ADS","RD13-GINI -ADS","RD13-AIS","RD13-GINI -AIS","CPS1-ADS","CPS1-GINI -ADS","CPS1-AIS","CPS1-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","MSB-ADS","MSB-GINI -ADS","MSB-AIS","MSB-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"0","0.3378582","0.5610860","0.14338235294117646","2.2941176470588234","2.0","0","1.0","0","1.0","0","11.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","4.0","0","0.0","0","0.0","0","6.0","0","10.0","0","9.0","0","0.0","","0.0"
"1","0.3378582","0.5610860","0.14338235294117646","2.2941176470588234","2.0","0","1.0","0","1.0","0","11.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","4.0","0","0.0","0","0.0","0","6.0","0","10.0","0","9.0","0","0.0","","0.0"
"2","0.3378582","0.5610860","0.14338235294117646","2.2941176470588234","2.0","0","1.0","0","1.0","0","11.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","4.0","0","0.0","0","0.0","0","6.0","0","10.0","0","9.0","0","0.0","","0.0"
"3","0.3378582","0.5610860","0.14338235294117646","2.2941176470588234","2.0","0","1.0","0","1.0","0","11.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","4.0","0","0.0","0","0.0","0","6.0","0","10.0","0","9.0","0","0.0","","0.0"
"4","0.3378582","0.5610860","0.14338235294117646","2.2941176470588234","2.0","0","1.0","0","1.0","0","11.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","4.0","0","0.0","0","0.0","0","6.0","0","10.0","0","9.0","0","0.0","","0.0"
"5","0.3378582","0.5610860","0.14338235294117646","2.2941176470588234","2.0","0","1.0","0","1.0","0","11.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","4.0","0","0.0","0","0.0","0","6.0","0","10.0","0","9.0","0","0.0","","0.0"
"6","0.3444444","0.5222222","0.13071895424836602","2.2222222222222223","2.0","0","1.0","0","1.0","0","6.0","0.05952381","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","4.0","0","0.0","0","0.0","0","7.0","0.01993355","10.0","0","9.0","0","1.0","0","5.0","0"
"7","0.3444444","0.5222222","0.13071895424836602","2.2222222222222223","2.0","0","1.0","0","1.0","0","6.0","0.09615385","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","4.0","0","0.0","0","0.0","0","7.0","0.03","10.0","0","9.0","0","1.0","0","5.0","0"
"8","0.3444444","0.5222222","0.13071895424836602","2.2222222222222223","2.0","0","1.0","0","1.0","0","6.0","0.1190476","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","4.0","0","0.0","0","0.0","0","7.0","0.03508772","10.0","0","9.0","0","1.0","0","5.0","0"
"9","0.3444444","0.5222222","0.13071895424836602","2.2222222222222223","2.0","0","1.0","0","1.0","0","6.0","0.1333333","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","4.0","0","0.0","0","0.0","0","7.0","0.0375","10.0","0","9.0","0","1.0","0","5.0","0"
