"release","BA1-ADS","BA1-AIS","BA1-ACS","BA1-RCS","BA1-RIS","BA2-ADS","BA2-AIS","BA2-ACS","BA2-RCS","BA2-RIS","BA3-ADS","BA3-AIS","BA3-ACS","BA3-RCS","BA3-RIS","BA4-ADS","BA4-AIS","BA4-ACS","BA4-RCS","BA4-RIS","BA5-ADS","BA5-AIS","BA5-ACS","BA5-RCS","BA5-RIS","BA6-ADS","BA6-AIS","BA6-ACS","BA6-RCS","BA6-RIS","BA7-ADS","BA7-AIS","BA7-ACS","BA7-RCS","BA7-RIS","BA8-ADS","BA8-AIS","BA8-ACS","BA8-RCS","BA8-RIS","BA9-ADS","BA9-AIS","BA9-ACS","BA9-RCS","BA9-RIS","BA10-ADS","BA10-AIS","BA10-ACS","BA10-RCS","BA10-RIS","BA11-ADS","BA11-AIS","BA11-ACS","BA11-RCS","BA11-RIS","BA12-ADS","BA12-AIS","BA12-ACS","BA12-RCS","BA12-RIS","BA13-ADS","BA13-AIS","BA13-ACS","BA13-RCS","BA13-RIS","BA14-ADS","BA14-AIS","BA14-ACS","BA14-RCS","BA14-RIS","CPS1-ADS","CPS1-AIS","CPS1-ACS","CPS1-RCS","CPS1-RIS","GTW-ADS","GTW-AIS","GTW-ACS","GTW-RCS","GTW-RIS","REG-ADS","REG-AIS","REG-ACS","REG-RCS","REG-RIS","CFG-ADS","CFG-AIS","CFG-ACS","CFG-RCS","CFG-RIS","TRC-ADS","TRC-AIS","TRC-ACS","TRC-RCS","TRC-RIS","MSV1-ADS","MSV1-AIS","MSV1-ACS","MSV1-RCS","MSV1-RIS"
"1","3.0","1.0","3.0","0.15789473684210525","0.05263157894736842","3.0","13.0","39.0","0.15789473684210525","0.6842105263157895","4.0","0.0","0.0","0.21052631578947367","0.0","3.0","0.0","0.0","0.15789473684210525","0.0","4.0","0.0","0.0","0.21052631578947367","0.0","4.0","1.0","4.0","0.21052631578947367","0.05263157894736842","3.0","1.0","3.0","0.15789473684210525","0.05263157894736842","3.0","0.0","0.0","0.15789473684210525","0.0","3.0","1.0","3.0","0.15789473684210525","0.05263157894736842","3.0","1.0","3.0","0.15789473684210525","0.05263157894736842","4.0","1.0","4.0","0.21052631578947367","0.05263157894736842","4.0","1.0","4.0","0.21052631578947367","0.05263157894736842","3.0","1.0","3.0","0.15789473684210525","0.05263157894736842","4.0","1.0","4.0","0.21052631578947367","0.05263157894736842","4.0","1.0","4.0","0.21052631578947367","0.05263157894736842","8.0","0.0","0.0","0.42105263157894735","0.0","1.0","16.0","16.0","0.05263157894736842","0.8421052631578947","1.0","7.0","7.0","0.05263157894736842","0.3684210526315789","1.0","17.0","17.0","0.05263157894736842","0.8947368421052632","0.0","0.0","0.0","0.0","0.0"
"2","3.0","1.0","3.0","0.15789473684210525","0.05263157894736842","3.0","13.0","39.0","0.15789473684210525","0.6842105263157895","4.0","0.0","0.0","0.21052631578947367","0.0","3.0","0.0","0.0","0.15789473684210525","0.0","4.0","0.0","0.0","0.21052631578947367","0.0","4.0","1.0","4.0","0.21052631578947367","0.05263157894736842","3.0","1.0","3.0","0.15789473684210525","0.05263157894736842","3.0","0.0","0.0","0.15789473684210525","0.0","3.0","1.0","3.0","0.15789473684210525","0.05263157894736842","3.0","1.0","3.0","0.15789473684210525","0.05263157894736842","4.0","1.0","4.0","0.21052631578947367","0.05263157894736842","4.0","1.0","4.0","0.21052631578947367","0.05263157894736842","3.0","1.0","3.0","0.15789473684210525","0.05263157894736842","4.0","1.0","4.0","0.21052631578947367","0.05263157894736842","4.0","1.0","4.0","0.21052631578947367","0.05263157894736842","8.0","0.0","0.0","0.42105263157894735","0.0","1.0","16.0","16.0","0.05263157894736842","0.8421052631578947","1.0","7.0","7.0","0.05263157894736842","0.3684210526315789","1.0","17.0","17.0","0.05263157894736842","0.8947368421052632","0.0","0.0","0.0","0.0","0.0"
"3","3.0","1.0","3.0","0.15789473684210525","0.05263157894736842","3.0","13.0","39.0","0.15789473684210525","0.6842105263157895","4.0","0.0","0.0","0.21052631578947367","0.0","3.0","0.0","0.0","0.15789473684210525","0.0","4.0","0.0","0.0","0.21052631578947367","0.0","4.0","1.0","4.0","0.21052631578947367","0.05263157894736842","3.0","1.0","3.0","0.15789473684210525","0.05263157894736842","3.0","0.0","0.0","0.15789473684210525","0.0","3.0","1.0","3.0","0.15789473684210525","0.05263157894736842","3.0","1.0","3.0","0.15789473684210525","0.05263157894736842","4.0","1.0","4.0","0.21052631578947367","0.05263157894736842","4.0","1.0","4.0","0.21052631578947367","0.05263157894736842","3.0","1.0","3.0","0.15789473684210525","0.05263157894736842","4.0","1.0","4.0","0.21052631578947367","0.05263157894736842","4.0","1.0","4.0","0.21052631578947367","0.05263157894736842","8.0","0.0","0.0","0.42105263157894735","0.0","1.0","16.0","16.0","0.05263157894736842","0.8421052631578947","1.0","7.0","7.0","0.05263157894736842","0.3684210526315789","1.0","17.0","17.0","0.05263157894736842","0.8947368421052632","0.0","0.0","0.0","0.0","0.0"
"4","3.0","1.0","3.0","0.15","0.05","3.0","7.0","21.0","0.15","0.35","4.0","0.0","0.0","0.2","0.0","3.0","0.0","0.0","0.15","0.0","4.0","0.0","0.0","0.2","0.0","4.0","1.0","4.0","0.2","0.05","3.0","1.0","3.0","0.15","0.05","3.0","0.0","0.0","0.15","0.0","3.0","1.0","3.0","0.15","0.05","3.0","1.0","3.0","0.15","0.05","4.0","1.0","4.0","0.2","0.05","4.0","1.0","4.0","0.2","0.05","3.0","1.0","3.0","0.15","0.05","4.0","1.0","4.0","0.2","0.05","4.0","1.0","4.0","0.2","0.05","8.0","0.0","0.0","0.4","0.0","1.0","17.0","17.0","0.05","0.85","1.0","7.0","7.0","0.05","0.35","1.0","17.0","17.0","0.05","0.85","1.0","6.0","6.0","0.05","0.3"
"5","3.0","1.0","3.0","0.15","0.05","3.0","7.0","21.0","0.15","0.35","4.0","0.0","0.0","0.2","0.0","3.0","0.0","0.0","0.15","0.0","4.0","0.0","0.0","0.2","0.0","4.0","1.0","4.0","0.2","0.05","3.0","1.0","3.0","0.15","0.05","3.0","0.0","0.0","0.15","0.0","3.0","1.0","3.0","0.15","0.05","3.0","1.0","3.0","0.15","0.05","4.0","1.0","4.0","0.2","0.05","4.0","1.0","4.0","0.2","0.05","3.0","1.0","3.0","0.15","0.05","4.0","1.0","4.0","0.2","0.05","4.0","1.0","4.0","0.2","0.05","8.0","0.0","0.0","0.4","0.0","1.0","17.0","17.0","0.05","0.85","1.0","7.0","7.0","0.05","0.35","1.0","17.0","17.0","0.05","0.85","1.0","6.0","6.0","0.05","0.3"
"6","3.0","1.0","3.0","0.15","0.05","3.0","7.0","21.0","0.15","0.35","4.0","0.0","0.0","0.2","0.0","3.0","0.0","0.0","0.15","0.0","4.0","0.0","0.0","0.2","0.0","4.0","1.0","4.0","0.2","0.05","3.0","1.0","3.0","0.15","0.05","3.0","0.0","0.0","0.15","0.0","3.0","1.0","3.0","0.15","0.05","3.0","1.0","3.0","0.15","0.05","4.0","1.0","4.0","0.2","0.05","4.0","1.0","4.0","0.2","0.05","3.0","1.0","3.0","0.15","0.05","4.0","1.0","4.0","0.2","0.05","4.0","1.0","4.0","0.2","0.05","8.0","0.0","0.0","0.4","0.0","1.0","17.0","17.0","0.05","0.85","1.0","7.0","7.0","0.05","0.35","1.0","17.0","17.0","0.05","0.85","1.0","6.0","6.0","0.05","0.3"
"7","3.0","1.0","3.0","0.15","0.05","3.0","7.0","21.0","0.15","0.35","4.0","0.0","0.0","0.2","0.0","3.0","0.0","0.0","0.15","0.0","4.0","0.0","0.0","0.2","0.0","4.0","1.0","4.0","0.2","0.05","3.0","1.0","3.0","0.15","0.05","3.0","0.0","0.0","0.15","0.0","3.0","1.0","3.0","0.15","0.05","3.0","1.0","3.0","0.15","0.05","4.0","1.0","4.0","0.2","0.05","4.0","1.0","4.0","0.2","0.05","3.0","1.0","3.0","0.15","0.05","4.0","1.0","4.0","0.2","0.05","4.0","1.0","4.0","0.2","0.05","8.0","0.0","0.0","0.4","0.0","1.0","17.0","17.0","0.05","0.85","1.0","7.0","7.0","0.05","0.35","1.0","17.0","17.0","0.05","0.85","1.0","6.0","6.0","0.05","0.3"
"8","3.0","1.0","3.0","0.15","0.05","3.0","7.0","21.0","0.15","0.35","4.0","0.0","0.0","0.2","0.0","3.0","0.0","0.0","0.15","0.0","4.0","0.0","0.0","0.2","0.0","4.0","1.0","4.0","0.2","0.05","3.0","1.0","3.0","0.15","0.05","3.0","0.0","0.0","0.15","0.0","3.0","1.0","3.0","0.15","0.05","3.0","1.0","3.0","0.15","0.05","4.0","1.0","4.0","0.2","0.05","4.0","1.0","4.0","0.2","0.05","3.0","1.0","3.0","0.15","0.05","4.0","1.0","4.0","0.2","0.05","4.0","1.0","4.0","0.2","0.05","8.0","0.0","0.0","0.4","0.0","1.0","17.0","17.0","0.05","0.85","1.0","7.0","7.0","0.05","0.35","1.0","17.0","17.0","0.05","0.85","1.0","6.0","6.0","0.05","0.3"
"9","3.0","1.0","3.0","0.15","0.05","3.0","7.0","21.0","0.15","0.35","4.0","0.0","0.0","0.2","0.0","3.0","0.0","0.0","0.15","0.0","4.0","0.0","0.0","0.2","0.0","4.0","1.0","4.0","0.2","0.05","3.0","1.0","3.0","0.15","0.05","3.0","0.0","0.0","0.15","0.0","3.0","1.0","3.0","0.15","0.05","3.0","1.0","3.0","0.15","0.05","4.0","1.0","4.0","0.2","0.05","4.0","1.0","4.0","0.2","0.05","3.0","1.0","3.0","0.15","0.05","4.0","1.0","4.0","0.2","0.05","4.0","1.0","4.0","0.2","0.05","8.0","0.0","0.0","0.4","0.0","1.0","17.0","17.0","0.05","0.85","1.0","7.0","7.0","0.05","0.35","1.0","17.0","17.0","0.05","0.85","1.0","6.0","6.0","0.05","0.3"
"10","3.0","1.0","3.0","0.15","0.05","3.0","7.0","21.0","0.15","0.35","4.0","0.0","0.0","0.2","0.0","3.0","0.0","0.0","0.15","0.0","4.0","0.0","0.0","0.2","0.0","4.0","1.0","4.0","0.2","0.05","3.0","1.0","3.0","0.15","0.05","3.0","0.0","0.0","0.15","0.0","3.0","1.0","3.0","0.15","0.05","3.0","1.0","3.0","0.15","0.05","4.0","1.0","4.0","0.2","0.05","4.0","1.0","4.0","0.2","0.05","3.0","1.0","3.0","0.15","0.05","4.0","1.0","4.0","0.2","0.05","4.0","1.0","4.0","0.2","0.05","8.0","0.0","0.0","0.4","0.0","1.0","17.0","17.0","0.05","0.85","1.0","7.0","7.0","0.05","0.35","1.0","17.0","17.0","0.05","0.85","1.0","6.0","6.0","0.05","0.3"
