"release","RD1-ADS","RD1-AIS","RD1-ACS","RD1-RCS","RD1-RIS","RD2-ADS","RD2-AIS","RD2-ACS","RD2-RCS","RD2-RIS","RD3-ADS","RD3-AIS","RD3-ACS","RD3-RCS","RD3-RIS","RD4-ADS","RD4-AIS","RD4-ACS","RD4-RCS","RD4-RIS","RD5-ADS","RD5-AIS","RD5-ACS","RD5-RCS","RD5-RIS","RD6-ADS","RD6-AIS","RD6-ACS","RD6-RCS","RD6-RIS","RD7-ADS","RD7-AIS","RD7-ACS","RD7-RCS","RD7-RIS","RD8-ADS","RD8-AIS","RD8-ACS","RD8-RCS","RD8-RIS","RD9-ADS","RD9-AIS","RD9-ACS","RD9-RCS","RD9-RIS","RD10-ADS","RD10-AIS","RD10-ACS","RD10-RCS","RD10-RIS","RD11-ADS","RD11-AIS","RD11-ACS","RD11-RCS","RD11-RIS","RD12-ADS","RD12-AIS","RD12-ACS","RD12-RCS","RD12-RIS","RD13-ADS","RD13-AIS","RD13-ACS","RD13-RCS","RD13-RIS","RD14-ADS","RD14-AIS","RD14-ACS","RD14-RCS","RD14-RIS","RD15-ADS","RD15-AIS","RD15-ACS","RD15-RCS","RD15-RIS","REG-ADS","REG-AIS","REG-ACS","REG-RCS","REG-RIS","MSB-ADS","MSB-AIS","MSB-ACS","MSB-RCS","MSB-RIS","CFG-ADS","CFG-AIS","CFG-ACS","CFG-RCS","CFG-RIS","TRC-ADS","TRC-AIS","TRC-ACS","TRC-RCS","TRC-RIS","MSV1-ADS","MSV1-AIS","MSV1-ACS","MSV1-RCS","MSV1-RIS"
"1","3.0","1.0","3.0","0.15789473684210525","0.05263157894736842","4.0","0.0","0.0","0.21052631578947367","0.0","2.0","1.0","2.0","0.10526315789473684","0.05263157894736842","2.0","2.0","4.0","0.10526315789473684","0.10526315789473684","2.0","5.0","10.0","0.10526315789473684","0.2631578947368421","3.0","1.0","3.0","0.15789473684210525","0.05263157894736842","3.0","2.0","6.0","0.15789473684210525","0.10526315789473684","3.0","1.0","3.0","0.15789473684210525","0.05263157894736842","3.0","2.0","6.0","0.15789473684210525","0.10526315789473684","2.0","1.0","2.0","0.10526315789473684","0.05263157894736842","4.0","1.0","4.0","0.21052631578947367","0.05263157894736842","3.0","1.0","3.0","0.15789473684210525","0.05263157894736842","3.0","1.0","3.0","0.15789473684210525","0.05263157894736842","4.0","1.0","4.0","0.21052631578947367","0.05263157894736842","3.0","1.0","3.0","0.15789473684210525","0.05263157894736842","1.0","7.0","7.0","0.05263157894736842","0.3684210526315789","14.0","10.0","140.0","0.7368421052631579","0.5263157894736842","1.0","7.0","7.0","0.05263157894736842","0.3684210526315789","1.0","16.0","16.0","0.05263157894736842","0.8421052631578947","0.0","0.0","0.0","0.0","0.0"
"2","3.0","1.0","3.0","0.15789473684210525","0.05263157894736842","4.0","0.0","0.0","0.21052631578947367","0.0","2.0","1.0","2.0","0.10526315789473684","0.05263157894736842","2.0","2.0","4.0","0.10526315789473684","0.10526315789473684","2.0","5.0","10.0","0.10526315789473684","0.2631578947368421","3.0","1.0","3.0","0.15789473684210525","0.05263157894736842","3.0","2.0","6.0","0.15789473684210525","0.10526315789473684","3.0","1.0","3.0","0.15789473684210525","0.05263157894736842","3.0","2.0","6.0","0.15789473684210525","0.10526315789473684","2.0","1.0","2.0","0.10526315789473684","0.05263157894736842","4.0","1.0","4.0","0.21052631578947367","0.05263157894736842","3.0","1.0","3.0","0.15789473684210525","0.05263157894736842","3.0","1.0","3.0","0.15789473684210525","0.05263157894736842","4.0","1.0","4.0","0.21052631578947367","0.05263157894736842","3.0","1.0","3.0","0.15789473684210525","0.05263157894736842","1.0","7.0","7.0","0.05263157894736842","0.3684210526315789","14.0","10.0","140.0","0.7368421052631579","0.5263157894736842","1.0","7.0","7.0","0.05263157894736842","0.3684210526315789","1.0","16.0","16.0","0.05263157894736842","0.8421052631578947","0.0","0.0","0.0","0.0","0.0"
"3","3.0","1.0","3.0","0.15789473684210525","0.05263157894736842","4.0","0.0","0.0","0.21052631578947367","0.0","2.0","1.0","2.0","0.10526315789473684","0.05263157894736842","2.0","2.0","4.0","0.10526315789473684","0.10526315789473684","2.0","5.0","10.0","0.10526315789473684","0.2631578947368421","3.0","1.0","3.0","0.15789473684210525","0.05263157894736842","3.0","2.0","6.0","0.15789473684210525","0.10526315789473684","3.0","1.0","3.0","0.15789473684210525","0.05263157894736842","3.0","2.0","6.0","0.15789473684210525","0.10526315789473684","2.0","1.0","2.0","0.10526315789473684","0.05263157894736842","4.0","1.0","4.0","0.21052631578947367","0.05263157894736842","3.0","1.0","3.0","0.15789473684210525","0.05263157894736842","3.0","1.0","3.0","0.15789473684210525","0.05263157894736842","4.0","1.0","4.0","0.21052631578947367","0.05263157894736842","3.0","1.0","3.0","0.15789473684210525","0.05263157894736842","1.0","7.0","7.0","0.05263157894736842","0.3684210526315789","14.0","10.0","140.0","0.7368421052631579","0.5263157894736842","1.0","7.0","7.0","0.05263157894736842","0.3684210526315789","1.0","16.0","16.0","0.05263157894736842","0.8421052631578947","0.0","0.0","0.0","0.0","0.0"
"4","3.0","1.0","3.0","0.15","0.05","4.0","0.0","0.0","0.2","0.0","2.0","1.0","2.0","0.1","0.05","2.0","2.0","4.0","0.1","0.1","2.0","3.0","6.0","0.1","0.15","3.0","1.0","3.0","0.15","0.05","3.0","2.0","6.0","0.15","0.1","3.0","1.0","3.0","0.15","0.05","3.0","2.0","6.0","0.15","0.1","2.0","1.0","2.0","0.1","0.05","4.0","1.0","4.0","0.2","0.05","3.0","1.0","3.0","0.15","0.05","3.0","1.0","3.0","0.15","0.05","4.0","1.0","4.0","0.2","0.05","3.0","1.0","3.0","0.15","0.05","1.0","8.0","8.0","0.05","0.4","14.0","10.0","140.0","0.7","0.5","1.0","8.0","8.0","0.05","0.4","1.0","17.0","17.0","0.05","0.85","3.0","2.0","6.0","0.15","0.1"
"5","3.0","1.0","3.0","0.15","0.05","4.0","0.0","0.0","0.2","0.0","2.0","1.0","2.0","0.1","0.05","2.0","2.0","4.0","0.1","0.1","2.0","3.0","6.0","0.1","0.15","3.0","1.0","3.0","0.15","0.05","3.0","2.0","6.0","0.15","0.1","3.0","1.0","3.0","0.15","0.05","3.0","2.0","6.0","0.15","0.1","2.0","1.0","2.0","0.1","0.05","4.0","1.0","4.0","0.2","0.05","3.0","1.0","3.0","0.15","0.05","3.0","1.0","3.0","0.15","0.05","4.0","1.0","4.0","0.2","0.05","3.0","1.0","3.0","0.15","0.05","1.0","8.0","8.0","0.05","0.4","14.0","10.0","140.0","0.7","0.5","1.0","8.0","8.0","0.05","0.4","1.0","17.0","17.0","0.05","0.85","3.0","2.0","6.0","0.15","0.1"
"6","3.0","1.0","3.0","0.15","0.05","4.0","0.0","0.0","0.2","0.0","2.0","1.0","2.0","0.1","0.05","2.0","2.0","4.0","0.1","0.1","2.0","3.0","6.0","0.1","0.15","3.0","1.0","3.0","0.15","0.05","3.0","2.0","6.0","0.15","0.1","3.0","1.0","3.0","0.15","0.05","3.0","2.0","6.0","0.15","0.1","2.0","1.0","2.0","0.1","0.05","4.0","1.0","4.0","0.2","0.05","3.0","1.0","3.0","0.15","0.05","3.0","1.0","3.0","0.15","0.05","4.0","1.0","4.0","0.2","0.05","3.0","1.0","3.0","0.15","0.05","1.0","8.0","8.0","0.05","0.4","14.0","10.0","140.0","0.7","0.5","1.0","8.0","8.0","0.05","0.4","1.0","17.0","17.0","0.05","0.85","3.0","2.0","6.0","0.15","0.1"
"7","3.0","1.0","3.0","0.15","0.05","4.0","0.0","0.0","0.2","0.0","2.0","1.0","2.0","0.1","0.05","2.0","2.0","4.0","0.1","0.1","2.0","3.0","6.0","0.1","0.15","3.0","1.0","3.0","0.15","0.05","3.0","2.0","6.0","0.15","0.1","3.0","1.0","3.0","0.15","0.05","3.0","2.0","6.0","0.15","0.1","2.0","1.0","2.0","0.1","0.05","4.0","1.0","4.0","0.2","0.05","3.0","1.0","3.0","0.15","0.05","3.0","1.0","3.0","0.15","0.05","4.0","1.0","4.0","0.2","0.05","3.0","1.0","3.0","0.15","0.05","1.0","8.0","8.0","0.05","0.4","14.0","10.0","140.0","0.7","0.5","1.0","8.0","8.0","0.05","0.4","1.0","17.0","17.0","0.05","0.85","3.0","2.0","6.0","0.15","0.1"
"8","3.0","1.0","3.0","0.15","0.05","4.0","0.0","0.0","0.2","0.0","2.0","1.0","2.0","0.1","0.05","2.0","2.0","4.0","0.1","0.1","2.0","3.0","6.0","0.1","0.15","3.0","1.0","3.0","0.15","0.05","3.0","2.0","6.0","0.15","0.1","3.0","1.0","3.0","0.15","0.05","3.0","2.0","6.0","0.15","0.1","2.0","1.0","2.0","0.1","0.05","4.0","1.0","4.0","0.2","0.05","3.0","1.0","3.0","0.15","0.05","3.0","1.0","3.0","0.15","0.05","4.0","1.0","4.0","0.2","0.05","3.0","1.0","3.0","0.15","0.05","1.0","8.0","8.0","0.05","0.4","14.0","10.0","140.0","0.7","0.5","1.0","8.0","8.0","0.05","0.4","1.0","17.0","17.0","0.05","0.85","3.0","2.0","6.0","0.15","0.1"
"9","3.0","1.0","3.0","0.15","0.05","4.0","0.0","0.0","0.2","0.0","2.0","1.0","2.0","0.1","0.05","2.0","2.0","4.0","0.1","0.1","2.0","3.0","6.0","0.1","0.15","3.0","1.0","3.0","0.15","0.05","3.0","2.0","6.0","0.15","0.1","3.0","1.0","3.0","0.15","0.05","3.0","2.0","6.0","0.15","0.1","2.0","1.0","2.0","0.1","0.05","4.0","1.0","4.0","0.2","0.05","3.0","1.0","3.0","0.15","0.05","3.0","1.0","3.0","0.15","0.05","4.0","1.0","4.0","0.2","0.05","3.0","1.0","3.0","0.15","0.05","1.0","8.0","8.0","0.05","0.4","14.0","10.0","140.0","0.7","0.5","1.0","8.0","8.0","0.05","0.4","1.0","17.0","17.0","0.05","0.85","3.0","2.0","6.0","0.15","0.1"
"10","3.0","1.0","3.0","0.15","0.05","4.0","0.0","0.0","0.2","0.0","2.0","1.0","2.0","0.1","0.05","2.0","2.0","4.0","0.1","0.1","2.0","3.0","6.0","0.1","0.15","3.0","1.0","3.0","0.15","0.05","3.0","2.0","6.0","0.15","0.1","3.0","1.0","3.0","0.15","0.05","3.0","2.0","6.0","0.15","0.1","2.0","1.0","2.0","0.1","0.05","4.0","1.0","4.0","0.2","0.05","3.0","1.0","3.0","0.15","0.05","3.0","1.0","3.0","0.15","0.05","4.0","1.0","4.0","0.2","0.05","3.0","1.0","3.0","0.15","0.05","1.0","8.0","8.0","0.05","0.4","14.0","10.0","140.0","0.7","0.5","1.0","8.0","8.0","0.05","0.4","1.0","17.0","17.0","0.05","0.85","3.0","2.0","6.0","0.15","0.1"
