"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","BA1-ADS","BA1-GINI -ADS","BA1-AIS","BA1-GINI -AIS","BA2-ADS","BA2-GINI -ADS","BA2-AIS","BA2-GINI -AIS","BA3-ADS","BA3-GINI -ADS","BA3-AIS","BA3-GINI -AIS","BA4-ADS","BA4-GINI -ADS","BA4-AIS","BA4-GINI -AIS","BA5-ADS","BA5-GINI -ADS","BA5-AIS","BA5-GINI -AIS","BA6-ADS","BA6-GINI -ADS","BA6-AIS","BA6-GINI -AIS","BA7-ADS","BA7-GINI -ADS","BA7-AIS","BA7-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","MSB-ADS","MSB-GINI -ADS","MSB-AIS","MSB-GINI -AIS","TRC-ADS","TRC-GINI -ADS","TRC-AIS","TRC-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"0","0.3006993","0.4825175","0.23636363636363636","2.3636363636363638","2.0","0","3.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","6.0","0","0.0","0","0.0","0","4.0","0","3.0","0","5.0","0","1.0","0","8.0","0","0.0","","0.0"
"1","0.3006993","0.4825175","0.23636363636363636","2.3636363636363638","2.0","0","3.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","6.0","0","0.0","0","0.0","0","4.0","0","3.0","0","5.0","0","1.0","0","8.0","0","0.0","","0.0"
"2","0.3006993","0.4825175","0.23636363636363636","2.3636363636363638","2.0","0","3.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","6.0","0","0.0","0","0.0","0","4.0","0","3.0","0","5.0","0","1.0","0","8.0","0","0.0","","0.0"
"3","0.3006993","0.4825175","0.23636363636363636","2.3636363636363638","2.0","0","3.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","6.0","0","0.0","0","0.0","0","4.0","0","3.0","0","5.0","0","1.0","0","8.0","0","0.0","","0.0"
"4","0.3006993","0.4825175","0.23636363636363636","2.3636363636363638","2.0","0","3.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","6.0","0","0.0","0","0.0","0","4.0","0","3.0","0","5.0","0","1.0","0","8.0","0","0.0","","0.0"
"5","0.3006993","0.4825175","0.23636363636363636","2.3636363636363638","2.0","0","3.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","6.0","0","0.0","0","0.0","0","4.0","0","3.0","0","5.0","0","1.0","0","8.0","0","0.0","","0.0"
"6","0.2857143","0.5","0.21212121212121213","2.3333333333333335","2.0","0","2.0","0.04285714","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","6.0","0","0.0","0","0.0","0","5.0","0.02955665","3.0","0","5.0","0","1.0","0","9.0","0.01503759","2.0","0","1.0","0"
"7","0.2857143","0.5","0.21212121212121213","2.3333333333333335","2.0","0","2.0","0.06818182","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","6.0","0","0.0","0","0.0","0","5.0","0.04411765","3.0","0","5.0","0","1.0","0","9.0","0.02272727","2.0","0","1.0","0"
"8","0.2857143","0.5","0.21212121212121213","2.3333333333333335","2.0","0","2.0","0.08333333","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","6.0","0","0.0","0","0.0","0","5.0","0.05128205","3.0","0","5.0","0","1.0","0","9.0","0.02666667","2.0","0","1.0","0"
"9","0.2857143","0.5","0.21212121212121213","2.3333333333333335","2.0","0","2.0","0.09230769","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","6.0","0","0.0","0","0.0","0","5.0","0.05454545","3.0","0","5.0","0","1.0","0","9.0","0.02857143","2.0","0","1.0","0"
