"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","BA1-ADS","BA1-GINI -ADS","BA1-AIS","BA1-GINI -AIS","BA2-ADS","BA2-GINI -ADS","BA2-AIS","BA2-GINI -AIS","BA3-ADS","BA3-GINI -ADS","BA3-AIS","BA3-GINI -AIS","BA4-ADS","BA4-GINI -ADS","BA4-AIS","BA4-GINI -AIS","BA5-ADS","BA5-GINI -ADS","BA5-AIS","BA5-GINI -AIS","BA6-ADS","BA6-GINI -ADS","BA6-AIS","BA6-GINI -AIS","BA7-ADS","BA7-GINI -ADS","BA7-AIS","BA7-GINI -AIS","BA8-ADS","BA8-GINI -ADS","BA8-AIS","BA8-GINI -AIS","BA9-ADS","BA9-GINI -ADS","BA9-AIS","BA9-GINI -AIS","BA10-ADS","BA10-GINI -ADS","BA10-AIS","BA10-GINI -AIS","BA11-ADS","BA11-GINI -ADS","BA11-AIS","BA11-GINI -AIS","BA12-ADS","BA12-GINI -ADS","BA12-AIS","BA12-GINI -AIS","BA13-ADS","BA13-GINI -ADS","BA13-AIS","BA13-GINI -AIS","BA14-ADS","BA14-GINI -ADS","BA14-AIS","BA14-GINI -AIS","BA15-ADS","BA15-GINI -ADS","BA15-AIS","BA15-GINI -AIS","BA16-ADS","BA16-GINI -ADS","BA16-AIS","BA16-GINI -AIS","BA17-ADS","BA17-GINI -ADS","BA17-AIS","BA17-GINI -AIS","BA18-ADS","BA18-GINI -ADS","BA18-AIS","BA18-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","TRC-ADS","TRC-GINI -ADS","TRC-AIS","TRC-GINI -AIS"
"0","0.2658138","0.5970149","0.1595238095238095","3.1904761904761907","5.0","0","5.0","0","3.0","0","4.0","0","3.0","0","1.0","0","3.0","0","3.0","0","3.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","2.0","0","1.0","0","13.0","0","0.0","0","0.0","0","18.0","0","1.0","0","19.0","0"
"1","0.2658138","0.5970149","0.1595238095238095","3.1904761904761907","5.0","0","5.0","0","3.0","0","4.0","0","3.0","0","1.0","0","3.0","0","3.0","0","3.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","2.0","0","1.0","0","13.0","0","0.0","0","0.0","0","18.0","0","1.0","0","19.0","0"
"2","0.2658138","0.5970149","0.1595238095238095","3.1904761904761907","5.0","0","5.0","0","3.0","0","4.0","0","3.0","0","1.0","0","3.0","0","3.0","0","3.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","2.0","0","1.0","0","13.0","0","0.0","0","0.0","0","18.0","0","1.0","0","19.0","0"
"3","0.2658138","0.5970149","0.1595238095238095","3.1904761904761907","5.0","0","5.0","0","3.0","0","4.0","0","3.0","0","1.0","0","3.0","0","3.0","0","3.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","2.0","0","1.0","0","13.0","0","0.0","0","0.0","0","18.0","0","1.0","0","19.0","0"
"4","0.2476190","0.6007326","0.15476190476190477","3.0952380952380953","3.0","0.06956522","5.0","0","3.0","0","3.0","0.04210526","3.0","0","1.0","0","3.0","0","3.0","0","3.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0.08888889","2.0","0","1.0","0","13.0","0","0.0","0","0.0","0","18.0","0","1.0","0","19.0","0"
"5","0.2476190","0.6007326","0.15476190476190477","3.0952380952380953","3.0","0.1025641","5.0","0","3.0","0","3.0","0.06060606","3.0","0","1.0","0","3.0","0","3.0","0","3.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0.1333333","2.0","0","1.0","0","13.0","0","0.0","0","0.0","0","18.0","0","1.0","0","19.0","0"
"6","0.2476190","0.6007326","0.15476190476190477","3.0952380952380953","3.0","0.1182266","5.0","0","3.0","0","3.0","0.06857143","3.0","0","1.0","0","3.0","0","3.0","0","3.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0.1558442","2.0","0","1.0","0","13.0","0","0.0","0","0.0","0","18.0","0","1.0","0","19.0","0"
"7","0.2476190","0.6007326","0.15476190476190477","3.0952380952380953","3.0","0.125","5.0","0","3.0","0","3.0","0.07142857","3.0","0","1.0","0","3.0","0","3.0","0","3.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0.1666667","2.0","0","1.0","0","13.0","0","0.0","0","0.0","0","18.0","0","1.0","0","19.0","0"
"8","0.2476190","0.6007326","0.15476190476190477","3.0952380952380953","3.0","0.1269841","5.0","0","3.0","0","3.0","0.07168459","3.0","0","1.0","0","3.0","0","3.0","0","3.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0.1709402","2.0","0","1.0","0","13.0","0","0.0","0","0.0","0","18.0","0","1.0","0","19.0","0"
"9","0.2476190","0.6007326","0.15476190476190477","3.0952380952380953","3.0","0.1263158","5.0","0","3.0","0","3.0","0.07058824","3.0","0","1.0","0","3.0","0","3.0","0","3.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0.1714286","2.0","0","1.0","0","13.0","0","0.0","0","0.0","0","18.0","0","1.0","0","19.0","0"
"10","0.2476190","0.6007326","0.15476190476190477","3.0952380952380953","3.0","0.1241685","5.0","0","3.0","0","3.0","0.06879607","3.0","0","1.0","0","3.0","0","3.0","0","3.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0.1696970","2.0","0","1.0","0","13.0","0","0.0","0","0.0","0","18.0","0","1.0","0","19.0","0"
"11","0.2476190","0.6007326","0.15476190476190477","3.0952380952380953","3.0","0.1212121","5.0","0","3.0","0","3.0","0.06666667","3.0","0","1.0","0","3.0","0","3.0","0","3.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0.1666667","2.0","0","1.0","0","13.0","0","0.0","0","0.0","0","18.0","0","1.0","0","19.0","0"
"12","0.2476190","0.6007326","0.15476190476190477","3.0952380952380953","3.0","0.1178396","5.0","0","3.0","0","3.0","0.06440072","3.0","0","1.0","0","3.0","0","3.0","0","3.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0.1628959","2.0","0","1.0","0","13.0","0","0.0","0","0.0","0","18.0","0","1.0","0","19.0","0"
"13","0.2476190","0.6007326","0.15476190476190477","3.0952380952380953","3.0","0.1142857","5.0","0","3.0","0","3.0","0.06211180","3.0","0","1.0","0","3.0","0","3.0","0","3.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0.1587302","2.0","0","1.0","0","13.0","0","0.0","0","0.0","0","18.0","0","1.0","0","19.0","0"
"14","0.2476190","0.6007326","0.15476190476190477","3.0952380952380953","3.0","0.1106918","5.0","0","3.0","0","3.0","0.05986395","3.0","0","1.0","0","3.0","0","3.0","0","3.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0.1543860","2.0","0","1.0","0","13.0","0","0.0","0","0.0","0","18.0","0","1.0","0","19.0","0"
