"release","BA1-ADS","BA1-AIS","BA1-ACS","BA1-RCS","BA1-RIS","BA3-ADS","BA3-AIS","BA3-ACS","BA3-RCS","BA3-RIS","BA4-ADS","BA4-AIS","BA4-ACS","BA4-RCS","BA4-RIS","BA6-ADS","BA6-AIS","BA6-ACS","BA6-RCS","BA6-RIS","BA7-ADS","BA7-AIS","BA7-ACS","BA7-RCS","BA7-RIS","BA8-ADS","BA8-AIS","BA8-ACS","BA8-RCS","BA8-RIS","BA9-ADS","BA9-AIS","BA9-ACS","BA9-RCS","BA9-RIS","BA10-ADS","BA10-AIS","BA10-ACS","BA10-RCS","BA10-RIS","BA11-ADS","BA11-AIS","BA11-ACS","BA11-RCS","BA11-RIS","BA12-ADS","BA12-AIS","BA12-ACS","BA12-RCS","BA12-RIS","BA13-ADS","BA13-AIS","BA13-ACS","BA13-RCS","BA13-RIS","BA14-ADS","BA14-AIS","BA14-ACS","BA14-RCS","BA14-RIS","BA15-ADS","BA15-AIS","BA15-ACS","BA15-RCS","BA15-RIS","BA16-ADS","BA16-AIS","BA16-ACS","BA16-RCS","BA16-RIS","BA18-ADS","BA18-AIS","BA18-ACS","BA18-RCS","BA18-RIS","BA19-ADS","BA19-AIS","BA19-ACS","BA19-RCS","BA19-RIS","BA20-ADS","BA20-AIS","BA20-ACS","BA20-RCS","BA20-RIS","BA22-ADS","BA22-AIS","BA22-ACS","BA22-RCS","BA22-RIS","CPS1-ADS","CPS1-AIS","CPS1-ACS","CPS1-RCS","CPS1-RIS","REG-ADS","REG-AIS","REG-ACS","REG-RCS","REG-RIS","CFG-ADS","CFG-AIS","CFG-ACS","CFG-RCS","CFG-RIS","TRC-ADS","TRC-AIS","TRC-ACS","TRC-RCS","TRC-RIS"
"11","4.0","6.0","24.0","0.18181818181818182","0.2727272727272727","3.0","3.0","9.0","0.13636363636363635","0.13636363636363635","3.0","1.0","3.0","0.13636363636363635","0.045454545454545456","3.0","0.0","0.0","0.13636363636363635","0.0","3.0","1.0","3.0","0.13636363636363635","0.045454545454545456","3.0","1.0","3.0","0.13636363636363635","0.045454545454545456","3.0","2.0","6.0","0.13636363636363635","0.09090909090909091","3.0","0.0","0.0","0.13636363636363635","0.0","4.0","1.0","4.0","0.18181818181818182","0.045454545454545456","3.0","2.0","6.0","0.13636363636363635","0.09090909090909091","3.0","1.0","3.0","0.13636363636363635","0.045454545454545456","3.0","0.0","0.0","0.13636363636363635","0.0","3.0","1.0","3.0","0.13636363636363635","0.045454545454545456","3.0","0.0","0.0","0.13636363636363635","0.0","3.0","0.0","0.0","0.13636363636363635","0.0","4.0","0.0","0.0","0.18181818181818182","0.0","3.0","0.0","0.0","0.13636363636363635","0.0","3.0","0.0","0.0","0.13636363636363635","0.0","6.0","0.0","0.0","0.2727272727272727","0.0","1.0","20.0","20.0","0.045454545454545456","0.9090909090909091","1.0","7.0","7.0","0.045454545454545456","0.3181818181818182","1.0","20.0","20.0","0.045454545454545456","0.9090909090909091"
"12","4.0","6.0","24.0","0.18181818181818182","0.2727272727272727","3.0","3.0","9.0","0.13636363636363635","0.13636363636363635","3.0","1.0","3.0","0.13636363636363635","0.045454545454545456","3.0","0.0","0.0","0.13636363636363635","0.0","3.0","1.0","3.0","0.13636363636363635","0.045454545454545456","3.0","1.0","3.0","0.13636363636363635","0.045454545454545456","3.0","2.0","6.0","0.13636363636363635","0.09090909090909091","3.0","0.0","0.0","0.13636363636363635","0.0","4.0","1.0","4.0","0.18181818181818182","0.045454545454545456","3.0","2.0","6.0","0.13636363636363635","0.09090909090909091","3.0","1.0","3.0","0.13636363636363635","0.045454545454545456","3.0","0.0","0.0","0.13636363636363635","0.0","3.0","1.0","3.0","0.13636363636363635","0.045454545454545456","3.0","0.0","0.0","0.13636363636363635","0.0","3.0","0.0","0.0","0.13636363636363635","0.0","4.0","0.0","0.0","0.18181818181818182","0.0","3.0","0.0","0.0","0.13636363636363635","0.0","3.0","0.0","0.0","0.13636363636363635","0.0","6.0","0.0","0.0","0.2727272727272727","0.0","1.0","20.0","20.0","0.045454545454545456","0.9090909090909091","1.0","7.0","7.0","0.045454545454545456","0.3181818181818182","1.0","20.0","20.0","0.045454545454545456","0.9090909090909091"
"13","4.0","6.0","24.0","0.18181818181818182","0.2727272727272727","3.0","3.0","9.0","0.13636363636363635","0.13636363636363635","3.0","1.0","3.0","0.13636363636363635","0.045454545454545456","3.0","0.0","0.0","0.13636363636363635","0.0","3.0","1.0","3.0","0.13636363636363635","0.045454545454545456","3.0","1.0","3.0","0.13636363636363635","0.045454545454545456","3.0","2.0","6.0","0.13636363636363635","0.09090909090909091","3.0","0.0","0.0","0.13636363636363635","0.0","4.0","1.0","4.0","0.18181818181818182","0.045454545454545456","3.0","2.0","6.0","0.13636363636363635","0.09090909090909091","3.0","1.0","3.0","0.13636363636363635","0.045454545454545456","3.0","0.0","0.0","0.13636363636363635","0.0","3.0","1.0","3.0","0.13636363636363635","0.045454545454545456","3.0","0.0","0.0","0.13636363636363635","0.0","3.0","0.0","0.0","0.13636363636363635","0.0","4.0","0.0","0.0","0.18181818181818182","0.0","3.0","0.0","0.0","0.13636363636363635","0.0","3.0","0.0","0.0","0.13636363636363635","0.0","6.0","0.0","0.0","0.2727272727272727","0.0","1.0","20.0","20.0","0.045454545454545456","0.9090909090909091","1.0","7.0","7.0","0.045454545454545456","0.3181818181818182","1.0","20.0","20.0","0.045454545454545456","0.9090909090909091"
"14","4.0","6.0","24.0","0.18181818181818182","0.2727272727272727","3.0","3.0","9.0","0.13636363636363635","0.13636363636363635","3.0","1.0","3.0","0.13636363636363635","0.045454545454545456","3.0","0.0","0.0","0.13636363636363635","0.0","3.0","1.0","3.0","0.13636363636363635","0.045454545454545456","3.0","1.0","3.0","0.13636363636363635","0.045454545454545456","3.0","2.0","6.0","0.13636363636363635","0.09090909090909091","3.0","0.0","0.0","0.13636363636363635","0.0","4.0","1.0","4.0","0.18181818181818182","0.045454545454545456","3.0","2.0","6.0","0.13636363636363635","0.09090909090909091","3.0","1.0","3.0","0.13636363636363635","0.045454545454545456","3.0","0.0","0.0","0.13636363636363635","0.0","3.0","1.0","3.0","0.13636363636363635","0.045454545454545456","3.0","0.0","0.0","0.13636363636363635","0.0","3.0","0.0","0.0","0.13636363636363635","0.0","4.0","0.0","0.0","0.18181818181818182","0.0","3.0","0.0","0.0","0.13636363636363635","0.0","3.0","0.0","0.0","0.13636363636363635","0.0","6.0","0.0","0.0","0.2727272727272727","0.0","1.0","20.0","20.0","0.045454545454545456","0.9090909090909091","1.0","7.0","7.0","0.045454545454545456","0.3181818181818182","1.0","20.0","20.0","0.045454545454545456","0.9090909090909091"
"15","4.0","6.0","24.0","0.18181818181818182","0.2727272727272727","3.0","3.0","9.0","0.13636363636363635","0.13636363636363635","3.0","1.0","3.0","0.13636363636363635","0.045454545454545456","3.0","0.0","0.0","0.13636363636363635","0.0","3.0","1.0","3.0","0.13636363636363635","0.045454545454545456","3.0","1.0","3.0","0.13636363636363635","0.045454545454545456","3.0","2.0","6.0","0.13636363636363635","0.09090909090909091","3.0","0.0","0.0","0.13636363636363635","0.0","4.0","1.0","4.0","0.18181818181818182","0.045454545454545456","3.0","2.0","6.0","0.13636363636363635","0.09090909090909091","3.0","1.0","3.0","0.13636363636363635","0.045454545454545456","3.0","0.0","0.0","0.13636363636363635","0.0","3.0","1.0","3.0","0.13636363636363635","0.045454545454545456","3.0","0.0","0.0","0.13636363636363635","0.0","3.0","0.0","0.0","0.13636363636363635","0.0","4.0","0.0","0.0","0.18181818181818182","0.0","3.0","0.0","0.0","0.13636363636363635","0.0","3.0","0.0","0.0","0.13636363636363635","0.0","6.0","0.0","0.0","0.2727272727272727","0.0","1.0","20.0","20.0","0.045454545454545456","0.9090909090909091","1.0","7.0","7.0","0.045454545454545456","0.3181818181818182","1.0","20.0","20.0","0.045454545454545456","0.9090909090909091"
"16","4.0","6.0","24.0","0.18181818181818182","0.2727272727272727","3.0","3.0","9.0","0.13636363636363635","0.13636363636363635","3.0","1.0","3.0","0.13636363636363635","0.045454545454545456","3.0","0.0","0.0","0.13636363636363635","0.0","3.0","1.0","3.0","0.13636363636363635","0.045454545454545456","3.0","1.0","3.0","0.13636363636363635","0.045454545454545456","3.0","2.0","6.0","0.13636363636363635","0.09090909090909091","3.0","0.0","0.0","0.13636363636363635","0.0","4.0","1.0","4.0","0.18181818181818182","0.045454545454545456","3.0","2.0","6.0","0.13636363636363635","0.09090909090909091","3.0","1.0","3.0","0.13636363636363635","0.045454545454545456","3.0","0.0","0.0","0.13636363636363635","0.0","3.0","1.0","3.0","0.13636363636363635","0.045454545454545456","3.0","0.0","0.0","0.13636363636363635","0.0","3.0","0.0","0.0","0.13636363636363635","0.0","4.0","0.0","0.0","0.18181818181818182","0.0","3.0","0.0","0.0","0.13636363636363635","0.0","3.0","0.0","0.0","0.13636363636363635","0.0","6.0","0.0","0.0","0.2727272727272727","0.0","1.0","20.0","20.0","0.045454545454545456","0.9090909090909091","1.0","7.0","7.0","0.045454545454545456","0.3181818181818182","1.0","20.0","20.0","0.045454545454545456","0.9090909090909091"
"17","4.0","6.0","24.0","0.18181818181818182","0.2727272727272727","3.0","3.0","9.0","0.13636363636363635","0.13636363636363635","3.0","1.0","3.0","0.13636363636363635","0.045454545454545456","3.0","0.0","0.0","0.13636363636363635","0.0","3.0","1.0","3.0","0.13636363636363635","0.045454545454545456","3.0","1.0","3.0","0.13636363636363635","0.045454545454545456","3.0","2.0","6.0","0.13636363636363635","0.09090909090909091","3.0","0.0","0.0","0.13636363636363635","0.0","4.0","1.0","4.0","0.18181818181818182","0.045454545454545456","3.0","2.0","6.0","0.13636363636363635","0.09090909090909091","3.0","1.0","3.0","0.13636363636363635","0.045454545454545456","3.0","0.0","0.0","0.13636363636363635","0.0","3.0","1.0","3.0","0.13636363636363635","0.045454545454545456","3.0","0.0","0.0","0.13636363636363635","0.0","3.0","0.0","0.0","0.13636363636363635","0.0","4.0","0.0","0.0","0.18181818181818182","0.0","3.0","0.0","0.0","0.13636363636363635","0.0","3.0","0.0","0.0","0.13636363636363635","0.0","6.0","0.0","0.0","0.2727272727272727","0.0","1.0","20.0","20.0","0.045454545454545456","0.9090909090909091","1.0","7.0","7.0","0.045454545454545456","0.3181818181818182","1.0","20.0","20.0","0.045454545454545456","0.9090909090909091"
"18","4.0","6.0","24.0","0.18181818181818182","0.2727272727272727","3.0","3.0","9.0","0.13636363636363635","0.13636363636363635","3.0","1.0","3.0","0.13636363636363635","0.045454545454545456","3.0","0.0","0.0","0.13636363636363635","0.0","3.0","1.0","3.0","0.13636363636363635","0.045454545454545456","3.0","1.0","3.0","0.13636363636363635","0.045454545454545456","3.0","2.0","6.0","0.13636363636363635","0.09090909090909091","3.0","0.0","0.0","0.13636363636363635","0.0","4.0","1.0","4.0","0.18181818181818182","0.045454545454545456","3.0","2.0","6.0","0.13636363636363635","0.09090909090909091","3.0","1.0","3.0","0.13636363636363635","0.045454545454545456","3.0","0.0","0.0","0.13636363636363635","0.0","3.0","1.0","3.0","0.13636363636363635","0.045454545454545456","3.0","0.0","0.0","0.13636363636363635","0.0","3.0","0.0","0.0","0.13636363636363635","0.0","4.0","0.0","0.0","0.18181818181818182","0.0","3.0","0.0","0.0","0.13636363636363635","0.0","3.0","0.0","0.0","0.13636363636363635","0.0","6.0","0.0","0.0","0.2727272727272727","0.0","1.0","20.0","20.0","0.045454545454545456","0.9090909090909091","1.0","7.0","7.0","0.045454545454545456","0.3181818181818182","1.0","20.0","20.0","0.045454545454545456","0.9090909090909091"
"19","4.0","6.0","24.0","0.18181818181818182","0.2727272727272727","3.0","3.0","9.0","0.13636363636363635","0.13636363636363635","3.0","1.0","3.0","0.13636363636363635","0.045454545454545456","3.0","0.0","0.0","0.13636363636363635","0.0","3.0","1.0","3.0","0.13636363636363635","0.045454545454545456","3.0","1.0","3.0","0.13636363636363635","0.045454545454545456","3.0","2.0","6.0","0.13636363636363635","0.09090909090909091","3.0","0.0","0.0","0.13636363636363635","0.0","4.0","1.0","4.0","0.18181818181818182","0.045454545454545456","3.0","2.0","6.0","0.13636363636363635","0.09090909090909091","3.0","1.0","3.0","0.13636363636363635","0.045454545454545456","3.0","0.0","0.0","0.13636363636363635","0.0","3.0","1.0","3.0","0.13636363636363635","0.045454545454545456","3.0","0.0","0.0","0.13636363636363635","0.0","3.0","0.0","0.0","0.13636363636363635","0.0","4.0","0.0","0.0","0.18181818181818182","0.0","3.0","0.0","0.0","0.13636363636363635","0.0","3.0","0.0","0.0","0.13636363636363635","0.0","6.0","0.0","0.0","0.2727272727272727","0.0","1.0","20.0","20.0","0.045454545454545456","0.9090909090909091","1.0","7.0","7.0","0.045454545454545456","0.3181818181818182","1.0","20.0","20.0","0.045454545454545456","0.9090909090909091"
"20","4.0","6.0","24.0","0.18181818181818182","0.2727272727272727","3.0","3.0","9.0","0.13636363636363635","0.13636363636363635","3.0","1.0","3.0","0.13636363636363635","0.045454545454545456","3.0","0.0","0.0","0.13636363636363635","0.0","3.0","1.0","3.0","0.13636363636363635","0.045454545454545456","3.0","1.0","3.0","0.13636363636363635","0.045454545454545456","3.0","2.0","6.0","0.13636363636363635","0.09090909090909091","3.0","0.0","0.0","0.13636363636363635","0.0","4.0","1.0","4.0","0.18181818181818182","0.045454545454545456","3.0","2.0","6.0","0.13636363636363635","0.09090909090909091","3.0","1.0","3.0","0.13636363636363635","0.045454545454545456","3.0","0.0","0.0","0.13636363636363635","0.0","3.0","1.0","3.0","0.13636363636363635","0.045454545454545456","3.0","0.0","0.0","0.13636363636363635","0.0","3.0","0.0","0.0","0.13636363636363635","0.0","4.0","0.0","0.0","0.18181818181818182","0.0","3.0","0.0","0.0","0.13636363636363635","0.0","3.0","0.0","0.0","0.13636363636363635","0.0","6.0","0.0","0.0","0.2727272727272727","0.0","1.0","20.0","20.0","0.045454545454545456","0.9090909090909091","1.0","7.0","7.0","0.045454545454545456","0.3181818181818182","1.0","20.0","20.0","0.045454545454545456","0.9090909090909091"
"21","4.0","6.0","24.0","0.18181818181818182","0.2727272727272727","3.0","3.0","9.0","0.13636363636363635","0.13636363636363635","3.0","1.0","3.0","0.13636363636363635","0.045454545454545456","3.0","0.0","0.0","0.13636363636363635","0.0","3.0","1.0","3.0","0.13636363636363635","0.045454545454545456","3.0","1.0","3.0","0.13636363636363635","0.045454545454545456","3.0","2.0","6.0","0.13636363636363635","0.09090909090909091","3.0","0.0","0.0","0.13636363636363635","0.0","4.0","1.0","4.0","0.18181818181818182","0.045454545454545456","3.0","2.0","6.0","0.13636363636363635","0.09090909090909091","3.0","1.0","3.0","0.13636363636363635","0.045454545454545456","3.0","0.0","0.0","0.13636363636363635","0.0","3.0","1.0","3.0","0.13636363636363635","0.045454545454545456","3.0","0.0","0.0","0.13636363636363635","0.0","3.0","0.0","0.0","0.13636363636363635","0.0","4.0","0.0","0.0","0.18181818181818182","0.0","3.0","0.0","0.0","0.13636363636363635","0.0","3.0","0.0","0.0","0.13636363636363635","0.0","6.0","0.0","0.0","0.2727272727272727","0.0","1.0","20.0","20.0","0.045454545454545456","0.9090909090909091","1.0","7.0","7.0","0.045454545454545456","0.3181818181818182","1.0","20.0","20.0","0.045454545454545456","0.9090909090909091"
