"release","RD1-ADS","RD1-AIS","RD1-ACS","RD1-RCS","RD1-RIS","RD2-ADS","RD2-AIS","RD2-ACS","RD2-RCS","RD2-RIS","RD3-ADS","RD3-AIS","RD3-ACS","RD3-RCS","RD3-RIS","RD4-ADS","RD4-AIS","RD4-ACS","RD4-RCS","RD4-RIS","RD5-ADS","RD5-AIS","RD5-ACS","RD5-RCS","RD5-RIS","RD6-ADS","RD6-AIS","RD6-ACS","RD6-RCS","RD6-RIS","RD7-ADS","RD7-AIS","RD7-ACS","RD7-RCS","RD7-RIS","RD8-ADS","RD8-AIS","RD8-ACS","RD8-RCS","RD8-RIS","RD9-ADS","RD9-AIS","RD9-ACS","RD9-RCS","RD9-RIS","RD10-ADS","RD10-AIS","RD10-ACS","RD10-RCS","RD10-RIS","RD11-ADS","RD11-AIS","RD11-ACS","RD11-RCS","RD11-RIS","RD12-ADS","RD12-AIS","RD12-ACS","RD12-RCS","RD12-RIS","RD13-ADS","RD13-AIS","RD13-ACS","RD13-RCS","RD13-RIS","RD14-ADS","RD14-AIS","RD14-ACS","RD14-RCS","RD14-RIS","RD15-ADS","RD15-AIS","RD15-ACS","RD15-RCS","RD15-RIS","RD16-ADS","RD16-AIS","RD16-ACS","RD16-RCS","RD16-RIS","RD17-ADS","RD17-AIS","RD17-ACS","RD17-RCS","RD17-RIS","RD18-ADS","RD18-AIS","RD18-ACS","RD18-RCS","RD18-RIS","GTW-ADS","GTW-AIS","GTW-ACS","GTW-RCS","GTW-RIS","REG-ADS","REG-AIS","REG-ACS","REG-RCS","REG-RIS","MSB-ADS","MSB-AIS","MSB-ACS","MSB-RCS","MSB-RIS","CFG-ADS","CFG-AIS","CFG-ACS","CFG-RCS","CFG-RIS","TRC-ADS","TRC-AIS","TRC-ACS","TRC-RCS","TRC-RIS","MSV1-ADS","MSV1-AIS","MSV1-ACS","MSV1-RCS","MSV1-RIS"
"11","3.0","2.0","6.0","0.125","0.08333333333333333","4.0","1.0","4.0","0.16666666666666666","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","3.0","0.0","0.0","0.125","0.0","4.0","7.0","28.0","0.16666666666666666","0.2916666666666667","3.0","0.0","0.0","0.125","0.0","5.0","2.0","10.0","0.20833333333333334","0.08333333333333333","3.0","1.0","3.0","0.125","0.041666666666666664","4.0","1.0","4.0","0.16666666666666666","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","4.0","1.0","4.0","0.16666666666666666","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","4.0","0.0","0.0","0.16666666666666666","0.0","4.0","1.0","4.0","0.16666666666666666","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","4.0","0.0","0.0","0.16666666666666666","0.0","1.0","13.0","13.0","0.041666666666666664","0.5416666666666666","10.0","8.0","80.0","0.4166666666666667","0.3333333333333333","1.0","10.0","10.0","0.041666666666666664","0.4166666666666667","1.0","20.0","20.0","0.041666666666666664","0.8333333333333334","2.0","7.0","14.0","0.08333333333333333","0.2916666666666667"
"12","3.0","2.0","6.0","0.125","0.08333333333333333","4.0","1.0","4.0","0.16666666666666666","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","3.0","0.0","0.0","0.125","0.0","4.0","7.0","28.0","0.16666666666666666","0.2916666666666667","3.0","0.0","0.0","0.125","0.0","5.0","2.0","10.0","0.20833333333333334","0.08333333333333333","3.0","1.0","3.0","0.125","0.041666666666666664","4.0","1.0","4.0","0.16666666666666666","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","4.0","1.0","4.0","0.16666666666666666","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","4.0","0.0","0.0","0.16666666666666666","0.0","4.0","1.0","4.0","0.16666666666666666","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","4.0","0.0","0.0","0.16666666666666666","0.0","1.0","13.0","13.0","0.041666666666666664","0.5416666666666666","10.0","8.0","80.0","0.4166666666666667","0.3333333333333333","1.0","10.0","10.0","0.041666666666666664","0.4166666666666667","1.0","20.0","20.0","0.041666666666666664","0.8333333333333334","2.0","7.0","14.0","0.08333333333333333","0.2916666666666667"
"13","3.0","2.0","6.0","0.125","0.08333333333333333","4.0","1.0","4.0","0.16666666666666666","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","3.0","0.0","0.0","0.125","0.0","4.0","7.0","28.0","0.16666666666666666","0.2916666666666667","3.0","0.0","0.0","0.125","0.0","5.0","2.0","10.0","0.20833333333333334","0.08333333333333333","3.0","1.0","3.0","0.125","0.041666666666666664","4.0","1.0","4.0","0.16666666666666666","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","4.0","1.0","4.0","0.16666666666666666","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","4.0","0.0","0.0","0.16666666666666666","0.0","4.0","1.0","4.0","0.16666666666666666","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","4.0","0.0","0.0","0.16666666666666666","0.0","1.0","13.0","13.0","0.041666666666666664","0.5416666666666666","10.0","8.0","80.0","0.4166666666666667","0.3333333333333333","1.0","10.0","10.0","0.041666666666666664","0.4166666666666667","1.0","20.0","20.0","0.041666666666666664","0.8333333333333334","2.0","7.0","14.0","0.08333333333333333","0.2916666666666667"
"14","3.0","2.0","6.0","0.125","0.08333333333333333","4.0","1.0","4.0","0.16666666666666666","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","3.0","0.0","0.0","0.125","0.0","4.0","7.0","28.0","0.16666666666666666","0.2916666666666667","3.0","0.0","0.0","0.125","0.0","5.0","2.0","10.0","0.20833333333333334","0.08333333333333333","3.0","1.0","3.0","0.125","0.041666666666666664","4.0","1.0","4.0","0.16666666666666666","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","4.0","1.0","4.0","0.16666666666666666","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","4.0","0.0","0.0","0.16666666666666666","0.0","4.0","1.0","4.0","0.16666666666666666","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","4.0","0.0","0.0","0.16666666666666666","0.0","1.0","13.0","13.0","0.041666666666666664","0.5416666666666666","10.0","8.0","80.0","0.4166666666666667","0.3333333333333333","1.0","10.0","10.0","0.041666666666666664","0.4166666666666667","1.0","20.0","20.0","0.041666666666666664","0.8333333333333334","2.0","7.0","14.0","0.08333333333333333","0.2916666666666667"
"15","3.0","2.0","6.0","0.125","0.08333333333333333","4.0","1.0","4.0","0.16666666666666666","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","3.0","0.0","0.0","0.125","0.0","4.0","7.0","28.0","0.16666666666666666","0.2916666666666667","3.0","0.0","0.0","0.125","0.0","5.0","2.0","10.0","0.20833333333333334","0.08333333333333333","3.0","1.0","3.0","0.125","0.041666666666666664","4.0","1.0","4.0","0.16666666666666666","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","4.0","1.0","4.0","0.16666666666666666","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","4.0","0.0","0.0","0.16666666666666666","0.0","4.0","1.0","4.0","0.16666666666666666","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","4.0","0.0","0.0","0.16666666666666666","0.0","1.0","13.0","13.0","0.041666666666666664","0.5416666666666666","10.0","8.0","80.0","0.4166666666666667","0.3333333333333333","1.0","10.0","10.0","0.041666666666666664","0.4166666666666667","1.0","20.0","20.0","0.041666666666666664","0.8333333333333334","2.0","7.0","14.0","0.08333333333333333","0.2916666666666667"
"16","3.0","2.0","6.0","0.125","0.08333333333333333","4.0","1.0","4.0","0.16666666666666666","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","3.0","0.0","0.0","0.125","0.0","4.0","7.0","28.0","0.16666666666666666","0.2916666666666667","3.0","0.0","0.0","0.125","0.0","5.0","2.0","10.0","0.20833333333333334","0.08333333333333333","3.0","1.0","3.0","0.125","0.041666666666666664","4.0","1.0","4.0","0.16666666666666666","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","4.0","1.0","4.0","0.16666666666666666","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","4.0","0.0","0.0","0.16666666666666666","0.0","4.0","1.0","4.0","0.16666666666666666","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","4.0","0.0","0.0","0.16666666666666666","0.0","1.0","13.0","13.0","0.041666666666666664","0.5416666666666666","10.0","8.0","80.0","0.4166666666666667","0.3333333333333333","1.0","10.0","10.0","0.041666666666666664","0.4166666666666667","1.0","20.0","20.0","0.041666666666666664","0.8333333333333334","2.0","7.0","14.0","0.08333333333333333","0.2916666666666667"
"17","3.0","2.0","6.0","0.125","0.08333333333333333","4.0","1.0","4.0","0.16666666666666666","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","3.0","0.0","0.0","0.125","0.0","4.0","7.0","28.0","0.16666666666666666","0.2916666666666667","3.0","0.0","0.0","0.125","0.0","5.0","2.0","10.0","0.20833333333333334","0.08333333333333333","3.0","1.0","3.0","0.125","0.041666666666666664","4.0","1.0","4.0","0.16666666666666666","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","4.0","1.0","4.0","0.16666666666666666","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","4.0","0.0","0.0","0.16666666666666666","0.0","4.0","1.0","4.0","0.16666666666666666","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","4.0","0.0","0.0","0.16666666666666666","0.0","1.0","13.0","13.0","0.041666666666666664","0.5416666666666666","10.0","8.0","80.0","0.4166666666666667","0.3333333333333333","1.0","10.0","10.0","0.041666666666666664","0.4166666666666667","1.0","20.0","20.0","0.041666666666666664","0.8333333333333334","2.0","7.0","14.0","0.08333333333333333","0.2916666666666667"
"18","3.0","2.0","6.0","0.125","0.08333333333333333","4.0","1.0","4.0","0.16666666666666666","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","3.0","0.0","0.0","0.125","0.0","4.0","7.0","28.0","0.16666666666666666","0.2916666666666667","3.0","0.0","0.0","0.125","0.0","5.0","2.0","10.0","0.20833333333333334","0.08333333333333333","3.0","1.0","3.0","0.125","0.041666666666666664","4.0","1.0","4.0","0.16666666666666666","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","4.0","1.0","4.0","0.16666666666666666","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","4.0","0.0","0.0","0.16666666666666666","0.0","4.0","1.0","4.0","0.16666666666666666","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","4.0","0.0","0.0","0.16666666666666666","0.0","1.0","13.0","13.0","0.041666666666666664","0.5416666666666666","10.0","8.0","80.0","0.4166666666666667","0.3333333333333333","1.0","10.0","10.0","0.041666666666666664","0.4166666666666667","1.0","20.0","20.0","0.041666666666666664","0.8333333333333334","2.0","7.0","14.0","0.08333333333333333","0.2916666666666667"
"19","3.0","2.0","6.0","0.125","0.08333333333333333","4.0","1.0","4.0","0.16666666666666666","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","3.0","0.0","0.0","0.125","0.0","4.0","7.0","28.0","0.16666666666666666","0.2916666666666667","3.0","0.0","0.0","0.125","0.0","5.0","2.0","10.0","0.20833333333333334","0.08333333333333333","3.0","1.0","3.0","0.125","0.041666666666666664","4.0","1.0","4.0","0.16666666666666666","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","4.0","1.0","4.0","0.16666666666666666","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","4.0","0.0","0.0","0.16666666666666666","0.0","4.0","1.0","4.0","0.16666666666666666","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","4.0","0.0","0.0","0.16666666666666666","0.0","1.0","13.0","13.0","0.041666666666666664","0.5416666666666666","10.0","8.0","80.0","0.4166666666666667","0.3333333333333333","1.0","10.0","10.0","0.041666666666666664","0.4166666666666667","1.0","20.0","20.0","0.041666666666666664","0.8333333333333334","2.0","7.0","14.0","0.08333333333333333","0.2916666666666667"
"20","3.0","2.0","6.0","0.125","0.08333333333333333","4.0","1.0","4.0","0.16666666666666666","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","3.0","0.0","0.0","0.125","0.0","4.0","7.0","28.0","0.16666666666666666","0.2916666666666667","3.0","0.0","0.0","0.125","0.0","5.0","2.0","10.0","0.20833333333333334","0.08333333333333333","3.0","1.0","3.0","0.125","0.041666666666666664","4.0","1.0","4.0","0.16666666666666666","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","4.0","1.0","4.0","0.16666666666666666","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","4.0","0.0","0.0","0.16666666666666666","0.0","4.0","1.0","4.0","0.16666666666666666","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","4.0","0.0","0.0","0.16666666666666666","0.0","1.0","13.0","13.0","0.041666666666666664","0.5416666666666666","10.0","8.0","80.0","0.4166666666666667","0.3333333333333333","1.0","10.0","10.0","0.041666666666666664","0.4166666666666667","1.0","20.0","20.0","0.041666666666666664","0.8333333333333334","2.0","7.0","14.0","0.08333333333333333","0.2916666666666667"
"21","3.0","2.0","6.0","0.125","0.08333333333333333","4.0","1.0","4.0","0.16666666666666666","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","3.0","0.0","0.0","0.125","0.0","4.0","7.0","28.0","0.16666666666666666","0.2916666666666667","3.0","0.0","0.0","0.125","0.0","5.0","2.0","10.0","0.20833333333333334","0.08333333333333333","3.0","1.0","3.0","0.125","0.041666666666666664","4.0","1.0","4.0","0.16666666666666666","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","4.0","1.0","4.0","0.16666666666666666","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","4.0","0.0","0.0","0.16666666666666666","0.0","4.0","1.0","4.0","0.16666666666666666","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","4.0","0.0","0.0","0.16666666666666666","0.0","1.0","13.0","13.0","0.041666666666666664","0.5416666666666666","10.0","8.0","80.0","0.4166666666666667","0.3333333333333333","1.0","10.0","10.0","0.041666666666666664","0.4166666666666667","1.0","20.0","20.0","0.041666666666666664","0.8333333333333334","2.0","7.0","14.0","0.08333333333333333","0.2916666666666667"
