"release","RD1-ADS","RD1-AIS","RD1-ACS","RD1-RCS","RD1-RIS","RD2-ADS","RD2-AIS","RD2-ACS","RD2-RCS","RD2-RIS","RD3-ADS","RD3-AIS","RD3-ACS","RD3-RCS","RD3-RIS","RD4-ADS","RD4-AIS","RD4-ACS","RD4-RCS","RD4-RIS","RD5-ADS","RD5-AIS","RD5-ACS","RD5-RCS","RD5-RIS","RD6-ADS","RD6-AIS","RD6-ACS","RD6-RCS","RD6-RIS","RD7-ADS","RD7-AIS","RD7-ACS","RD7-RCS","RD7-RIS","RD8-ADS","RD8-AIS","RD8-ACS","RD8-RCS","RD8-RIS","RD9-ADS","RD9-AIS","RD9-ACS","RD9-RCS","RD9-RIS","RD10-ADS","RD10-AIS","RD10-ACS","RD10-RCS","RD10-RIS","RD11-ADS","RD11-AIS","RD11-ACS","RD11-RCS","RD11-RIS","RD12-ADS","RD12-AIS","RD12-ACS","RD12-RCS","RD12-RIS","RD13-ADS","RD13-AIS","RD13-ACS","RD13-RCS","RD13-RIS","CPS1-ADS","CPS1-AIS","CPS1-ACS","CPS1-RCS","CPS1-RIS","GTW-ADS","GTW-AIS","GTW-ACS","GTW-RCS","GTW-RIS","REG-ADS","REG-AIS","REG-ACS","REG-RCS","REG-RIS","MSB-ADS","MSB-AIS","MSB-ACS","MSB-RCS","MSB-RIS","TRC-ADS","TRC-AIS","TRC-ACS","TRC-RCS","TRC-RIS","MSV1-ADS","MSV1-AIS","MSV1-ACS","MSV1-RCS","MSV1-RIS","MSV2-ADS","MSV2-AIS","MSV2-ACS","MSV2-RCS","MSV2-RIS","MSV3-ADS","MSV3-AIS","MSV3-ACS","MSV3-RCS","MSV3-RIS","MSV4-ADS","MSV4-AIS","MSV4-ACS","MSV4-RCS","MSV4-RIS","MSV5-ADS","MSV5-AIS","MSV5-ACS","MSV5-RCS","MSV5-RIS","MSV6-ADS","MSV6-AIS","MSV6-ACS","MSV6-RCS","MSV6-RIS","MSV7-ADS","MSV7-AIS","MSV7-ACS","MSV7-RCS","MSV7-RIS","MSV8-ADS","MSV8-AIS","MSV8-ACS","MSV8-RCS","MSV8-RIS","MSV9-ADS","MSV9-AIS","MSV9-ACS","MSV9-RCS","MSV9-RIS","MSV10-ADS","MSV10-AIS","MSV10-ACS","MSV10-RCS","MSV10-RIS","MSV11-ADS","MSV11-AIS","MSV11-ACS","MSV11-RCS","MSV11-RIS","MSV12-ADS","MSV12-AIS","MSV12-ACS","MSV12-RCS","MSV12-RIS","MSV13-ADS","MSV13-AIS","MSV13-ACS","MSV13-RCS","MSV13-RIS","MSV14-ADS","MSV14-AIS","MSV14-ACS","MSV14-RCS","MSV14-RIS"
"1","2.0","1.0","2.0","0.1111111111111111","0.05555555555555555","2.0","1.0","2.0","0.1111111111111111","0.05555555555555555","2.0","1.0","2.0","0.1111111111111111","0.05555555555555555","3.0","2.0","6.0","0.16666666666666666","0.1111111111111111","3.0","1.0","3.0","0.16666666666666666","0.05555555555555555","4.0","2.0","8.0","0.2222222222222222","0.1111111111111111","3.0","1.0","3.0","0.16666666666666666","0.05555555555555555","2.0","3.0","6.0","0.1111111111111111","0.16666666666666666","2.0","1.0","2.0","0.1111111111111111","0.05555555555555555","3.0","1.0","3.0","0.16666666666666666","0.05555555555555555","2.0","1.0","2.0","0.1111111111111111","0.05555555555555555","2.0","1.0","2.0","0.1111111111111111","0.05555555555555555","2.0","1.0","2.0","0.1111111111111111","0.05555555555555555","2.0","1.0","2.0","0.1111111111111111","0.05555555555555555","3.0","0.0","0.0","0.16666666666666666","0.0","0.0","7.0","0.0","0.0","0.3888888888888889","11.0","9.0","99.0","0.6111111111111112","0.5","1.0","15.0","15.0","0.05555555555555555","0.8333333333333334","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2","2.0","1.0","2.0","0.1111111111111111","0.05555555555555555","2.0","1.0","2.0","0.1111111111111111","0.05555555555555555","2.0","1.0","2.0","0.1111111111111111","0.05555555555555555","3.0","2.0","6.0","0.16666666666666666","0.1111111111111111","3.0","1.0","3.0","0.16666666666666666","0.05555555555555555","4.0","2.0","8.0","0.2222222222222222","0.1111111111111111","3.0","1.0","3.0","0.16666666666666666","0.05555555555555555","2.0","3.0","6.0","0.1111111111111111","0.16666666666666666","2.0","1.0","2.0","0.1111111111111111","0.05555555555555555","3.0","1.0","3.0","0.16666666666666666","0.05555555555555555","2.0","1.0","2.0","0.1111111111111111","0.05555555555555555","2.0","1.0","2.0","0.1111111111111111","0.05555555555555555","2.0","1.0","2.0","0.1111111111111111","0.05555555555555555","2.0","1.0","2.0","0.1111111111111111","0.05555555555555555","3.0","0.0","0.0","0.16666666666666666","0.0","0.0","7.0","0.0","0.0","0.3888888888888889","11.0","9.0","99.0","0.6111111111111112","0.5","1.0","15.0","15.0","0.05555555555555555","0.8333333333333334","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"3","2.0","1.0","2.0","0.1111111111111111","0.05555555555555555","2.0","1.0","2.0","0.1111111111111111","0.05555555555555555","2.0","1.0","2.0","0.1111111111111111","0.05555555555555555","3.0","2.0","6.0","0.16666666666666666","0.1111111111111111","3.0","1.0","3.0","0.16666666666666666","0.05555555555555555","4.0","2.0","8.0","0.2222222222222222","0.1111111111111111","3.0","1.0","3.0","0.16666666666666666","0.05555555555555555","2.0","3.0","6.0","0.1111111111111111","0.16666666666666666","2.0","1.0","2.0","0.1111111111111111","0.05555555555555555","3.0","1.0","3.0","0.16666666666666666","0.05555555555555555","2.0","1.0","2.0","0.1111111111111111","0.05555555555555555","2.0","1.0","2.0","0.1111111111111111","0.05555555555555555","2.0","1.0","2.0","0.1111111111111111","0.05555555555555555","2.0","1.0","2.0","0.1111111111111111","0.05555555555555555","3.0","0.0","0.0","0.16666666666666666","0.0","0.0","7.0","0.0","0.0","0.3888888888888889","11.0","9.0","99.0","0.6111111111111112","0.5","1.0","15.0","15.0","0.05555555555555555","0.8333333333333334","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"4","2.0","1.0","2.0","0.1111111111111111","0.05555555555555555","2.0","1.0","2.0","0.1111111111111111","0.05555555555555555","2.0","1.0","2.0","0.1111111111111111","0.05555555555555555","3.0","2.0","6.0","0.16666666666666666","0.1111111111111111","3.0","1.0","3.0","0.16666666666666666","0.05555555555555555","4.0","2.0","8.0","0.2222222222222222","0.1111111111111111","3.0","1.0","3.0","0.16666666666666666","0.05555555555555555","2.0","3.0","6.0","0.1111111111111111","0.16666666666666666","2.0","1.0","2.0","0.1111111111111111","0.05555555555555555","3.0","1.0","3.0","0.16666666666666666","0.05555555555555555","2.0","1.0","2.0","0.1111111111111111","0.05555555555555555","2.0","1.0","2.0","0.1111111111111111","0.05555555555555555","2.0","1.0","2.0","0.1111111111111111","0.05555555555555555","2.0","1.0","2.0","0.1111111111111111","0.05555555555555555","3.0","0.0","0.0","0.16666666666666666","0.0","0.0","7.0","0.0","0.0","0.3888888888888889","11.0","9.0","99.0","0.6111111111111112","0.5","1.0","15.0","15.0","0.05555555555555555","0.8333333333333334","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"5","2.0","1.0","2.0","0.1","0.05","2.0","1.0","2.0","0.1","0.05","2.0","1.0","2.0","0.1","0.05","3.0","2.0","6.0","0.15","0.1","3.0","1.0","3.0","0.15","0.05","4.0","2.0","8.0","0.2","0.1","3.0","1.0","3.0","0.15","0.05","2.0","5.0","10.0","0.1","0.25","2.0","1.0","2.0","0.1","0.05","3.0","1.0","3.0","0.15","0.05","2.0","1.0","2.0","0.1","0.05","2.0","1.0","2.0","0.1","0.05","2.0","1.0","2.0","0.1","0.05","2.0","1.0","2.0","0.1","0.05","5.0","0.0","0.0","0.25","0.0","0.0","9.0","0.0","0.0","0.45","11.0","9.0","99.0","0.55","0.45","1.0","16.0","16.0","0.05","0.8","2.0","1.0","2.0","0.1","0.05","3.0","1.0","3.0","0.15","0.05","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"6","2.0","1.0","2.0","0.1","0.05","2.0","1.0","2.0","0.1","0.05","2.0","1.0","2.0","0.1","0.05","3.0","2.0","6.0","0.15","0.1","3.0","1.0","3.0","0.15","0.05","4.0","2.0","8.0","0.2","0.1","3.0","1.0","3.0","0.15","0.05","2.0","5.0","10.0","0.1","0.25","2.0","1.0","2.0","0.1","0.05","3.0","1.0","3.0","0.15","0.05","2.0","1.0","2.0","0.1","0.05","2.0","1.0","2.0","0.1","0.05","2.0","1.0","2.0","0.1","0.05","2.0","1.0","2.0","0.1","0.05","5.0","0.0","0.0","0.25","0.0","0.0","9.0","0.0","0.0","0.45","11.0","9.0","99.0","0.55","0.45","1.0","16.0","16.0","0.05","0.8","2.0","1.0","2.0","0.1","0.05","3.0","1.0","3.0","0.15","0.05","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"7","2.0","1.0","2.0","0.1","0.05","2.0","1.0","2.0","0.1","0.05","2.0","1.0","2.0","0.1","0.05","3.0","2.0","6.0","0.15","0.1","3.0","1.0","3.0","0.15","0.05","4.0","2.0","8.0","0.2","0.1","3.0","1.0","3.0","0.15","0.05","2.0","5.0","10.0","0.1","0.25","2.0","1.0","2.0","0.1","0.05","3.0","1.0","3.0","0.15","0.05","2.0","1.0","2.0","0.1","0.05","2.0","1.0","2.0","0.1","0.05","2.0","1.0","2.0","0.1","0.05","2.0","1.0","2.0","0.1","0.05","5.0","0.0","0.0","0.25","0.0","0.0","9.0","0.0","0.0","0.45","11.0","9.0","99.0","0.55","0.45","1.0","16.0","16.0","0.05","0.8","2.0","1.0","2.0","0.1","0.05","3.0","1.0","3.0","0.15","0.05","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"8","2.0","1.0","2.0","0.1","0.05","2.0","1.0","2.0","0.1","0.05","2.0","1.0","2.0","0.1","0.05","3.0","2.0","6.0","0.15","0.1","3.0","1.0","3.0","0.15","0.05","4.0","2.0","8.0","0.2","0.1","3.0","1.0","3.0","0.15","0.05","2.0","5.0","10.0","0.1","0.25","2.0","1.0","2.0","0.1","0.05","3.0","1.0","3.0","0.15","0.05","2.0","1.0","2.0","0.1","0.05","2.0","1.0","2.0","0.1","0.05","2.0","1.0","2.0","0.1","0.05","2.0","1.0","2.0","0.1","0.05","5.0","0.0","0.0","0.25","0.0","0.0","9.0","0.0","0.0","0.45","11.0","9.0","99.0","0.55","0.45","1.0","16.0","16.0","0.05","0.8","2.0","1.0","2.0","0.1","0.05","3.0","1.0","3.0","0.15","0.05","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"9","2.0","1.0","2.0","0.1","0.05","2.0","1.0","2.0","0.1","0.05","2.0","1.0","2.0","0.1","0.05","3.0","2.0","6.0","0.15","0.1","3.0","1.0","3.0","0.15","0.05","4.0","2.0","8.0","0.2","0.1","3.0","1.0","3.0","0.15","0.05","2.0","5.0","10.0","0.1","0.25","2.0","1.0","2.0","0.1","0.05","3.0","1.0","3.0","0.15","0.05","2.0","1.0","2.0","0.1","0.05","2.0","1.0","2.0","0.1","0.05","2.0","1.0","2.0","0.1","0.05","2.0","1.0","2.0","0.1","0.05","5.0","0.0","0.0","0.25","0.0","0.0","9.0","0.0","0.0","0.45","11.0","9.0","99.0","0.55","0.45","1.0","16.0","16.0","0.05","0.8","2.0","1.0","2.0","0.1","0.05","3.0","1.0","3.0","0.15","0.05","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"10","2.0","1.0","2.0","0.1","0.05","2.0","1.0","2.0","0.1","0.05","2.0","1.0","2.0","0.1","0.05","3.0","2.0","6.0","0.15","0.1","3.0","1.0","3.0","0.15","0.05","4.0","2.0","8.0","0.2","0.1","3.0","1.0","3.0","0.15","0.05","2.0","5.0","10.0","0.1","0.25","2.0","1.0","2.0","0.1","0.05","3.0","1.0","3.0","0.15","0.05","2.0","1.0","2.0","0.1","0.05","2.0","1.0","2.0","0.1","0.05","2.0","1.0","2.0","0.1","0.05","2.0","1.0","2.0","0.1","0.05","5.0","0.0","0.0","0.25","0.0","0.0","9.0","0.0","0.0","0.45","11.0","9.0","99.0","0.55","0.45","1.0","16.0","16.0","0.05","0.8","2.0","1.0","2.0","0.1","0.05","3.0","1.0","3.0","0.15","0.05","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
