"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","BA1-ADS","BA1-GINI -ADS","BA1-AIS","BA1-GINI -AIS","BA2-ADS","BA2-GINI -ADS","BA2-AIS","BA2-GINI -AIS","BA3-ADS","BA3-GINI -ADS","BA3-AIS","BA3-GINI -AIS","BA4-ADS","BA4-GINI -ADS","BA4-AIS","BA4-GINI -AIS","BA5-ADS","BA5-GINI -ADS","BA5-AIS","BA5-GINI -AIS","BA6-ADS","BA6-GINI -ADS","BA6-AIS","BA6-GINI -AIS","BA7-ADS","BA7-GINI -ADS","BA7-AIS","BA7-GINI -AIS","BA8-ADS","BA8-GINI -ADS","BA8-AIS","BA8-GINI -AIS","BA9-ADS","BA9-GINI -ADS","BA9-AIS","BA9-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","MSB-ADS","MSB-GINI -ADS","MSB-AIS","MSB-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS","TRC-ADS","TRC-GINI -ADS","TRC-AIS","TRC-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS","MSV2-ADS","MSV2-GINI -ADS","MSV2-AIS","MSV2-GINI -AIS","MSV3-ADS","MSV3-GINI -ADS","MSV3-AIS","MSV3-GINI -AIS","MSV4-ADS","MSV4-GINI -ADS","MSV4-AIS","MSV4-GINI -AIS","MSV5-ADS","MSV5-GINI -ADS","MSV5-AIS","MSV5-GINI -AIS","MSV6-ADS","MSV6-GINI -ADS","MSV6-AIS","MSV6-GINI -AIS","MSV7-ADS","MSV7-GINI -ADS","MSV7-AIS","MSV7-GINI -AIS","MSV8-ADS","MSV8-GINI -ADS","MSV8-AIS","MSV8-GINI -AIS","MSV9-ADS","MSV9-GINI -ADS","MSV9-AIS","MSV9-GINI -AIS"
"0","0.3142857","0.4821429","0.21978021978021978","2.857142857142857","2.0","0","2.0","0","2.0","0","2.0","0","3.0","0","2.0","0","7.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","6.0","0","0.0","0","1.0","0","6.0","0","4.0","0","5.0","0","1.0","0","5.0","0","1.0","0","11.0","0","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0"
"1","0.3142857","0.4821429","0.21978021978021978","2.857142857142857","2.0","0","2.0","0","2.0","0","2.0","0","3.0","0","2.0","0","7.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","6.0","0","0.0","0","1.0","0","6.0","0","4.0","0","5.0","0","1.0","0","5.0","0","1.0","0","11.0","0","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0"
"2","0.3142857","0.4821429","0.21978021978021978","2.857142857142857","2.0","0","2.0","0","2.0","0","2.0","0","3.0","0","2.0","0","7.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","6.0","0","0.0","0","1.0","0","6.0","0","4.0","0","5.0","0","1.0","0","5.0","0","1.0","0","11.0","0","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0"
"3","0.3142857","0.4821429","0.21978021978021978","2.857142857142857","2.0","0","2.0","0","2.0","0","2.0","0","3.0","0","2.0","0","7.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","6.0","0","0.0","0","1.0","0","6.0","0","4.0","0","5.0","0","1.0","0","5.0","0","1.0","0","11.0","0","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0"
"4","0.2909091","0.5060606","0.20952380952380953","2.933333333333333","2.0","0","2.0","0","3.0","0.07272727","2.0","0","3.0","0","2.0","0","7.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","6.0","0","0.0","0","1.0","0","7.0","0.02580645","4.0","0","5.0","0","1.0","0","6.0","0.03076923","1.0","0","12.0","0.01428571","3.0","0","1.0","0","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0"
"5","0.2909091","0.5060606","0.20952380952380953","2.933333333333333","2.0","0","2.0","0","3.0","0.09523810","2.0","0","3.0","0","2.0","0","7.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","6.0","0","0.0","0","1.0","0","7.0","0.03508772","4.0","0","5.0","0","1.0","0","6.0","0.04166667","1.0","0","12.0","0.01960784","3.0","0","1.0","0","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0"
"6","0.2890625","0.5104167","0.2","3.0","2.0","0","2.0","0","3.0","0.1008403","2.0","0","3.0","0","2.0","0","7.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0.1071429","2.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","7.0","0.01993355","0.0","0","1.0","0","8.0","0.05590062","4.0","0","5.0","0","1.0","0","6.0","0.04511278","1.0","0","13.0","0.03174603","3.0","0","1.0","0","3.0","0","1.0","0","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0"
"7","0.2890625","0.5104167","0.2","3.0","2.0","0","2.0","0","3.0","0.1","2.0","0","3.0","0","2.0","0","7.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0.15","2.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","7.0","0.03","0.0","0","1.0","0","8.0","0.06481481","4.0","0","5.0","0","1.0","0","6.0","0.04545455","1.0","0","13.0","0.03723404","3.0","0","1.0","0","3.0","0","1.0","0","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0"
"8","0.2890625","0.5104167","0.2","3.0","2.0","0","2.0","0","3.0","0.09661836","2.0","0","3.0","0","2.0","0","7.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0.1666667","2.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","7.0","0.03508772","0.0","0","1.0","0","8.0","0.06810036","4.0","0","5.0","0","1.0","0","6.0","0.04444444","1.0","0","13.0","0.03946002","3.0","0","1.0","0","3.0","0","1.0","0","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0"
"9","0.2890625","0.5104167","0.2","3.0","2.0","0","2.0","0","3.0","0.09230769","2.0","0","3.0","0","2.0","0","7.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0.1714286","2.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","7.0","0.0375","0.0","0","1.0","0","8.0","0.06857143","4.0","0","5.0","0","1.0","0","6.0","0.04285714","1.0","0","13.0","0.04","3.0","0","1.0","0","3.0","0","1.0","0","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0"
