"release","RD1-ADS","RD1-AIS","RD1-ACS","RD1-RCS","RD1-RIS","RD2-ADS","RD2-AIS","RD2-ACS","RD2-RCS","RD2-RIS","RD3-ADS","RD3-AIS","RD3-ACS","RD3-RCS","RD3-RIS","RD4-ADS","RD4-AIS","RD4-ACS","RD4-RCS","RD4-RIS","RD5-ADS","RD5-AIS","RD5-ACS","RD5-RCS","RD5-RIS","RD6-ADS","RD6-AIS","RD6-ACS","RD6-RCS","RD6-RIS","RD7-ADS","RD7-AIS","RD7-ACS","RD7-RCS","RD7-RIS","CPS1-ADS","CPS1-AIS","CPS1-ACS","CPS1-RCS","CPS1-RIS","GTW-ADS","GTW-AIS","GTW-ACS","GTW-RCS","GTW-RIS","REG-ADS","REG-AIS","REG-ACS","REG-RCS","REG-RIS","TRC-ADS","TRC-AIS","TRC-ACS","TRC-RCS","TRC-RIS","MSV1-ADS","MSV1-AIS","MSV1-ACS","MSV1-RCS","MSV1-RIS"
"1","3.0","1.0","3.0","0.2727272727272727","0.09090909090909091","2.0","6.0","12.0","0.18181818181818182","0.5454545454545454","3.0","1.0","3.0","0.2727272727272727","0.09090909090909091","2.0","1.0","2.0","0.18181818181818182","0.09090909090909091","3.0","1.0","3.0","0.2727272727272727","0.09090909090909091","3.0","1.0","3.0","0.2727272727272727","0.09090909090909091","3.0","1.0","3.0","0.2727272727272727","0.09090909090909091","8.0","1.0","8.0","0.7272727272727273","0.09090909090909091","3.0","0.0","0.0","0.2727272727272727","0.0","0.0","9.0","0.0","0.0","0.8181818181818182","1.0","9.0","9.0","0.09090909090909091","0.8181818181818182","0.0","0.0","0.0","0.0","0.0"
"2","3.0","1.0","3.0","0.2727272727272727","0.09090909090909091","2.0","6.0","12.0","0.18181818181818182","0.5454545454545454","3.0","1.0","3.0","0.2727272727272727","0.09090909090909091","2.0","1.0","2.0","0.18181818181818182","0.09090909090909091","3.0","1.0","3.0","0.2727272727272727","0.09090909090909091","3.0","1.0","3.0","0.2727272727272727","0.09090909090909091","3.0","1.0","3.0","0.2727272727272727","0.09090909090909091","8.0","1.0","8.0","0.7272727272727273","0.09090909090909091","3.0","0.0","0.0","0.2727272727272727","0.0","0.0","9.0","0.0","0.0","0.8181818181818182","1.0","9.0","9.0","0.09090909090909091","0.8181818181818182","0.0","0.0","0.0","0.0","0.0"
"3","3.0","1.0","3.0","0.2727272727272727","0.09090909090909091","2.0","6.0","12.0","0.18181818181818182","0.5454545454545454","3.0","1.0","3.0","0.2727272727272727","0.09090909090909091","2.0","1.0","2.0","0.18181818181818182","0.09090909090909091","3.0","1.0","3.0","0.2727272727272727","0.09090909090909091","3.0","1.0","3.0","0.2727272727272727","0.09090909090909091","3.0","1.0","3.0","0.2727272727272727","0.09090909090909091","8.0","1.0","8.0","0.7272727272727273","0.09090909090909091","3.0","0.0","0.0","0.2727272727272727","0.0","0.0","9.0","0.0","0.0","0.8181818181818182","1.0","9.0","9.0","0.09090909090909091","0.8181818181818182","0.0","0.0","0.0","0.0","0.0"
"4","3.0","1.0","3.0","0.2727272727272727","0.09090909090909091","2.0","6.0","12.0","0.18181818181818182","0.5454545454545454","3.0","1.0","3.0","0.2727272727272727","0.09090909090909091","2.0","1.0","2.0","0.18181818181818182","0.09090909090909091","3.0","1.0","3.0","0.2727272727272727","0.09090909090909091","3.0","1.0","3.0","0.2727272727272727","0.09090909090909091","3.0","1.0","3.0","0.2727272727272727","0.09090909090909091","8.0","1.0","8.0","0.7272727272727273","0.09090909090909091","3.0","0.0","0.0","0.2727272727272727","0.0","0.0","9.0","0.0","0.0","0.8181818181818182","1.0","9.0","9.0","0.09090909090909091","0.8181818181818182","0.0","0.0","0.0","0.0","0.0"
"5","3.0","1.0","3.0","0.2727272727272727","0.09090909090909091","2.0","6.0","12.0","0.18181818181818182","0.5454545454545454","3.0","1.0","3.0","0.2727272727272727","0.09090909090909091","2.0","1.0","2.0","0.18181818181818182","0.09090909090909091","3.0","1.0","3.0","0.2727272727272727","0.09090909090909091","3.0","1.0","3.0","0.2727272727272727","0.09090909090909091","3.0","1.0","3.0","0.2727272727272727","0.09090909090909091","8.0","1.0","8.0","0.7272727272727273","0.09090909090909091","3.0","0.0","0.0","0.2727272727272727","0.0","0.0","9.0","0.0","0.0","0.8181818181818182","1.0","9.0","9.0","0.09090909090909091","0.8181818181818182","0.0","0.0","0.0","0.0","0.0"
"6","3.0","1.0","3.0","0.2727272727272727","0.09090909090909091","2.0","6.0","12.0","0.18181818181818182","0.5454545454545454","3.0","1.0","3.0","0.2727272727272727","0.09090909090909091","2.0","1.0","2.0","0.18181818181818182","0.09090909090909091","3.0","1.0","3.0","0.2727272727272727","0.09090909090909091","3.0","1.0","3.0","0.2727272727272727","0.09090909090909091","3.0","1.0","3.0","0.2727272727272727","0.09090909090909091","8.0","1.0","8.0","0.7272727272727273","0.09090909090909091","3.0","0.0","0.0","0.2727272727272727","0.0","0.0","9.0","0.0","0.0","0.8181818181818182","1.0","9.0","9.0","0.09090909090909091","0.8181818181818182","0.0","0.0","0.0","0.0","0.0"
"7","3.0","1.0","3.0","0.2727272727272727","0.09090909090909091","2.0","6.0","12.0","0.18181818181818182","0.5454545454545454","3.0","1.0","3.0","0.2727272727272727","0.09090909090909091","2.0","1.0","2.0","0.18181818181818182","0.09090909090909091","3.0","1.0","3.0","0.2727272727272727","0.09090909090909091","3.0","1.0","3.0","0.2727272727272727","0.09090909090909091","3.0","1.0","3.0","0.2727272727272727","0.09090909090909091","8.0","1.0","8.0","0.7272727272727273","0.09090909090909091","3.0","0.0","0.0","0.2727272727272727","0.0","0.0","9.0","0.0","0.0","0.8181818181818182","1.0","9.0","9.0","0.09090909090909091","0.8181818181818182","0.0","0.0","0.0","0.0","0.0"
"8","3.0","1.0","3.0","0.25","0.08333333333333333","2.0","3.0","6.0","0.16666666666666666","0.25","3.0","1.0","3.0","0.25","0.08333333333333333","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","3.0","1.0","3.0","0.25","0.08333333333333333","3.0","1.0","3.0","0.25","0.08333333333333333","3.0","1.0","3.0","0.25","0.08333333333333333","8.0","1.0","8.0","0.6666666666666666","0.08333333333333333","3.0","0.0","0.0","0.25","0.0","0.0","10.0","0.0","0.0","0.8333333333333334","1.0","10.0","10.0","0.08333333333333333","0.8333333333333334","2.0","3.0","6.0","0.16666666666666666","0.25"
"9","3.0","1.0","3.0","0.25","0.08333333333333333","2.0","3.0","6.0","0.16666666666666666","0.25","3.0","1.0","3.0","0.25","0.08333333333333333","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","3.0","1.0","3.0","0.25","0.08333333333333333","3.0","1.0","3.0","0.25","0.08333333333333333","3.0","1.0","3.0","0.25","0.08333333333333333","8.0","1.0","8.0","0.6666666666666666","0.08333333333333333","3.0","0.0","0.0","0.25","0.0","0.0","10.0","0.0","0.0","0.8333333333333334","1.0","10.0","10.0","0.08333333333333333","0.8333333333333334","2.0","3.0","6.0","0.16666666666666666","0.25"
"10","3.0","1.0","3.0","0.25","0.08333333333333333","2.0","3.0","6.0","0.16666666666666666","0.25","3.0","1.0","3.0","0.25","0.08333333333333333","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","3.0","1.0","3.0","0.25","0.08333333333333333","3.0","1.0","3.0","0.25","0.08333333333333333","3.0","1.0","3.0","0.25","0.08333333333333333","8.0","1.0","8.0","0.6666666666666666","0.08333333333333333","3.0","0.0","0.0","0.25","0.0","0.0","10.0","0.0","0.0","0.8333333333333334","1.0","10.0","10.0","0.08333333333333333","0.8333333333333334","2.0","3.0","6.0","0.16666666666666666","0.25"
