"release","RD1-ADS","RD1-AIS","RD1-ACS","RD1-RCS","RD1-RIS","RD2-ADS","RD2-AIS","RD2-ACS","RD2-RCS","RD2-RIS","RD3-ADS","RD3-AIS","RD3-ACS","RD3-RCS","RD3-RIS","RD4-ADS","RD4-AIS","RD4-ACS","RD4-RCS","RD4-RIS","RD5-ADS","RD5-AIS","RD5-ACS","RD5-RCS","RD5-RIS","RD6-ADS","RD6-AIS","RD6-ACS","RD6-RCS","RD6-RIS","RD7-ADS","RD7-AIS","RD7-ACS","RD7-RCS","RD7-RIS","RD8-ADS","RD8-AIS","RD8-ACS","RD8-RCS","RD8-RIS","RD9-ADS","RD9-AIS","RD9-ACS","RD9-RCS","RD9-RIS","RD10-ADS","RD10-AIS","RD10-ACS","RD10-RCS","RD10-RIS","RD11-ADS","RD11-AIS","RD11-ACS","RD11-RCS","RD11-RIS","RD12-ADS","RD12-AIS","RD12-ACS","RD12-RCS","RD12-RIS","REG-ADS","REG-AIS","REG-ACS","REG-RCS","REG-RIS","CFG-ADS","CFG-AIS","CFG-ACS","CFG-RCS","CFG-RIS","TRC-ADS","TRC-AIS","TRC-ACS","TRC-RCS","TRC-RIS","MSV1-ADS","MSV1-AIS","MSV1-ACS","MSV1-RCS","MSV1-RIS"
"11","4.0","0.0","0.0","0.25","0.0","4.0","0.0","0.0","0.25","0.0","2.0","0.0","0.0","0.125","0.0","3.0","1.0","3.0","0.1875","0.0625","4.0","0.0","0.0","0.25","0.0","3.0","1.0","3.0","0.1875","0.0625","4.0","0.0","0.0","0.25","0.0","5.0","0.0","0.0","0.3125","0.0","3.0","1.0","3.0","0.1875","0.0625","2.0","4.0","8.0","0.125","0.25","4.0","0.0","0.0","0.25","0.0","3.0","2.0","6.0","0.1875","0.125","1.0","14.0","14.0","0.0625","0.875","1.0","6.0","6.0","0.0625","0.375","1.0","13.0","13.0","0.0625","0.8125","1.0","3.0","3.0","0.0625","0.1875"
"12","4.0","0.0","0.0","0.25","0.0","4.0","0.0","0.0","0.25","0.0","2.0","0.0","0.0","0.125","0.0","3.0","1.0","3.0","0.1875","0.0625","4.0","0.0","0.0","0.25","0.0","3.0","1.0","3.0","0.1875","0.0625","4.0","0.0","0.0","0.25","0.0","5.0","0.0","0.0","0.3125","0.0","3.0","1.0","3.0","0.1875","0.0625","2.0","4.0","8.0","0.125","0.25","4.0","0.0","0.0","0.25","0.0","3.0","2.0","6.0","0.1875","0.125","1.0","14.0","14.0","0.0625","0.875","1.0","6.0","6.0","0.0625","0.375","1.0","13.0","13.0","0.0625","0.8125","1.0","3.0","3.0","0.0625","0.1875"
"13","4.0","0.0","0.0","0.25","0.0","4.0","0.0","0.0","0.25","0.0","2.0","0.0","0.0","0.125","0.0","3.0","1.0","3.0","0.1875","0.0625","4.0","0.0","0.0","0.25","0.0","3.0","1.0","3.0","0.1875","0.0625","4.0","0.0","0.0","0.25","0.0","5.0","0.0","0.0","0.3125","0.0","3.0","1.0","3.0","0.1875","0.0625","2.0","4.0","8.0","0.125","0.25","4.0","0.0","0.0","0.25","0.0","3.0","2.0","6.0","0.1875","0.125","1.0","14.0","14.0","0.0625","0.875","1.0","6.0","6.0","0.0625","0.375","1.0","13.0","13.0","0.0625","0.8125","1.0","3.0","3.0","0.0625","0.1875"
"14","4.0","0.0","0.0","0.25","0.0","4.0","0.0","0.0","0.25","0.0","2.0","0.0","0.0","0.125","0.0","3.0","1.0","3.0","0.1875","0.0625","4.0","0.0","0.0","0.25","0.0","3.0","1.0","3.0","0.1875","0.0625","4.0","0.0","0.0","0.25","0.0","5.0","0.0","0.0","0.3125","0.0","3.0","1.0","3.0","0.1875","0.0625","2.0","4.0","8.0","0.125","0.25","4.0","0.0","0.0","0.25","0.0","3.0","2.0","6.0","0.1875","0.125","1.0","14.0","14.0","0.0625","0.875","1.0","6.0","6.0","0.0625","0.375","1.0","13.0","13.0","0.0625","0.8125","1.0","3.0","3.0","0.0625","0.1875"
"15","4.0","0.0","0.0","0.25","0.0","4.0","0.0","0.0","0.25","0.0","2.0","0.0","0.0","0.125","0.0","3.0","1.0","3.0","0.1875","0.0625","4.0","0.0","0.0","0.25","0.0","3.0","1.0","3.0","0.1875","0.0625","4.0","0.0","0.0","0.25","0.0","5.0","0.0","0.0","0.3125","0.0","3.0","1.0","3.0","0.1875","0.0625","2.0","4.0","8.0","0.125","0.25","4.0","0.0","0.0","0.25","0.0","3.0","2.0","6.0","0.1875","0.125","1.0","14.0","14.0","0.0625","0.875","1.0","6.0","6.0","0.0625","0.375","1.0","13.0","13.0","0.0625","0.8125","1.0","3.0","3.0","0.0625","0.1875"
"16","4.0","0.0","0.0","0.25","0.0","4.0","0.0","0.0","0.25","0.0","2.0","0.0","0.0","0.125","0.0","3.0","1.0","3.0","0.1875","0.0625","4.0","0.0","0.0","0.25","0.0","3.0","1.0","3.0","0.1875","0.0625","4.0","0.0","0.0","0.25","0.0","5.0","0.0","0.0","0.3125","0.0","3.0","1.0","3.0","0.1875","0.0625","2.0","4.0","8.0","0.125","0.25","4.0","0.0","0.0","0.25","0.0","3.0","2.0","6.0","0.1875","0.125","1.0","14.0","14.0","0.0625","0.875","1.0","6.0","6.0","0.0625","0.375","1.0","13.0","13.0","0.0625","0.8125","1.0","3.0","3.0","0.0625","0.1875"
"17","4.0","0.0","0.0","0.25","0.0","4.0","0.0","0.0","0.25","0.0","2.0","0.0","0.0","0.125","0.0","3.0","1.0","3.0","0.1875","0.0625","4.0","0.0","0.0","0.25","0.0","3.0","1.0","3.0","0.1875","0.0625","4.0","0.0","0.0","0.25","0.0","5.0","0.0","0.0","0.3125","0.0","3.0","1.0","3.0","0.1875","0.0625","2.0","4.0","8.0","0.125","0.25","4.0","0.0","0.0","0.25","0.0","3.0","2.0","6.0","0.1875","0.125","1.0","14.0","14.0","0.0625","0.875","1.0","6.0","6.0","0.0625","0.375","1.0","13.0","13.0","0.0625","0.8125","1.0","3.0","3.0","0.0625","0.1875"
"18","4.0","0.0","0.0","0.25","0.0","4.0","0.0","0.0","0.25","0.0","2.0","0.0","0.0","0.125","0.0","3.0","1.0","3.0","0.1875","0.0625","4.0","0.0","0.0","0.25","0.0","3.0","1.0","3.0","0.1875","0.0625","4.0","0.0","0.0","0.25","0.0","5.0","0.0","0.0","0.3125","0.0","3.0","1.0","3.0","0.1875","0.0625","2.0","4.0","8.0","0.125","0.25","4.0","0.0","0.0","0.25","0.0","3.0","2.0","6.0","0.1875","0.125","1.0","14.0","14.0","0.0625","0.875","1.0","6.0","6.0","0.0625","0.375","1.0","13.0","13.0","0.0625","0.8125","1.0","3.0","3.0","0.0625","0.1875"
"19","4.0","0.0","0.0","0.25","0.0","4.0","0.0","0.0","0.25","0.0","2.0","0.0","0.0","0.125","0.0","3.0","1.0","3.0","0.1875","0.0625","4.0","0.0","0.0","0.25","0.0","3.0","1.0","3.0","0.1875","0.0625","4.0","0.0","0.0","0.25","0.0","5.0","0.0","0.0","0.3125","0.0","3.0","1.0","3.0","0.1875","0.0625","2.0","4.0","8.0","0.125","0.25","4.0","0.0","0.0","0.25","0.0","3.0","2.0","6.0","0.1875","0.125","1.0","14.0","14.0","0.0625","0.875","1.0","6.0","6.0","0.0625","0.375","1.0","13.0","13.0","0.0625","0.8125","1.0","3.0","3.0","0.0625","0.1875"
"20","4.0","0.0","0.0","0.25","0.0","4.0","0.0","0.0","0.25","0.0","2.0","0.0","0.0","0.125","0.0","3.0","1.0","3.0","0.1875","0.0625","4.0","0.0","0.0","0.25","0.0","3.0","1.0","3.0","0.1875","0.0625","4.0","0.0","0.0","0.25","0.0","5.0","0.0","0.0","0.3125","0.0","3.0","1.0","3.0","0.1875","0.0625","2.0","4.0","8.0","0.125","0.25","4.0","0.0","0.0","0.25","0.0","3.0","2.0","6.0","0.1875","0.125","1.0","14.0","14.0","0.0625","0.875","1.0","6.0","6.0","0.0625","0.375","1.0","13.0","13.0","0.0625","0.8125","1.0","3.0","3.0","0.0625","0.1875"
"21","4.0","0.0","0.0","0.25","0.0","4.0","0.0","0.0","0.25","0.0","2.0","0.0","0.0","0.125","0.0","3.0","1.0","3.0","0.1875","0.0625","4.0","0.0","0.0","0.25","0.0","3.0","1.0","3.0","0.1875","0.0625","4.0","0.0","0.0","0.25","0.0","5.0","0.0","0.0","0.3125","0.0","3.0","1.0","3.0","0.1875","0.0625","2.0","4.0","8.0","0.125","0.25","4.0","0.0","0.0","0.25","0.0","3.0","2.0","6.0","0.1875","0.125","1.0","14.0","14.0","0.0625","0.875","1.0","6.0","6.0","0.0625","0.375","1.0","13.0","13.0","0.0625","0.8125","1.0","3.0","3.0","0.0625","0.1875"
