"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","RD1-ADS","RD1-GINI -ADS","RD1-AIS","RD1-GINI -AIS","RD2-ADS","RD2-GINI -ADS","RD2-AIS","RD2-GINI -AIS","RD3-ADS","RD3-GINI -ADS","RD3-AIS","RD3-GINI -AIS","RD4-ADS","RD4-GINI -ADS","RD4-AIS","RD4-GINI -AIS","RD5-ADS","RD5-GINI -ADS","RD5-AIS","RD5-GINI -AIS","RD6-ADS","RD6-GINI -ADS","RD6-AIS","RD6-GINI -AIS","RD7-ADS","RD7-GINI -ADS","RD7-AIS","RD7-GINI -AIS","RD8-ADS","RD8-GINI -ADS","RD8-AIS","RD8-GINI -AIS","RD9-ADS","RD9-GINI -ADS","RD9-AIS","RD9-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","MSB-ADS","MSB-GINI -ADS","MSB-AIS","MSB-GINI -AIS","TRC-ADS","TRC-GINI -ADS","TRC-AIS","TRC-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"0","0.2788462","0.5480769","0.20512820512820512","2.4615384615384617","2.0","0","3.0","0","2.0","0","2.0","0","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","2.0","0","1.0","0","2.0","0","0.0","0","0.0","0","6.0","0","5.0","0","5.0","0","1.0","0","10.0","0","0.0","","0.0"
"1","0.2788462","0.5480769","0.20512820512820512","2.4615384615384617","2.0","0","3.0","0","2.0","0","2.0","0","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","2.0","0","1.0","0","2.0","0","0.0","0","0.0","0","6.0","0","5.0","0","5.0","0","1.0","0","10.0","0","0.0","","0.0"
"2","0.2788462","0.5480769","0.20512820512820512","2.4615384615384617","2.0","0","3.0","0","2.0","0","2.0","0","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","2.0","0","1.0","0","2.0","0","0.0","0","0.0","0","6.0","0","5.0","0","5.0","0","1.0","0","10.0","0","0.0","","0.0"
"3","0.2788462","0.5480769","0.20512820512820512","2.4615384615384617","2.0","0","3.0","0","2.0","0","2.0","0","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","2.0","0","1.0","0","2.0","0","0.0","0","0.0","0","6.0","0","5.0","0","5.0","0","1.0","0","10.0","0","0.0","","0.0"
"4","0.2965368","0.5519481","0.1813186813186813","2.357142857142857","2.0","0","2.0","0.05714286","2.0","0","2.0","0","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","2.0","0","1.0","0","2.0","0","0.0","0","0.0","0","7.0","0.02580645","5.0","0","5.0","0","1.0","0","10.0","0","1.0","0","1.0","0"
"5","0.2965368","0.5519481","0.1813186813186813","2.357142857142857","2.0","0","2.0","0.08333333","2.0","0","2.0","0","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","2.0","0","1.0","0","2.0","0","0.0","0","0.0","0","7.0","0.03508772","5.0","0","5.0","0","1.0","0","10.0","0","1.0","0","1.0","0"
"6","0.2965368","0.5519481","0.1813186813186813","2.357142857142857","2.0","0","2.0","0.09523810","2.0","0","2.0","0","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","2.0","0","1.0","0","2.0","0","0.0","0","0.0","0","7.0","0.03809524","5.0","0","5.0","0","1.0","0","10.0","0","1.0","0","1.0","0"
"7","0.2965368","0.5519481","0.1813186813186813","2.357142857142857","2.0","0","2.0","0.1","2.0","0","2.0","0","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","2.0","0","1.0","0","2.0","0","0.0","0","0.0","0","7.0","0.03846154","5.0","0","5.0","0","1.0","0","10.0","0","1.0","0","1.0","0"
"8","0.2965368","0.5519481","0.1813186813186813","2.357142857142857","2.0","0","2.0","0.1010101","2.0","0","2.0","0","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","2.0","0","1.0","0","2.0","0","0.0","0","0.0","0","7.0","0.03766478","5.0","0","5.0","0","1.0","0","10.0","0","1.0","0","1.0","0"
"9","0.2965368","0.5519481","0.1813186813186813","2.357142857142857","2.0","0","2.0","0.1","2.0","0","2.0","0","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","2.0","0","1.0","0","2.0","0","0.0","0","0.0","0","7.0","0.03636364","5.0","0","5.0","0","1.0","0","10.0","0","1.0","0","1.0","0"
