"release","RD1-ADS","RD1-AIS","RD1-ACS","RD1-RCS","RD1-RIS","RD2-ADS","RD2-AIS","RD2-ACS","RD2-RCS","RD2-RIS","RD3-ADS","RD3-AIS","RD3-ACS","RD3-RCS","RD3-RIS","RD4-ADS","RD4-AIS","RD4-ACS","RD4-RCS","RD4-RIS","RD5-ADS","RD5-AIS","RD5-ACS","RD5-RCS","RD5-RIS","RD6-ADS","RD6-AIS","RD6-ACS","RD6-RCS","RD6-RIS","RD7-ADS","RD7-AIS","RD7-ACS","RD7-RCS","RD7-RIS","RD8-ADS","RD8-AIS","RD8-ACS","RD8-RCS","RD8-RIS","RD9-ADS","RD9-AIS","RD9-ACS","RD9-RCS","RD9-RIS","RD10-ADS","RD10-AIS","RD10-ACS","RD10-RCS","RD10-RIS","RD11-ADS","RD11-AIS","RD11-ACS","RD11-RCS","RD11-RIS","RD12-ADS","RD12-AIS","RD12-ACS","RD12-RCS","RD12-RIS","RD13-ADS","RD13-AIS","RD13-ACS","RD13-RCS","RD13-RIS","RD14-ADS","RD14-AIS","RD14-ACS","RD14-RCS","RD14-RIS","RD15-ADS","RD15-AIS","RD15-ACS","RD15-RCS","RD15-RIS","RD16-ADS","RD16-AIS","RD16-ACS","RD16-RCS","RD16-RIS","RD17-ADS","RD17-AIS","RD17-ACS","RD17-RCS","RD17-RIS","CPS1-ADS","CPS1-AIS","CPS1-ACS","CPS1-RCS","CPS1-RIS","CPS2-ADS","CPS2-AIS","CPS2-ACS","CPS2-RCS","CPS2-RIS","REG-ADS","REG-AIS","REG-ACS","REG-RCS","REG-RIS","MSB-ADS","MSB-AIS","MSB-ACS","MSB-RCS","MSB-RIS","CFG-ADS","CFG-AIS","CFG-ACS","CFG-RCS","CFG-RIS","TRC-ADS","TRC-AIS","TRC-ACS","TRC-RCS","TRC-RIS","MSV1-ADS","MSV1-AIS","MSV1-ACS","MSV1-RCS","MSV1-RIS","MSV2-ADS","MSV2-AIS","MSV2-ACS","MSV2-RCS","MSV2-RIS","MSV3-ADS","MSV3-AIS","MSV3-ACS","MSV3-RCS","MSV3-RIS","MSV4-ADS","MSV4-AIS","MSV4-ACS","MSV4-RCS","MSV4-RIS","MSV5-ADS","MSV5-AIS","MSV5-ACS","MSV5-RCS","MSV5-RIS","MSV6-ADS","MSV6-AIS","MSV6-ACS","MSV6-RCS","MSV6-RIS","MSV7-ADS","MSV7-AIS","MSV7-ACS","MSV7-RCS","MSV7-RIS"
"1","3.0","0.0","0.0","0.13043478260869565","0.0","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","2.0","0.0","0.0","0.08695652173913043","0.0","3.0","2.0","6.0","0.13043478260869565","0.08695652173913043","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","2.0","2.0","4.0","0.08695652173913043","0.08695652173913043","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","3.0","1.0","3.0","0.13043478260869565","0.043478260869565216","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","4.0","0.0","0.0","0.17391304347826086","0.0","3.0","2.0","6.0","0.13043478260869565","0.08695652173913043","3.0","2.0","6.0","0.13043478260869565","0.08695652173913043","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","2.0","0.0","0.0","0.08695652173913043","0.0","3.0","2.0","6.0","0.13043478260869565","0.08695652173913043","4.0","1.0","4.0","0.17391304347826086","0.043478260869565216","2.0","0.0","0.0","0.08695652173913043","0.0","5.0","0.0","0.0","0.21739130434782608","0.0","3.0","0.0","0.0","0.13043478260869565","0.0","1.0","11.0","11.0","0.043478260869565216","0.4782608695652174","12.0","10.0","120.0","0.5217391304347826","0.43478260869565216","1.0","9.0","9.0","0.043478260869565216","0.391304347826087","1.0","20.0","20.0","0.043478260869565216","0.8695652173913043","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2","3.0","0.0","0.0","0.13043478260869565","0.0","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","2.0","0.0","0.0","0.08695652173913043","0.0","3.0","2.0","6.0","0.13043478260869565","0.08695652173913043","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","2.0","2.0","4.0","0.08695652173913043","0.08695652173913043","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","3.0","1.0","3.0","0.13043478260869565","0.043478260869565216","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","4.0","0.0","0.0","0.17391304347826086","0.0","3.0","2.0","6.0","0.13043478260869565","0.08695652173913043","3.0","2.0","6.0","0.13043478260869565","0.08695652173913043","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","2.0","0.0","0.0","0.08695652173913043","0.0","3.0","2.0","6.0","0.13043478260869565","0.08695652173913043","4.0","1.0","4.0","0.17391304347826086","0.043478260869565216","2.0","0.0","0.0","0.08695652173913043","0.0","5.0","0.0","0.0","0.21739130434782608","0.0","3.0","0.0","0.0","0.13043478260869565","0.0","1.0","11.0","11.0","0.043478260869565216","0.4782608695652174","12.0","10.0","120.0","0.5217391304347826","0.43478260869565216","1.0","9.0","9.0","0.043478260869565216","0.391304347826087","1.0","20.0","20.0","0.043478260869565216","0.8695652173913043","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"3","3.0","0.0","0.0","0.13043478260869565","0.0","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","2.0","0.0","0.0","0.08695652173913043","0.0","3.0","2.0","6.0","0.13043478260869565","0.08695652173913043","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","2.0","2.0","4.0","0.08695652173913043","0.08695652173913043","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","3.0","1.0","3.0","0.13043478260869565","0.043478260869565216","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","4.0","0.0","0.0","0.17391304347826086","0.0","3.0","2.0","6.0","0.13043478260869565","0.08695652173913043","3.0","2.0","6.0","0.13043478260869565","0.08695652173913043","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","2.0","0.0","0.0","0.08695652173913043","0.0","3.0","2.0","6.0","0.13043478260869565","0.08695652173913043","4.0","1.0","4.0","0.17391304347826086","0.043478260869565216","2.0","0.0","0.0","0.08695652173913043","0.0","5.0","0.0","0.0","0.21739130434782608","0.0","3.0","0.0","0.0","0.13043478260869565","0.0","1.0","11.0","11.0","0.043478260869565216","0.4782608695652174","12.0","10.0","120.0","0.5217391304347826","0.43478260869565216","1.0","9.0","9.0","0.043478260869565216","0.391304347826087","1.0","20.0","20.0","0.043478260869565216","0.8695652173913043","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"4","3.0","0.0","0.0","0.13043478260869565","0.0","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","2.0","0.0","0.0","0.08695652173913043","0.0","3.0","2.0","6.0","0.13043478260869565","0.08695652173913043","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","2.0","2.0","4.0","0.08695652173913043","0.08695652173913043","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","3.0","1.0","3.0","0.13043478260869565","0.043478260869565216","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","4.0","0.0","0.0","0.17391304347826086","0.0","3.0","2.0","6.0","0.13043478260869565","0.08695652173913043","3.0","2.0","6.0","0.13043478260869565","0.08695652173913043","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","2.0","0.0","0.0","0.08695652173913043","0.0","3.0","2.0","6.0","0.13043478260869565","0.08695652173913043","4.0","1.0","4.0","0.17391304347826086","0.043478260869565216","2.0","0.0","0.0","0.08695652173913043","0.0","5.0","0.0","0.0","0.21739130434782608","0.0","3.0","0.0","0.0","0.13043478260869565","0.0","1.0","11.0","11.0","0.043478260869565216","0.4782608695652174","12.0","10.0","120.0","0.5217391304347826","0.43478260869565216","1.0","9.0","9.0","0.043478260869565216","0.391304347826087","1.0","20.0","20.0","0.043478260869565216","0.8695652173913043","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"5","3.0","0.0","0.0","0.13043478260869565","0.0","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","2.0","0.0","0.0","0.08695652173913043","0.0","3.0","2.0","6.0","0.13043478260869565","0.08695652173913043","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","2.0","2.0","4.0","0.08695652173913043","0.08695652173913043","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","3.0","1.0","3.0","0.13043478260869565","0.043478260869565216","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","4.0","0.0","0.0","0.17391304347826086","0.0","3.0","2.0","6.0","0.13043478260869565","0.08695652173913043","3.0","2.0","6.0","0.13043478260869565","0.08695652173913043","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","2.0","0.0","0.0","0.08695652173913043","0.0","3.0","2.0","6.0","0.13043478260869565","0.08695652173913043","4.0","1.0","4.0","0.17391304347826086","0.043478260869565216","2.0","0.0","0.0","0.08695652173913043","0.0","5.0","0.0","0.0","0.21739130434782608","0.0","3.0","0.0","0.0","0.13043478260869565","0.0","1.0","11.0","11.0","0.043478260869565216","0.4782608695652174","12.0","10.0","120.0","0.5217391304347826","0.43478260869565216","1.0","9.0","9.0","0.043478260869565216","0.391304347826087","1.0","20.0","20.0","0.043478260869565216","0.8695652173913043","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"6","3.0","0.0","0.0","0.13043478260869565","0.0","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","2.0","0.0","0.0","0.08695652173913043","0.0","3.0","2.0","6.0","0.13043478260869565","0.08695652173913043","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","2.0","2.0","4.0","0.08695652173913043","0.08695652173913043","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","3.0","1.0","3.0","0.13043478260869565","0.043478260869565216","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","4.0","0.0","0.0","0.17391304347826086","0.0","3.0","2.0","6.0","0.13043478260869565","0.08695652173913043","3.0","2.0","6.0","0.13043478260869565","0.08695652173913043","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","2.0","0.0","0.0","0.08695652173913043","0.0","3.0","2.0","6.0","0.13043478260869565","0.08695652173913043","4.0","1.0","4.0","0.17391304347826086","0.043478260869565216","2.0","0.0","0.0","0.08695652173913043","0.0","5.0","0.0","0.0","0.21739130434782608","0.0","3.0","0.0","0.0","0.13043478260869565","0.0","1.0","11.0","11.0","0.043478260869565216","0.4782608695652174","12.0","10.0","120.0","0.5217391304347826","0.43478260869565216","1.0","9.0","9.0","0.043478260869565216","0.391304347826087","1.0","20.0","20.0","0.043478260869565216","0.8695652173913043","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"7","3.0","0.0","0.0","0.125","0.0","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","2.0","0.0","0.0","0.08333333333333333","0.0","3.0","3.0","9.0","0.125","0.125","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","2.0","2.0","4.0","0.08333333333333333","0.08333333333333333","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","4.0","0.0","0.0","0.16666666666666666","0.0","3.0","2.0","6.0","0.125","0.08333333333333333","3.0","2.0","6.0","0.125","0.08333333333333333","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","2.0","0.0","0.0","0.08333333333333333","0.0","3.0","2.0","6.0","0.125","0.08333333333333333","4.0","1.0","4.0","0.16666666666666666","0.041666666666666664","2.0","0.0","0.0","0.08333333333333333","0.0","5.0","0.0","0.0","0.20833333333333334","0.0","3.0","0.0","0.0","0.125","0.0","1.0","12.0","12.0","0.041666666666666664","0.5","12.0","10.0","120.0","0.5","0.4166666666666667","1.0","10.0","10.0","0.041666666666666664","0.4166666666666667","1.0","21.0","21.0","0.041666666666666664","0.875","4.0","0.0","0.0","0.16666666666666666","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"8","3.0","0.0","0.0","0.12","0.0","2.0","1.0","2.0","0.08","0.04","2.0","0.0","0.0","0.08","0.0","3.0","4.0","12.0","0.12","0.16","2.0","1.0","2.0","0.08","0.04","2.0","2.0","4.0","0.08","0.08","2.0","1.0","2.0","0.08","0.04","3.0","1.0","3.0","0.12","0.04","2.0","1.0","2.0","0.08","0.04","4.0","0.0","0.0","0.16","0.0","3.0","2.0","6.0","0.12","0.08","3.0","2.0","6.0","0.12","0.08","2.0","1.0","2.0","0.08","0.04","2.0","0.0","0.0","0.08","0.0","3.0","2.0","6.0","0.12","0.08","4.0","1.0","4.0","0.16","0.04","2.0","0.0","0.0","0.08","0.0","5.0","0.0","0.0","0.2","0.0","3.0","0.0","0.0","0.12","0.0","1.0","13.0","13.0","0.04","0.52","12.0","10.0","120.0","0.48","0.4","1.0","11.0","11.0","0.04","0.44","1.0","22.0","22.0","0.04","0.88","4.0","0.0","0.0","0.16","0.0","4.0","0.0","0.0","0.16","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"9","3.0","0.0","0.0","0.12","0.0","2.0","1.0","2.0","0.08","0.04","2.0","0.0","0.0","0.08","0.0","3.0","4.0","12.0","0.12","0.16","2.0","1.0","2.0","0.08","0.04","2.0","2.0","4.0","0.08","0.08","2.0","1.0","2.0","0.08","0.04","3.0","1.0","3.0","0.12","0.04","2.0","1.0","2.0","0.08","0.04","4.0","0.0","0.0","0.16","0.0","3.0","2.0","6.0","0.12","0.08","3.0","2.0","6.0","0.12","0.08","2.0","1.0","2.0","0.08","0.04","2.0","0.0","0.0","0.08","0.0","3.0","2.0","6.0","0.12","0.08","4.0","1.0","4.0","0.16","0.04","2.0","0.0","0.0","0.08","0.0","5.0","0.0","0.0","0.2","0.0","3.0","0.0","0.0","0.12","0.0","1.0","13.0","13.0","0.04","0.52","12.0","10.0","120.0","0.48","0.4","1.0","11.0","11.0","0.04","0.44","1.0","22.0","22.0","0.04","0.88","4.0","0.0","0.0","0.16","0.0","4.0","0.0","0.0","0.16","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"10","3.0","0.0","0.0","0.12","0.0","2.0","1.0","2.0","0.08","0.04","2.0","0.0","0.0","0.08","0.0","3.0","4.0","12.0","0.12","0.16","2.0","1.0","2.0","0.08","0.04","2.0","2.0","4.0","0.08","0.08","2.0","1.0","2.0","0.08","0.04","3.0","1.0","3.0","0.12","0.04","2.0","1.0","2.0","0.08","0.04","4.0","0.0","0.0","0.16","0.0","3.0","2.0","6.0","0.12","0.08","3.0","2.0","6.0","0.12","0.08","2.0","1.0","2.0","0.08","0.04","2.0","0.0","0.0","0.08","0.0","3.0","2.0","6.0","0.12","0.08","4.0","1.0","4.0","0.16","0.04","2.0","0.0","0.0","0.08","0.0","5.0","0.0","0.0","0.2","0.0","3.0","0.0","0.0","0.12","0.0","1.0","13.0","13.0","0.04","0.52","12.0","10.0","120.0","0.48","0.4","1.0","11.0","11.0","0.04","0.44","1.0","22.0","22.0","0.04","0.88","4.0","0.0","0.0","0.16","0.0","4.0","0.0","0.0","0.16","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
