"release","RD1-ADS","RD1-AIS","RD1-ACS","RD1-RCS","RD1-RIS","RD2-ADS","RD2-AIS","RD2-ACS","RD2-RCS","RD2-RIS","RD3-ADS","RD3-AIS","RD3-ACS","RD3-RCS","RD3-RIS","RD4-ADS","RD4-AIS","RD4-ACS","RD4-RCS","RD4-RIS","RD5-ADS","RD5-AIS","RD5-ACS","RD5-RCS","RD5-RIS","RD6-ADS","RD6-AIS","RD6-ACS","RD6-RCS","RD6-RIS","RD7-ADS","RD7-AIS","RD7-ACS","RD7-RCS","RD7-RIS","RD8-ADS","RD8-AIS","RD8-ACS","RD8-RCS","RD8-RIS","RD9-ADS","RD9-AIS","RD9-ACS","RD9-RCS","RD9-RIS","CPS1-ADS","CPS1-AIS","CPS1-ACS","CPS1-RCS","CPS1-RIS","GTW-ADS","GTW-AIS","GTW-ACS","GTW-RCS","GTW-RIS","REG-ADS","REG-AIS","REG-ACS","REG-RCS","REG-RIS","MSB-ADS","MSB-AIS","MSB-ACS","MSB-RCS","MSB-RIS","CFG-ADS","CFG-AIS","CFG-ACS","CFG-RCS","CFG-RIS","TRC-ADS","TRC-AIS","TRC-ACS","TRC-RCS","TRC-RIS","MSV1-ADS","MSV1-AIS","MSV1-ACS","MSV1-RCS","MSV1-RIS"
"1","3.0","1.0","3.0","0.2","0.06666666666666667","3.0","1.0","3.0","0.2","0.06666666666666667","2.0","10.0","20.0","0.13333333333333333","0.6666666666666666","4.0","1.0","4.0","0.26666666666666666","0.06666666666666667","3.0","1.0","3.0","0.2","0.06666666666666667","4.0","2.0","8.0","0.26666666666666666","0.13333333333333333","4.0","0.0","0.0","0.26666666666666666","0.0","3.0","0.0","0.0","0.2","0.0","4.0","1.0","4.0","0.26666666666666666","0.06666666666666667","5.0","1.0","5.0","0.3333333333333333","0.06666666666666667","3.0","0.0","0.0","0.2","0.0","1.0","6.0","6.0","0.06666666666666667","0.4","7.0","6.0","42.0","0.4666666666666667","0.4","1.0","6.0","6.0","0.06666666666666667","0.4","1.0","12.0","12.0","0.06666666666666667","0.8","0.0","0.0","0.0","0.0","0.0"
"2","3.0","1.0","3.0","0.2","0.06666666666666667","3.0","1.0","3.0","0.2","0.06666666666666667","2.0","10.0","20.0","0.13333333333333333","0.6666666666666666","4.0","1.0","4.0","0.26666666666666666","0.06666666666666667","3.0","1.0","3.0","0.2","0.06666666666666667","4.0","2.0","8.0","0.26666666666666666","0.13333333333333333","4.0","0.0","0.0","0.26666666666666666","0.0","3.0","0.0","0.0","0.2","0.0","4.0","1.0","4.0","0.26666666666666666","0.06666666666666667","5.0","1.0","5.0","0.3333333333333333","0.06666666666666667","3.0","0.0","0.0","0.2","0.0","1.0","6.0","6.0","0.06666666666666667","0.4","7.0","6.0","42.0","0.4666666666666667","0.4","1.0","6.0","6.0","0.06666666666666667","0.4","1.0","12.0","12.0","0.06666666666666667","0.8","0.0","0.0","0.0","0.0","0.0"
"3","3.0","1.0","3.0","0.2","0.06666666666666667","3.0","1.0","3.0","0.2","0.06666666666666667","2.0","10.0","20.0","0.13333333333333333","0.6666666666666666","4.0","1.0","4.0","0.26666666666666666","0.06666666666666667","3.0","1.0","3.0","0.2","0.06666666666666667","4.0","2.0","8.0","0.26666666666666666","0.13333333333333333","4.0","0.0","0.0","0.26666666666666666","0.0","3.0","0.0","0.0","0.2","0.0","4.0","1.0","4.0","0.26666666666666666","0.06666666666666667","5.0","1.0","5.0","0.3333333333333333","0.06666666666666667","3.0","0.0","0.0","0.2","0.0","1.0","6.0","6.0","0.06666666666666667","0.4","7.0","6.0","42.0","0.4666666666666667","0.4","1.0","6.0","6.0","0.06666666666666667","0.4","1.0","12.0","12.0","0.06666666666666667","0.8","0.0","0.0","0.0","0.0","0.0"
"4","3.0","1.0","3.0","0.2","0.06666666666666667","3.0","1.0","3.0","0.2","0.06666666666666667","2.0","10.0","20.0","0.13333333333333333","0.6666666666666666","4.0","1.0","4.0","0.26666666666666666","0.06666666666666667","3.0","1.0","3.0","0.2","0.06666666666666667","4.0","2.0","8.0","0.26666666666666666","0.13333333333333333","4.0","0.0","0.0","0.26666666666666666","0.0","3.0","0.0","0.0","0.2","0.0","4.0","1.0","4.0","0.26666666666666666","0.06666666666666667","5.0","1.0","5.0","0.3333333333333333","0.06666666666666667","3.0","0.0","0.0","0.2","0.0","1.0","6.0","6.0","0.06666666666666667","0.4","7.0","6.0","42.0","0.4666666666666667","0.4","1.0","6.0","6.0","0.06666666666666667","0.4","1.0","12.0","12.0","0.06666666666666667","0.8","0.0","0.0","0.0","0.0","0.0"
"5","3.0","1.0","3.0","0.2","0.06666666666666667","3.0","1.0","3.0","0.2","0.06666666666666667","2.0","10.0","20.0","0.13333333333333333","0.6666666666666666","4.0","1.0","4.0","0.26666666666666666","0.06666666666666667","3.0","1.0","3.0","0.2","0.06666666666666667","4.0","2.0","8.0","0.26666666666666666","0.13333333333333333","4.0","0.0","0.0","0.26666666666666666","0.0","3.0","0.0","0.0","0.2","0.0","4.0","1.0","4.0","0.26666666666666666","0.06666666666666667","5.0","1.0","5.0","0.3333333333333333","0.06666666666666667","3.0","0.0","0.0","0.2","0.0","1.0","6.0","6.0","0.06666666666666667","0.4","7.0","6.0","42.0","0.4666666666666667","0.4","1.0","6.0","6.0","0.06666666666666667","0.4","1.0","12.0","12.0","0.06666666666666667","0.8","0.0","0.0","0.0","0.0","0.0"
"6","3.0","1.0","3.0","0.2","0.06666666666666667","3.0","1.0","3.0","0.2","0.06666666666666667","2.0","10.0","20.0","0.13333333333333333","0.6666666666666666","4.0","1.0","4.0","0.26666666666666666","0.06666666666666667","3.0","1.0","3.0","0.2","0.06666666666666667","4.0","2.0","8.0","0.26666666666666666","0.13333333333333333","4.0","0.0","0.0","0.26666666666666666","0.0","3.0","0.0","0.0","0.2","0.0","4.0","1.0","4.0","0.26666666666666666","0.06666666666666667","5.0","1.0","5.0","0.3333333333333333","0.06666666666666667","3.0","0.0","0.0","0.2","0.0","1.0","6.0","6.0","0.06666666666666667","0.4","7.0","6.0","42.0","0.4666666666666667","0.4","1.0","6.0","6.0","0.06666666666666667","0.4","1.0","12.0","12.0","0.06666666666666667","0.8","0.0","0.0","0.0","0.0","0.0"
"7","3.0","1.0","3.0","0.2","0.06666666666666667","3.0","1.0","3.0","0.2","0.06666666666666667","2.0","10.0","20.0","0.13333333333333333","0.6666666666666666","4.0","1.0","4.0","0.26666666666666666","0.06666666666666667","3.0","1.0","3.0","0.2","0.06666666666666667","4.0","2.0","8.0","0.26666666666666666","0.13333333333333333","4.0","0.0","0.0","0.26666666666666666","0.0","3.0","0.0","0.0","0.2","0.0","4.0","1.0","4.0","0.26666666666666666","0.06666666666666667","5.0","1.0","5.0","0.3333333333333333","0.06666666666666667","3.0","0.0","0.0","0.2","0.0","1.0","6.0","6.0","0.06666666666666667","0.4","7.0","6.0","42.0","0.4666666666666667","0.4","1.0","6.0","6.0","0.06666666666666667","0.4","1.0","12.0","12.0","0.06666666666666667","0.8","0.0","0.0","0.0","0.0","0.0"
"8","3.0","1.0","3.0","0.1875","0.0625","3.0","1.0","3.0","0.1875","0.0625","2.0","5.0","10.0","0.125","0.3125","4.0","1.0","4.0","0.25","0.0625","3.0","1.0","3.0","0.1875","0.0625","4.0","2.0","8.0","0.25","0.125","4.0","0.0","0.0","0.25","0.0","3.0","0.0","0.0","0.1875","0.0","4.0","1.0","4.0","0.25","0.0625","5.0","1.0","5.0","0.3125","0.0625","3.0","0.0","0.0","0.1875","0.0","1.0","7.0","7.0","0.0625","0.4375","7.0","6.0","42.0","0.4375","0.375","1.0","6.0","6.0","0.0625","0.375","1.0","12.0","12.0","0.0625","0.75","1.0","5.0","5.0","0.0625","0.3125"
"9","3.0","1.0","3.0","0.1875","0.0625","3.0","1.0","3.0","0.1875","0.0625","2.0","5.0","10.0","0.125","0.3125","4.0","1.0","4.0","0.25","0.0625","3.0","1.0","3.0","0.1875","0.0625","4.0","2.0","8.0","0.25","0.125","4.0","0.0","0.0","0.25","0.0","3.0","0.0","0.0","0.1875","0.0","4.0","1.0","4.0","0.25","0.0625","5.0","1.0","5.0","0.3125","0.0625","3.0","0.0","0.0","0.1875","0.0","1.0","7.0","7.0","0.0625","0.4375","7.0","6.0","42.0","0.4375","0.375","1.0","6.0","6.0","0.0625","0.375","1.0","12.0","12.0","0.0625","0.75","1.0","5.0","5.0","0.0625","0.3125"
"10","3.0","1.0","3.0","0.1875","0.0625","3.0","1.0","3.0","0.1875","0.0625","2.0","5.0","10.0","0.125","0.3125","4.0","1.0","4.0","0.25","0.0625","3.0","1.0","3.0","0.1875","0.0625","4.0","2.0","8.0","0.25","0.125","4.0","0.0","0.0","0.25","0.0","3.0","0.0","0.0","0.1875","0.0","4.0","1.0","4.0","0.25","0.0625","5.0","1.0","5.0","0.3125","0.0625","3.0","0.0","0.0","0.1875","0.0","1.0","7.0","7.0","0.0625","0.4375","7.0","6.0","42.0","0.4375","0.375","1.0","6.0","6.0","0.0625","0.375","1.0","12.0","12.0","0.0625","0.75","1.0","5.0","5.0","0.0625","0.3125"
