"release","BA2-ADS","BA2-AIS","BA2-ACS","BA2-RCS","BA2-RIS","BA3-ADS","BA3-AIS","BA3-ACS","BA3-RCS","BA3-RIS","BA4-ADS","BA4-AIS","BA4-ACS","BA4-RCS","BA4-RIS","BA5-ADS","BA5-AIS","BA5-ACS","BA5-RCS","BA5-RIS","BA6-ADS","BA6-AIS","BA6-ACS","BA6-RCS","BA6-RIS","GTW-ADS","GTW-AIS","GTW-ACS","GTW-RCS","GTW-RIS","REG-ADS","REG-AIS","REG-ACS","REG-RCS","REG-RIS","CFG-ADS","CFG-AIS","CFG-ACS","CFG-RCS","CFG-RIS","MSV1-ADS","MSV1-AIS","MSV1-ACS","MSV1-RCS","MSV1-RIS","MSV2-ADS","MSV2-AIS","MSV2-ACS","MSV2-RCS","MSV2-RIS","MSV3-ADS","MSV3-AIS","MSV3-ACS","MSV3-RCS","MSV3-RIS"
"1","4.0","3.0","12.0","0.4444444444444444","0.3333333333333333","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","2.0","2.0","4.0","0.2222222222222222","0.2222222222222222","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","3.0","0.0","0.0","0.3333333333333333","0.0","1.0","6.0","6.0","0.1111111111111111","0.6666666666666666","0.0","3.0","0.0","0.0","0.3333333333333333","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2","4.0","3.0","12.0","0.4444444444444444","0.3333333333333333","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","2.0","2.0","4.0","0.2222222222222222","0.2222222222222222","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","3.0","0.0","0.0","0.3333333333333333","0.0","1.0","6.0","6.0","0.1111111111111111","0.6666666666666666","0.0","3.0","0.0","0.0","0.3333333333333333","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"3","4.0","3.0","12.0","0.4444444444444444","0.3333333333333333","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","2.0","2.0","4.0","0.2222222222222222","0.2222222222222222","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","3.0","0.0","0.0","0.3333333333333333","0.0","1.0","6.0","6.0","0.1111111111111111","0.6666666666666666","0.0","3.0","0.0","0.0","0.3333333333333333","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"4","4.0","3.0","12.0","0.4444444444444444","0.3333333333333333","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","2.0","2.0","4.0","0.2222222222222222","0.2222222222222222","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","3.0","0.0","0.0","0.3333333333333333","0.0","1.0","6.0","6.0","0.1111111111111111","0.6666666666666666","0.0","3.0","0.0","0.0","0.3333333333333333","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"5","4.0","3.0","12.0","0.4444444444444444","0.3333333333333333","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","2.0","2.0","4.0","0.2222222222222222","0.2222222222222222","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","3.0","0.0","0.0","0.3333333333333333","0.0","1.0","6.0","6.0","0.1111111111111111","0.6666666666666666","0.0","3.0","0.0","0.0","0.3333333333333333","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"6","4.0","3.0","12.0","0.4444444444444444","0.3333333333333333","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","2.0","2.0","4.0","0.2222222222222222","0.2222222222222222","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","3.0","0.0","0.0","0.3333333333333333","0.0","1.0","6.0","6.0","0.1111111111111111","0.6666666666666666","0.0","3.0","0.0","0.0","0.3333333333333333","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"7","4.0","3.0","12.0","0.4444444444444444","0.3333333333333333","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","2.0","2.0","4.0","0.2222222222222222","0.2222222222222222","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","3.0","0.0","0.0","0.3333333333333333","0.0","1.0","6.0","6.0","0.1111111111111111","0.6666666666666666","0.0","3.0","0.0","0.0","0.3333333333333333","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"8","4.0","3.0","12.0","0.4444444444444444","0.3333333333333333","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","2.0","2.0","4.0","0.2222222222222222","0.2222222222222222","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","3.0","0.0","0.0","0.3333333333333333","0.0","1.0","6.0","6.0","0.1111111111111111","0.6666666666666666","0.0","3.0","0.0","0.0","0.3333333333333333","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"9","4.0","3.0","12.0","0.4444444444444444","0.3333333333333333","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","2.0","2.0","4.0","0.2222222222222222","0.2222222222222222","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","3.0","0.0","0.0","0.3333333333333333","0.0","1.0","6.0","6.0","0.1111111111111111","0.6666666666666666","0.0","3.0","0.0","0.0","0.3333333333333333","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"10","2.0","2.0","4.0","0.25","0.25","2.0","1.0","2.0","0.25","0.125","2.0","1.0","2.0","0.25","0.125","2.0","1.0","2.0","0.25","0.125","2.0","1.0","2.0","0.25","0.125","3.0","0.0","0.0","0.375","0.0","1.0","5.0","5.0","0.125","0.625","0.0","3.0","0.0","0.0","0.375","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"11","2.0","2.0","4.0","0.25","0.25","2.0","1.0","2.0","0.25","0.125","2.0","1.0","2.0","0.25","0.125","2.0","1.0","2.0","0.25","0.125","2.0","1.0","2.0","0.25","0.125","3.0","0.0","0.0","0.375","0.0","1.0","5.0","5.0","0.125","0.625","0.0","3.0","0.0","0.0","0.375","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"12","2.0","2.0","4.0","0.2222222222222222","0.2222222222222222","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","2.0","2.0","4.0","0.2222222222222222","0.2222222222222222","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","4.0","0.0","0.0","0.4444444444444444","0.0","1.0","6.0","6.0","0.1111111111111111","0.6666666666666666","0.0","3.0","0.0","0.0","0.3333333333333333","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"13","2.0","2.0","4.0","0.2222222222222222","0.2222222222222222","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","2.0","2.0","4.0","0.2222222222222222","0.2222222222222222","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","4.0","0.0","0.0","0.4444444444444444","0.0","1.0","6.0","6.0","0.1111111111111111","0.6666666666666666","0.0","3.0","0.0","0.0","0.3333333333333333","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"14","2.0","2.0","4.0","0.2222222222222222","0.2222222222222222","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","2.0","2.0","4.0","0.2222222222222222","0.2222222222222222","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","4.0","0.0","0.0","0.4444444444444444","0.0","1.0","6.0","6.0","0.1111111111111111","0.6666666666666666","0.0","3.0","0.0","0.0","0.3333333333333333","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"15","2.0","2.0","4.0","0.2222222222222222","0.2222222222222222","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","2.0","2.0","4.0","0.2222222222222222","0.2222222222222222","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","4.0","0.0","0.0","0.4444444444444444","0.0","1.0","6.0","6.0","0.1111111111111111","0.6666666666666666","0.0","3.0","0.0","0.0","0.3333333333333333","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"16","2.0","2.0","4.0","0.2222222222222222","0.2222222222222222","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","2.0","2.0","4.0","0.2222222222222222","0.2222222222222222","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","4.0","0.0","0.0","0.4444444444444444","0.0","1.0","6.0","6.0","0.1111111111111111","0.6666666666666666","0.0","3.0","0.0","0.0","0.3333333333333333","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"17","2.0","2.0","4.0","0.2","0.2","3.0","1.0","3.0","0.3","0.1","2.0","2.0","4.0","0.2","0.2","2.0","1.0","2.0","0.2","0.1","2.0","1.0","2.0","0.2","0.1","4.0","0.0","0.0","0.4","0.0","1.0","7.0","7.0","0.1","0.7","0.0","4.0","0.0","0.0","0.4","2.0","1.0","2.0","0.2","0.1","2.0","1.0","2.0","0.2","0.1","0.0","0.0","0.0","0.0","0.0"
"18","2.0","2.0","4.0","0.2","0.2","3.0","1.0","3.0","0.3","0.1","2.0","2.0","4.0","0.2","0.2","2.0","1.0","2.0","0.2","0.1","2.0","1.0","2.0","0.2","0.1","4.0","0.0","0.0","0.4","0.0","1.0","7.0","7.0","0.1","0.7","0.0","4.0","0.0","0.0","0.4","2.0","1.0","2.0","0.2","0.1","2.0","1.0","2.0","0.2","0.1","0.0","0.0","0.0","0.0","0.0"
"19","2.0","2.0","4.0","0.2","0.2","3.0","1.0","3.0","0.3","0.1","2.0","2.0","4.0","0.2","0.2","2.0","1.0","2.0","0.2","0.1","2.0","1.0","2.0","0.2","0.1","4.0","0.0","0.0","0.4","0.0","1.0","7.0","7.0","0.1","0.7","0.0","4.0","0.0","0.0","0.4","2.0","1.0","2.0","0.2","0.1","2.0","1.0","2.0","0.2","0.1","0.0","0.0","0.0","0.0","0.0"
"20","2.0","2.0","4.0","0.2","0.2","3.0","1.0","3.0","0.3","0.1","2.0","2.0","4.0","0.2","0.2","2.0","1.0","2.0","0.2","0.1","2.0","1.0","2.0","0.2","0.1","4.0","0.0","0.0","0.4","0.0","1.0","7.0","7.0","0.1","0.7","0.0","4.0","0.0","0.0","0.4","2.0","1.0","2.0","0.2","0.1","2.0","1.0","2.0","0.2","0.1","0.0","0.0","0.0","0.0","0.0"
"21","2.0","2.0","4.0","0.18181818181818182","0.18181818181818182","3.0","1.0","3.0","0.2727272727272727","0.09090909090909091","3.0","2.0","6.0","0.2727272727272727","0.18181818181818182","2.0","1.0","2.0","0.18181818181818182","0.09090909090909091","2.0","1.0","2.0","0.18181818181818182","0.09090909090909091","4.0","0.0","0.0","0.36363636363636365","0.0","1.0","8.0","8.0","0.09090909090909091","0.7272727272727273","0.0","4.0","0.0","0.0","0.36363636363636365","2.0","1.0","2.0","0.18181818181818182","0.09090909090909091","2.0","1.0","2.0","0.18181818181818182","0.09090909090909091","1.0","1.0","1.0","0.09090909090909091","0.09090909090909091"
