"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","BA1-ADS","BA1-GINI -ADS","BA1-AIS","BA1-GINI -AIS","BA2-ADS","BA2-GINI -ADS","BA2-AIS","BA2-GINI -AIS","BA3-ADS","BA3-GINI -ADS","BA3-AIS","BA3-GINI -AIS","BA4-ADS","BA4-GINI -ADS","BA4-AIS","BA4-GINI -AIS","BA5-ADS","BA5-GINI -ADS","BA5-AIS","BA5-GINI -AIS","BA6-ADS","BA6-GINI -ADS","BA6-AIS","BA6-GINI -AIS","BA7-ADS","BA7-GINI -ADS","BA7-AIS","BA7-GINI -AIS","BA8-ADS","BA8-GINI -ADS","BA8-AIS","BA8-GINI -AIS","BA9-ADS","BA9-GINI -ADS","BA9-AIS","BA9-GINI -AIS","BA10-ADS","BA10-GINI -ADS","BA10-AIS","BA10-GINI -AIS","BA11-ADS","BA11-GINI -ADS","BA11-AIS","BA11-GINI -AIS","BA12-ADS","BA12-GINI -ADS","BA12-AIS","BA12-GINI -AIS","BA13-ADS","BA13-GINI -ADS","BA13-AIS","BA13-GINI -AIS","BA14-ADS","BA14-GINI -ADS","BA14-AIS","BA14-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","MSB-ADS","MSB-GINI -ADS","MSB-AIS","MSB-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"0","0.3115942","0.5483092","0.1503267973856209","2.5555555555555554","3.0","0","1.0","0","2.0","0","10.0","0","2.0","0","2.0","0","2.0","0","1.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","10.0","0","0.0","0","1.0","0","13.0","0","3.0","0","2.0","0","0.0","0","7.0","0","0.0","","0.0"
"1","0.3115942","0.5483092","0.1503267973856209","2.5555555555555554","3.0","0","1.0","0","2.0","0","10.0","0","2.0","0","2.0","0","2.0","0","1.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","10.0","0","0.0","0","1.0","0","13.0","0","3.0","0","2.0","0","0.0","0","7.0","0","0.0","","0.0"
"2","0.3115942","0.5483092","0.1503267973856209","2.5555555555555554","3.0","0","1.0","0","2.0","0","10.0","0","2.0","0","2.0","0","2.0","0","1.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","10.0","0","0.0","0","1.0","0","13.0","0","3.0","0","2.0","0","0.0","0","7.0","0","0.0","","0.0"
"3","0.3115942","0.5483092","0.1503267973856209","2.5555555555555554","3.0","0","1.0","0","2.0","0","10.0","0","2.0","0","2.0","0","2.0","0","1.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","10.0","0","0.0","0","1.0","0","13.0","0","3.0","0","2.0","0","0.0","0","7.0","0","0.0","","0.0"
"4","0.3225084","0.5263158","0.13742690058479531","2.473684210526316","3.0","0","1.0","0","2.0","0","5.0","0.08888889","2.0","0","2.0","0","2.0","0","1.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","10.0","0","0.0","0","1.0","0","14.0","0.01212121","3.0","0","2.0","0","0.0","0","7.0","0","1.0","0","5.0","0"
"5","0.3225084","0.5263158","0.13742690058479531","2.473684210526316","3.0","0","1.0","0","2.0","0","5.0","0.1333333","2.0","0","2.0","0","2.0","0","1.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","10.0","0","0.0","0","1.0","0","14.0","0.01666667","3.0","0","2.0","0","0.0","0","7.0","0","1.0","0","5.0","0"
"6","0.3225084","0.5263158","0.13742690058479531","2.473684210526316","3.0","0","1.0","0","2.0","0","5.0","0.1558442","2.0","0","2.0","0","2.0","0","1.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","10.0","0","0.0","0","1.0","0","14.0","0.01823708","3.0","0","2.0","0","0.0","0","7.0","0","1.0","0","5.0","0"
"7","0.3225084","0.5263158","0.13742690058479531","2.473684210526316","3.0","0","1.0","0","2.0","0","5.0","0.1666667","2.0","0","2.0","0","2.0","0","1.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","10.0","0","0.0","0","1.0","0","14.0","0.01851852","3.0","0","2.0","0","0.0","0","7.0","0","1.0","0","5.0","0"
"8","0.3225084","0.5263158","0.13742690058479531","2.473684210526316","3.0","0","1.0","0","2.0","0","5.0","0.1709402","2.0","0","2.0","0","2.0","0","1.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","10.0","0","0.0","0","1.0","0","14.0","0.01821494","3.0","0","2.0","0","0.0","0","7.0","0","1.0","0","5.0","0"
"9","0.3225084","0.5263158","0.13742690058479531","2.473684210526316","3.0","0","1.0","0","2.0","0","5.0","0.1714286","2.0","0","2.0","0","2.0","0","1.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","10.0","0","0.0","0","1.0","0","14.0","0.01764706","3.0","0","2.0","0","0.0","0","7.0","0","1.0","0","5.0","0"
"10","0.3225084","0.5263158","0.13742690058479531","2.473684210526316","3.0","0","1.0","0","2.0","0","5.0","0.1696970","2.0","0","2.0","0","2.0","0","1.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","10.0","0","0.0","0","1.0","0","14.0","0.01696970","3.0","0","2.0","0","0.0","0","7.0","0","1.0","0","5.0","0"
"11","0.3225084","0.5263158","0.13742690058479531","2.473684210526316","3.0","0","1.0","0","2.0","0","5.0","0.1666667","2.0","0","2.0","0","2.0","0","1.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","10.0","0","0.0","0","1.0","0","14.0","0.01626016","3.0","0","2.0","0","0.0","0","7.0","0","1.0","0","5.0","0"
"12","0.3225084","0.5263158","0.13742690058479531","2.473684210526316","3.0","0","1.0","0","2.0","0","5.0","0.1628959","2.0","0","2.0","0","2.0","0","1.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","10.0","0","0.0","0","1.0","0","14.0","0.01555748","3.0","0","2.0","0","0.0","0","7.0","0","1.0","0","5.0","0"
"13","0.3225084","0.5263158","0.13742690058479531","2.473684210526316","3.0","0","1.0","0","2.0","0","5.0","0.1587302","2.0","0","2.0","0","2.0","0","1.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","10.0","0","0.0","0","1.0","0","14.0","0.01488095","3.0","0","2.0","0","0.0","0","7.0","0","1.0","0","5.0","0"
"14","0.3225084","0.5263158","0.13742690058479531","2.473684210526316","3.0","0","1.0","0","2.0","0","5.0","0.1543860","2.0","0","2.0","0","2.0","0","1.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","10.0","0","0.0","0","1.0","0","14.0","0.01423948","3.0","0","2.0","0","0.0","0","7.0","0","1.0","0","5.0","0"
