"release","BA1-ADS","BA1-AIS","BA1-ACS","BA1-RCS","BA1-RIS","BA2-ADS","BA2-AIS","BA2-ACS","BA2-RCS","BA2-RIS","BA3-ADS","BA3-AIS","BA3-ACS","BA3-RCS","BA3-RIS","BA4-ADS","BA4-AIS","BA4-ACS","BA4-RCS","BA4-RIS","BA5-ADS","BA5-AIS","BA5-ACS","BA5-RCS","BA5-RIS","BA6-ADS","BA6-AIS","BA6-ACS","BA6-RCS","BA6-RIS","BA7-ADS","BA7-AIS","BA7-ACS","BA7-RCS","BA7-RIS","BA8-ADS","BA8-AIS","BA8-ACS","BA8-RCS","BA8-RIS","BA9-ADS","BA9-AIS","BA9-ACS","BA9-RCS","BA9-RIS","BA10-ADS","BA10-AIS","BA10-ACS","BA10-RCS","BA10-RIS","BA11-ADS","BA11-AIS","BA11-ACS","BA11-RCS","BA11-RIS","CPS1-ADS","CPS1-AIS","CPS1-ACS","CPS1-RCS","CPS1-RIS","REG-ADS","REG-AIS","REG-ACS","REG-RCS","REG-RIS","MSB-ADS","MSB-AIS","MSB-ACS","MSB-RCS","MSB-RIS","CFG-ADS","CFG-AIS","CFG-ACS","CFG-RCS","CFG-RIS","TRC-ADS","TRC-AIS","TRC-ACS","TRC-RCS","TRC-RIS","MSV1-ADS","MSV1-AIS","MSV1-ACS","MSV1-RCS","MSV1-RIS","MSV2-ADS","MSV2-AIS","MSV2-ACS","MSV2-RCS","MSV2-RIS","MSV3-ADS","MSV3-AIS","MSV3-ACS","MSV3-RCS","MSV3-RIS","MSV4-ADS","MSV4-AIS","MSV4-ACS","MSV4-RCS","MSV4-RIS","MSV5-ADS","MSV5-AIS","MSV5-ACS","MSV5-RCS","MSV5-RIS"
"1","2.0","3.0","6.0","0.125","0.1875","4.0","2.0","8.0","0.25","0.125","2.0","1.0","2.0","0.125","0.0625","2.0","0.0","0.0","0.125","0.0","4.0","0.0","0.0","0.25","0.0","3.0","0.0","0.0","0.1875","0.0","3.0","2.0","6.0","0.1875","0.125","2.0","1.0","2.0","0.125","0.0625","3.0","0.0","0.0","0.1875","0.0","3.0","0.0","0.0","0.1875","0.0","3.0","1.0","3.0","0.1875","0.0625","3.0","0.0","0.0","0.1875","0.0","1.0","7.0","7.0","0.0625","0.4375","6.0","7.0","42.0","0.375","0.4375","1.0","6.0","6.0","0.0625","0.375","1.0","13.0","13.0","0.0625","0.8125","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2","2.0","3.0","6.0","0.125","0.1875","4.0","2.0","8.0","0.25","0.125","2.0","1.0","2.0","0.125","0.0625","2.0","0.0","0.0","0.125","0.0","4.0","0.0","0.0","0.25","0.0","3.0","0.0","0.0","0.1875","0.0","3.0","2.0","6.0","0.1875","0.125","2.0","1.0","2.0","0.125","0.0625","3.0","0.0","0.0","0.1875","0.0","3.0","0.0","0.0","0.1875","0.0","3.0","1.0","3.0","0.1875","0.0625","3.0","0.0","0.0","0.1875","0.0","1.0","7.0","7.0","0.0625","0.4375","6.0","7.0","42.0","0.375","0.4375","1.0","6.0","6.0","0.0625","0.375","1.0","13.0","13.0","0.0625","0.8125","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"3","2.0","3.0","6.0","0.125","0.1875","4.0","2.0","8.0","0.25","0.125","2.0","1.0","2.0","0.125","0.0625","2.0","0.0","0.0","0.125","0.0","4.0","0.0","0.0","0.25","0.0","3.0","0.0","0.0","0.1875","0.0","3.0","2.0","6.0","0.1875","0.125","2.0","1.0","2.0","0.125","0.0625","3.0","0.0","0.0","0.1875","0.0","3.0","0.0","0.0","0.1875","0.0","3.0","1.0","3.0","0.1875","0.0625","3.0","0.0","0.0","0.1875","0.0","1.0","7.0","7.0","0.0625","0.4375","6.0","7.0","42.0","0.375","0.4375","1.0","6.0","6.0","0.0625","0.375","1.0","13.0","13.0","0.0625","0.8125","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"4","2.0","3.0","6.0","0.125","0.1875","4.0","2.0","8.0","0.25","0.125","2.0","1.0","2.0","0.125","0.0625","2.0","0.0","0.0","0.125","0.0","4.0","0.0","0.0","0.25","0.0","3.0","0.0","0.0","0.1875","0.0","3.0","2.0","6.0","0.1875","0.125","2.0","1.0","2.0","0.125","0.0625","3.0","0.0","0.0","0.1875","0.0","3.0","0.0","0.0","0.1875","0.0","3.0","1.0","3.0","0.1875","0.0625","3.0","0.0","0.0","0.1875","0.0","1.0","7.0","7.0","0.0625","0.4375","6.0","7.0","42.0","0.375","0.4375","1.0","6.0","6.0","0.0625","0.375","1.0","13.0","13.0","0.0625","0.8125","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"5","2.0","3.0","6.0","0.125","0.1875","4.0","2.0","8.0","0.25","0.125","2.0","1.0","2.0","0.125","0.0625","2.0","0.0","0.0","0.125","0.0","4.0","0.0","0.0","0.25","0.0","3.0","0.0","0.0","0.1875","0.0","3.0","2.0","6.0","0.1875","0.125","2.0","1.0","2.0","0.125","0.0625","3.0","0.0","0.0","0.1875","0.0","3.0","0.0","0.0","0.1875","0.0","3.0","1.0","3.0","0.1875","0.0625","3.0","0.0","0.0","0.1875","0.0","1.0","7.0","7.0","0.0625","0.4375","6.0","7.0","42.0","0.375","0.4375","1.0","6.0","6.0","0.0625","0.375","1.0","13.0","13.0","0.0625","0.8125","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"6","2.0","3.0","6.0","0.125","0.1875","4.0","2.0","8.0","0.25","0.125","2.0","1.0","2.0","0.125","0.0625","2.0","0.0","0.0","0.125","0.0","4.0","0.0","0.0","0.25","0.0","3.0","0.0","0.0","0.1875","0.0","3.0","2.0","6.0","0.1875","0.125","2.0","1.0","2.0","0.125","0.0625","3.0","0.0","0.0","0.1875","0.0","3.0","0.0","0.0","0.1875","0.0","3.0","1.0","3.0","0.1875","0.0625","3.0","0.0","0.0","0.1875","0.0","1.0","7.0","7.0","0.0625","0.4375","6.0","7.0","42.0","0.375","0.4375","1.0","6.0","6.0","0.0625","0.375","1.0","13.0","13.0","0.0625","0.8125","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"7","2.0","3.0","6.0","0.125","0.1875","4.0","2.0","8.0","0.25","0.125","2.0","1.0","2.0","0.125","0.0625","2.0","0.0","0.0","0.125","0.0","4.0","0.0","0.0","0.25","0.0","3.0","0.0","0.0","0.1875","0.0","3.0","2.0","6.0","0.1875","0.125","2.0","1.0","2.0","0.125","0.0625","3.0","0.0","0.0","0.1875","0.0","3.0","0.0","0.0","0.1875","0.0","3.0","1.0","3.0","0.1875","0.0625","3.0","0.0","0.0","0.1875","0.0","1.0","7.0","7.0","0.0625","0.4375","6.0","7.0","42.0","0.375","0.4375","1.0","6.0","6.0","0.0625","0.375","1.0","13.0","13.0","0.0625","0.8125","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"8","2.0","3.0","6.0","0.125","0.1875","4.0","2.0","8.0","0.25","0.125","2.0","1.0","2.0","0.125","0.0625","2.0","0.0","0.0","0.125","0.0","4.0","0.0","0.0","0.25","0.0","3.0","0.0","0.0","0.1875","0.0","3.0","2.0","6.0","0.1875","0.125","2.0","1.0","2.0","0.125","0.0625","3.0","0.0","0.0","0.1875","0.0","3.0","0.0","0.0","0.1875","0.0","3.0","1.0","3.0","0.1875","0.0625","3.0","0.0","0.0","0.1875","0.0","1.0","7.0","7.0","0.0625","0.4375","6.0","7.0","42.0","0.375","0.4375","1.0","6.0","6.0","0.0625","0.375","1.0","13.0","13.0","0.0625","0.8125","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"9","2.0","4.0","8.0","0.11764705882352941","0.23529411764705882","4.0","2.0","8.0","0.23529411764705882","0.11764705882352941","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","0.0","0.0","0.11764705882352941","0.0","4.0","0.0","0.0","0.23529411764705882","0.0","3.0","0.0","0.0","0.17647058823529413","0.0","3.0","2.0","6.0","0.17647058823529413","0.11764705882352941","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","3.0","0.0","0.0","0.17647058823529413","0.0","3.0","0.0","0.0","0.17647058823529413","0.0","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","3.0","0.0","0.0","0.17647058823529413","0.0","1.0","8.0","8.0","0.058823529411764705","0.47058823529411764","6.0","7.0","42.0","0.35294117647058826","0.4117647058823529","1.0","6.0","6.0","0.058823529411764705","0.35294117647058826","1.0","14.0","14.0","0.058823529411764705","0.8235294117647058","3.0","0.0","0.0","0.17647058823529413","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"10","2.0","4.0","8.0","0.11764705882352941","0.23529411764705882","4.0","2.0","8.0","0.23529411764705882","0.11764705882352941","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","0.0","0.0","0.11764705882352941","0.0","4.0","0.0","0.0","0.23529411764705882","0.0","3.0","0.0","0.0","0.17647058823529413","0.0","3.0","2.0","6.0","0.17647058823529413","0.11764705882352941","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","3.0","0.0","0.0","0.17647058823529413","0.0","3.0","0.0","0.0","0.17647058823529413","0.0","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","3.0","0.0","0.0","0.17647058823529413","0.0","1.0","8.0","8.0","0.058823529411764705","0.47058823529411764","6.0","7.0","42.0","0.35294117647058826","0.4117647058823529","1.0","6.0","6.0","0.058823529411764705","0.35294117647058826","1.0","14.0","14.0","0.058823529411764705","0.8235294117647058","3.0","0.0","0.0","0.17647058823529413","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
