"release","RD1-ADS","RD1-AIS","RD1-ACS","RD1-RCS","RD1-RIS","RD2-ADS","RD2-AIS","RD2-ACS","RD2-RCS","RD2-RIS","RD3-ADS","RD3-AIS","RD3-ACS","RD3-RCS","RD3-RIS","RD4-ADS","RD4-AIS","RD4-ACS","RD4-RCS","RD4-RIS","RD5-ADS","RD5-AIS","RD5-ACS","RD5-RCS","RD5-RIS","RD6-ADS","RD6-AIS","RD6-ACS","RD6-RCS","RD6-RIS","RD7-ADS","RD7-AIS","RD7-ACS","RD7-RCS","RD7-RIS","RD8-ADS","RD8-AIS","RD8-ACS","RD8-RCS","RD8-RIS","RD9-ADS","RD9-AIS","RD9-ACS","RD9-RCS","RD9-RIS","RD10-ADS","RD10-AIS","RD10-ACS","RD10-RCS","RD10-RIS","RD11-ADS","RD11-AIS","RD11-ACS","RD11-RCS","RD11-RIS","RD12-ADS","RD12-AIS","RD12-ACS","RD12-RCS","RD12-RIS","RD13-ADS","RD13-AIS","RD13-ACS","RD13-RCS","RD13-RIS","RD14-ADS","RD14-AIS","RD14-ACS","RD14-RCS","RD14-RIS","RD15-ADS","RD15-AIS","RD15-ACS","RD15-RCS","RD15-RIS","RD16-ADS","RD16-AIS","RD16-ACS","RD16-RCS","RD16-RIS","RD17-ADS","RD17-AIS","RD17-ACS","RD17-RCS","RD17-RIS","RD18-ADS","RD18-AIS","RD18-ACS","RD18-RCS","RD18-RIS","RD19-ADS","RD19-AIS","RD19-ACS","RD19-RCS","RD19-RIS","RD20-ADS","RD20-AIS","RD20-ACS","RD20-RCS","RD20-RIS","CPS1-ADS","CPS1-AIS","CPS1-ACS","CPS1-RCS","CPS1-RIS","GTW-ADS","GTW-AIS","GTW-ACS","GTW-RCS","GTW-RIS","REG-ADS","REG-AIS","REG-ACS","REG-RCS","REG-RIS","MSB-ADS","MSB-AIS","MSB-ACS","MSB-RCS","MSB-RIS","MSV1-ADS","MSV1-AIS","MSV1-ACS","MSV1-RCS","MSV1-RIS","MSV2-ADS","MSV2-AIS","MSV2-ACS","MSV2-RCS","MSV2-RIS","MSV3-ADS","MSV3-AIS","MSV3-ACS","MSV3-RCS","MSV3-RIS","MSV4-ADS","MSV4-AIS","MSV4-ACS","MSV4-RCS","MSV4-RIS","MSV5-ADS","MSV5-AIS","MSV5-ACS","MSV5-RCS","MSV5-RIS","MSV6-ADS","MSV6-AIS","MSV6-ACS","MSV6-RCS","MSV6-RIS","MSV7-ADS","MSV7-AIS","MSV7-ACS","MSV7-RCS","MSV7-RIS","MSV8-ADS","MSV8-AIS","MSV8-ACS","MSV8-RCS","MSV8-RIS"
"1","1.0","2.0","2.0","0.041666666666666664","0.08333333333333333","1.0","2.0","2.0","0.041666666666666664","0.08333333333333333","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","7.0","1.0","7.0","0.2916666666666667","0.041666666666666664","1.0","1.0","1.0","0.041666666666666664","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","2.0","2.0","4.0","0.08333333333333333","0.08333333333333333","1.0","2.0","2.0","0.041666666666666664","0.08333333333333333","1.0","1.0","1.0","0.041666666666666664","0.041666666666666664","1.0","4.0","4.0","0.041666666666666664","0.16666666666666666","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","1.0","2.0","2.0","0.041666666666666664","0.08333333333333333","3.0","3.0","9.0","0.125","0.125","1.0","1.0","1.0","0.041666666666666664","0.041666666666666664","1.0","1.0","1.0","0.041666666666666664","0.041666666666666664","1.0","1.0","1.0","0.041666666666666664","0.041666666666666664","1.0","4.0","4.0","0.041666666666666664","0.16666666666666666","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","1.0","2.0","2.0","0.041666666666666664","0.08333333333333333","2.0","2.0","4.0","0.08333333333333333","0.08333333333333333","5.0","1.0","5.0","0.20833333333333334","0.041666666666666664","4.0","0.0","0.0","0.16666666666666666","0.0","0.0","10.0","0.0","0.0","0.4166666666666667","13.0","11.0","143.0","0.5416666666666666","0.4583333333333333","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2","1.0","2.0","2.0","0.041666666666666664","0.08333333333333333","1.0","2.0","2.0","0.041666666666666664","0.08333333333333333","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","7.0","1.0","7.0","0.2916666666666667","0.041666666666666664","1.0","1.0","1.0","0.041666666666666664","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","2.0","2.0","4.0","0.08333333333333333","0.08333333333333333","1.0","2.0","2.0","0.041666666666666664","0.08333333333333333","1.0","1.0","1.0","0.041666666666666664","0.041666666666666664","1.0","4.0","4.0","0.041666666666666664","0.16666666666666666","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","1.0","2.0","2.0","0.041666666666666664","0.08333333333333333","3.0","3.0","9.0","0.125","0.125","1.0","1.0","1.0","0.041666666666666664","0.041666666666666664","1.0","1.0","1.0","0.041666666666666664","0.041666666666666664","1.0","1.0","1.0","0.041666666666666664","0.041666666666666664","1.0","4.0","4.0","0.041666666666666664","0.16666666666666666","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","1.0","2.0","2.0","0.041666666666666664","0.08333333333333333","2.0","2.0","4.0","0.08333333333333333","0.08333333333333333","5.0","1.0","5.0","0.20833333333333334","0.041666666666666664","4.0","0.0","0.0","0.16666666666666666","0.0","0.0","10.0","0.0","0.0","0.4166666666666667","13.0","11.0","143.0","0.5416666666666666","0.4583333333333333","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"3","1.0","2.0","2.0","0.041666666666666664","0.08333333333333333","1.0","2.0","2.0","0.041666666666666664","0.08333333333333333","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","7.0","1.0","7.0","0.2916666666666667","0.041666666666666664","1.0","1.0","1.0","0.041666666666666664","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","2.0","2.0","4.0","0.08333333333333333","0.08333333333333333","1.0","2.0","2.0","0.041666666666666664","0.08333333333333333","1.0","1.0","1.0","0.041666666666666664","0.041666666666666664","1.0","4.0","4.0","0.041666666666666664","0.16666666666666666","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","1.0","2.0","2.0","0.041666666666666664","0.08333333333333333","3.0","3.0","9.0","0.125","0.125","1.0","1.0","1.0","0.041666666666666664","0.041666666666666664","1.0","1.0","1.0","0.041666666666666664","0.041666666666666664","1.0","1.0","1.0","0.041666666666666664","0.041666666666666664","1.0","4.0","4.0","0.041666666666666664","0.16666666666666666","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","1.0","2.0","2.0","0.041666666666666664","0.08333333333333333","2.0","2.0","4.0","0.08333333333333333","0.08333333333333333","5.0","1.0","5.0","0.20833333333333334","0.041666666666666664","4.0","0.0","0.0","0.16666666666666666","0.0","0.0","10.0","0.0","0.0","0.4166666666666667","13.0","11.0","143.0","0.5416666666666666","0.4583333333333333","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"4","1.0","2.0","2.0","0.041666666666666664","0.08333333333333333","1.0","2.0","2.0","0.041666666666666664","0.08333333333333333","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","7.0","1.0","7.0","0.2916666666666667","0.041666666666666664","1.0","1.0","1.0","0.041666666666666664","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","2.0","2.0","4.0","0.08333333333333333","0.08333333333333333","1.0","2.0","2.0","0.041666666666666664","0.08333333333333333","1.0","1.0","1.0","0.041666666666666664","0.041666666666666664","1.0","4.0","4.0","0.041666666666666664","0.16666666666666666","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","1.0","2.0","2.0","0.041666666666666664","0.08333333333333333","3.0","3.0","9.0","0.125","0.125","1.0","1.0","1.0","0.041666666666666664","0.041666666666666664","1.0","1.0","1.0","0.041666666666666664","0.041666666666666664","1.0","1.0","1.0","0.041666666666666664","0.041666666666666664","1.0","4.0","4.0","0.041666666666666664","0.16666666666666666","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","1.0","2.0","2.0","0.041666666666666664","0.08333333333333333","2.0","2.0","4.0","0.08333333333333333","0.08333333333333333","5.0","1.0","5.0","0.20833333333333334","0.041666666666666664","4.0","0.0","0.0","0.16666666666666666","0.0","0.0","10.0","0.0","0.0","0.4166666666666667","13.0","11.0","143.0","0.5416666666666666","0.4583333333333333","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"5","1.0","2.0","2.0","0.041666666666666664","0.08333333333333333","1.0","2.0","2.0","0.041666666666666664","0.08333333333333333","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","7.0","1.0","7.0","0.2916666666666667","0.041666666666666664","1.0","1.0","1.0","0.041666666666666664","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","2.0","2.0","4.0","0.08333333333333333","0.08333333333333333","1.0","2.0","2.0","0.041666666666666664","0.08333333333333333","1.0","1.0","1.0","0.041666666666666664","0.041666666666666664","1.0","4.0","4.0","0.041666666666666664","0.16666666666666666","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","1.0","2.0","2.0","0.041666666666666664","0.08333333333333333","3.0","3.0","9.0","0.125","0.125","1.0","1.0","1.0","0.041666666666666664","0.041666666666666664","1.0","1.0","1.0","0.041666666666666664","0.041666666666666664","1.0","1.0","1.0","0.041666666666666664","0.041666666666666664","1.0","4.0","4.0","0.041666666666666664","0.16666666666666666","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","1.0","2.0","2.0","0.041666666666666664","0.08333333333333333","2.0","2.0","4.0","0.08333333333333333","0.08333333333333333","5.0","1.0","5.0","0.20833333333333334","0.041666666666666664","4.0","0.0","0.0","0.16666666666666666","0.0","0.0","10.0","0.0","0.0","0.4166666666666667","13.0","11.0","143.0","0.5416666666666666","0.4583333333333333","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"6","1.0","2.0","2.0","0.04","0.08","1.0","2.0","2.0","0.04","0.08","2.0","1.0","2.0","0.08","0.04","7.0","1.0","7.0","0.28","0.04","1.0","1.0","1.0","0.04","0.04","3.0","1.0","3.0","0.12","0.04","2.0","2.0","4.0","0.08","0.08","2.0","2.0","4.0","0.08","0.08","1.0","1.0","1.0","0.04","0.04","1.0","4.0","4.0","0.04","0.16","2.0","1.0","2.0","0.08","0.04","1.0","2.0","2.0","0.04","0.08","3.0","3.0","9.0","0.12","0.12","1.0","1.0","1.0","0.04","0.04","1.0","1.0","1.0","0.04","0.04","1.0","1.0","1.0","0.04","0.04","1.0","4.0","4.0","0.04","0.16","2.0","1.0","2.0","0.08","0.04","1.0","2.0","2.0","0.04","0.08","2.0","2.0","4.0","0.08","0.08","5.0","1.0","5.0","0.2","0.04","4.0","0.0","0.0","0.16","0.0","0.0","11.0","0.0","0.0","0.44","13.0","11.0","143.0","0.52","0.44","1.0","1.0","1.0","0.04","0.04","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"7","1.0","2.0","2.0","0.04","0.08","1.0","2.0","2.0","0.04","0.08","2.0","1.0","2.0","0.08","0.04","7.0","1.0","7.0","0.28","0.04","1.0","1.0","1.0","0.04","0.04","3.0","1.0","3.0","0.12","0.04","2.0","2.0","4.0","0.08","0.08","2.0","2.0","4.0","0.08","0.08","1.0","1.0","1.0","0.04","0.04","1.0","4.0","4.0","0.04","0.16","2.0","1.0","2.0","0.08","0.04","1.0","2.0","2.0","0.04","0.08","3.0","3.0","9.0","0.12","0.12","1.0","1.0","1.0","0.04","0.04","1.0","1.0","1.0","0.04","0.04","1.0","1.0","1.0","0.04","0.04","1.0","4.0","4.0","0.04","0.16","2.0","1.0","2.0","0.08","0.04","1.0","2.0","2.0","0.04","0.08","2.0","2.0","4.0","0.08","0.08","5.0","1.0","5.0","0.2","0.04","4.0","0.0","0.0","0.16","0.0","0.0","11.0","0.0","0.0","0.44","13.0","11.0","143.0","0.52","0.44","1.0","1.0","1.0","0.04","0.04","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"8","1.0","2.0","2.0","0.038461538461538464","0.07692307692307693","1.0","2.0","2.0","0.038461538461538464","0.07692307692307693","2.0","1.0","2.0","0.07692307692307693","0.038461538461538464","7.0","1.0","7.0","0.2692307692307692","0.038461538461538464","1.0","1.0","1.0","0.038461538461538464","0.038461538461538464","3.0","1.0","3.0","0.11538461538461539","0.038461538461538464","2.0","2.0","4.0","0.07692307692307693","0.07692307692307693","2.0","2.0","4.0","0.07692307692307693","0.07692307692307693","1.0","1.0","1.0","0.038461538461538464","0.038461538461538464","1.0","4.0","4.0","0.038461538461538464","0.15384615384615385","2.0","1.0","2.0","0.07692307692307693","0.038461538461538464","1.0","2.0","2.0","0.038461538461538464","0.07692307692307693","3.0","3.0","9.0","0.11538461538461539","0.11538461538461539","1.0","1.0","1.0","0.038461538461538464","0.038461538461538464","1.0","1.0","1.0","0.038461538461538464","0.038461538461538464","1.0","1.0","1.0","0.038461538461538464","0.038461538461538464","1.0","4.0","4.0","0.038461538461538464","0.15384615384615385","2.0","1.0","2.0","0.07692307692307693","0.038461538461538464","1.0","2.0","2.0","0.038461538461538464","0.07692307692307693","2.0","2.0","4.0","0.07692307692307693","0.07692307692307693","5.0","1.0","5.0","0.19230769230769232","0.038461538461538464","4.0","0.0","0.0","0.15384615384615385","0.0","0.0","12.0","0.0","0.0","0.46153846153846156","14.0","11.0","154.0","0.5384615384615384","0.4230769230769231","1.0","1.0","1.0","0.038461538461538464","0.038461538461538464","1.0","1.0","1.0","0.038461538461538464","0.038461538461538464","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"9","1.0","2.0","2.0","0.038461538461538464","0.07692307692307693","1.0","2.0","2.0","0.038461538461538464","0.07692307692307693","2.0","1.0","2.0","0.07692307692307693","0.038461538461538464","7.0","1.0","7.0","0.2692307692307692","0.038461538461538464","1.0","1.0","1.0","0.038461538461538464","0.038461538461538464","3.0","1.0","3.0","0.11538461538461539","0.038461538461538464","2.0","2.0","4.0","0.07692307692307693","0.07692307692307693","2.0","2.0","4.0","0.07692307692307693","0.07692307692307693","1.0","1.0","1.0","0.038461538461538464","0.038461538461538464","1.0","4.0","4.0","0.038461538461538464","0.15384615384615385","2.0","1.0","2.0","0.07692307692307693","0.038461538461538464","1.0","2.0","2.0","0.038461538461538464","0.07692307692307693","3.0","3.0","9.0","0.11538461538461539","0.11538461538461539","1.0","1.0","1.0","0.038461538461538464","0.038461538461538464","1.0","1.0","1.0","0.038461538461538464","0.038461538461538464","1.0","1.0","1.0","0.038461538461538464","0.038461538461538464","1.0","4.0","4.0","0.038461538461538464","0.15384615384615385","2.0","1.0","2.0","0.07692307692307693","0.038461538461538464","1.0","2.0","2.0","0.038461538461538464","0.07692307692307693","2.0","2.0","4.0","0.07692307692307693","0.07692307692307693","5.0","1.0","5.0","0.19230769230769232","0.038461538461538464","4.0","0.0","0.0","0.15384615384615385","0.0","0.0","12.0","0.0","0.0","0.46153846153846156","14.0","11.0","154.0","0.5384615384615384","0.4230769230769231","1.0","1.0","1.0","0.038461538461538464","0.038461538461538464","1.0","1.0","1.0","0.038461538461538464","0.038461538461538464","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"10","1.0","2.0","2.0","0.038461538461538464","0.07692307692307693","1.0","2.0","2.0","0.038461538461538464","0.07692307692307693","2.0","1.0","2.0","0.07692307692307693","0.038461538461538464","7.0","1.0","7.0","0.2692307692307692","0.038461538461538464","1.0","1.0","1.0","0.038461538461538464","0.038461538461538464","3.0","1.0","3.0","0.11538461538461539","0.038461538461538464","2.0","2.0","4.0","0.07692307692307693","0.07692307692307693","2.0","2.0","4.0","0.07692307692307693","0.07692307692307693","1.0","1.0","1.0","0.038461538461538464","0.038461538461538464","1.0","4.0","4.0","0.038461538461538464","0.15384615384615385","2.0","1.0","2.0","0.07692307692307693","0.038461538461538464","1.0","2.0","2.0","0.038461538461538464","0.07692307692307693","3.0","3.0","9.0","0.11538461538461539","0.11538461538461539","1.0","1.0","1.0","0.038461538461538464","0.038461538461538464","1.0","1.0","1.0","0.038461538461538464","0.038461538461538464","1.0","1.0","1.0","0.038461538461538464","0.038461538461538464","1.0","4.0","4.0","0.038461538461538464","0.15384615384615385","2.0","1.0","2.0","0.07692307692307693","0.038461538461538464","1.0","2.0","2.0","0.038461538461538464","0.07692307692307693","2.0","2.0","4.0","0.07692307692307693","0.07692307692307693","5.0","1.0","5.0","0.19230769230769232","0.038461538461538464","4.0","0.0","0.0","0.15384615384615385","0.0","0.0","12.0","0.0","0.0","0.46153846153846156","14.0","11.0","154.0","0.5384615384615384","0.4230769230769231","1.0","1.0","1.0","0.038461538461538464","0.038461538461538464","1.0","1.0","1.0","0.038461538461538464","0.038461538461538464","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
