"release","RD1-ADS","RD1-AIS","RD1-ACS","RD1-RCS","RD1-RIS","RD2-ADS","RD2-AIS","RD2-ACS","RD2-RCS","RD2-RIS","RD3-ADS","RD3-AIS","RD3-ACS","RD3-RCS","RD3-RIS","RD4-ADS","RD4-AIS","RD4-ACS","RD4-RCS","RD4-RIS","RD5-ADS","RD5-AIS","RD5-ACS","RD5-RCS","RD5-RIS","RD6-ADS","RD6-AIS","RD6-ACS","RD6-RCS","RD6-RIS","RD7-ADS","RD7-AIS","RD7-ACS","RD7-RCS","RD7-RIS","RD8-ADS","RD8-AIS","RD8-ACS","RD8-RCS","RD8-RIS","RD9-ADS","RD9-AIS","RD9-ACS","RD9-RCS","RD9-RIS","RD10-ADS","RD10-AIS","RD10-ACS","RD10-RCS","RD10-RIS","RD11-ADS","RD11-AIS","RD11-ACS","RD11-RCS","RD11-RIS","RD12-ADS","RD12-AIS","RD12-ACS","RD12-RCS","RD12-RIS","RD13-ADS","RD13-AIS","RD13-ACS","RD13-RCS","RD13-RIS","RD14-ADS","RD14-AIS","RD14-ACS","RD14-RCS","RD14-RIS","RD15-ADS","RD15-AIS","RD15-ACS","RD15-RCS","RD15-RIS","RD16-ADS","RD16-AIS","RD16-ACS","RD16-RCS","RD16-RIS","RD17-ADS","RD17-AIS","RD17-ACS","RD17-RCS","RD17-RIS","RD18-ADS","RD18-AIS","RD18-ACS","RD18-RCS","RD18-RIS","RD19-ADS","RD19-AIS","RD19-ACS","RD19-RCS","RD19-RIS","RD20-ADS","RD20-AIS","RD20-ACS","RD20-RCS","RD20-RIS","CPS1-ADS","CPS1-AIS","CPS1-ACS","CPS1-RCS","CPS1-RIS","GTW-ADS","GTW-AIS","GTW-ACS","GTW-RCS","GTW-RIS","REG-ADS","REG-AIS","REG-ACS","REG-RCS","REG-RIS","MSB-ADS","MSB-AIS","MSB-ACS","MSB-RCS","MSB-RIS","CFG-ADS","CFG-AIS","CFG-ACS","CFG-RCS","CFG-RIS","MSV1-ADS","MSV1-AIS","MSV1-ACS","MSV1-RCS","MSV1-RIS","MSV2-ADS","MSV2-AIS","MSV2-ACS","MSV2-RCS","MSV2-RIS","MSV3-ADS","MSV3-AIS","MSV3-ACS","MSV3-RCS","MSV3-RIS","MSV4-ADS","MSV4-AIS","MSV4-ACS","MSV4-RCS","MSV4-RIS","MSV5-ADS","MSV5-AIS","MSV5-ACS","MSV5-RCS","MSV5-RIS","MSV6-ADS","MSV6-AIS","MSV6-ACS","MSV6-RCS","MSV6-RIS","MSV7-ADS","MSV7-AIS","MSV7-ACS","MSV7-RCS","MSV7-RIS"
"11","1.0","1.0","1.0","0.037037037037037035","0.037037037037037035","1.0","1.0","1.0","0.037037037037037035","0.037037037037037035","3.0","2.0","6.0","0.1111111111111111","0.07407407407407407","1.0","2.0","2.0","0.037037037037037035","0.07407407407407407","7.0","1.0","7.0","0.25925925925925924","0.037037037037037035","1.0","1.0","1.0","0.037037037037037035","0.037037037037037035","2.0","3.0","6.0","0.07407407407407407","0.1111111111111111","1.0","3.0","3.0","0.037037037037037035","0.1111111111111111","1.0","1.0","1.0","0.037037037037037035","0.037037037037037035","2.0","1.0","2.0","0.07407407407407407","0.037037037037037035","3.0","1.0","3.0","0.1111111111111111","0.037037037037037035","4.0","3.0","12.0","0.14814814814814814","0.1111111111111111","1.0","1.0","1.0","0.037037037037037035","0.037037037037037035","1.0","1.0","1.0","0.037037037037037035","0.037037037037037035","3.0","1.0","3.0","0.1111111111111111","0.037037037037037035","2.0","1.0","2.0","0.07407407407407407","0.037037037037037035","2.0","1.0","2.0","0.07407407407407407","0.037037037037037035","1.0","1.0","1.0","0.037037037037037035","0.037037037037037035","2.0","1.0","2.0","0.07407407407407407","0.037037037037037035","1.0","1.0","1.0","0.037037037037037035","0.037037037037037035","2.0","1.0","2.0","0.07407407407407407","0.037037037037037035","2.0","0.0","0.0","0.07407407407407407","0.0","1.0","9.0","9.0","0.037037037037037035","0.3333333333333333","18.0","15.0","270.0","0.6666666666666666","0.5555555555555556","0.0","12.0","0.0","0.0","0.4444444444444444","2.0","1.0","2.0","0.07407407407407407","0.037037037037037035","2.0","1.0","2.0","0.07407407407407407","0.037037037037037035","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"12","1.0","1.0","1.0","0.037037037037037035","0.037037037037037035","1.0","1.0","1.0","0.037037037037037035","0.037037037037037035","3.0","2.0","6.0","0.1111111111111111","0.07407407407407407","1.0","2.0","2.0","0.037037037037037035","0.07407407407407407","7.0","1.0","7.0","0.25925925925925924","0.037037037037037035","1.0","1.0","1.0","0.037037037037037035","0.037037037037037035","2.0","3.0","6.0","0.07407407407407407","0.1111111111111111","1.0","3.0","3.0","0.037037037037037035","0.1111111111111111","1.0","1.0","1.0","0.037037037037037035","0.037037037037037035","2.0","1.0","2.0","0.07407407407407407","0.037037037037037035","3.0","1.0","3.0","0.1111111111111111","0.037037037037037035","4.0","3.0","12.0","0.14814814814814814","0.1111111111111111","1.0","1.0","1.0","0.037037037037037035","0.037037037037037035","1.0","1.0","1.0","0.037037037037037035","0.037037037037037035","3.0","1.0","3.0","0.1111111111111111","0.037037037037037035","2.0","1.0","2.0","0.07407407407407407","0.037037037037037035","2.0","1.0","2.0","0.07407407407407407","0.037037037037037035","1.0","1.0","1.0","0.037037037037037035","0.037037037037037035","2.0","1.0","2.0","0.07407407407407407","0.037037037037037035","1.0","1.0","1.0","0.037037037037037035","0.037037037037037035","2.0","1.0","2.0","0.07407407407407407","0.037037037037037035","2.0","0.0","0.0","0.07407407407407407","0.0","1.0","9.0","9.0","0.037037037037037035","0.3333333333333333","18.0","15.0","270.0","0.6666666666666666","0.5555555555555556","0.0","12.0","0.0","0.0","0.4444444444444444","2.0","1.0","2.0","0.07407407407407407","0.037037037037037035","2.0","1.0","2.0","0.07407407407407407","0.037037037037037035","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"13","1.0","1.0","1.0","0.037037037037037035","0.037037037037037035","1.0","1.0","1.0","0.037037037037037035","0.037037037037037035","3.0","2.0","6.0","0.1111111111111111","0.07407407407407407","1.0","2.0","2.0","0.037037037037037035","0.07407407407407407","7.0","1.0","7.0","0.25925925925925924","0.037037037037037035","1.0","1.0","1.0","0.037037037037037035","0.037037037037037035","2.0","3.0","6.0","0.07407407407407407","0.1111111111111111","1.0","3.0","3.0","0.037037037037037035","0.1111111111111111","1.0","1.0","1.0","0.037037037037037035","0.037037037037037035","2.0","1.0","2.0","0.07407407407407407","0.037037037037037035","3.0","1.0","3.0","0.1111111111111111","0.037037037037037035","4.0","3.0","12.0","0.14814814814814814","0.1111111111111111","1.0","1.0","1.0","0.037037037037037035","0.037037037037037035","1.0","1.0","1.0","0.037037037037037035","0.037037037037037035","3.0","1.0","3.0","0.1111111111111111","0.037037037037037035","2.0","1.0","2.0","0.07407407407407407","0.037037037037037035","2.0","1.0","2.0","0.07407407407407407","0.037037037037037035","1.0","1.0","1.0","0.037037037037037035","0.037037037037037035","2.0","1.0","2.0","0.07407407407407407","0.037037037037037035","1.0","1.0","1.0","0.037037037037037035","0.037037037037037035","2.0","1.0","2.0","0.07407407407407407","0.037037037037037035","2.0","0.0","0.0","0.07407407407407407","0.0","1.0","9.0","9.0","0.037037037037037035","0.3333333333333333","18.0","15.0","270.0","0.6666666666666666","0.5555555555555556","0.0","12.0","0.0","0.0","0.4444444444444444","2.0","1.0","2.0","0.07407407407407407","0.037037037037037035","2.0","1.0","2.0","0.07407407407407407","0.037037037037037035","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"14","1.0","1.0","1.0","0.034482758620689655","0.034482758620689655","1.0","1.0","1.0","0.034482758620689655","0.034482758620689655","3.0","2.0","6.0","0.10344827586206896","0.06896551724137931","1.0","2.0","2.0","0.034482758620689655","0.06896551724137931","9.0","1.0","9.0","0.3103448275862069","0.034482758620689655","1.0","1.0","1.0","0.034482758620689655","0.034482758620689655","2.0","3.0","6.0","0.06896551724137931","0.10344827586206896","1.0","3.0","3.0","0.034482758620689655","0.10344827586206896","1.0","1.0","1.0","0.034482758620689655","0.034482758620689655","2.0","1.0","2.0","0.06896551724137931","0.034482758620689655","3.0","1.0","3.0","0.10344827586206896","0.034482758620689655","4.0","3.0","12.0","0.13793103448275862","0.10344827586206896","1.0","1.0","1.0","0.034482758620689655","0.034482758620689655","1.0","1.0","1.0","0.034482758620689655","0.034482758620689655","3.0","1.0","3.0","0.10344827586206896","0.034482758620689655","2.0","1.0","2.0","0.06896551724137931","0.034482758620689655","2.0","1.0","2.0","0.06896551724137931","0.034482758620689655","1.0","1.0","1.0","0.034482758620689655","0.034482758620689655","2.0","1.0","2.0","0.06896551724137931","0.034482758620689655","1.0","1.0","1.0","0.034482758620689655","0.034482758620689655","2.0","1.0","2.0","0.06896551724137931","0.034482758620689655","2.0","0.0","0.0","0.06896551724137931","0.0","1.0","11.0","11.0","0.034482758620689655","0.3793103448275862","18.0","15.0","270.0","0.6206896551724138","0.5172413793103449","0.0","13.0","0.0","0.0","0.4482758620689655","2.0","1.0","2.0","0.06896551724137931","0.034482758620689655","2.0","1.0","2.0","0.06896551724137931","0.034482758620689655","2.0","1.0","2.0","0.06896551724137931","0.034482758620689655","1.0","1.0","1.0","0.034482758620689655","0.034482758620689655","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"15","1.0","1.0","1.0","0.034482758620689655","0.034482758620689655","1.0","1.0","1.0","0.034482758620689655","0.034482758620689655","3.0","2.0","6.0","0.10344827586206896","0.06896551724137931","1.0","2.0","2.0","0.034482758620689655","0.06896551724137931","9.0","1.0","9.0","0.3103448275862069","0.034482758620689655","1.0","1.0","1.0","0.034482758620689655","0.034482758620689655","2.0","3.0","6.0","0.06896551724137931","0.10344827586206896","1.0","3.0","3.0","0.034482758620689655","0.10344827586206896","1.0","1.0","1.0","0.034482758620689655","0.034482758620689655","2.0","1.0","2.0","0.06896551724137931","0.034482758620689655","3.0","1.0","3.0","0.10344827586206896","0.034482758620689655","4.0","3.0","12.0","0.13793103448275862","0.10344827586206896","1.0","1.0","1.0","0.034482758620689655","0.034482758620689655","1.0","1.0","1.0","0.034482758620689655","0.034482758620689655","3.0","1.0","3.0","0.10344827586206896","0.034482758620689655","2.0","1.0","2.0","0.06896551724137931","0.034482758620689655","2.0","1.0","2.0","0.06896551724137931","0.034482758620689655","1.0","1.0","1.0","0.034482758620689655","0.034482758620689655","2.0","1.0","2.0","0.06896551724137931","0.034482758620689655","1.0","1.0","1.0","0.034482758620689655","0.034482758620689655","2.0","1.0","2.0","0.06896551724137931","0.034482758620689655","2.0","0.0","0.0","0.06896551724137931","0.0","1.0","11.0","11.0","0.034482758620689655","0.3793103448275862","18.0","15.0","270.0","0.6206896551724138","0.5172413793103449","0.0","13.0","0.0","0.0","0.4482758620689655","2.0","1.0","2.0","0.06896551724137931","0.034482758620689655","2.0","1.0","2.0","0.06896551724137931","0.034482758620689655","2.0","1.0","2.0","0.06896551724137931","0.034482758620689655","1.0","1.0","1.0","0.034482758620689655","0.034482758620689655","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"16","1.0","1.0","1.0","0.034482758620689655","0.034482758620689655","1.0","1.0","1.0","0.034482758620689655","0.034482758620689655","3.0","2.0","6.0","0.10344827586206896","0.06896551724137931","1.0","2.0","2.0","0.034482758620689655","0.06896551724137931","9.0","1.0","9.0","0.3103448275862069","0.034482758620689655","1.0","1.0","1.0","0.034482758620689655","0.034482758620689655","2.0","3.0","6.0","0.06896551724137931","0.10344827586206896","1.0","3.0","3.0","0.034482758620689655","0.10344827586206896","1.0","1.0","1.0","0.034482758620689655","0.034482758620689655","2.0","1.0","2.0","0.06896551724137931","0.034482758620689655","3.0","1.0","3.0","0.10344827586206896","0.034482758620689655","4.0","3.0","12.0","0.13793103448275862","0.10344827586206896","1.0","1.0","1.0","0.034482758620689655","0.034482758620689655","1.0","1.0","1.0","0.034482758620689655","0.034482758620689655","3.0","1.0","3.0","0.10344827586206896","0.034482758620689655","2.0","1.0","2.0","0.06896551724137931","0.034482758620689655","2.0","1.0","2.0","0.06896551724137931","0.034482758620689655","1.0","1.0","1.0","0.034482758620689655","0.034482758620689655","2.0","1.0","2.0","0.06896551724137931","0.034482758620689655","1.0","1.0","1.0","0.034482758620689655","0.034482758620689655","2.0","1.0","2.0","0.06896551724137931","0.034482758620689655","2.0","0.0","0.0","0.06896551724137931","0.0","1.0","11.0","11.0","0.034482758620689655","0.3793103448275862","18.0","15.0","270.0","0.6206896551724138","0.5172413793103449","0.0","13.0","0.0","0.0","0.4482758620689655","2.0","1.0","2.0","0.06896551724137931","0.034482758620689655","2.0","1.0","2.0","0.06896551724137931","0.034482758620689655","2.0","1.0","2.0","0.06896551724137931","0.034482758620689655","1.0","1.0","1.0","0.034482758620689655","0.034482758620689655","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"17","1.0","1.0","1.0","0.034482758620689655","0.034482758620689655","1.0","1.0","1.0","0.034482758620689655","0.034482758620689655","3.0","2.0","6.0","0.10344827586206896","0.06896551724137931","1.0","2.0","2.0","0.034482758620689655","0.06896551724137931","9.0","1.0","9.0","0.3103448275862069","0.034482758620689655","1.0","1.0","1.0","0.034482758620689655","0.034482758620689655","2.0","3.0","6.0","0.06896551724137931","0.10344827586206896","1.0","3.0","3.0","0.034482758620689655","0.10344827586206896","1.0","1.0","1.0","0.034482758620689655","0.034482758620689655","2.0","1.0","2.0","0.06896551724137931","0.034482758620689655","3.0","1.0","3.0","0.10344827586206896","0.034482758620689655","4.0","3.0","12.0","0.13793103448275862","0.10344827586206896","1.0","1.0","1.0","0.034482758620689655","0.034482758620689655","1.0","1.0","1.0","0.034482758620689655","0.034482758620689655","3.0","1.0","3.0","0.10344827586206896","0.034482758620689655","2.0","1.0","2.0","0.06896551724137931","0.034482758620689655","2.0","1.0","2.0","0.06896551724137931","0.034482758620689655","1.0","1.0","1.0","0.034482758620689655","0.034482758620689655","2.0","1.0","2.0","0.06896551724137931","0.034482758620689655","1.0","1.0","1.0","0.034482758620689655","0.034482758620689655","2.0","1.0","2.0","0.06896551724137931","0.034482758620689655","2.0","0.0","0.0","0.06896551724137931","0.0","1.0","11.0","11.0","0.034482758620689655","0.3793103448275862","18.0","15.0","270.0","0.6206896551724138","0.5172413793103449","0.0","13.0","0.0","0.0","0.4482758620689655","2.0","1.0","2.0","0.06896551724137931","0.034482758620689655","2.0","1.0","2.0","0.06896551724137931","0.034482758620689655","2.0","1.0","2.0","0.06896551724137931","0.034482758620689655","1.0","1.0","1.0","0.034482758620689655","0.034482758620689655","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"18","1.0","1.0","1.0","0.034482758620689655","0.034482758620689655","1.0","1.0","1.0","0.034482758620689655","0.034482758620689655","3.0","2.0","6.0","0.10344827586206896","0.06896551724137931","1.0","2.0","2.0","0.034482758620689655","0.06896551724137931","9.0","1.0","9.0","0.3103448275862069","0.034482758620689655","1.0","1.0","1.0","0.034482758620689655","0.034482758620689655","2.0","3.0","6.0","0.06896551724137931","0.10344827586206896","1.0","3.0","3.0","0.034482758620689655","0.10344827586206896","1.0","1.0","1.0","0.034482758620689655","0.034482758620689655","2.0","1.0","2.0","0.06896551724137931","0.034482758620689655","3.0","1.0","3.0","0.10344827586206896","0.034482758620689655","4.0","3.0","12.0","0.13793103448275862","0.10344827586206896","1.0","1.0","1.0","0.034482758620689655","0.034482758620689655","1.0","1.0","1.0","0.034482758620689655","0.034482758620689655","3.0","1.0","3.0","0.10344827586206896","0.034482758620689655","2.0","1.0","2.0","0.06896551724137931","0.034482758620689655","2.0","1.0","2.0","0.06896551724137931","0.034482758620689655","1.0","1.0","1.0","0.034482758620689655","0.034482758620689655","2.0","1.0","2.0","0.06896551724137931","0.034482758620689655","1.0","1.0","1.0","0.034482758620689655","0.034482758620689655","2.0","1.0","2.0","0.06896551724137931","0.034482758620689655","2.0","0.0","0.0","0.06896551724137931","0.0","1.0","11.0","11.0","0.034482758620689655","0.3793103448275862","18.0","15.0","270.0","0.6206896551724138","0.5172413793103449","0.0","13.0","0.0","0.0","0.4482758620689655","2.0","1.0","2.0","0.06896551724137931","0.034482758620689655","2.0","1.0","2.0","0.06896551724137931","0.034482758620689655","2.0","1.0","2.0","0.06896551724137931","0.034482758620689655","1.0","1.0","1.0","0.034482758620689655","0.034482758620689655","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"19","1.0","1.0","1.0","0.034482758620689655","0.034482758620689655","1.0","1.0","1.0","0.034482758620689655","0.034482758620689655","3.0","2.0","6.0","0.10344827586206896","0.06896551724137931","1.0","2.0","2.0","0.034482758620689655","0.06896551724137931","9.0","1.0","9.0","0.3103448275862069","0.034482758620689655","1.0","1.0","1.0","0.034482758620689655","0.034482758620689655","2.0","3.0","6.0","0.06896551724137931","0.10344827586206896","1.0","3.0","3.0","0.034482758620689655","0.10344827586206896","1.0","1.0","1.0","0.034482758620689655","0.034482758620689655","2.0","1.0","2.0","0.06896551724137931","0.034482758620689655","3.0","1.0","3.0","0.10344827586206896","0.034482758620689655","4.0","3.0","12.0","0.13793103448275862","0.10344827586206896","1.0","1.0","1.0","0.034482758620689655","0.034482758620689655","1.0","1.0","1.0","0.034482758620689655","0.034482758620689655","3.0","1.0","3.0","0.10344827586206896","0.034482758620689655","2.0","1.0","2.0","0.06896551724137931","0.034482758620689655","2.0","1.0","2.0","0.06896551724137931","0.034482758620689655","1.0","1.0","1.0","0.034482758620689655","0.034482758620689655","2.0","1.0","2.0","0.06896551724137931","0.034482758620689655","1.0","1.0","1.0","0.034482758620689655","0.034482758620689655","2.0","1.0","2.0","0.06896551724137931","0.034482758620689655","2.0","0.0","0.0","0.06896551724137931","0.0","1.0","11.0","11.0","0.034482758620689655","0.3793103448275862","18.0","15.0","270.0","0.6206896551724138","0.5172413793103449","0.0","13.0","0.0","0.0","0.4482758620689655","2.0","1.0","2.0","0.06896551724137931","0.034482758620689655","2.0","1.0","2.0","0.06896551724137931","0.034482758620689655","2.0","1.0","2.0","0.06896551724137931","0.034482758620689655","1.0","1.0","1.0","0.034482758620689655","0.034482758620689655","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"20","1.0","1.0","1.0","0.034482758620689655","0.034482758620689655","1.0","1.0","1.0","0.034482758620689655","0.034482758620689655","3.0","2.0","6.0","0.10344827586206896","0.06896551724137931","1.0","2.0","2.0","0.034482758620689655","0.06896551724137931","9.0","1.0","9.0","0.3103448275862069","0.034482758620689655","1.0","1.0","1.0","0.034482758620689655","0.034482758620689655","2.0","3.0","6.0","0.06896551724137931","0.10344827586206896","1.0","3.0","3.0","0.034482758620689655","0.10344827586206896","1.0","1.0","1.0","0.034482758620689655","0.034482758620689655","2.0","1.0","2.0","0.06896551724137931","0.034482758620689655","3.0","1.0","3.0","0.10344827586206896","0.034482758620689655","4.0","3.0","12.0","0.13793103448275862","0.10344827586206896","1.0","1.0","1.0","0.034482758620689655","0.034482758620689655","1.0","1.0","1.0","0.034482758620689655","0.034482758620689655","3.0","1.0","3.0","0.10344827586206896","0.034482758620689655","2.0","1.0","2.0","0.06896551724137931","0.034482758620689655","2.0","1.0","2.0","0.06896551724137931","0.034482758620689655","1.0","1.0","1.0","0.034482758620689655","0.034482758620689655","2.0","1.0","2.0","0.06896551724137931","0.034482758620689655","1.0","1.0","1.0","0.034482758620689655","0.034482758620689655","2.0","1.0","2.0","0.06896551724137931","0.034482758620689655","2.0","0.0","0.0","0.06896551724137931","0.0","1.0","11.0","11.0","0.034482758620689655","0.3793103448275862","18.0","15.0","270.0","0.6206896551724138","0.5172413793103449","0.0","13.0","0.0","0.0","0.4482758620689655","2.0","1.0","2.0","0.06896551724137931","0.034482758620689655","2.0","1.0","2.0","0.06896551724137931","0.034482758620689655","2.0","1.0","2.0","0.06896551724137931","0.034482758620689655","1.0","1.0","1.0","0.034482758620689655","0.034482758620689655","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"21","1.0","1.0","1.0","0.03125","0.03125","1.0","1.0","1.0","0.03125","0.03125","3.0","2.0","6.0","0.09375","0.0625","1.0","2.0","2.0","0.03125","0.0625","12.0","1.0","12.0","0.375","0.03125","1.0","1.0","1.0","0.03125","0.03125","2.0","3.0","6.0","0.0625","0.09375","1.0","3.0","3.0","0.03125","0.09375","1.0","1.0","1.0","0.03125","0.03125","2.0","1.0","2.0","0.0625","0.03125","3.0","1.0","3.0","0.09375","0.03125","4.0","3.0","12.0","0.125","0.09375","1.0","1.0","1.0","0.03125","0.03125","1.0","1.0","1.0","0.03125","0.03125","3.0","1.0","3.0","0.09375","0.03125","2.0","1.0","2.0","0.0625","0.03125","2.0","1.0","2.0","0.0625","0.03125","1.0","1.0","1.0","0.03125","0.03125","2.0","1.0","2.0","0.0625","0.03125","1.0","1.0","1.0","0.03125","0.03125","2.0","1.0","2.0","0.0625","0.03125","2.0","0.0","0.0","0.0625","0.0","1.0","14.0","14.0","0.03125","0.4375","18.0","15.0","270.0","0.5625","0.46875","0.0","14.0","0.0","0.0","0.4375","2.0","1.0","2.0","0.0625","0.03125","2.0","1.0","2.0","0.0625","0.03125","2.0","1.0","2.0","0.0625","0.03125","1.0","1.0","1.0","0.03125","0.03125","1.0","1.0","1.0","0.03125","0.03125","2.0","1.0","2.0","0.0625","0.03125","1.0","1.0","1.0","0.03125","0.03125"
