"release","RD1-ADS","RD1-AIS","RD1-ACS","RD1-RCS","RD1-RIS","RD2-ADS","RD2-AIS","RD2-ACS","RD2-RCS","RD2-RIS","RD3-ADS","RD3-AIS","RD3-ACS","RD3-RCS","RD3-RIS","RD4-ADS","RD4-AIS","RD4-ACS","RD4-RCS","RD4-RIS","RD5-ADS","RD5-AIS","RD5-ACS","RD5-RCS","RD5-RIS","RD6-ADS","RD6-AIS","RD6-ACS","RD6-RCS","RD6-RIS","RD7-ADS","RD7-AIS","RD7-ACS","RD7-RCS","RD7-RIS","RD8-ADS","RD8-AIS","RD8-ACS","RD8-RCS","RD8-RIS","RD9-ADS","RD9-AIS","RD9-ACS","RD9-RCS","RD9-RIS","RD10-ADS","RD10-AIS","RD10-ACS","RD10-RCS","RD10-RIS","RD11-ADS","RD11-AIS","RD11-ACS","RD11-RCS","RD11-RIS","RD12-ADS","RD12-AIS","RD12-ACS","RD12-RCS","RD12-RIS","RD13-ADS","RD13-AIS","RD13-ACS","RD13-RCS","RD13-RIS","RD14-ADS","RD14-AIS","RD14-ACS","RD14-RCS","RD14-RIS","RD15-ADS","RD15-AIS","RD15-ACS","RD15-RCS","RD15-RIS","RD16-ADS","RD16-AIS","RD16-ACS","RD16-RCS","RD16-RIS","RD17-ADS","RD17-AIS","RD17-ACS","RD17-RCS","RD17-RIS","GTW-ADS","GTW-AIS","GTW-ACS","GTW-RCS","GTW-RIS","REG-ADS","REG-AIS","REG-ACS","REG-RCS","REG-RIS","MSB-ADS","MSB-AIS","MSB-ACS","MSB-RCS","MSB-RIS","TRC-ADS","TRC-AIS","TRC-ACS","TRC-RCS","TRC-RIS","MSV1-ADS","MSV1-AIS","MSV1-ACS","MSV1-RCS","MSV1-RIS","MSV2-ADS","MSV2-AIS","MSV2-ACS","MSV2-RCS","MSV2-RIS","MSV3-ADS","MSV3-AIS","MSV3-ACS","MSV3-RCS","MSV3-RIS","MSV4-ADS","MSV4-AIS","MSV4-ACS","MSV4-RCS","MSV4-RIS","MSV5-ADS","MSV5-AIS","MSV5-ACS","MSV5-RCS","MSV5-RIS","MSV6-ADS","MSV6-AIS","MSV6-ACS","MSV6-RCS","MSV6-RIS","MSV7-ADS","MSV7-AIS","MSV7-ACS","MSV7-RCS","MSV7-RIS","MSV8-ADS","MSV8-AIS","MSV8-ACS","MSV8-RCS","MSV8-RIS","MSV9-ADS","MSV9-AIS","MSV9-ACS","MSV9-RCS","MSV9-RIS","MSV10-ADS","MSV10-AIS","MSV10-ACS","MSV10-RCS","MSV10-RIS","MSV11-ADS","MSV11-AIS","MSV11-ACS","MSV11-RCS","MSV11-RIS","MSV12-ADS","MSV12-AIS","MSV12-ACS","MSV12-RCS","MSV12-RIS","MSV13-ADS","MSV13-AIS","MSV13-ACS","MSV13-RCS","MSV13-RIS","MSV14-ADS","MSV14-AIS","MSV14-ACS","MSV14-RCS","MSV14-RIS","MSV15-ADS","MSV15-AIS","MSV15-ACS","MSV15-RCS","MSV15-RIS","MSV16-ADS","MSV16-AIS","MSV16-ACS","MSV16-RCS","MSV16-RIS"
"1","2.0","1.0","2.0","0.09523809523809523","0.047619047619047616","2.0","2.0","4.0","0.09523809523809523","0.09523809523809523","2.0","3.0","6.0","0.09523809523809523","0.14285714285714285","4.0","1.0","4.0","0.19047619047619047","0.047619047619047616","2.0","2.0","4.0","0.09523809523809523","0.09523809523809523","2.0","1.0","2.0","0.09523809523809523","0.047619047619047616","2.0","1.0","2.0","0.09523809523809523","0.047619047619047616","5.0","1.0","5.0","0.23809523809523808","0.047619047619047616","2.0","3.0","6.0","0.09523809523809523","0.14285714285714285","6.0","2.0","12.0","0.2857142857142857","0.09523809523809523","2.0","2.0","4.0","0.09523809523809523","0.09523809523809523","2.0","2.0","4.0","0.09523809523809523","0.09523809523809523","2.0","2.0","4.0","0.09523809523809523","0.09523809523809523","2.0","1.0","2.0","0.09523809523809523","0.047619047619047616","2.0","1.0","2.0","0.09523809523809523","0.047619047619047616","5.0","1.0","5.0","0.23809523809523808","0.047619047619047616","4.0","2.0","8.0","0.19047619047619047","0.09523809523809523","2.0","0.0","0.0","0.09523809523809523","0.0","0.0","9.0","0.0","0.0","0.42857142857142855","14.0","10.0","140.0","0.6666666666666666","0.47619047619047616","1.0","18.0","18.0","0.047619047619047616","0.8571428571428571","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2","2.0","1.0","2.0","0.09523809523809523","0.047619047619047616","2.0","2.0","4.0","0.09523809523809523","0.09523809523809523","2.0","3.0","6.0","0.09523809523809523","0.14285714285714285","4.0","1.0","4.0","0.19047619047619047","0.047619047619047616","2.0","2.0","4.0","0.09523809523809523","0.09523809523809523","2.0","1.0","2.0","0.09523809523809523","0.047619047619047616","2.0","1.0","2.0","0.09523809523809523","0.047619047619047616","5.0","1.0","5.0","0.23809523809523808","0.047619047619047616","2.0","3.0","6.0","0.09523809523809523","0.14285714285714285","6.0","2.0","12.0","0.2857142857142857","0.09523809523809523","2.0","2.0","4.0","0.09523809523809523","0.09523809523809523","2.0","2.0","4.0","0.09523809523809523","0.09523809523809523","2.0","2.0","4.0","0.09523809523809523","0.09523809523809523","2.0","1.0","2.0","0.09523809523809523","0.047619047619047616","2.0","1.0","2.0","0.09523809523809523","0.047619047619047616","5.0","1.0","5.0","0.23809523809523808","0.047619047619047616","4.0","2.0","8.0","0.19047619047619047","0.09523809523809523","2.0","0.0","0.0","0.09523809523809523","0.0","0.0","9.0","0.0","0.0","0.42857142857142855","14.0","10.0","140.0","0.6666666666666666","0.47619047619047616","1.0","18.0","18.0","0.047619047619047616","0.8571428571428571","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"3","2.0","1.0","2.0","0.09523809523809523","0.047619047619047616","2.0","2.0","4.0","0.09523809523809523","0.09523809523809523","2.0","3.0","6.0","0.09523809523809523","0.14285714285714285","4.0","1.0","4.0","0.19047619047619047","0.047619047619047616","2.0","2.0","4.0","0.09523809523809523","0.09523809523809523","2.0","1.0","2.0","0.09523809523809523","0.047619047619047616","2.0","1.0","2.0","0.09523809523809523","0.047619047619047616","5.0","1.0","5.0","0.23809523809523808","0.047619047619047616","2.0","3.0","6.0","0.09523809523809523","0.14285714285714285","6.0","2.0","12.0","0.2857142857142857","0.09523809523809523","2.0","2.0","4.0","0.09523809523809523","0.09523809523809523","2.0","2.0","4.0","0.09523809523809523","0.09523809523809523","2.0","2.0","4.0","0.09523809523809523","0.09523809523809523","2.0","1.0","2.0","0.09523809523809523","0.047619047619047616","2.0","1.0","2.0","0.09523809523809523","0.047619047619047616","5.0","1.0","5.0","0.23809523809523808","0.047619047619047616","4.0","2.0","8.0","0.19047619047619047","0.09523809523809523","2.0","0.0","0.0","0.09523809523809523","0.0","0.0","9.0","0.0","0.0","0.42857142857142855","14.0","10.0","140.0","0.6666666666666666","0.47619047619047616","1.0","18.0","18.0","0.047619047619047616","0.8571428571428571","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"4","2.0","1.0","2.0","0.09523809523809523","0.047619047619047616","2.0","2.0","4.0","0.09523809523809523","0.09523809523809523","2.0","3.0","6.0","0.09523809523809523","0.14285714285714285","4.0","1.0","4.0","0.19047619047619047","0.047619047619047616","2.0","2.0","4.0","0.09523809523809523","0.09523809523809523","2.0","1.0","2.0","0.09523809523809523","0.047619047619047616","2.0","1.0","2.0","0.09523809523809523","0.047619047619047616","5.0","1.0","5.0","0.23809523809523808","0.047619047619047616","2.0","3.0","6.0","0.09523809523809523","0.14285714285714285","6.0","2.0","12.0","0.2857142857142857","0.09523809523809523","2.0","2.0","4.0","0.09523809523809523","0.09523809523809523","2.0","2.0","4.0","0.09523809523809523","0.09523809523809523","2.0","2.0","4.0","0.09523809523809523","0.09523809523809523","2.0","1.0","2.0","0.09523809523809523","0.047619047619047616","2.0","1.0","2.0","0.09523809523809523","0.047619047619047616","5.0","1.0","5.0","0.23809523809523808","0.047619047619047616","4.0","2.0","8.0","0.19047619047619047","0.09523809523809523","2.0","0.0","0.0","0.09523809523809523","0.0","0.0","9.0","0.0","0.0","0.42857142857142855","14.0","10.0","140.0","0.6666666666666666","0.47619047619047616","1.0","18.0","18.0","0.047619047619047616","0.8571428571428571","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"5","2.0","1.0","2.0","0.09523809523809523","0.047619047619047616","2.0","2.0","4.0","0.09523809523809523","0.09523809523809523","2.0","3.0","6.0","0.09523809523809523","0.14285714285714285","4.0","1.0","4.0","0.19047619047619047","0.047619047619047616","2.0","2.0","4.0","0.09523809523809523","0.09523809523809523","2.0","1.0","2.0","0.09523809523809523","0.047619047619047616","2.0","1.0","2.0","0.09523809523809523","0.047619047619047616","5.0","1.0","5.0","0.23809523809523808","0.047619047619047616","2.0","3.0","6.0","0.09523809523809523","0.14285714285714285","6.0","2.0","12.0","0.2857142857142857","0.09523809523809523","2.0","2.0","4.0","0.09523809523809523","0.09523809523809523","2.0","2.0","4.0","0.09523809523809523","0.09523809523809523","2.0","2.0","4.0","0.09523809523809523","0.09523809523809523","2.0","1.0","2.0","0.09523809523809523","0.047619047619047616","2.0","1.0","2.0","0.09523809523809523","0.047619047619047616","5.0","1.0","5.0","0.23809523809523808","0.047619047619047616","4.0","2.0","8.0","0.19047619047619047","0.09523809523809523","2.0","0.0","0.0","0.09523809523809523","0.0","0.0","9.0","0.0","0.0","0.42857142857142855","14.0","10.0","140.0","0.6666666666666666","0.47619047619047616","1.0","18.0","18.0","0.047619047619047616","0.8571428571428571","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"6","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","2.0","2.0","4.0","0.08695652173913043","0.08695652173913043","2.0","3.0","6.0","0.08695652173913043","0.13043478260869565","4.0","1.0","4.0","0.17391304347826086","0.043478260869565216","2.0","2.0","4.0","0.08695652173913043","0.08695652173913043","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","5.0","1.0","5.0","0.21739130434782608","0.043478260869565216","2.0","3.0","6.0","0.08695652173913043","0.13043478260869565","8.0","2.0","16.0","0.34782608695652173","0.08695652173913043","2.0","2.0","4.0","0.08695652173913043","0.08695652173913043","2.0","2.0","4.0","0.08695652173913043","0.08695652173913043","2.0","2.0","4.0","0.08695652173913043","0.08695652173913043","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","5.0","1.0","5.0","0.21739130434782608","0.043478260869565216","4.0","2.0","8.0","0.17391304347826086","0.08695652173913043","2.0","0.0","0.0","0.08695652173913043","0.0","0.0","11.0","0.0","0.0","0.4782608695652174","14.0","10.0","140.0","0.6086956521739131","0.43478260869565216","1.0","19.0","19.0","0.043478260869565216","0.8260869565217391","1.0","1.0","1.0","0.043478260869565216","0.043478260869565216","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"7","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","2.0","2.0","4.0","0.08695652173913043","0.08695652173913043","2.0","3.0","6.0","0.08695652173913043","0.13043478260869565","4.0","1.0","4.0","0.17391304347826086","0.043478260869565216","2.0","2.0","4.0","0.08695652173913043","0.08695652173913043","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","5.0","1.0","5.0","0.21739130434782608","0.043478260869565216","2.0","3.0","6.0","0.08695652173913043","0.13043478260869565","8.0","2.0","16.0","0.34782608695652173","0.08695652173913043","2.0","2.0","4.0","0.08695652173913043","0.08695652173913043","2.0","2.0","4.0","0.08695652173913043","0.08695652173913043","2.0","2.0","4.0","0.08695652173913043","0.08695652173913043","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","5.0","1.0","5.0","0.21739130434782608","0.043478260869565216","4.0","2.0","8.0","0.17391304347826086","0.08695652173913043","2.0","0.0","0.0","0.08695652173913043","0.0","0.0","11.0","0.0","0.0","0.4782608695652174","14.0","10.0","140.0","0.6086956521739131","0.43478260869565216","1.0","19.0","19.0","0.043478260869565216","0.8260869565217391","1.0","1.0","1.0","0.043478260869565216","0.043478260869565216","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"8","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","2.0","2.0","4.0","0.08695652173913043","0.08695652173913043","2.0","3.0","6.0","0.08695652173913043","0.13043478260869565","4.0","1.0","4.0","0.17391304347826086","0.043478260869565216","2.0","2.0","4.0","0.08695652173913043","0.08695652173913043","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","5.0","1.0","5.0","0.21739130434782608","0.043478260869565216","2.0","3.0","6.0","0.08695652173913043","0.13043478260869565","8.0","2.0","16.0","0.34782608695652173","0.08695652173913043","2.0","2.0","4.0","0.08695652173913043","0.08695652173913043","2.0","2.0","4.0","0.08695652173913043","0.08695652173913043","2.0","2.0","4.0","0.08695652173913043","0.08695652173913043","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","5.0","1.0","5.0","0.21739130434782608","0.043478260869565216","4.0","2.0","8.0","0.17391304347826086","0.08695652173913043","2.0","0.0","0.0","0.08695652173913043","0.0","0.0","11.0","0.0","0.0","0.4782608695652174","14.0","10.0","140.0","0.6086956521739131","0.43478260869565216","1.0","19.0","19.0","0.043478260869565216","0.8260869565217391","1.0","1.0","1.0","0.043478260869565216","0.043478260869565216","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"9","2.0","1.0","2.0","0.07692307692307693","0.038461538461538464","2.0","2.0","4.0","0.07692307692307693","0.07692307692307693","2.0","3.0","6.0","0.07692307692307693","0.11538461538461539","4.0","1.0","4.0","0.15384615384615385","0.038461538461538464","2.0","2.0","4.0","0.07692307692307693","0.07692307692307693","2.0","1.0","2.0","0.07692307692307693","0.038461538461538464","2.0","1.0","2.0","0.07692307692307693","0.038461538461538464","5.0","1.0","5.0","0.19230769230769232","0.038461538461538464","2.0","3.0","6.0","0.07692307692307693","0.11538461538461539","11.0","2.0","22.0","0.4230769230769231","0.07692307692307693","2.0","2.0","4.0","0.07692307692307693","0.07692307692307693","2.0","2.0","4.0","0.07692307692307693","0.07692307692307693","2.0","2.0","4.0","0.07692307692307693","0.07692307692307693","2.0","1.0","2.0","0.07692307692307693","0.038461538461538464","2.0","1.0","2.0","0.07692307692307693","0.038461538461538464","5.0","1.0","5.0","0.19230769230769232","0.038461538461538464","4.0","2.0","8.0","0.15384615384615385","0.07692307692307693","2.0","0.0","0.0","0.07692307692307693","0.0","0.0","14.0","0.0","0.0","0.5384615384615384","14.0","10.0","140.0","0.5384615384615384","0.38461538461538464","1.0","21.0","21.0","0.038461538461538464","0.8076923076923077","1.0","1.0","1.0","0.038461538461538464","0.038461538461538464","2.0","1.0","2.0","0.07692307692307693","0.038461538461538464","2.0","1.0","2.0","0.07692307692307693","0.038461538461538464","2.0","1.0","2.0","0.07692307692307693","0.038461538461538464","1.0","1.0","1.0","0.038461538461538464","0.038461538461538464","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"10","2.0","1.0","2.0","0.07407407407407407","0.037037037037037035","2.0","2.0","4.0","0.07407407407407407","0.07407407407407407","2.0","3.0","6.0","0.07407407407407407","0.1111111111111111","4.0","1.0","4.0","0.14814814814814814","0.037037037037037035","2.0","2.0","4.0","0.07407407407407407","0.07407407407407407","2.0","1.0","2.0","0.07407407407407407","0.037037037037037035","2.0","1.0","2.0","0.07407407407407407","0.037037037037037035","5.0","1.0","5.0","0.18518518518518517","0.037037037037037035","2.0","3.0","6.0","0.07407407407407407","0.1111111111111111","12.0","2.0","24.0","0.4444444444444444","0.07407407407407407","2.0","2.0","4.0","0.07407407407407407","0.07407407407407407","2.0","2.0","4.0","0.07407407407407407","0.07407407407407407","2.0","2.0","4.0","0.07407407407407407","0.07407407407407407","2.0","1.0","2.0","0.07407407407407407","0.037037037037037035","2.0","1.0","2.0","0.07407407407407407","0.037037037037037035","5.0","1.0","5.0","0.18518518518518517","0.037037037037037035","4.0","2.0","8.0","0.14814814814814814","0.07407407407407407","2.0","0.0","0.0","0.07407407407407407","0.0","0.0","15.0","0.0","0.0","0.5555555555555556","14.0","10.0","140.0","0.5185185185185185","0.37037037037037035","1.0","21.0","21.0","0.037037037037037035","0.7777777777777778","1.0","1.0","1.0","0.037037037037037035","0.037037037037037035","2.0","1.0","2.0","0.07407407407407407","0.037037037037037035","2.0","1.0","2.0","0.07407407407407407","0.037037037037037035","2.0","1.0","2.0","0.07407407407407407","0.037037037037037035","1.0","1.0","1.0","0.037037037037037035","0.037037037037037035","1.0","1.0","1.0","0.037037037037037035","0.037037037037037035","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
