"release","BA1-ADS","BA1-AIS","BA1-ACS","BA1-RCS","BA1-RIS","BA2-ADS","BA2-AIS","BA2-ACS","BA2-RCS","BA2-RIS","BA3-ADS","BA3-AIS","BA3-ACS","BA3-RCS","BA3-RIS","BA4-ADS","BA4-AIS","BA4-ACS","BA4-RCS","BA4-RIS","BA5-ADS","BA5-AIS","BA5-ACS","BA5-RCS","BA5-RIS","BA6-ADS","BA6-AIS","BA6-ACS","BA6-RCS","BA6-RIS","BA7-ADS","BA7-AIS","BA7-ACS","BA7-RCS","BA7-RIS","BA8-ADS","BA8-AIS","BA8-ACS","BA8-RCS","BA8-RIS","BA9-ADS","BA9-AIS","BA9-ACS","BA9-RCS","BA9-RIS","BA10-ADS","BA10-AIS","BA10-ACS","BA10-RCS","BA10-RIS","BA11-ADS","BA11-AIS","BA11-ACS","BA11-RCS","BA11-RIS","BA12-ADS","BA12-AIS","BA12-ACS","BA12-RCS","BA12-RIS","BA13-ADS","BA13-AIS","BA13-ACS","BA13-RCS","BA13-RIS","BA14-ADS","BA14-AIS","BA14-ACS","BA14-RCS","BA14-RIS","BA15-ADS","BA15-AIS","BA15-ACS","BA15-RCS","BA15-RIS","BA16-ADS","BA16-AIS","BA16-ACS","BA16-RCS","BA16-RIS","BA17-ADS","BA17-AIS","BA17-ACS","BA17-RCS","BA17-RIS","BA18-ADS","BA18-AIS","BA18-ACS","BA18-RCS","BA18-RIS","BA19-ADS","BA19-AIS","BA19-ACS","BA19-RCS","BA19-RIS","BA20-ADS","BA20-AIS","BA20-ACS","BA20-RCS","BA20-RIS","BA21-ADS","BA21-AIS","BA21-ACS","BA21-RCS","BA21-RIS","BA22-ADS","BA22-AIS","BA22-ACS","BA22-RCS","BA22-RIS","GTW-ADS","GTW-AIS","GTW-ACS","GTW-RCS","GTW-RIS","REG-ADS","REG-AIS","REG-ACS","REG-RCS","REG-RIS","CFG-ADS","CFG-AIS","CFG-ACS","CFG-RCS","CFG-RIS","TRC-ADS","TRC-AIS","TRC-ACS","TRC-RCS","TRC-RIS","MSV1-ADS","MSV1-AIS","MSV1-ACS","MSV1-RCS","MSV1-RIS","MSV2-ADS","MSV2-AIS","MSV2-ACS","MSV2-RCS","MSV2-RIS","MSV3-ADS","MSV3-AIS","MSV3-ACS","MSV3-RCS","MSV3-RIS","MSV4-ADS","MSV4-AIS","MSV4-ACS","MSV4-RCS","MSV4-RIS","MSV5-ADS","MSV5-AIS","MSV5-ACS","MSV5-RCS","MSV5-RIS","MSV6-ADS","MSV6-AIS","MSV6-ACS","MSV6-RCS","MSV6-RIS","MSV7-ADS","MSV7-AIS","MSV7-ACS","MSV7-RCS","MSV7-RIS","MSV8-ADS","MSV8-AIS","MSV8-ACS","MSV8-RCS","MSV8-RIS","MSV9-ADS","MSV9-AIS","MSV9-ACS","MSV9-RCS","MSV9-RIS","MSV10-ADS","MSV10-AIS","MSV10-ACS","MSV10-RCS","MSV10-RIS","MSV11-ADS","MSV11-AIS","MSV11-ACS","MSV11-RCS","MSV11-RIS","MSV12-ADS","MSV12-AIS","MSV12-ACS","MSV12-RCS","MSV12-RIS","MSV13-ADS","MSV13-AIS","MSV13-ACS","MSV13-RCS","MSV13-RIS","MSV14-ADS","MSV14-AIS","MSV14-ACS","MSV14-RCS","MSV14-RIS","MSV15-ADS","MSV15-AIS","MSV15-ACS","MSV15-RCS","MSV15-RIS","MSV16-ADS","MSV16-AIS","MSV16-ACS","MSV16-RCS","MSV16-RIS"
"1","3.0","5.0","15.0","0.11538461538461539","0.19230769230769232","3.0","2.0","6.0","0.11538461538461539","0.07692307692307693","3.0","7.0","21.0","0.11538461538461539","0.2692307692307692","3.0","1.0","3.0","0.11538461538461539","0.038461538461538464","4.0","1.0","4.0","0.15384615384615385","0.038461538461538464","3.0","2.0","6.0","0.11538461538461539","0.07692307692307693","4.0","1.0","4.0","0.15384615384615385","0.038461538461538464","4.0","1.0","4.0","0.15384615384615385","0.038461538461538464","3.0","1.0","3.0","0.11538461538461539","0.038461538461538464","3.0","2.0","6.0","0.11538461538461539","0.07692307692307693","3.0","1.0","3.0","0.11538461538461539","0.038461538461538464","3.0","1.0","3.0","0.11538461538461539","0.038461538461538464","3.0","1.0","3.0","0.11538461538461539","0.038461538461538464","3.0","1.0","3.0","0.11538461538461539","0.038461538461538464","3.0","1.0","3.0","0.11538461538461539","0.038461538461538464","4.0","1.0","4.0","0.15384615384615385","0.038461538461538464","4.0","1.0","4.0","0.15384615384615385","0.038461538461538464","3.0","1.0","3.0","0.11538461538461539","0.038461538461538464","4.0","1.0","4.0","0.15384615384615385","0.038461538461538464","4.0","1.0","4.0","0.15384615384615385","0.038461538461538464","4.0","1.0","4.0","0.15384615384615385","0.038461538461538464","4.0","1.0","4.0","0.15384615384615385","0.038461538461538464","14.0","0.0","0.0","0.5384615384615384","0.0","1.0","23.0","23.0","0.038461538461538464","0.8846153846153846","1.0","10.0","10.0","0.038461538461538464","0.38461538461538464","1.0","24.0","24.0","0.038461538461538464","0.9230769230769231","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2","3.0","5.0","15.0","0.11538461538461539","0.19230769230769232","3.0","2.0","6.0","0.11538461538461539","0.07692307692307693","3.0","7.0","21.0","0.11538461538461539","0.2692307692307692","3.0","1.0","3.0","0.11538461538461539","0.038461538461538464","4.0","1.0","4.0","0.15384615384615385","0.038461538461538464","3.0","2.0","6.0","0.11538461538461539","0.07692307692307693","4.0","1.0","4.0","0.15384615384615385","0.038461538461538464","4.0","1.0","4.0","0.15384615384615385","0.038461538461538464","3.0","1.0","3.0","0.11538461538461539","0.038461538461538464","3.0","2.0","6.0","0.11538461538461539","0.07692307692307693","3.0","1.0","3.0","0.11538461538461539","0.038461538461538464","3.0","1.0","3.0","0.11538461538461539","0.038461538461538464","3.0","1.0","3.0","0.11538461538461539","0.038461538461538464","3.0","1.0","3.0","0.11538461538461539","0.038461538461538464","3.0","1.0","3.0","0.11538461538461539","0.038461538461538464","4.0","1.0","4.0","0.15384615384615385","0.038461538461538464","4.0","1.0","4.0","0.15384615384615385","0.038461538461538464","3.0","1.0","3.0","0.11538461538461539","0.038461538461538464","4.0","1.0","4.0","0.15384615384615385","0.038461538461538464","4.0","1.0","4.0","0.15384615384615385","0.038461538461538464","4.0","1.0","4.0","0.15384615384615385","0.038461538461538464","4.0","1.0","4.0","0.15384615384615385","0.038461538461538464","14.0","0.0","0.0","0.5384615384615384","0.0","1.0","23.0","23.0","0.038461538461538464","0.8846153846153846","1.0","10.0","10.0","0.038461538461538464","0.38461538461538464","1.0","24.0","24.0","0.038461538461538464","0.9230769230769231","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"3","3.0","5.0","15.0","0.11538461538461539","0.19230769230769232","3.0","2.0","6.0","0.11538461538461539","0.07692307692307693","3.0","7.0","21.0","0.11538461538461539","0.2692307692307692","3.0","1.0","3.0","0.11538461538461539","0.038461538461538464","4.0","1.0","4.0","0.15384615384615385","0.038461538461538464","3.0","2.0","6.0","0.11538461538461539","0.07692307692307693","4.0","1.0","4.0","0.15384615384615385","0.038461538461538464","4.0","1.0","4.0","0.15384615384615385","0.038461538461538464","3.0","1.0","3.0","0.11538461538461539","0.038461538461538464","3.0","2.0","6.0","0.11538461538461539","0.07692307692307693","3.0","1.0","3.0","0.11538461538461539","0.038461538461538464","3.0","1.0","3.0","0.11538461538461539","0.038461538461538464","3.0","1.0","3.0","0.11538461538461539","0.038461538461538464","3.0","1.0","3.0","0.11538461538461539","0.038461538461538464","3.0","1.0","3.0","0.11538461538461539","0.038461538461538464","4.0","1.0","4.0","0.15384615384615385","0.038461538461538464","4.0","1.0","4.0","0.15384615384615385","0.038461538461538464","3.0","1.0","3.0","0.11538461538461539","0.038461538461538464","4.0","1.0","4.0","0.15384615384615385","0.038461538461538464","4.0","1.0","4.0","0.15384615384615385","0.038461538461538464","4.0","1.0","4.0","0.15384615384615385","0.038461538461538464","4.0","1.0","4.0","0.15384615384615385","0.038461538461538464","14.0","0.0","0.0","0.5384615384615384","0.0","1.0","23.0","23.0","0.038461538461538464","0.8846153846153846","1.0","10.0","10.0","0.038461538461538464","0.38461538461538464","1.0","24.0","24.0","0.038461538461538464","0.9230769230769231","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"4","3.0","5.0","15.0","0.11538461538461539","0.19230769230769232","3.0","2.0","6.0","0.11538461538461539","0.07692307692307693","3.0","7.0","21.0","0.11538461538461539","0.2692307692307692","3.0","1.0","3.0","0.11538461538461539","0.038461538461538464","4.0","1.0","4.0","0.15384615384615385","0.038461538461538464","3.0","2.0","6.0","0.11538461538461539","0.07692307692307693","4.0","1.0","4.0","0.15384615384615385","0.038461538461538464","4.0","1.0","4.0","0.15384615384615385","0.038461538461538464","3.0","1.0","3.0","0.11538461538461539","0.038461538461538464","3.0","2.0","6.0","0.11538461538461539","0.07692307692307693","3.0","1.0","3.0","0.11538461538461539","0.038461538461538464","3.0","1.0","3.0","0.11538461538461539","0.038461538461538464","3.0","1.0","3.0","0.11538461538461539","0.038461538461538464","3.0","1.0","3.0","0.11538461538461539","0.038461538461538464","3.0","1.0","3.0","0.11538461538461539","0.038461538461538464","4.0","1.0","4.0","0.15384615384615385","0.038461538461538464","4.0","1.0","4.0","0.15384615384615385","0.038461538461538464","3.0","1.0","3.0","0.11538461538461539","0.038461538461538464","4.0","1.0","4.0","0.15384615384615385","0.038461538461538464","4.0","1.0","4.0","0.15384615384615385","0.038461538461538464","4.0","1.0","4.0","0.15384615384615385","0.038461538461538464","4.0","1.0","4.0","0.15384615384615385","0.038461538461538464","14.0","0.0","0.0","0.5384615384615384","0.0","1.0","23.0","23.0","0.038461538461538464","0.8846153846153846","1.0","10.0","10.0","0.038461538461538464","0.38461538461538464","1.0","24.0","24.0","0.038461538461538464","0.9230769230769231","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"5","3.0","5.0","15.0","0.11538461538461539","0.19230769230769232","3.0","2.0","6.0","0.11538461538461539","0.07692307692307693","3.0","7.0","21.0","0.11538461538461539","0.2692307692307692","3.0","1.0","3.0","0.11538461538461539","0.038461538461538464","4.0","1.0","4.0","0.15384615384615385","0.038461538461538464","3.0","2.0","6.0","0.11538461538461539","0.07692307692307693","4.0","1.0","4.0","0.15384615384615385","0.038461538461538464","4.0","1.0","4.0","0.15384615384615385","0.038461538461538464","3.0","1.0","3.0","0.11538461538461539","0.038461538461538464","3.0","2.0","6.0","0.11538461538461539","0.07692307692307693","3.0","1.0","3.0","0.11538461538461539","0.038461538461538464","3.0","1.0","3.0","0.11538461538461539","0.038461538461538464","3.0","1.0","3.0","0.11538461538461539","0.038461538461538464","3.0","1.0","3.0","0.11538461538461539","0.038461538461538464","3.0","1.0","3.0","0.11538461538461539","0.038461538461538464","4.0","1.0","4.0","0.15384615384615385","0.038461538461538464","4.0","1.0","4.0","0.15384615384615385","0.038461538461538464","3.0","1.0","3.0","0.11538461538461539","0.038461538461538464","4.0","1.0","4.0","0.15384615384615385","0.038461538461538464","4.0","1.0","4.0","0.15384615384615385","0.038461538461538464","4.0","1.0","4.0","0.15384615384615385","0.038461538461538464","4.0","1.0","4.0","0.15384615384615385","0.038461538461538464","14.0","0.0","0.0","0.5384615384615384","0.0","1.0","23.0","23.0","0.038461538461538464","0.8846153846153846","1.0","10.0","10.0","0.038461538461538464","0.38461538461538464","1.0","24.0","24.0","0.038461538461538464","0.9230769230769231","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"6","3.0","5.0","15.0","0.10344827586206896","0.1724137931034483","3.0","2.0","6.0","0.10344827586206896","0.06896551724137931","3.0","7.0","21.0","0.10344827586206896","0.2413793103448276","3.0","1.0","3.0","0.10344827586206896","0.034482758620689655","7.0","1.0","7.0","0.2413793103448276","0.034482758620689655","3.0","2.0","6.0","0.10344827586206896","0.06896551724137931","4.0","1.0","4.0","0.13793103448275862","0.034482758620689655","4.0","1.0","4.0","0.13793103448275862","0.034482758620689655","3.0","1.0","3.0","0.10344827586206896","0.034482758620689655","3.0","2.0","6.0","0.10344827586206896","0.06896551724137931","3.0","1.0","3.0","0.10344827586206896","0.034482758620689655","3.0","1.0","3.0","0.10344827586206896","0.034482758620689655","3.0","1.0","3.0","0.10344827586206896","0.034482758620689655","3.0","1.0","3.0","0.10344827586206896","0.034482758620689655","3.0","1.0","3.0","0.10344827586206896","0.034482758620689655","4.0","1.0","4.0","0.13793103448275862","0.034482758620689655","4.0","1.0","4.0","0.13793103448275862","0.034482758620689655","3.0","1.0","3.0","0.10344827586206896","0.034482758620689655","4.0","1.0","4.0","0.13793103448275862","0.034482758620689655","4.0","1.0","4.0","0.13793103448275862","0.034482758620689655","4.0","1.0","4.0","0.13793103448275862","0.034482758620689655","4.0","1.0","4.0","0.13793103448275862","0.034482758620689655","14.0","0.0","0.0","0.4827586206896552","0.0","1.0","26.0","26.0","0.034482758620689655","0.896551724137931","1.0","12.0","12.0","0.034482758620689655","0.41379310344827586","1.0","27.0","27.0","0.034482758620689655","0.9310344827586207","2.0","1.0","2.0","0.06896551724137931","0.034482758620689655","3.0","1.0","3.0","0.10344827586206896","0.034482758620689655","3.0","1.0","3.0","0.10344827586206896","0.034482758620689655","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"7","3.0","5.0","15.0","0.10344827586206896","0.1724137931034483","3.0","2.0","6.0","0.10344827586206896","0.06896551724137931","3.0","7.0","21.0","0.10344827586206896","0.2413793103448276","3.0","1.0","3.0","0.10344827586206896","0.034482758620689655","7.0","1.0","7.0","0.2413793103448276","0.034482758620689655","3.0","2.0","6.0","0.10344827586206896","0.06896551724137931","4.0","1.0","4.0","0.13793103448275862","0.034482758620689655","4.0","1.0","4.0","0.13793103448275862","0.034482758620689655","3.0","1.0","3.0","0.10344827586206896","0.034482758620689655","3.0","2.0","6.0","0.10344827586206896","0.06896551724137931","3.0","1.0","3.0","0.10344827586206896","0.034482758620689655","3.0","1.0","3.0","0.10344827586206896","0.034482758620689655","3.0","1.0","3.0","0.10344827586206896","0.034482758620689655","3.0","1.0","3.0","0.10344827586206896","0.034482758620689655","3.0","1.0","3.0","0.10344827586206896","0.034482758620689655","4.0","1.0","4.0","0.13793103448275862","0.034482758620689655","4.0","1.0","4.0","0.13793103448275862","0.034482758620689655","3.0","1.0","3.0","0.10344827586206896","0.034482758620689655","4.0","1.0","4.0","0.13793103448275862","0.034482758620689655","4.0","1.0","4.0","0.13793103448275862","0.034482758620689655","4.0","1.0","4.0","0.13793103448275862","0.034482758620689655","4.0","1.0","4.0","0.13793103448275862","0.034482758620689655","14.0","0.0","0.0","0.4827586206896552","0.0","1.0","26.0","26.0","0.034482758620689655","0.896551724137931","1.0","12.0","12.0","0.034482758620689655","0.41379310344827586","1.0","27.0","27.0","0.034482758620689655","0.9310344827586207","2.0","1.0","2.0","0.06896551724137931","0.034482758620689655","3.0","1.0","3.0","0.10344827586206896","0.034482758620689655","3.0","1.0","3.0","0.10344827586206896","0.034482758620689655","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"8","3.0","5.0","15.0","0.1","0.16666666666666666","3.0","2.0","6.0","0.1","0.06666666666666667","3.0","7.0","21.0","0.1","0.23333333333333334","3.0","1.0","3.0","0.1","0.03333333333333333","8.0","1.0","8.0","0.26666666666666666","0.03333333333333333","3.0","2.0","6.0","0.1","0.06666666666666667","4.0","1.0","4.0","0.13333333333333333","0.03333333333333333","4.0","1.0","4.0","0.13333333333333333","0.03333333333333333","3.0","1.0","3.0","0.1","0.03333333333333333","3.0","2.0","6.0","0.1","0.06666666666666667","3.0","1.0","3.0","0.1","0.03333333333333333","3.0","1.0","3.0","0.1","0.03333333333333333","3.0","1.0","3.0","0.1","0.03333333333333333","3.0","1.0","3.0","0.1","0.03333333333333333","3.0","1.0","3.0","0.1","0.03333333333333333","4.0","1.0","4.0","0.13333333333333333","0.03333333333333333","4.0","1.0","4.0","0.13333333333333333","0.03333333333333333","3.0","1.0","3.0","0.1","0.03333333333333333","4.0","1.0","4.0","0.13333333333333333","0.03333333333333333","4.0","1.0","4.0","0.13333333333333333","0.03333333333333333","4.0","1.0","4.0","0.13333333333333333","0.03333333333333333","4.0","1.0","4.0","0.13333333333333333","0.03333333333333333","14.0","0.0","0.0","0.4666666666666667","0.0","1.0","27.0","27.0","0.03333333333333333","0.9","1.0","12.0","12.0","0.03333333333333333","0.4","1.0","28.0","28.0","0.03333333333333333","0.9333333333333333","2.0","1.0","2.0","0.06666666666666667","0.03333333333333333","3.0","1.0","3.0","0.1","0.03333333333333333","3.0","1.0","3.0","0.1","0.03333333333333333","2.0","1.0","2.0","0.06666666666666667","0.03333333333333333","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"9","3.0","5.0","15.0","0.0967741935483871","0.16129032258064516","3.0","2.0","6.0","0.0967741935483871","0.06451612903225806","3.0","7.0","21.0","0.0967741935483871","0.22580645161290322","3.0","1.0","3.0","0.0967741935483871","0.03225806451612903","9.0","1.0","9.0","0.2903225806451613","0.03225806451612903","3.0","2.0","6.0","0.0967741935483871","0.06451612903225806","4.0","1.0","4.0","0.12903225806451613","0.03225806451612903","4.0","1.0","4.0","0.12903225806451613","0.03225806451612903","3.0","1.0","3.0","0.0967741935483871","0.03225806451612903","3.0","2.0","6.0","0.0967741935483871","0.06451612903225806","3.0","1.0","3.0","0.0967741935483871","0.03225806451612903","3.0","1.0","3.0","0.0967741935483871","0.03225806451612903","3.0","1.0","3.0","0.0967741935483871","0.03225806451612903","3.0","1.0","3.0","0.0967741935483871","0.03225806451612903","3.0","1.0","3.0","0.0967741935483871","0.03225806451612903","4.0","1.0","4.0","0.12903225806451613","0.03225806451612903","4.0","1.0","4.0","0.12903225806451613","0.03225806451612903","3.0","1.0","3.0","0.0967741935483871","0.03225806451612903","4.0","1.0","4.0","0.12903225806451613","0.03225806451612903","4.0","1.0","4.0","0.12903225806451613","0.03225806451612903","4.0","1.0","4.0","0.12903225806451613","0.03225806451612903","4.0","1.0","4.0","0.12903225806451613","0.03225806451612903","14.0","0.0","0.0","0.45161290322580644","0.0","1.0","28.0","28.0","0.03225806451612903","0.9032258064516129","1.0","13.0","13.0","0.03225806451612903","0.41935483870967744","1.0","28.0","28.0","0.03225806451612903","0.9032258064516129","2.0","1.0","2.0","0.06451612903225806","0.03225806451612903","3.0","1.0","3.0","0.0967741935483871","0.03225806451612903","3.0","1.0","3.0","0.0967741935483871","0.03225806451612903","2.0","1.0","2.0","0.06451612903225806","0.03225806451612903","2.0","1.0","2.0","0.06451612903225806","0.03225806451612903","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"10","3.0","5.0","15.0","0.0967741935483871","0.16129032258064516","3.0","2.0","6.0","0.0967741935483871","0.06451612903225806","3.0","7.0","21.0","0.0967741935483871","0.22580645161290322","3.0","1.0","3.0","0.0967741935483871","0.03225806451612903","9.0","1.0","9.0","0.2903225806451613","0.03225806451612903","3.0","2.0","6.0","0.0967741935483871","0.06451612903225806","4.0","1.0","4.0","0.12903225806451613","0.03225806451612903","4.0","1.0","4.0","0.12903225806451613","0.03225806451612903","3.0","1.0","3.0","0.0967741935483871","0.03225806451612903","3.0","2.0","6.0","0.0967741935483871","0.06451612903225806","3.0","1.0","3.0","0.0967741935483871","0.03225806451612903","3.0","1.0","3.0","0.0967741935483871","0.03225806451612903","3.0","1.0","3.0","0.0967741935483871","0.03225806451612903","3.0","1.0","3.0","0.0967741935483871","0.03225806451612903","3.0","1.0","3.0","0.0967741935483871","0.03225806451612903","4.0","1.0","4.0","0.12903225806451613","0.03225806451612903","4.0","1.0","4.0","0.12903225806451613","0.03225806451612903","3.0","1.0","3.0","0.0967741935483871","0.03225806451612903","4.0","1.0","4.0","0.12903225806451613","0.03225806451612903","4.0","1.0","4.0","0.12903225806451613","0.03225806451612903","4.0","1.0","4.0","0.12903225806451613","0.03225806451612903","4.0","1.0","4.0","0.12903225806451613","0.03225806451612903","14.0","0.0","0.0","0.45161290322580644","0.0","1.0","28.0","28.0","0.03225806451612903","0.9032258064516129","1.0","13.0","13.0","0.03225806451612903","0.41935483870967744","1.0","28.0","28.0","0.03225806451612903","0.9032258064516129","2.0","1.0","2.0","0.06451612903225806","0.03225806451612903","3.0","1.0","3.0","0.0967741935483871","0.03225806451612903","3.0","1.0","3.0","0.0967741935483871","0.03225806451612903","2.0","1.0","2.0","0.06451612903225806","0.03225806451612903","2.0","1.0","2.0","0.06451612903225806","0.03225806451612903","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
