"release","BA1-ADS","BA1-AIS","BA1-ACS","BA1-RCS","BA1-RIS","BA2-ADS","BA2-AIS","BA2-ACS","BA2-RCS","BA2-RIS","BA3-ADS","BA3-AIS","BA3-ACS","BA3-RCS","BA3-RIS","BA4-ADS","BA4-AIS","BA4-ACS","BA4-RCS","BA4-RIS","BA5-ADS","BA5-AIS","BA5-ACS","BA5-RCS","BA5-RIS","BA6-ADS","BA6-AIS","BA6-ACS","BA6-RCS","BA6-RIS","BA7-ADS","BA7-AIS","BA7-ACS","BA7-RCS","BA7-RIS","BA8-ADS","BA8-AIS","BA8-ACS","BA8-RCS","BA8-RIS","BA9-ADS","BA9-AIS","BA9-ACS","BA9-RCS","BA9-RIS","BA10-ADS","BA10-AIS","BA10-ACS","BA10-RCS","BA10-RIS","BA11-ADS","BA11-AIS","BA11-ACS","BA11-RCS","BA11-RIS","BA12-ADS","BA12-AIS","BA12-ACS","BA12-RCS","BA12-RIS","BA13-ADS","BA13-AIS","BA13-ACS","BA13-RCS","BA13-RIS","BA14-ADS","BA14-AIS","BA14-ACS","BA14-RCS","BA14-RIS","BA15-ADS","BA15-AIS","BA15-ACS","BA15-RCS","BA15-RIS","BA16-ADS","BA16-AIS","BA16-ACS","BA16-RCS","BA16-RIS","BA17-ADS","BA17-AIS","BA17-ACS","BA17-RCS","BA17-RIS","BA18-ADS","BA18-AIS","BA18-ACS","BA18-RCS","BA18-RIS","BA19-ADS","BA19-AIS","BA19-ACS","BA19-RCS","BA19-RIS","BA20-ADS","BA20-AIS","BA20-ACS","BA20-RCS","BA20-RIS","BA21-ADS","BA21-AIS","BA21-ACS","BA21-RCS","BA21-RIS","BA22-ADS","BA22-AIS","BA22-ACS","BA22-RCS","BA22-RIS","CPS1-ADS","CPS1-AIS","CPS1-ACS","CPS1-RCS","CPS1-RIS","REG-ADS","REG-AIS","REG-ACS","REG-RCS","REG-RIS","MSB-ADS","MSB-AIS","MSB-ACS","MSB-RCS","MSB-RIS","CFG-ADS","CFG-AIS","CFG-ACS","CFG-RCS","CFG-RIS","MSV1-ADS","MSV1-AIS","MSV1-ACS","MSV1-RCS","MSV1-RIS"
"1","3.0","3.0","9.0","0.11538461538461539","0.11538461538461539","3.0","13.0","39.0","0.11538461538461539","0.5","2.0","2.0","4.0","0.07692307692307693","0.07692307692307693","2.0","0.0","0.0","0.07692307692307693","0.0","1.0","1.0","1.0","0.038461538461538464","0.038461538461538464","3.0","0.0","0.0","0.11538461538461539","0.0","3.0","0.0","0.0","0.11538461538461539","0.0","2.0","0.0","0.0","0.07692307692307693","0.0","1.0","0.0","0.0","0.038461538461538464","0.0","2.0","0.0","0.0","0.07692307692307693","0.0","3.0","1.0","3.0","0.11538461538461539","0.038461538461538464","2.0","1.0","2.0","0.07692307692307693","0.038461538461538464","2.0","0.0","0.0","0.07692307692307693","0.0","3.0","0.0","0.0","0.11538461538461539","0.0","2.0","1.0","2.0","0.07692307692307693","0.038461538461538464","3.0","0.0","0.0","0.11538461538461539","0.0","2.0","0.0","0.0","0.07692307692307693","0.0","1.0","0.0","0.0","0.038461538461538464","0.0","2.0","0.0","0.0","0.07692307692307693","0.0","2.0","1.0","2.0","0.07692307692307693","0.038461538461538464","2.0","0.0","0.0","0.07692307692307693","0.0","2.0","0.0","0.0","0.07692307692307693","0.0","2.0","0.0","0.0","0.07692307692307693","0.0","1.0","12.0","12.0","0.038461538461538464","0.46153846153846156","7.0","12.0","84.0","0.2692307692307692","0.46153846153846156","0.0","11.0","0.0","0.0","0.4230769230769231","0.0","0.0","0.0","0.0","0.0"
"2","3.0","3.0","9.0","0.1111111111111111","0.1111111111111111","3.0","7.0","21.0","0.1111111111111111","0.25925925925925924","2.0","2.0","4.0","0.07407407407407407","0.07407407407407407","2.0","0.0","0.0","0.07407407407407407","0.0","1.0","1.0","1.0","0.037037037037037035","0.037037037037037035","3.0","0.0","0.0","0.1111111111111111","0.0","3.0","0.0","0.0","0.1111111111111111","0.0","2.0","0.0","0.0","0.07407407407407407","0.0","1.0","0.0","0.0","0.037037037037037035","0.0","2.0","0.0","0.0","0.07407407407407407","0.0","3.0","1.0","3.0","0.1111111111111111","0.037037037037037035","2.0","1.0","2.0","0.07407407407407407","0.037037037037037035","2.0","0.0","0.0","0.07407407407407407","0.0","3.0","0.0","0.0","0.1111111111111111","0.0","2.0","1.0","2.0","0.07407407407407407","0.037037037037037035","3.0","0.0","0.0","0.1111111111111111","0.0","2.0","0.0","0.0","0.07407407407407407","0.0","1.0","0.0","0.0","0.037037037037037035","0.0","2.0","0.0","0.0","0.07407407407407407","0.0","2.0","1.0","2.0","0.07407407407407407","0.037037037037037035","2.0","0.0","0.0","0.07407407407407407","0.0","2.0","0.0","0.0","0.07407407407407407","0.0","2.0","0.0","0.0","0.07407407407407407","0.0","1.0","13.0","13.0","0.037037037037037035","0.48148148148148145","7.0","12.0","84.0","0.25925925925925924","0.4444444444444444","0.0","11.0","0.0","0.0","0.4074074074074074","1.0","6.0","6.0","0.037037037037037035","0.2222222222222222"
"3","3.0","3.0","9.0","0.1111111111111111","0.1111111111111111","3.0","7.0","21.0","0.1111111111111111","0.25925925925925924","2.0","2.0","4.0","0.07407407407407407","0.07407407407407407","2.0","0.0","0.0","0.07407407407407407","0.0","1.0","1.0","1.0","0.037037037037037035","0.037037037037037035","3.0","0.0","0.0","0.1111111111111111","0.0","3.0","0.0","0.0","0.1111111111111111","0.0","2.0","0.0","0.0","0.07407407407407407","0.0","1.0","0.0","0.0","0.037037037037037035","0.0","2.0","0.0","0.0","0.07407407407407407","0.0","3.0","1.0","3.0","0.1111111111111111","0.037037037037037035","2.0","1.0","2.0","0.07407407407407407","0.037037037037037035","2.0","0.0","0.0","0.07407407407407407","0.0","3.0","0.0","0.0","0.1111111111111111","0.0","2.0","1.0","2.0","0.07407407407407407","0.037037037037037035","3.0","0.0","0.0","0.1111111111111111","0.0","2.0","0.0","0.0","0.07407407407407407","0.0","1.0","0.0","0.0","0.037037037037037035","0.0","2.0","0.0","0.0","0.07407407407407407","0.0","2.0","1.0","2.0","0.07407407407407407","0.037037037037037035","2.0","0.0","0.0","0.07407407407407407","0.0","2.0","0.0","0.0","0.07407407407407407","0.0","2.0","0.0","0.0","0.07407407407407407","0.0","1.0","13.0","13.0","0.037037037037037035","0.48148148148148145","7.0","12.0","84.0","0.25925925925925924","0.4444444444444444","0.0","11.0","0.0","0.0","0.4074074074074074","1.0","6.0","6.0","0.037037037037037035","0.2222222222222222"
"4","3.0","3.0","9.0","0.1111111111111111","0.1111111111111111","3.0","7.0","21.0","0.1111111111111111","0.25925925925925924","2.0","2.0","4.0","0.07407407407407407","0.07407407407407407","2.0","0.0","0.0","0.07407407407407407","0.0","1.0","1.0","1.0","0.037037037037037035","0.037037037037037035","3.0","0.0","0.0","0.1111111111111111","0.0","3.0","0.0","0.0","0.1111111111111111","0.0","2.0","0.0","0.0","0.07407407407407407","0.0","1.0","0.0","0.0","0.037037037037037035","0.0","2.0","0.0","0.0","0.07407407407407407","0.0","3.0","1.0","3.0","0.1111111111111111","0.037037037037037035","2.0","1.0","2.0","0.07407407407407407","0.037037037037037035","2.0","0.0","0.0","0.07407407407407407","0.0","3.0","0.0","0.0","0.1111111111111111","0.0","2.0","1.0","2.0","0.07407407407407407","0.037037037037037035","3.0","0.0","0.0","0.1111111111111111","0.0","2.0","0.0","0.0","0.07407407407407407","0.0","1.0","0.0","0.0","0.037037037037037035","0.0","2.0","0.0","0.0","0.07407407407407407","0.0","2.0","1.0","2.0","0.07407407407407407","0.037037037037037035","2.0","0.0","0.0","0.07407407407407407","0.0","2.0","0.0","0.0","0.07407407407407407","0.0","2.0","0.0","0.0","0.07407407407407407","0.0","1.0","13.0","13.0","0.037037037037037035","0.48148148148148145","7.0","12.0","84.0","0.25925925925925924","0.4444444444444444","0.0","11.0","0.0","0.0","0.4074074074074074","1.0","6.0","6.0","0.037037037037037035","0.2222222222222222"
"5","3.0","3.0","9.0","0.1111111111111111","0.1111111111111111","3.0","7.0","21.0","0.1111111111111111","0.25925925925925924","2.0","2.0","4.0","0.07407407407407407","0.07407407407407407","2.0","0.0","0.0","0.07407407407407407","0.0","1.0","1.0","1.0","0.037037037037037035","0.037037037037037035","3.0","0.0","0.0","0.1111111111111111","0.0","3.0","0.0","0.0","0.1111111111111111","0.0","2.0","0.0","0.0","0.07407407407407407","0.0","1.0","0.0","0.0","0.037037037037037035","0.0","2.0","0.0","0.0","0.07407407407407407","0.0","3.0","1.0","3.0","0.1111111111111111","0.037037037037037035","2.0","1.0","2.0","0.07407407407407407","0.037037037037037035","2.0","0.0","0.0","0.07407407407407407","0.0","3.0","0.0","0.0","0.1111111111111111","0.0","2.0","1.0","2.0","0.07407407407407407","0.037037037037037035","3.0","0.0","0.0","0.1111111111111111","0.0","2.0","0.0","0.0","0.07407407407407407","0.0","1.0","0.0","0.0","0.037037037037037035","0.0","2.0","0.0","0.0","0.07407407407407407","0.0","2.0","1.0","2.0","0.07407407407407407","0.037037037037037035","2.0","0.0","0.0","0.07407407407407407","0.0","2.0","0.0","0.0","0.07407407407407407","0.0","2.0","0.0","0.0","0.07407407407407407","0.0","1.0","13.0","13.0","0.037037037037037035","0.48148148148148145","7.0","12.0","84.0","0.25925925925925924","0.4444444444444444","0.0","11.0","0.0","0.0","0.4074074074074074","1.0","6.0","6.0","0.037037037037037035","0.2222222222222222"
"6","3.0","3.0","9.0","0.1111111111111111","0.1111111111111111","3.0","7.0","21.0","0.1111111111111111","0.25925925925925924","2.0","2.0","4.0","0.07407407407407407","0.07407407407407407","2.0","0.0","0.0","0.07407407407407407","0.0","1.0","1.0","1.0","0.037037037037037035","0.037037037037037035","3.0","0.0","0.0","0.1111111111111111","0.0","3.0","0.0","0.0","0.1111111111111111","0.0","2.0","0.0","0.0","0.07407407407407407","0.0","1.0","0.0","0.0","0.037037037037037035","0.0","2.0","0.0","0.0","0.07407407407407407","0.0","3.0","1.0","3.0","0.1111111111111111","0.037037037037037035","2.0","1.0","2.0","0.07407407407407407","0.037037037037037035","2.0","0.0","0.0","0.07407407407407407","0.0","3.0","0.0","0.0","0.1111111111111111","0.0","2.0","1.0","2.0","0.07407407407407407","0.037037037037037035","3.0","0.0","0.0","0.1111111111111111","0.0","2.0","0.0","0.0","0.07407407407407407","0.0","1.0","0.0","0.0","0.037037037037037035","0.0","2.0","0.0","0.0","0.07407407407407407","0.0","2.0","1.0","2.0","0.07407407407407407","0.037037037037037035","2.0","0.0","0.0","0.07407407407407407","0.0","2.0","0.0","0.0","0.07407407407407407","0.0","2.0","0.0","0.0","0.07407407407407407","0.0","1.0","13.0","13.0","0.037037037037037035","0.48148148148148145","7.0","12.0","84.0","0.25925925925925924","0.4444444444444444","0.0","11.0","0.0","0.0","0.4074074074074074","1.0","6.0","6.0","0.037037037037037035","0.2222222222222222"
"7","3.0","3.0","9.0","0.1111111111111111","0.1111111111111111","3.0","7.0","21.0","0.1111111111111111","0.25925925925925924","2.0","2.0","4.0","0.07407407407407407","0.07407407407407407","2.0","0.0","0.0","0.07407407407407407","0.0","1.0","1.0","1.0","0.037037037037037035","0.037037037037037035","3.0","0.0","0.0","0.1111111111111111","0.0","3.0","0.0","0.0","0.1111111111111111","0.0","2.0","0.0","0.0","0.07407407407407407","0.0","1.0","0.0","0.0","0.037037037037037035","0.0","2.0","0.0","0.0","0.07407407407407407","0.0","3.0","1.0","3.0","0.1111111111111111","0.037037037037037035","2.0","1.0","2.0","0.07407407407407407","0.037037037037037035","2.0","0.0","0.0","0.07407407407407407","0.0","3.0","0.0","0.0","0.1111111111111111","0.0","2.0","1.0","2.0","0.07407407407407407","0.037037037037037035","3.0","0.0","0.0","0.1111111111111111","0.0","2.0","0.0","0.0","0.07407407407407407","0.0","1.0","0.0","0.0","0.037037037037037035","0.0","2.0","0.0","0.0","0.07407407407407407","0.0","2.0","1.0","2.0","0.07407407407407407","0.037037037037037035","2.0","0.0","0.0","0.07407407407407407","0.0","2.0","0.0","0.0","0.07407407407407407","0.0","2.0","0.0","0.0","0.07407407407407407","0.0","1.0","13.0","13.0","0.037037037037037035","0.48148148148148145","7.0","12.0","84.0","0.25925925925925924","0.4444444444444444","0.0","11.0","0.0","0.0","0.4074074074074074","1.0","6.0","6.0","0.037037037037037035","0.2222222222222222"
"8","3.0","3.0","9.0","0.1111111111111111","0.1111111111111111","3.0","7.0","21.0","0.1111111111111111","0.25925925925925924","2.0","2.0","4.0","0.07407407407407407","0.07407407407407407","2.0","0.0","0.0","0.07407407407407407","0.0","1.0","1.0","1.0","0.037037037037037035","0.037037037037037035","3.0","0.0","0.0","0.1111111111111111","0.0","3.0","0.0","0.0","0.1111111111111111","0.0","2.0","0.0","0.0","0.07407407407407407","0.0","1.0","0.0","0.0","0.037037037037037035","0.0","2.0","0.0","0.0","0.07407407407407407","0.0","3.0","1.0","3.0","0.1111111111111111","0.037037037037037035","2.0","1.0","2.0","0.07407407407407407","0.037037037037037035","2.0","0.0","0.0","0.07407407407407407","0.0","3.0","0.0","0.0","0.1111111111111111","0.0","2.0","1.0","2.0","0.07407407407407407","0.037037037037037035","3.0","0.0","0.0","0.1111111111111111","0.0","2.0","0.0","0.0","0.07407407407407407","0.0","1.0","0.0","0.0","0.037037037037037035","0.0","2.0","0.0","0.0","0.07407407407407407","0.0","2.0","1.0","2.0","0.07407407407407407","0.037037037037037035","2.0","0.0","0.0","0.07407407407407407","0.0","2.0","0.0","0.0","0.07407407407407407","0.0","2.0","0.0","0.0","0.07407407407407407","0.0","1.0","13.0","13.0","0.037037037037037035","0.48148148148148145","7.0","12.0","84.0","0.25925925925925924","0.4444444444444444","0.0","11.0","0.0","0.0","0.4074074074074074","1.0","6.0","6.0","0.037037037037037035","0.2222222222222222"
"9","3.0","3.0","9.0","0.1111111111111111","0.1111111111111111","3.0","7.0","21.0","0.1111111111111111","0.25925925925925924","2.0","2.0","4.0","0.07407407407407407","0.07407407407407407","2.0","0.0","0.0","0.07407407407407407","0.0","1.0","1.0","1.0","0.037037037037037035","0.037037037037037035","3.0","0.0","0.0","0.1111111111111111","0.0","3.0","0.0","0.0","0.1111111111111111","0.0","2.0","0.0","0.0","0.07407407407407407","0.0","1.0","0.0","0.0","0.037037037037037035","0.0","2.0","0.0","0.0","0.07407407407407407","0.0","3.0","1.0","3.0","0.1111111111111111","0.037037037037037035","2.0","1.0","2.0","0.07407407407407407","0.037037037037037035","2.0","0.0","0.0","0.07407407407407407","0.0","3.0","0.0","0.0","0.1111111111111111","0.0","2.0","1.0","2.0","0.07407407407407407","0.037037037037037035","3.0","0.0","0.0","0.1111111111111111","0.0","2.0","0.0","0.0","0.07407407407407407","0.0","1.0","0.0","0.0","0.037037037037037035","0.0","2.0","0.0","0.0","0.07407407407407407","0.0","2.0","1.0","2.0","0.07407407407407407","0.037037037037037035","2.0","0.0","0.0","0.07407407407407407","0.0","2.0","0.0","0.0","0.07407407407407407","0.0","2.0","0.0","0.0","0.07407407407407407","0.0","1.0","13.0","13.0","0.037037037037037035","0.48148148148148145","7.0","12.0","84.0","0.25925925925925924","0.4444444444444444","0.0","11.0","0.0","0.0","0.4074074074074074","1.0","6.0","6.0","0.037037037037037035","0.2222222222222222"
"10","3.0","3.0","9.0","0.1111111111111111","0.1111111111111111","3.0","7.0","21.0","0.1111111111111111","0.25925925925925924","2.0","2.0","4.0","0.07407407407407407","0.07407407407407407","2.0","0.0","0.0","0.07407407407407407","0.0","1.0","1.0","1.0","0.037037037037037035","0.037037037037037035","3.0","0.0","0.0","0.1111111111111111","0.0","3.0","0.0","0.0","0.1111111111111111","0.0","2.0","0.0","0.0","0.07407407407407407","0.0","1.0","0.0","0.0","0.037037037037037035","0.0","2.0","0.0","0.0","0.07407407407407407","0.0","3.0","1.0","3.0","0.1111111111111111","0.037037037037037035","2.0","1.0","2.0","0.07407407407407407","0.037037037037037035","2.0","0.0","0.0","0.07407407407407407","0.0","3.0","0.0","0.0","0.1111111111111111","0.0","2.0","1.0","2.0","0.07407407407407407","0.037037037037037035","3.0","0.0","0.0","0.1111111111111111","0.0","2.0","0.0","0.0","0.07407407407407407","0.0","1.0","0.0","0.0","0.037037037037037035","0.0","2.0","0.0","0.0","0.07407407407407407","0.0","2.0","1.0","2.0","0.07407407407407407","0.037037037037037035","2.0","0.0","0.0","0.07407407407407407","0.0","2.0","0.0","0.0","0.07407407407407407","0.0","2.0","0.0","0.0","0.07407407407407407","0.0","1.0","13.0","13.0","0.037037037037037035","0.48148148148148145","7.0","12.0","84.0","0.25925925925925924","0.4444444444444444","0.0","11.0","0.0","0.0","0.4074074074074074","1.0","6.0","6.0","0.037037037037037035","0.2222222222222222"
