"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","RD1-ADS","RD1-GINI -ADS","RD1-AIS","RD1-GINI -AIS","RD2-ADS","RD2-GINI -ADS","RD2-AIS","RD2-GINI -AIS","RD3-ADS","RD3-GINI -ADS","RD3-AIS","RD3-GINI -AIS","RD4-ADS","RD4-GINI -ADS","RD4-AIS","RD4-GINI -AIS","RD5-ADS","RD5-GINI -ADS","RD5-AIS","RD5-GINI -AIS","RD6-ADS","RD6-GINI -ADS","RD6-AIS","RD6-GINI -AIS","RD7-ADS","RD7-GINI -ADS","RD7-AIS","RD7-GINI -AIS","RD8-ADS","RD8-GINI -ADS","RD8-AIS","RD8-GINI -AIS","RD9-ADS","RD9-GINI -ADS","RD9-AIS","RD9-GINI -AIS","RD10-ADS","RD10-GINI -ADS","RD10-AIS","RD10-GINI -AIS","RD11-ADS","RD11-GINI -ADS","RD11-AIS","RD11-GINI -AIS","RD12-ADS","RD12-GINI -ADS","RD12-AIS","RD12-GINI -AIS","RD13-ADS","RD13-GINI -ADS","RD13-AIS","RD13-GINI -AIS","RD14-ADS","RD14-GINI -ADS","RD14-AIS","RD14-GINI -AIS","RD15-ADS","RD15-GINI -ADS","RD15-AIS","RD15-GINI -AIS","RD16-ADS","RD16-GINI -ADS","RD16-AIS","RD16-GINI -AIS","RD17-ADS","RD17-GINI -ADS","RD17-AIS","RD17-GINI -AIS","RD18-ADS","RD18-GINI -ADS","RD18-AIS","RD18-GINI -AIS","RD19-ADS","RD19-GINI -ADS","RD19-AIS","RD19-GINI -AIS","RD20-ADS","RD20-GINI -ADS","RD20-AIS","RD20-GINI -AIS","CPS1-ADS","CPS1-GINI -ADS","CPS1-AIS","CPS1-GINI -AIS","CPS2-ADS","CPS2-GINI -ADS","CPS2-AIS","CPS2-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","MSB-ADS","MSB-GINI -ADS","MSB-AIS","MSB-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"10","0.3509700","0.5105820","0.11965811965811966","3.111111111111111","2.0","0","3.0","0","2.0","0","2.0","0","1.0","0","3.0","0","2.0","0","7.0","0.07575758","3.0","0","1.0","0","3.0","0","2.0","0","7.0","0","2.0","0","2.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","5.0","0","2.0","0","2.0","0","1.0","0","3.0","0","1.0","0","6.0","0","2.0","0","3.0","0","2.0","0","1.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","0.0","0","1.0","0","16.0","0.005194805","13.0","0","8.0","0","0.0","0","12.0","0.006939625","2.0","0","7.0","0"
"11","0.3509700","0.5105820","0.11965811965811966","3.111111111111111","2.0","0","3.0","0","2.0","0","2.0","0","1.0","0","3.0","0","2.0","0","7.0","0.07051282","3.0","0","1.0","0","3.0","0","2.0","0","7.0","0","2.0","0","2.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","5.0","0","2.0","0","2.0","0","1.0","0","3.0","0","1.0","0","6.0","0","2.0","0","3.0","0","2.0","0","1.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","0.0","0","1.0","0","16.0","0.004799302","13.0","0","8.0","0","0.0","0","12.0","0.006410256","2.0","0","7.0","0"
"12","0.3509700","0.5105820","0.11965811965811966","3.111111111111111","2.0","0","3.0","0","2.0","0","2.0","0","1.0","0","3.0","0","2.0","0","7.0","0.06593407","3.0","0","1.0","0","3.0","0","2.0","0","7.0","0","2.0","0","2.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","5.0","0","2.0","0","2.0","0","1.0","0","3.0","0","1.0","0","6.0","0","2.0","0","3.0","0","2.0","0","1.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","0.0","0","1.0","0","16.0","0.004459309","13.0","0","8.0","0","0.0","0","12.0","0.005955335","2.0","0","7.0","0"
"13","0.3509700","0.5105820","0.11965811965811966","3.111111111111111","2.0","0","3.0","0","2.0","0","2.0","0","1.0","0","3.0","0","2.0","0","7.0","0.06190476","3.0","0","1.0","0","3.0","0","2.0","0","7.0","0","2.0","0","2.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","5.0","0","2.0","0","2.0","0","1.0","0","3.0","0","1.0","0","6.0","0","2.0","0","3.0","0","2.0","0","1.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","0.0","0","1.0","0","16.0","0.004163997","13.0","0","8.0","0","0.0","0","12.0","0.005560308","2.0","0","7.0","0"
"14","0.3509700","0.5105820","0.11965811965811966","3.111111111111111","2.0","0","3.0","0","2.0","0","2.0","0","1.0","0","3.0","0","2.0","0","7.0","0.05833333","3.0","0","1.0","0","3.0","0","2.0","0","7.0","0","2.0","0","2.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","5.0","0","2.0","0","2.0","0","1.0","0","3.0","0","1.0","0","6.0","0","2.0","0","3.0","0","2.0","0","1.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","0.0","0","1.0","0","16.0","0.003905160","13.0","0","8.0","0","0.0","0","12.0","0.005214153","2.0","0","7.0","0"
"15","0.3509700","0.5105820","0.11965811965811966","3.111111111111111","2.0","0","3.0","0","2.0","0","2.0","0","1.0","0","3.0","0","2.0","0","7.0","0.05514706","3.0","0","1.0","0","3.0","0","2.0","0","7.0","0","2.0","0","2.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","5.0","0","2.0","0","2.0","0","1.0","0","3.0","0","1.0","0","6.0","0","2.0","0","3.0","0","2.0","0","1.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","0.0","0","1.0","0","16.0","0.003676471","13.0","0","8.0","0","0.0","0","12.0","0.004908377","2.0","0","7.0","0"
"16","0.3509700","0.5105820","0.11965811965811966","3.111111111111111","2.0","0","3.0","0","2.0","0","2.0","0","1.0","0","3.0","0","2.0","0","7.0","0.05228758","3.0","0","1.0","0","3.0","0","2.0","0","7.0","0","2.0","0","2.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","5.0","0","2.0","0","2.0","0","1.0","0","3.0","0","1.0","0","6.0","0","2.0","0","3.0","0","2.0","0","1.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","0.0","0","1.0","0","16.0","0.003472976","13.0","0","8.0","0","0.0","0","12.0","0.004636337","2.0","0","7.0","0"
"17","0.3509700","0.5105820","0.11965811965811966","3.111111111111111","2.0","0","3.0","0","2.0","0","2.0","0","1.0","0","3.0","0","2.0","0","7.0","0.04970760","3.0","0","1.0","0","3.0","0","2.0","0","7.0","0","2.0","0","2.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","5.0","0","2.0","0","2.0","0","1.0","0","3.0","0","1.0","0","6.0","0","2.0","0","3.0","0","2.0","0","1.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","0.0","0","1.0","0","16.0","0.003290747","13.0","0","8.0","0","0.0","0","12.0","0.004392765","2.0","0","7.0","0"
"18","0.3509700","0.5105820","0.11965811965811966","3.111111111111111","2.0","0","3.0","0","2.0","0","2.0","0","1.0","0","3.0","0","2.0","0","7.0","0.04736842","3.0","0","1.0","0","3.0","0","2.0","0","7.0","0","2.0","0","2.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","5.0","0","2.0","0","2.0","0","1.0","0","3.0","0","1.0","0","6.0","0","2.0","0","3.0","0","2.0","0","1.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","0.0","0","1.0","0","16.0","0.003126628","13.0","0","8.0","0","0.0","0","12.0","0.004173429","2.0","0","7.0","0"
"19","0.3509700","0.5105820","0.11965811965811966","3.111111111111111","2.0","0","3.0","0","2.0","0","2.0","0","1.0","0","3.0","0","2.0","0","7.0","0.04523810","3.0","0","1.0","0","3.0","0","2.0","0","7.0","0","2.0","0","2.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","5.0","0","2.0","0","2.0","0","1.0","0","3.0","0","1.0","0","6.0","0","2.0","0","3.0","0","2.0","0","1.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","0.0","0","1.0","0","16.0","0.002978056","13.0","0","8.0","0","0.0","0","12.0","0.003974895","2.0","0","7.0","0"
"20","0.3509700","0.5105820","0.11965811965811966","3.111111111111111","2.0","0","3.0","0","2.0","0","2.0","0","1.0","0","3.0","0","2.0","0","7.0","0.04329004","3.0","0","1.0","0","3.0","0","2.0","0","7.0","0","2.0","0","2.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","5.0","0","2.0","0","2.0","0","1.0","0","3.0","0","1.0","0","6.0","0","2.0","0","3.0","0","2.0","0","1.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","0.0","0","1.0","0","16.0","0.002842928","13.0","0","8.0","0","0.0","0","12.0","0.003794346","2.0","0","7.0","0"
