"release","RD1-ADS","RD1-AIS","RD1-ACS","RD1-RCS","RD1-RIS","RD2-ADS","RD2-AIS","RD2-ACS","RD2-RCS","RD2-RIS","RD3-ADS","RD3-AIS","RD3-ACS","RD3-RCS","RD3-RIS","RD4-ADS","RD4-AIS","RD4-ACS","RD4-RCS","RD4-RIS","RD5-ADS","RD5-AIS","RD5-ACS","RD5-RCS","RD5-RIS","RD6-ADS","RD6-AIS","RD6-ACS","RD6-RCS","RD6-RIS","CPS1-ADS","CPS1-AIS","CPS1-ACS","CPS1-RCS","CPS1-RIS","GTW-ADS","GTW-AIS","GTW-ACS","GTW-RCS","GTW-RIS","REG-ADS","REG-AIS","REG-ACS","REG-RCS","REG-RIS","MSB-ADS","MSB-AIS","MSB-ACS","MSB-RCS","MSB-RIS","CFG-ADS","CFG-AIS","CFG-ACS","CFG-RCS","CFG-RIS","MSV1-ADS","MSV1-AIS","MSV1-ACS","MSV1-RCS","MSV1-RIS"
"1","1.0","1.0","1.0","0.09090909090909091","0.09090909090909091","1.0","3.0","3.0","0.09090909090909091","0.2727272727272727","1.0","1.0","1.0","0.09090909090909091","0.09090909090909091","4.0","1.0","4.0","0.36363636363636365","0.09090909090909091","2.0","1.0","2.0","0.18181818181818182","0.09090909090909091","3.0","1.0","3.0","0.2727272727272727","0.09090909090909091","2.0","1.0","2.0","0.18181818181818182","0.09090909090909091","2.0","0.0","0.0","0.18181818181818182","0.0","1.0","2.0","2.0","0.09090909090909091","0.18181818181818182","5.0","6.0","30.0","0.45454545454545453","0.5454545454545454","0.0","5.0","0.0","0.0","0.45454545454545453","0.0","0.0","0.0","0.0","0.0"
"2","1.0","1.0","1.0","0.09090909090909091","0.09090909090909091","1.0","3.0","3.0","0.09090909090909091","0.2727272727272727","1.0","1.0","1.0","0.09090909090909091","0.09090909090909091","4.0","1.0","4.0","0.36363636363636365","0.09090909090909091","2.0","1.0","2.0","0.18181818181818182","0.09090909090909091","3.0","1.0","3.0","0.2727272727272727","0.09090909090909091","2.0","1.0","2.0","0.18181818181818182","0.09090909090909091","2.0","0.0","0.0","0.18181818181818182","0.0","1.0","2.0","2.0","0.09090909090909091","0.18181818181818182","5.0","6.0","30.0","0.45454545454545453","0.5454545454545454","0.0","5.0","0.0","0.0","0.45454545454545453","0.0","0.0","0.0","0.0","0.0"
"3","1.0","1.0","1.0","0.09090909090909091","0.09090909090909091","1.0","3.0","3.0","0.09090909090909091","0.2727272727272727","1.0","1.0","1.0","0.09090909090909091","0.09090909090909091","4.0","1.0","4.0","0.36363636363636365","0.09090909090909091","2.0","1.0","2.0","0.18181818181818182","0.09090909090909091","3.0","1.0","3.0","0.2727272727272727","0.09090909090909091","2.0","1.0","2.0","0.18181818181818182","0.09090909090909091","2.0","0.0","0.0","0.18181818181818182","0.0","1.0","2.0","2.0","0.09090909090909091","0.18181818181818182","5.0","6.0","30.0","0.45454545454545453","0.5454545454545454","0.0","5.0","0.0","0.0","0.45454545454545453","0.0","0.0","0.0","0.0","0.0"
"4","1.0","1.0","1.0","0.09090909090909091","0.09090909090909091","1.0","3.0","3.0","0.09090909090909091","0.2727272727272727","1.0","1.0","1.0","0.09090909090909091","0.09090909090909091","4.0","1.0","4.0","0.36363636363636365","0.09090909090909091","2.0","1.0","2.0","0.18181818181818182","0.09090909090909091","3.0","1.0","3.0","0.2727272727272727","0.09090909090909091","2.0","1.0","2.0","0.18181818181818182","0.09090909090909091","2.0","0.0","0.0","0.18181818181818182","0.0","1.0","2.0","2.0","0.09090909090909091","0.18181818181818182","5.0","6.0","30.0","0.45454545454545453","0.5454545454545454","0.0","5.0","0.0","0.0","0.45454545454545453","0.0","0.0","0.0","0.0","0.0"
"5","1.0","1.0","1.0","0.09090909090909091","0.09090909090909091","1.0","3.0","3.0","0.09090909090909091","0.2727272727272727","1.0","1.0","1.0","0.09090909090909091","0.09090909090909091","4.0","1.0","4.0","0.36363636363636365","0.09090909090909091","2.0","1.0","2.0","0.18181818181818182","0.09090909090909091","3.0","1.0","3.0","0.2727272727272727","0.09090909090909091","2.0","1.0","2.0","0.18181818181818182","0.09090909090909091","2.0","0.0","0.0","0.18181818181818182","0.0","1.0","2.0","2.0","0.09090909090909091","0.18181818181818182","5.0","6.0","30.0","0.45454545454545453","0.5454545454545454","0.0","5.0","0.0","0.0","0.45454545454545453","0.0","0.0","0.0","0.0","0.0"
"6","1.0","1.0","1.0","0.09090909090909091","0.09090909090909091","1.0","3.0","3.0","0.09090909090909091","0.2727272727272727","1.0","1.0","1.0","0.09090909090909091","0.09090909090909091","4.0","1.0","4.0","0.36363636363636365","0.09090909090909091","2.0","1.0","2.0","0.18181818181818182","0.09090909090909091","3.0","1.0","3.0","0.2727272727272727","0.09090909090909091","2.0","1.0","2.0","0.18181818181818182","0.09090909090909091","2.0","0.0","0.0","0.18181818181818182","0.0","1.0","2.0","2.0","0.09090909090909091","0.18181818181818182","5.0","6.0","30.0","0.45454545454545453","0.5454545454545454","0.0","5.0","0.0","0.0","0.45454545454545453","0.0","0.0","0.0","0.0","0.0"
"7","1.0","1.0","1.0","0.09090909090909091","0.09090909090909091","1.0","3.0","3.0","0.09090909090909091","0.2727272727272727","1.0","1.0","1.0","0.09090909090909091","0.09090909090909091","4.0","1.0","4.0","0.36363636363636365","0.09090909090909091","2.0","1.0","2.0","0.18181818181818182","0.09090909090909091","3.0","1.0","3.0","0.2727272727272727","0.09090909090909091","2.0","1.0","2.0","0.18181818181818182","0.09090909090909091","2.0","0.0","0.0","0.18181818181818182","0.0","1.0","2.0","2.0","0.09090909090909091","0.18181818181818182","5.0","6.0","30.0","0.45454545454545453","0.5454545454545454","0.0","5.0","0.0","0.0","0.45454545454545453","0.0","0.0","0.0","0.0","0.0"
"8","1.0","1.0","1.0","0.09090909090909091","0.09090909090909091","1.0","3.0","3.0","0.09090909090909091","0.2727272727272727","1.0","1.0","1.0","0.09090909090909091","0.09090909090909091","4.0","1.0","4.0","0.36363636363636365","0.09090909090909091","2.0","1.0","2.0","0.18181818181818182","0.09090909090909091","3.0","1.0","3.0","0.2727272727272727","0.09090909090909091","2.0","1.0","2.0","0.18181818181818182","0.09090909090909091","2.0","0.0","0.0","0.18181818181818182","0.0","1.0","2.0","2.0","0.09090909090909091","0.18181818181818182","5.0","6.0","30.0","0.45454545454545453","0.5454545454545454","0.0","5.0","0.0","0.0","0.45454545454545453","0.0","0.0","0.0","0.0","0.0"
"9","1.0","1.0","1.0","0.08333333333333333","0.08333333333333333","1.0","2.0","2.0","0.08333333333333333","0.16666666666666666","1.0","1.0","1.0","0.08333333333333333","0.08333333333333333","4.0","1.0","4.0","0.3333333333333333","0.08333333333333333","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","3.0","1.0","3.0","0.25","0.08333333333333333","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","2.0","0.0","0.0","0.16666666666666666","0.0","1.0","3.0","3.0","0.08333333333333333","0.25","5.0","6.0","30.0","0.4166666666666667","0.5","0.0","5.0","0.0","0.0","0.4166666666666667","1.0","1.0","1.0","0.08333333333333333","0.08333333333333333"
"10","1.0","1.0","1.0","0.08333333333333333","0.08333333333333333","1.0","2.0","2.0","0.08333333333333333","0.16666666666666666","1.0","1.0","1.0","0.08333333333333333","0.08333333333333333","4.0","1.0","4.0","0.3333333333333333","0.08333333333333333","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","3.0","1.0","3.0","0.25","0.08333333333333333","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","2.0","0.0","0.0","0.16666666666666666","0.0","1.0","3.0","3.0","0.08333333333333333","0.25","5.0","6.0","30.0","0.4166666666666667","0.5","0.0","5.0","0.0","0.0","0.4166666666666667","1.0","1.0","1.0","0.08333333333333333","0.08333333333333333"
