"release","BA1-ADS","BA1-AIS","BA1-ACS","BA1-RCS","BA1-RIS","BA2-ADS","BA2-AIS","BA2-ACS","BA2-RCS","BA2-RIS","BA3-ADS","BA3-AIS","BA3-ACS","BA3-RCS","BA3-RIS","BA4-ADS","BA4-AIS","BA4-ACS","BA4-RCS","BA4-RIS","BA5-ADS","BA5-AIS","BA5-ACS","BA5-RCS","BA5-RIS","GTW-ADS","GTW-AIS","GTW-ACS","GTW-RCS","GTW-RIS","REG-ADS","REG-AIS","REG-ACS","REG-RCS","REG-RIS","MSB-ADS","MSB-AIS","MSB-ACS","MSB-RCS","MSB-RIS","MSV1-ADS","MSV1-AIS","MSV1-ACS","MSV1-RCS","MSV1-RIS","MSV2-ADS","MSV2-AIS","MSV2-ACS","MSV2-RCS","MSV2-RIS","MSV3-ADS","MSV3-AIS","MSV3-ACS","MSV3-RCS","MSV3-RIS"
"12","2.0","3.0","6.0","0.2222222222222222","0.3333333333333333","2.0","2.0","4.0","0.2222222222222222","0.2222222222222222","1.0","1.0","1.0","0.1111111111111111","0.1111111111111111","1.0","1.0","1.0","0.1111111111111111","0.1111111111111111","1.0","1.0","1.0","0.1111111111111111","0.1111111111111111","4.0","0.0","0.0","0.4444444444444444","0.0","0.0","4.0","0.0","0.0","0.4444444444444444","3.0","3.0","9.0","0.3333333333333333","0.3333333333333333","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"13","2.0","3.0","6.0","0.2222222222222222","0.3333333333333333","2.0","2.0","4.0","0.2222222222222222","0.2222222222222222","1.0","1.0","1.0","0.1111111111111111","0.1111111111111111","1.0","1.0","1.0","0.1111111111111111","0.1111111111111111","1.0","1.0","1.0","0.1111111111111111","0.1111111111111111","4.0","0.0","0.0","0.4444444444444444","0.0","0.0","4.0","0.0","0.0","0.4444444444444444","3.0","3.0","9.0","0.3333333333333333","0.3333333333333333","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"14","2.0","3.0","6.0","0.2222222222222222","0.3333333333333333","2.0","2.0","4.0","0.2222222222222222","0.2222222222222222","1.0","1.0","1.0","0.1111111111111111","0.1111111111111111","1.0","1.0","1.0","0.1111111111111111","0.1111111111111111","1.0","1.0","1.0","0.1111111111111111","0.1111111111111111","4.0","0.0","0.0","0.4444444444444444","0.0","0.0","4.0","0.0","0.0","0.4444444444444444","3.0","3.0","9.0","0.3333333333333333","0.3333333333333333","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"15","2.0","3.0","6.0","0.2222222222222222","0.3333333333333333","2.0","2.0","4.0","0.2222222222222222","0.2222222222222222","1.0","1.0","1.0","0.1111111111111111","0.1111111111111111","1.0","1.0","1.0","0.1111111111111111","0.1111111111111111","1.0","1.0","1.0","0.1111111111111111","0.1111111111111111","4.0","0.0","0.0","0.4444444444444444","0.0","0.0","4.0","0.0","0.0","0.4444444444444444","3.0","3.0","9.0","0.3333333333333333","0.3333333333333333","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"16","2.0","4.0","8.0","0.2","0.4","2.0","2.0","4.0","0.2","0.2","1.0","1.0","1.0","0.1","0.1","1.0","1.0","1.0","0.1","0.1","1.0","1.0","1.0","0.1","0.1","5.0","0.0","0.0","0.5","0.0","0.0","5.0","0.0","0.0","0.5","3.0","3.0","9.0","0.3","0.3","2.0","1.0","2.0","0.2","0.1","2.0","1.0","2.0","0.2","0.1","0.0","0.0","0.0","0.0","0.0"
"17","2.0","4.0","8.0","0.2","0.4","2.0","2.0","4.0","0.2","0.2","1.0","1.0","1.0","0.1","0.1","1.0","1.0","1.0","0.1","0.1","1.0","1.0","1.0","0.1","0.1","5.0","0.0","0.0","0.5","0.0","0.0","5.0","0.0","0.0","0.5","3.0","3.0","9.0","0.3","0.3","2.0","1.0","2.0","0.2","0.1","2.0","1.0","2.0","0.2","0.1","0.0","0.0","0.0","0.0","0.0"
"18","2.0","4.0","8.0","0.2","0.4","2.0","2.0","4.0","0.2","0.2","1.0","1.0","1.0","0.1","0.1","1.0","1.0","1.0","0.1","0.1","1.0","1.0","1.0","0.1","0.1","5.0","0.0","0.0","0.5","0.0","0.0","5.0","0.0","0.0","0.5","3.0","3.0","9.0","0.3","0.3","2.0","1.0","2.0","0.2","0.1","2.0","1.0","2.0","0.2","0.1","0.0","0.0","0.0","0.0","0.0"
"19","2.0","4.0","8.0","0.2","0.4","2.0","2.0","4.0","0.2","0.2","1.0","1.0","1.0","0.1","0.1","1.0","1.0","1.0","0.1","0.1","1.0","1.0","1.0","0.1","0.1","5.0","0.0","0.0","0.5","0.0","0.0","5.0","0.0","0.0","0.5","3.0","3.0","9.0","0.3","0.3","2.0","1.0","2.0","0.2","0.1","2.0","1.0","2.0","0.2","0.1","0.0","0.0","0.0","0.0","0.0"
"20","2.0","4.0","8.0","0.2","0.4","2.0","2.0","4.0","0.2","0.2","1.0","1.0","1.0","0.1","0.1","1.0","1.0","1.0","0.1","0.1","1.0","1.0","1.0","0.1","0.1","5.0","0.0","0.0","0.5","0.0","0.0","5.0","0.0","0.0","0.5","3.0","3.0","9.0","0.3","0.3","2.0","1.0","2.0","0.2","0.1","2.0","1.0","2.0","0.2","0.1","0.0","0.0","0.0","0.0","0.0"
"21","2.0","5.0","10.0","0.18181818181818182","0.45454545454545453","2.0","2.0","4.0","0.18181818181818182","0.18181818181818182","1.0","1.0","1.0","0.09090909090909091","0.09090909090909091","1.0","1.0","1.0","0.09090909090909091","0.09090909090909091","1.0","1.0","1.0","0.09090909090909091","0.09090909090909091","6.0","0.0","0.0","0.5454545454545454","0.0","0.0","6.0","0.0","0.0","0.5454545454545454","3.0","3.0","9.0","0.2727272727272727","0.2727272727272727","2.0","1.0","2.0","0.18181818181818182","0.09090909090909091","2.0","1.0","2.0","0.18181818181818182","0.09090909090909091","2.0","1.0","2.0","0.18181818181818182","0.09090909090909091"
