"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","RD1-ADS","RD1-GINI -ADS","RD1-AIS","RD1-GINI -AIS","RD2-ADS","RD2-GINI -ADS","RD2-AIS","RD2-GINI -AIS","RD3-ADS","RD3-GINI -ADS","RD3-AIS","RD3-GINI -AIS","RD4-ADS","RD4-GINI -ADS","RD4-AIS","RD4-GINI -AIS","RD5-ADS","RD5-GINI -ADS","RD5-AIS","RD5-GINI -AIS","RD6-ADS","RD6-GINI -ADS","RD6-AIS","RD6-GINI -AIS","RD7-ADS","RD7-GINI -ADS","RD7-AIS","RD7-GINI -AIS","RD8-ADS","RD8-GINI -ADS","RD8-AIS","RD8-GINI -AIS","RD9-ADS","RD9-GINI -ADS","RD9-AIS","RD9-GINI -AIS","RD10-ADS","RD10-GINI -ADS","RD10-AIS","RD10-GINI -AIS","RD11-ADS","RD11-GINI -ADS","RD11-AIS","RD11-GINI -AIS","RD12-ADS","RD12-GINI -ADS","RD12-AIS","RD12-GINI -AIS","RD13-ADS","RD13-GINI -ADS","RD13-AIS","RD13-GINI -AIS","RD14-ADS","RD14-GINI -ADS","RD14-AIS","RD14-GINI -AIS","RD15-ADS","RD15-GINI -ADS","RD15-AIS","RD15-GINI -AIS","RD16-ADS","RD16-GINI -ADS","RD16-AIS","RD16-GINI -AIS","RD17-ADS","RD17-GINI -ADS","RD17-AIS","RD17-GINI -AIS","RD18-ADS","RD18-GINI -ADS","RD18-AIS","RD18-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","TRC-ADS","TRC-GINI -ADS","TRC-AIS","TRC-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"0","0.2387137","0.5875077","0.18333333333333332","3.6666666666666665","5.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","5.0","0","2.0","0","3.0","0","2.0","0","6.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","6.0","0","2.0","0","7.0","0","1.0","0","4.0","0","2.0","0","4.0","0","13.0","0","2.0","0","1.0","0","5.0","0","2.0","0","3.0","0","2.0","0","3.0","0","1.0","0","3.0","0","0.0","0","0.0","0","19.0","0","1.0","0","19.0","0","0.0","","0.0"
"1","0.2387137","0.5875077","0.18333333333333332","3.6666666666666665","5.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","5.0","0","2.0","0","3.0","0","2.0","0","6.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","6.0","0","2.0","0","7.0","0","1.0","0","4.0","0","2.0","0","4.0","0","13.0","0","2.0","0","1.0","0","5.0","0","2.0","0","3.0","0","2.0","0","3.0","0","1.0","0","3.0","0","0.0","0","0.0","0","19.0","0","1.0","0","19.0","0","0.0","","0.0"
"2","0.2387137","0.5875077","0.18333333333333332","3.6666666666666665","5.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","5.0","0","2.0","0","3.0","0","2.0","0","6.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","6.0","0","2.0","0","7.0","0","1.0","0","4.0","0","2.0","0","4.0","0","13.0","0","2.0","0","1.0","0","5.0","0","2.0","0","3.0","0","2.0","0","3.0","0","1.0","0","3.0","0","0.0","0","0.0","0","19.0","0","1.0","0","19.0","0","0.0","","0.0"
"3","0.2387137","0.5875077","0.18333333333333332","3.6666666666666665","5.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","5.0","0","2.0","0","3.0","0","2.0","0","6.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","6.0","0","2.0","0","7.0","0","1.0","0","4.0","0","2.0","0","4.0","0","13.0","0","2.0","0","1.0","0","5.0","0","2.0","0","3.0","0","2.0","0","3.0","0","1.0","0","3.0","0","0.0","0","0.0","0","19.0","0","1.0","0","19.0","0","0.0","","0.0"
"4","0.2587413","0.5734266","0.16883116883116883","3.5454545454545454","5.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","5.0","0","2.0","0","3.0","0","2.0","0","6.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","6.0","0","2.0","0","7.0","0","1.0","0","4.0","0","2.0","0","4.0","0","7.0","0.08135593","2.0","0","1.0","0","5.0","0","2.0","0","3.0","0","2.0","0","3.0","0","1.0","0","3.0","0","0.0","0","0.0","0","20.0","0.008333333","1.0","0","19.0","0","1.0","0","6.0","0"
"5","0.2587413","0.5734266","0.16883116883116883","3.5454545454545454","5.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","5.0","0","2.0","0","3.0","0","2.0","0","6.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","6.0","0","2.0","0","7.0","0","1.0","0","4.0","0","2.0","0","4.0","0","7.0","0.1212121","2.0","0","1.0","0","5.0","0","2.0","0","3.0","0","2.0","0","3.0","0","1.0","0","3.0","0","0.0","0","0.0","0","20.0","0.01149425","1.0","0","19.0","0","1.0","0","6.0","0"
"6","0.2587413","0.5734266","0.16883116883116883","3.5454545454545454","5.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","5.0","0","2.0","0","3.0","0","2.0","0","6.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","6.0","0","2.0","0","7.0","0","1.0","0","4.0","0","2.0","0","4.0","0","7.0","0.1409002","2.0","0","1.0","0","5.0","0","2.0","0","3.0","0","2.0","0","3.0","0","1.0","0","3.0","0","0.0","0","0.0","0","20.0","0.01260504","1.0","0","19.0","0","1.0","0","6.0","0"
"7","0.2587413","0.5734266","0.16883116883116883","3.5454545454545454","5.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","5.0","0","2.0","0","3.0","0","2.0","0","6.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","6.0","0","2.0","0","7.0","0","1.0","0","4.0","0","2.0","0","4.0","0","7.0","0.15","2.0","0","1.0","0","5.0","0","2.0","0","3.0","0","2.0","0","3.0","0","1.0","0","3.0","0","0.0","0","0.0","0","20.0","0.01282051","1.0","0","19.0","0","1.0","0","6.0","0"
"8","0.2587413","0.5734266","0.16883116883116883","3.5454545454545454","5.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","5.0","0","2.0","0","3.0","0","2.0","0","6.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","6.0","0","2.0","0","7.0","0","1.0","0","4.0","0","2.0","0","4.0","0","7.0","0.1532567","2.0","0","1.0","0","5.0","0","2.0","0","3.0","0","2.0","0","3.0","0","1.0","0","3.0","0","0.0","0","0.0","0","20.0","0.01262626","1.0","0","19.0","0","1.0","0","6.0","0"
"9","0.2587413","0.5734266","0.16883116883116883","3.5454545454545454","5.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","5.0","0","2.0","0","3.0","0","2.0","0","6.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","6.0","0","2.0","0","7.0","0","1.0","0","4.0","0","2.0","0","4.0","0","7.0","0.1531915","2.0","0","1.0","0","5.0","0","2.0","0","3.0","0","2.0","0","3.0","0","1.0","0","3.0","0","0.0","0","0.0","0","20.0","0.01224490","1.0","0","19.0","0","1.0","0","6.0","0"
