"release","RD1-ADS","RD1-AIS","RD1-ACS","RD1-RCS","RD1-RIS","RD2-ADS","RD2-AIS","RD2-ACS","RD2-RCS","RD2-RIS","RD3-ADS","RD3-AIS","RD3-ACS","RD3-RCS","RD3-RIS","RD4-ADS","RD4-AIS","RD4-ACS","RD4-RCS","RD4-RIS","RD5-ADS","RD5-AIS","RD5-ACS","RD5-RCS","RD5-RIS","RD6-ADS","RD6-AIS","RD6-ACS","RD6-RCS","RD6-RIS","GTW-ADS","GTW-AIS","GTW-ACS","GTW-RCS","GTW-RIS","REG-ADS","REG-AIS","REG-ACS","REG-RCS","REG-RIS","CFG-ADS","CFG-AIS","CFG-ACS","CFG-RCS","CFG-RIS","MSV1-ADS","MSV1-AIS","MSV1-ACS","MSV1-RCS","MSV1-RIS","MSV3-ADS","MSV3-AIS","MSV3-ACS","MSV3-RCS","MSV3-RIS","MSV4-ADS","MSV4-AIS","MSV4-ACS","MSV4-RCS","MSV4-RIS"
"1","6.0","1.0","6.0","0.6666666666666666","0.1111111111111111","1.0","2.0","2.0","0.1111111111111111","0.2222222222222222","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","1.0","2.0","2.0","0.1111111111111111","0.2222222222222222","2.0","2.0","4.0","0.2222222222222222","0.2222222222222222","2.0","2.0","4.0","0.2222222222222222","0.2222222222222222","4.0","0.0","0.0","0.4444444444444444","0.0","1.0","6.0","6.0","0.1111111111111111","0.6666666666666666","0.0","4.0","0.0","0.0","0.4444444444444444","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2","6.0","1.0","6.0","0.6666666666666666","0.1111111111111111","1.0","2.0","2.0","0.1111111111111111","0.2222222222222222","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","1.0","2.0","2.0","0.1111111111111111","0.2222222222222222","2.0","2.0","4.0","0.2222222222222222","0.2222222222222222","2.0","2.0","4.0","0.2222222222222222","0.2222222222222222","4.0","0.0","0.0","0.4444444444444444","0.0","1.0","6.0","6.0","0.1111111111111111","0.6666666666666666","0.0","4.0","0.0","0.0","0.4444444444444444","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"3","6.0","1.0","6.0","0.6666666666666666","0.1111111111111111","1.0","2.0","2.0","0.1111111111111111","0.2222222222222222","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","1.0","2.0","2.0","0.1111111111111111","0.2222222222222222","2.0","2.0","4.0","0.2222222222222222","0.2222222222222222","2.0","2.0","4.0","0.2222222222222222","0.2222222222222222","4.0","0.0","0.0","0.4444444444444444","0.0","1.0","6.0","6.0","0.1111111111111111","0.6666666666666666","0.0","4.0","0.0","0.0","0.4444444444444444","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"4","6.0","1.0","6.0","0.6666666666666666","0.1111111111111111","1.0","2.0","2.0","0.1111111111111111","0.2222222222222222","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","1.0","2.0","2.0","0.1111111111111111","0.2222222222222222","2.0","2.0","4.0","0.2222222222222222","0.2222222222222222","2.0","2.0","4.0","0.2222222222222222","0.2222222222222222","4.0","0.0","0.0","0.4444444444444444","0.0","1.0","6.0","6.0","0.1111111111111111","0.6666666666666666","0.0","4.0","0.0","0.0","0.4444444444444444","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"5","6.0","1.0","6.0","0.6666666666666666","0.1111111111111111","1.0","2.0","2.0","0.1111111111111111","0.2222222222222222","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","1.0","2.0","2.0","0.1111111111111111","0.2222222222222222","2.0","2.0","4.0","0.2222222222222222","0.2222222222222222","2.0","2.0","4.0","0.2222222222222222","0.2222222222222222","4.0","0.0","0.0","0.4444444444444444","0.0","1.0","6.0","6.0","0.1111111111111111","0.6666666666666666","0.0","4.0","0.0","0.0","0.4444444444444444","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"6","6.0","1.0","6.0","0.6666666666666666","0.1111111111111111","1.0","2.0","2.0","0.1111111111111111","0.2222222222222222","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","1.0","2.0","2.0","0.1111111111111111","0.2222222222222222","2.0","2.0","4.0","0.2222222222222222","0.2222222222222222","2.0","2.0","4.0","0.2222222222222222","0.2222222222222222","4.0","0.0","0.0","0.4444444444444444","0.0","1.0","6.0","6.0","0.1111111111111111","0.6666666666666666","0.0","4.0","0.0","0.0","0.4444444444444444","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"7","6.0","1.0","6.0","0.6666666666666666","0.1111111111111111","1.0","2.0","2.0","0.1111111111111111","0.2222222222222222","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","1.0","2.0","2.0","0.1111111111111111","0.2222222222222222","2.0","2.0","4.0","0.2222222222222222","0.2222222222222222","2.0","2.0","4.0","0.2222222222222222","0.2222222222222222","4.0","0.0","0.0","0.4444444444444444","0.0","1.0","6.0","6.0","0.1111111111111111","0.6666666666666666","0.0","4.0","0.0","0.0","0.4444444444444444","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"8","6.0","1.0","6.0","0.6","0.1","1.0","2.0","2.0","0.1","0.2","3.0","1.0","3.0","0.3","0.1","1.0","2.0","2.0","0.1","0.2","2.0","2.0","4.0","0.2","0.2","3.0","2.0","6.0","0.3","0.2","4.0","0.0","0.0","0.4","0.0","1.0","7.0","7.0","0.1","0.7","0.0","4.0","0.0","0.0","0.4","1.0","1.0","1.0","0.1","0.1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"9","6.0","1.0","6.0","0.6","0.1","1.0","2.0","2.0","0.1","0.2","3.0","1.0","3.0","0.3","0.1","1.0","2.0","2.0","0.1","0.2","2.0","2.0","4.0","0.2","0.2","3.0","2.0","6.0","0.3","0.2","4.0","0.0","0.0","0.4","0.0","1.0","7.0","7.0","0.1","0.7","0.0","4.0","0.0","0.0","0.4","1.0","1.0","1.0","0.1","0.1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"10","6.0","1.0","6.0","0.6","0.1","1.0","2.0","2.0","0.1","0.2","3.0","1.0","3.0","0.3","0.1","1.0","2.0","2.0","0.1","0.2","2.0","2.0","4.0","0.2","0.2","3.0","2.0","6.0","0.3","0.2","4.0","0.0","0.0","0.4","0.0","1.0","7.0","7.0","0.1","0.7","0.0","4.0","0.0","0.0","0.4","1.0","1.0","1.0","0.1","0.1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
