"release","RD1-ADS","RD1-AIS","RD1-ACS","RD1-RCS","RD1-RIS","RD2-ADS","RD2-AIS","RD2-ACS","RD2-RCS","RD2-RIS","RD3-ADS","RD3-AIS","RD3-ACS","RD3-RCS","RD3-RIS","RD4-ADS","RD4-AIS","RD4-ACS","RD4-RCS","RD4-RIS","RD5-ADS","RD5-AIS","RD5-ACS","RD5-RCS","RD5-RIS","CPS1-ADS","CPS1-AIS","CPS1-ACS","CPS1-RCS","CPS1-RIS","REG-ADS","REG-AIS","REG-ACS","REG-RCS","REG-RIS","CFG-ADS","CFG-AIS","CFG-ACS","CFG-RCS","CFG-RIS","MSV1-ADS","MSV1-AIS","MSV1-ACS","MSV1-RCS","MSV1-RIS","MSV2-ADS","MSV2-AIS","MSV2-ACS","MSV2-RCS","MSV2-RIS"
"1","1.0","1.0","1.0","0.125","0.125","3.0","1.0","3.0","0.375","0.125","3.0","0.0","0.0","0.375","0.0","1.0","1.0","1.0","0.125","0.125","2.0","3.0","6.0","0.25","0.375","4.0","0.0","0.0","0.5","0.0","1.0","6.0","6.0","0.125","0.75","0.0","3.0","0.0","0.0","0.375","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2","1.0","1.0","1.0","0.125","0.125","3.0","1.0","3.0","0.375","0.125","3.0","0.0","0.0","0.375","0.0","1.0","1.0","1.0","0.125","0.125","2.0","3.0","6.0","0.25","0.375","4.0","0.0","0.0","0.5","0.0","1.0","6.0","6.0","0.125","0.75","0.0","3.0","0.0","0.0","0.375","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"3","1.0","1.0","1.0","0.125","0.125","3.0","1.0","3.0","0.375","0.125","3.0","0.0","0.0","0.375","0.0","1.0","1.0","1.0","0.125","0.125","2.0","3.0","6.0","0.25","0.375","4.0","0.0","0.0","0.5","0.0","1.0","6.0","6.0","0.125","0.75","0.0","3.0","0.0","0.0","0.375","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"4","1.0","1.0","1.0","0.125","0.125","3.0","1.0","3.0","0.375","0.125","3.0","0.0","0.0","0.375","0.0","1.0","1.0","1.0","0.125","0.125","2.0","3.0","6.0","0.25","0.375","4.0","0.0","0.0","0.5","0.0","1.0","6.0","6.0","0.125","0.75","0.0","3.0","0.0","0.0","0.375","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"5","1.0","1.0","1.0","0.125","0.125","3.0","1.0","3.0","0.375","0.125","3.0","0.0","0.0","0.375","0.0","1.0","1.0","1.0","0.125","0.125","2.0","3.0","6.0","0.25","0.375","4.0","0.0","0.0","0.5","0.0","1.0","6.0","6.0","0.125","0.75","0.0","3.0","0.0","0.0","0.375","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"6","1.0","1.0","1.0","0.125","0.125","3.0","1.0","3.0","0.375","0.125","3.0","0.0","0.0","0.375","0.0","1.0","1.0","1.0","0.125","0.125","2.0","3.0","6.0","0.25","0.375","4.0","0.0","0.0","0.5","0.0","1.0","6.0","6.0","0.125","0.75","0.0","3.0","0.0","0.0","0.375","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"7","1.0","1.0","1.0","0.125","0.125","3.0","1.0","3.0","0.375","0.125","3.0","0.0","0.0","0.375","0.0","1.0","1.0","1.0","0.125","0.125","2.0","3.0","6.0","0.25","0.375","4.0","0.0","0.0","0.5","0.0","1.0","6.0","6.0","0.125","0.75","0.0","3.0","0.0","0.0","0.375","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"8","1.0","1.0","1.0","0.125","0.125","3.0","1.0","3.0","0.375","0.125","3.0","0.0","0.0","0.375","0.0","1.0","1.0","1.0","0.125","0.125","2.0","3.0","6.0","0.25","0.375","4.0","0.0","0.0","0.5","0.0","1.0","6.0","6.0","0.125","0.75","0.0","3.0","0.0","0.0","0.375","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"9","1.0","1.0","1.0","0.125","0.125","3.0","1.0","3.0","0.375","0.125","3.0","0.0","0.0","0.375","0.0","1.0","1.0","1.0","0.125","0.125","2.0","3.0","6.0","0.25","0.375","4.0","0.0","0.0","0.5","0.0","1.0","6.0","6.0","0.125","0.75","0.0","3.0","0.0","0.0","0.375","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"10","1.0","1.0","1.0","0.125","0.125","3.0","1.0","3.0","0.375","0.125","3.0","0.0","0.0","0.375","0.0","1.0","1.0","1.0","0.125","0.125","2.0","3.0","6.0","0.25","0.375","4.0","0.0","0.0","0.5","0.0","1.0","6.0","6.0","0.125","0.75","0.0","3.0","0.0","0.0","0.375","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
