"release","RD1-ADS","RD1-AIS","RD1-ACS","RD1-RCS","RD1-RIS","RD2-ADS","RD2-AIS","RD2-ACS","RD2-RCS","RD2-RIS","RD3-ADS","RD3-AIS","RD3-ACS","RD3-RCS","RD3-RIS","RD4-ADS","RD4-AIS","RD4-ACS","RD4-RCS","RD4-RIS","RD5-ADS","RD5-AIS","RD5-ACS","RD5-RCS","RD5-RIS","RD6-ADS","RD6-AIS","RD6-ACS","RD6-RCS","RD6-RIS","RD7-ADS","RD7-AIS","RD7-ACS","RD7-RCS","RD7-RIS","RD8-ADS","RD8-AIS","RD8-ACS","RD8-RCS","RD8-RIS","RD9-ADS","RD9-AIS","RD9-ACS","RD9-RCS","RD9-RIS","CPS1-ADS","CPS1-AIS","CPS1-ACS","CPS1-RCS","CPS1-RIS","REG-ADS","REG-AIS","REG-ACS","REG-RCS","REG-RIS","CFG-ADS","CFG-AIS","CFG-ACS","CFG-RCS","CFG-RIS","TRC-ADS","TRC-AIS","TRC-ACS","TRC-RCS","TRC-RIS","MSV1-ADS","MSV1-AIS","MSV1-ACS","MSV1-RCS","MSV1-RIS"
"11","3.0","1.0","3.0","0.21428571428571427","0.07142857142857142","3.0","0.0","0.0","0.21428571428571427","0.0","4.0","1.0","4.0","0.2857142857142857","0.07142857142857142","4.0","0.0","0.0","0.2857142857142857","0.0","4.0","1.0","4.0","0.2857142857142857","0.07142857142857142","4.0","0.0","0.0","0.2857142857142857","0.0","2.0","5.0","10.0","0.14285714285714285","0.35714285714285715","3.0","0.0","0.0","0.21428571428571427","0.0","3.0","0.0","0.0","0.21428571428571427","0.0","6.0","0.0","0.0","0.42857142857142855","0.0","1.0","12.0","12.0","0.07142857142857142","0.8571428571428571","1.0","6.0","6.0","0.07142857142857142","0.42857142857142855","1.0","12.0","12.0","0.07142857142857142","0.8571428571428571","3.0","4.0","12.0","0.21428571428571427","0.2857142857142857"
"12","3.0","1.0","3.0","0.21428571428571427","0.07142857142857142","3.0","0.0","0.0","0.21428571428571427","0.0","4.0","1.0","4.0","0.2857142857142857","0.07142857142857142","4.0","0.0","0.0","0.2857142857142857","0.0","4.0","1.0","4.0","0.2857142857142857","0.07142857142857142","4.0","0.0","0.0","0.2857142857142857","0.0","2.0","5.0","10.0","0.14285714285714285","0.35714285714285715","3.0","0.0","0.0","0.21428571428571427","0.0","3.0","0.0","0.0","0.21428571428571427","0.0","6.0","0.0","0.0","0.42857142857142855","0.0","1.0","12.0","12.0","0.07142857142857142","0.8571428571428571","1.0","6.0","6.0","0.07142857142857142","0.42857142857142855","1.0","12.0","12.0","0.07142857142857142","0.8571428571428571","3.0","4.0","12.0","0.21428571428571427","0.2857142857142857"
"13","3.0","1.0","3.0","0.21428571428571427","0.07142857142857142","3.0","0.0","0.0","0.21428571428571427","0.0","4.0","1.0","4.0","0.2857142857142857","0.07142857142857142","4.0","0.0","0.0","0.2857142857142857","0.0","4.0","1.0","4.0","0.2857142857142857","0.07142857142857142","4.0","0.0","0.0","0.2857142857142857","0.0","2.0","5.0","10.0","0.14285714285714285","0.35714285714285715","3.0","0.0","0.0","0.21428571428571427","0.0","3.0","0.0","0.0","0.21428571428571427","0.0","6.0","0.0","0.0","0.42857142857142855","0.0","1.0","12.0","12.0","0.07142857142857142","0.8571428571428571","1.0","6.0","6.0","0.07142857142857142","0.42857142857142855","1.0","12.0","12.0","0.07142857142857142","0.8571428571428571","3.0","4.0","12.0","0.21428571428571427","0.2857142857142857"
"14","3.0","1.0","3.0","0.21428571428571427","0.07142857142857142","3.0","0.0","0.0","0.21428571428571427","0.0","4.0","1.0","4.0","0.2857142857142857","0.07142857142857142","4.0","0.0","0.0","0.2857142857142857","0.0","4.0","1.0","4.0","0.2857142857142857","0.07142857142857142","4.0","0.0","0.0","0.2857142857142857","0.0","2.0","5.0","10.0","0.14285714285714285","0.35714285714285715","3.0","0.0","0.0","0.21428571428571427","0.0","3.0","0.0","0.0","0.21428571428571427","0.0","6.0","0.0","0.0","0.42857142857142855","0.0","1.0","12.0","12.0","0.07142857142857142","0.8571428571428571","1.0","6.0","6.0","0.07142857142857142","0.42857142857142855","1.0","12.0","12.0","0.07142857142857142","0.8571428571428571","3.0","4.0","12.0","0.21428571428571427","0.2857142857142857"
"15","3.0","1.0","3.0","0.21428571428571427","0.07142857142857142","3.0","0.0","0.0","0.21428571428571427","0.0","4.0","1.0","4.0","0.2857142857142857","0.07142857142857142","4.0","0.0","0.0","0.2857142857142857","0.0","4.0","1.0","4.0","0.2857142857142857","0.07142857142857142","4.0","0.0","0.0","0.2857142857142857","0.0","2.0","5.0","10.0","0.14285714285714285","0.35714285714285715","3.0","0.0","0.0","0.21428571428571427","0.0","3.0","0.0","0.0","0.21428571428571427","0.0","6.0","0.0","0.0","0.42857142857142855","0.0","1.0","12.0","12.0","0.07142857142857142","0.8571428571428571","1.0","6.0","6.0","0.07142857142857142","0.42857142857142855","1.0","12.0","12.0","0.07142857142857142","0.8571428571428571","3.0","4.0","12.0","0.21428571428571427","0.2857142857142857"
"16","3.0","1.0","3.0","0.21428571428571427","0.07142857142857142","3.0","0.0","0.0","0.21428571428571427","0.0","4.0","1.0","4.0","0.2857142857142857","0.07142857142857142","4.0","0.0","0.0","0.2857142857142857","0.0","4.0","1.0","4.0","0.2857142857142857","0.07142857142857142","4.0","0.0","0.0","0.2857142857142857","0.0","2.0","5.0","10.0","0.14285714285714285","0.35714285714285715","3.0","0.0","0.0","0.21428571428571427","0.0","3.0","0.0","0.0","0.21428571428571427","0.0","6.0","0.0","0.0","0.42857142857142855","0.0","1.0","12.0","12.0","0.07142857142857142","0.8571428571428571","1.0","6.0","6.0","0.07142857142857142","0.42857142857142855","1.0","12.0","12.0","0.07142857142857142","0.8571428571428571","3.0","4.0","12.0","0.21428571428571427","0.2857142857142857"
"17","3.0","1.0","3.0","0.21428571428571427","0.07142857142857142","3.0","0.0","0.0","0.21428571428571427","0.0","4.0","1.0","4.0","0.2857142857142857","0.07142857142857142","4.0","0.0","0.0","0.2857142857142857","0.0","4.0","1.0","4.0","0.2857142857142857","0.07142857142857142","4.0","0.0","0.0","0.2857142857142857","0.0","2.0","5.0","10.0","0.14285714285714285","0.35714285714285715","3.0","0.0","0.0","0.21428571428571427","0.0","3.0","0.0","0.0","0.21428571428571427","0.0","6.0","0.0","0.0","0.42857142857142855","0.0","1.0","12.0","12.0","0.07142857142857142","0.8571428571428571","1.0","6.0","6.0","0.07142857142857142","0.42857142857142855","1.0","12.0","12.0","0.07142857142857142","0.8571428571428571","3.0","4.0","12.0","0.21428571428571427","0.2857142857142857"
"18","3.0","1.0","3.0","0.21428571428571427","0.07142857142857142","3.0","0.0","0.0","0.21428571428571427","0.0","4.0","1.0","4.0","0.2857142857142857","0.07142857142857142","4.0","0.0","0.0","0.2857142857142857","0.0","4.0","1.0","4.0","0.2857142857142857","0.07142857142857142","4.0","0.0","0.0","0.2857142857142857","0.0","2.0","5.0","10.0","0.14285714285714285","0.35714285714285715","3.0","0.0","0.0","0.21428571428571427","0.0","3.0","0.0","0.0","0.21428571428571427","0.0","6.0","0.0","0.0","0.42857142857142855","0.0","1.0","12.0","12.0","0.07142857142857142","0.8571428571428571","1.0","6.0","6.0","0.07142857142857142","0.42857142857142855","1.0","12.0","12.0","0.07142857142857142","0.8571428571428571","3.0","4.0","12.0","0.21428571428571427","0.2857142857142857"
"19","3.0","1.0","3.0","0.21428571428571427","0.07142857142857142","3.0","0.0","0.0","0.21428571428571427","0.0","4.0","1.0","4.0","0.2857142857142857","0.07142857142857142","4.0","0.0","0.0","0.2857142857142857","0.0","4.0","1.0","4.0","0.2857142857142857","0.07142857142857142","4.0","0.0","0.0","0.2857142857142857","0.0","2.0","5.0","10.0","0.14285714285714285","0.35714285714285715","3.0","0.0","0.0","0.21428571428571427","0.0","3.0","0.0","0.0","0.21428571428571427","0.0","6.0","0.0","0.0","0.42857142857142855","0.0","1.0","12.0","12.0","0.07142857142857142","0.8571428571428571","1.0","6.0","6.0","0.07142857142857142","0.42857142857142855","1.0","12.0","12.0","0.07142857142857142","0.8571428571428571","3.0","4.0","12.0","0.21428571428571427","0.2857142857142857"
"20","3.0","1.0","3.0","0.21428571428571427","0.07142857142857142","3.0","0.0","0.0","0.21428571428571427","0.0","4.0","1.0","4.0","0.2857142857142857","0.07142857142857142","4.0","0.0","0.0","0.2857142857142857","0.0","4.0","1.0","4.0","0.2857142857142857","0.07142857142857142","4.0","0.0","0.0","0.2857142857142857","0.0","2.0","5.0","10.0","0.14285714285714285","0.35714285714285715","3.0","0.0","0.0","0.21428571428571427","0.0","3.0","0.0","0.0","0.21428571428571427","0.0","6.0","0.0","0.0","0.42857142857142855","0.0","1.0","12.0","12.0","0.07142857142857142","0.8571428571428571","1.0","6.0","6.0","0.07142857142857142","0.42857142857142855","1.0","12.0","12.0","0.07142857142857142","0.8571428571428571","3.0","4.0","12.0","0.21428571428571427","0.2857142857142857"
"21","3.0","1.0","3.0","0.21428571428571427","0.07142857142857142","3.0","0.0","0.0","0.21428571428571427","0.0","4.0","1.0","4.0","0.2857142857142857","0.07142857142857142","4.0","0.0","0.0","0.2857142857142857","0.0","4.0","1.0","4.0","0.2857142857142857","0.07142857142857142","4.0","0.0","0.0","0.2857142857142857","0.0","2.0","5.0","10.0","0.14285714285714285","0.35714285714285715","3.0","0.0","0.0","0.21428571428571427","0.0","3.0","0.0","0.0","0.21428571428571427","0.0","6.0","0.0","0.0","0.42857142857142855","0.0","1.0","12.0","12.0","0.07142857142857142","0.8571428571428571","1.0","6.0","6.0","0.07142857142857142","0.42857142857142855","1.0","12.0","12.0","0.07142857142857142","0.8571428571428571","3.0","4.0","12.0","0.21428571428571427","0.2857142857142857"
