"release","RD1-ADS","RD1-AIS","RD1-ACS","RD1-RCS","RD1-RIS","RD2-ADS","RD2-AIS","RD2-ACS","RD2-RCS","RD2-RIS","RD3-ADS","RD3-AIS","RD3-ACS","RD3-RCS","RD3-RIS","RD4-ADS","RD4-AIS","RD4-ACS","RD4-RCS","RD4-RIS","RD5-ADS","RD5-AIS","RD5-ACS","RD5-RCS","RD5-RIS","RD6-ADS","RD6-AIS","RD6-ACS","RD6-RCS","RD6-RIS","RD7-ADS","RD7-AIS","RD7-ACS","RD7-RCS","RD7-RIS","CPS1-ADS","CPS1-AIS","CPS1-ACS","CPS1-RCS","CPS1-RIS","CPS2-ADS","CPS2-AIS","CPS2-ACS","CPS2-RCS","CPS2-RIS","GTW-ADS","GTW-AIS","GTW-ACS","GTW-RCS","GTW-RIS","REG-ADS","REG-AIS","REG-ACS","REG-RCS","REG-RIS","MSB-ADS","MSB-AIS","MSB-ACS","MSB-RCS","MSB-RIS","MSV1-ADS","MSV1-AIS","MSV1-ACS","MSV1-RCS","MSV1-RIS"
"1","1.0","7.0","7.0","0.08333333333333333","0.5833333333333334","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","1.0","1.0","1.0","0.08333333333333333","0.08333333333333333","3.0","1.0","3.0","0.25","0.08333333333333333","4.0","0.0","0.0","0.3333333333333333","0.0","0.0","5.0","0.0","0.0","0.4166666666666667","4.0","5.0","20.0","0.3333333333333333","0.4166666666666667","0.0","0.0","0.0","0.0","0.0"
"2","1.0","7.0","7.0","0.08333333333333333","0.5833333333333334","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","1.0","1.0","1.0","0.08333333333333333","0.08333333333333333","3.0","1.0","3.0","0.25","0.08333333333333333","4.0","0.0","0.0","0.3333333333333333","0.0","0.0","5.0","0.0","0.0","0.4166666666666667","4.0","5.0","20.0","0.3333333333333333","0.4166666666666667","0.0","0.0","0.0","0.0","0.0"
"3","1.0","7.0","7.0","0.08333333333333333","0.5833333333333334","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","1.0","1.0","1.0","0.08333333333333333","0.08333333333333333","3.0","1.0","3.0","0.25","0.08333333333333333","4.0","0.0","0.0","0.3333333333333333","0.0","0.0","5.0","0.0","0.0","0.4166666666666667","4.0","5.0","20.0","0.3333333333333333","0.4166666666666667","0.0","0.0","0.0","0.0","0.0"
"4","1.0","7.0","7.0","0.08333333333333333","0.5833333333333334","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","1.0","1.0","1.0","0.08333333333333333","0.08333333333333333","3.0","1.0","3.0","0.25","0.08333333333333333","4.0","0.0","0.0","0.3333333333333333","0.0","0.0","5.0","0.0","0.0","0.4166666666666667","4.0","5.0","20.0","0.3333333333333333","0.4166666666666667","0.0","0.0","0.0","0.0","0.0"
"5","1.0","7.0","7.0","0.08333333333333333","0.5833333333333334","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","1.0","1.0","1.0","0.08333333333333333","0.08333333333333333","3.0","1.0","3.0","0.25","0.08333333333333333","4.0","0.0","0.0","0.3333333333333333","0.0","0.0","5.0","0.0","0.0","0.4166666666666667","4.0","5.0","20.0","0.3333333333333333","0.4166666666666667","0.0","0.0","0.0","0.0","0.0"
"6","1.0","4.0","4.0","0.07692307692307693","0.3076923076923077","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","1.0","1.0","1.0","0.07692307692307693","0.07692307692307693","3.0","1.0","3.0","0.23076923076923078","0.07692307692307693","4.0","0.0","0.0","0.3076923076923077","0.0","0.0","6.0","0.0","0.0","0.46153846153846156","4.0","5.0","20.0","0.3076923076923077","0.38461538461538464","1.0","3.0","3.0","0.07692307692307693","0.23076923076923078"
"7","1.0","4.0","4.0","0.07692307692307693","0.3076923076923077","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","1.0","1.0","1.0","0.07692307692307693","0.07692307692307693","3.0","1.0","3.0","0.23076923076923078","0.07692307692307693","4.0","0.0","0.0","0.3076923076923077","0.0","0.0","6.0","0.0","0.0","0.46153846153846156","4.0","5.0","20.0","0.3076923076923077","0.38461538461538464","1.0","3.0","3.0","0.07692307692307693","0.23076923076923078"
"8","1.0","4.0","4.0","0.07692307692307693","0.3076923076923077","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","1.0","1.0","1.0","0.07692307692307693","0.07692307692307693","3.0","1.0","3.0","0.23076923076923078","0.07692307692307693","4.0","0.0","0.0","0.3076923076923077","0.0","0.0","6.0","0.0","0.0","0.46153846153846156","4.0","5.0","20.0","0.3076923076923077","0.38461538461538464","1.0","3.0","3.0","0.07692307692307693","0.23076923076923078"
"9","1.0","4.0","4.0","0.07692307692307693","0.3076923076923077","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","1.0","1.0","1.0","0.07692307692307693","0.07692307692307693","3.0","1.0","3.0","0.23076923076923078","0.07692307692307693","4.0","0.0","0.0","0.3076923076923077","0.0","0.0","6.0","0.0","0.0","0.46153846153846156","4.0","5.0","20.0","0.3076923076923077","0.38461538461538464","1.0","3.0","3.0","0.07692307692307693","0.23076923076923078"
"10","1.0","4.0","4.0","0.07692307692307693","0.3076923076923077","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","1.0","1.0","1.0","0.07692307692307693","0.07692307692307693","3.0","1.0","3.0","0.23076923076923078","0.07692307692307693","4.0","0.0","0.0","0.3076923076923077","0.0","0.0","6.0","0.0","0.0","0.46153846153846156","4.0","5.0","20.0","0.3076923076923077","0.38461538461538464","1.0","3.0","3.0","0.07692307692307693","0.23076923076923078"
