"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","RD1-ADS","RD1-GINI -ADS","RD1-AIS","RD1-GINI -AIS","RD2-ADS","RD2-GINI -ADS","RD2-AIS","RD2-GINI -AIS","RD3-ADS","RD3-GINI -ADS","RD3-AIS","RD3-GINI -AIS","RD4-ADS","RD4-GINI -ADS","RD4-AIS","RD4-GINI -AIS","RD5-ADS","RD5-GINI -ADS","RD5-AIS","RD5-GINI -AIS","RD6-ADS","RD6-GINI -ADS","RD6-AIS","RD6-GINI -AIS","RD7-ADS","RD7-GINI -ADS","RD7-AIS","RD7-GINI -AIS","CPS1-ADS","CPS1-GINI -ADS","CPS1-AIS","CPS1-GINI -AIS","CPS2-ADS","CPS2-GINI -ADS","CPS2-AIS","CPS2-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","MSB-ADS","MSB-GINI -ADS","MSB-AIS","MSB-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"0","0.2833333","0.47","0.1893939393939394","2.0833333333333335","1.0","0","7.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","0.0","0","5.0","0","4.0","0","5.0","0","0.0","","0.0"
"1","0.2833333","0.47","0.1893939393939394","2.0833333333333335","1.0","0","7.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","0.0","0","5.0","0","4.0","0","5.0","0","0.0","","0.0"
"2","0.2833333","0.47","0.1893939393939394","2.0833333333333335","1.0","0","7.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","0.0","0","5.0","0","4.0","0","5.0","0","0.0","","0.0"
"3","0.2833333","0.47","0.1893939393939394","2.0833333333333335","1.0","0","7.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","0.0","0","5.0","0","4.0","0","5.0","0","0.0","","0.0"
"4","0.2833333","0.47","0.1893939393939394","2.0833333333333335","1.0","0","7.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","0.0","0","5.0","0","4.0","0","5.0","0","0.0","","0.0"
"5","0.2958580","0.4378698","0.16666666666666666","2.0","1.0","0","4.0","0.06410256","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","0.0","0","6.0","0.02688172","4.0","0","5.0","0","1.0","0","3.0","0"
"6","0.2958580","0.4378698","0.16666666666666666","2.0","1.0","0","4.0","0.09966777","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","0.0","0","6.0","0.03861004","4.0","0","5.0","0","1.0","0","3.0","0"
"7","0.2958580","0.4378698","0.16666666666666666","2.0","1.0","0","4.0","0.1196809","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","0.0","0","6.0","0.04360465","4.0","0","5.0","0","1.0","0","3.0","0"
"8","0.2958580","0.4378698","0.16666666666666666","2.0","1.0","0","4.0","0.1307190","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","0.0","0","6.0","0.04535147","4.0","0","5.0","0","1.0","0","3.0","0"
"9","0.2958580","0.4378698","0.16666666666666666","2.0","1.0","0","4.0","0.1363636","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","0.0","0","6.0","0.04545455","4.0","0","5.0","0","1.0","0","3.0","0"
"10","0.2958580","0.4378698","0.16666666666666666","2.0","1.0","0","4.0","0.1386749","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","0.0","0","6.0","0.04470939","4.0","0","5.0","0","1.0","0","3.0","0"
"11","0.2958580","0.4378698","0.16666666666666666","2.0","1.0","0","4.0","0.1388889","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","0.0","0","6.0","0.04353234","4.0","0","5.0","0","1.0","0","3.0","0"
