"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","BA1-ADS","BA1-GINI -ADS","BA1-AIS","BA1-GINI -AIS","BA2-ADS","BA2-GINI -ADS","BA2-AIS","BA2-GINI -AIS","BA3-ADS","BA3-GINI -ADS","BA3-AIS","BA3-GINI -AIS","BA4-ADS","BA4-GINI -ADS","BA4-AIS","BA4-GINI -AIS","BA5-ADS","BA5-GINI -ADS","BA5-AIS","BA5-GINI -AIS","BA6-ADS","BA6-GINI -ADS","BA6-AIS","BA6-GINI -AIS","BA7-ADS","BA7-GINI -ADS","BA7-AIS","BA7-GINI -AIS","BA8-ADS","BA8-GINI -ADS","BA8-AIS","BA8-GINI -AIS","BA9-ADS","BA9-GINI -ADS","BA9-AIS","BA9-GINI -AIS","BA10-ADS","BA10-GINI -ADS","BA10-AIS","BA10-GINI -AIS","BA11-ADS","BA11-GINI -ADS","BA11-AIS","BA11-GINI -AIS","BA12-ADS","BA12-GINI -ADS","BA12-AIS","BA12-GINI -AIS","BA13-ADS","BA13-GINI -ADS","BA13-AIS","BA13-GINI -AIS","BA14-ADS","BA14-GINI -ADS","BA14-AIS","BA14-GINI -AIS","BA15-ADS","BA15-GINI -ADS","BA15-AIS","BA15-GINI -AIS","BA16-ADS","BA16-GINI -ADS","BA16-AIS","BA16-GINI -AIS","BA17-ADS","BA17-GINI -ADS","BA17-AIS","BA17-GINI -AIS","BA18-ADS","BA18-GINI -ADS","BA18-AIS","BA18-GINI -AIS","BA19-ADS","BA19-GINI -ADS","BA19-AIS","BA19-GINI -AIS","BA20-ADS","BA20-GINI -ADS","BA20-AIS","BA20-GINI -AIS","BA21-ADS","BA21-GINI -ADS","BA21-AIS","BA21-GINI -AIS","BA22-ADS","BA22-GINI -ADS","BA22-AIS","BA22-GINI -AIS","BA23-ADS","BA23-GINI -ADS","BA23-AIS","BA23-GINI -AIS","BA24-ADS","BA24-GINI -ADS","BA24-AIS","BA24-GINI -AIS","BA25-ADS","BA25-GINI -ADS","BA25-AIS","BA25-GINI -AIS","BA26-ADS","BA26-GINI -ADS","BA26-AIS","BA26-GINI -AIS","BA27-ADS","BA27-GINI -ADS","BA27-AIS","BA27-GINI -AIS","BA28-ADS","BA28-GINI -ADS","BA28-AIS","BA28-GINI -AIS","BA29-ADS","BA29-GINI -ADS","BA29-AIS","BA29-GINI -AIS","BA30-ADS","BA30-GINI -ADS","BA30-AIS","BA30-GINI -AIS","BA31-ADS","BA31-GINI -ADS","BA31-AIS","BA31-GINI -AIS","BA32-ADS","BA32-GINI -ADS","BA32-AIS","BA32-GINI -AIS","BA33-ADS","BA33-GINI -ADS","BA33-AIS","BA33-GINI -AIS","BA34-ADS","BA34-GINI -ADS","BA34-AIS","BA34-GINI -AIS","CPS1-ADS","CPS1-GINI -ADS","CPS1-AIS","CPS1-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","MSB-ADS","MSB-GINI -ADS","MSB-AIS","MSB-GINI -AIS","TRC-ADS","TRC-GINI -ADS","TRC-AIS","TRC-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"10","0.1846154","0.8284382","0.07422402159244265","2.8205128205128207","2.0","0","10.0","0.06875477","3.0","0","1.0","0","3.0","0","2.0","0","3.0","0","2.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","0.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","0.0","0","2.0","0","1.0","0","3.0","0","0.0","0","3.0","0","0.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","2.0","0","0.0","0","2.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","0.0","0","3.0","0","0.0","0","3.0","0","0.0","0","3.0","0","0.0","0","3.0","0","0.0","0","2.0","0","1.0","0","3.0","0","0.0","0","2.0","0","0.0","0","0.0","0","18.0","0.004614675","12.0","0","20.0","0","1.0","0","36.0","0.002301496","2.0","0","9.0","0"
"11","0.1846154","0.8284382","0.07422402159244265","2.8205128205128207","2.0","0","10.0","0.06395349","3.0","0","1.0","0","3.0","0","2.0","0","3.0","0","2.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","0.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","0.0","0","2.0","0","1.0","0","3.0","0","0.0","0","3.0","0","0.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","2.0","0","0.0","0","2.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","0.0","0","3.0","0","0.0","0","3.0","0","0.0","0","3.0","0","0.0","0","3.0","0","0.0","0","2.0","0","1.0","0","3.0","0","0.0","0","2.0","0","0.0","0","0.0","0","18.0","0.004263566","12.0","0","20.0","0","1.0","0","36.0","0.002126837","2.0","0","9.0","0"
"12","0.1846154","0.8284382","0.07422402159244265","2.8205128205128207","2.0","0","10.0","0.05976757","3.0","0","1.0","0","3.0","0","2.0","0","3.0","0","2.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","0.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","0.0","0","2.0","0","1.0","0","3.0","0","0.0","0","3.0","0","0.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","2.0","0","0.0","0","2.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","0.0","0","3.0","0","0.0","0","3.0","0","0.0","0","3.0","0","0.0","0","3.0","0","0.0","0","2.0","0","1.0","0","3.0","0","0.0","0","2.0","0","0.0","0","0.0","0","18.0","0.003961704","12.0","0","20.0","0","1.0","0","36.0","0.001976610","2.0","0","9.0","0"
"13","0.1846154","0.8284382","0.07422402159244265","2.8205128205128207","2.0","0","10.0","0.05608821","3.0","0","1.0","0","3.0","0","2.0","0","3.0","0","2.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","0.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","0.0","0","2.0","0","1.0","0","3.0","0","0.0","0","3.0","0","0.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","2.0","0","0.0","0","2.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","0.0","0","3.0","0","0.0","0","3.0","0","0.0","0","3.0","0","0.0","0","3.0","0","0.0","0","2.0","0","1.0","0","3.0","0","0.0","0","2.0","0","0.0","0","0.0","0","18.0","0.003699488","12.0","0","20.0","0","1.0","0","36.0","0.001846066","2.0","0","9.0","0"
"14","0.1846154","0.8284382","0.07422402159244265","2.8205128205128207","2.0","0","10.0","0.05283019","3.0","0","1.0","0","3.0","0","2.0","0","3.0","0","2.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","0.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","0.0","0","2.0","0","1.0","0","3.0","0","0.0","0","3.0","0","0.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","2.0","0","0.0","0","2.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","0.0","0","3.0","0","0.0","0","3.0","0","0.0","0","3.0","0","0.0","0","3.0","0","0.0","0","2.0","0","1.0","0","3.0","0","0.0","0","2.0","0","0.0","0","0.0","0","18.0","0.003469641","12.0","0","20.0","0","1.0","0","36.0","0.001731602","2.0","0","9.0","0"
"15","0.1846154","0.8284382","0.07422402159244265","2.8205128205128207","2.0","0","10.0","0.04992604","3.0","0","1.0","0","3.0","0","2.0","0","3.0","0","2.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","0.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","0.0","0","2.0","0","1.0","0","3.0","0","0.0","0","3.0","0","0.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","2.0","0","0.0","0","2.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","0.0","0","3.0","0","0.0","0","3.0","0","0.0","0","3.0","0","0.0","0","3.0","0","0.0","0","2.0","0","1.0","0","3.0","0","0.0","0","2.0","0","0.0","0","0.0","0","18.0","0.003266551","12.0","0","20.0","0","1.0","0","36.0","0.001630435","2.0","0","9.0","0"
"16","0.1846154","0.8284382","0.07422402159244265","2.8205128205128207","2.0","0","10.0","0.04732172","3.0","0","1.0","0","3.0","0","2.0","0","3.0","0","2.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","0.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","0.0","0","2.0","0","1.0","0","3.0","0","0.0","0","3.0","0","0.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","2.0","0","0.0","0","2.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","0.0","0","3.0","0","0.0","0","3.0","0","0.0","0","3.0","0","0.0","0","3.0","0","0.0","0","2.0","0","1.0","0","3.0","0","0.0","0","2.0","0","0.0","0","0.0","0","18.0","0.003085824","12.0","0","20.0","0","1.0","0","36.0","0.001540387","2.0","0","9.0","0"
"17","0.1846154","0.8284382","0.07422402159244265","2.8205128205128207","2.0","0","10.0","0.04497354","3.0","0","1.0","0","3.0","0","2.0","0","3.0","0","2.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","0.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","0.0","0","2.0","0","1.0","0","3.0","0","0.0","0","3.0","0","0.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","2.0","0","0.0","0","2.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","0.0","0","3.0","0","0.0","0","3.0","0","0.0","0","3.0","0","0.0","0","3.0","0","0.0","0","2.0","0","1.0","0","3.0","0","0.0","0","2.0","0","0.0","0","0.0","0","18.0","0.002923977","12.0","0","20.0","0","1.0","0","36.0","0.001459729","2.0","0","9.0","0"
"18","0.1846154","0.8284382","0.07422402159244265","2.8205128205128207","2.0","0","10.0","0.04284581","3.0","0","1.0","0","3.0","0","2.0","0","3.0","0","2.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","0.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","0.0","0","2.0","0","1.0","0","3.0","0","0.0","0","3.0","0","0.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","2.0","0","0.0","0","2.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","0.0","0","3.0","0","0.0","0","3.0","0","0.0","0","3.0","0","0.0","0","3.0","0","0.0","0","2.0","0","1.0","0","3.0","0","0.0","0","2.0","0","0.0","0","0.0","0","18.0","0.002778207","12.0","0","20.0","0","1.0","0","36.0","0.001387069","2.0","0","9.0","0"
"19","0.1846154","0.8284382","0.07422402159244265","2.8205128205128207","2.0","0","10.0","0.04090909","3.0","0","1.0","0","3.0","0","2.0","0","3.0","0","2.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","0.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","0.0","0","2.0","0","1.0","0","3.0","0","0.0","0","3.0","0","0.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","2.0","0","0.0","0","2.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","0.0","0","3.0","0","0.0","0","3.0","0","0.0","0","3.0","0","0.0","0","3.0","0","0.0","0","2.0","0","1.0","0","3.0","0","0.0","0","2.0","0","0.0","0","0.0","0","18.0","0.002646240","12.0","0","20.0","0","1.0","0","36.0","0.001321280","2.0","0","9.0","0"
"20","0.1846154","0.8284382","0.07422402159244265","2.8205128205128207","2.0","0","10.0","0.03913894","3.0","0","1.0","0","3.0","0","2.0","0","3.0","0","2.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","0.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","0.0","0","2.0","0","1.0","0","3.0","0","0.0","0","3.0","0","0.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","2.0","0","0.0","0","2.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","0.0","0","3.0","0","0.0","0","3.0","0","0.0","0","3.0","0","0.0","0","3.0","0","0.0","0","2.0","0","1.0","0","3.0","0","0.0","0","2.0","0","0.0","0","0.0","0","18.0","0.002526209","12.0","0","20.0","0","1.0","0","36.0","0.001261432","2.0","0","9.0","0"
