"release","RD1-ADS","RD1-AIS","RD1-ACS","RD1-RCS","RD1-RIS","RD2-ADS","RD2-AIS","RD2-ACS","RD2-RCS","RD2-RIS","RD3-ADS","RD3-AIS","RD3-ACS","RD3-RCS","RD3-RIS","RD4-ADS","RD4-AIS","RD4-ACS","RD4-RCS","RD4-RIS","RD5-ADS","RD5-AIS","RD5-ACS","RD5-RCS","RD5-RIS","RD6-ADS","RD6-AIS","RD6-ACS","RD6-RCS","RD6-RIS","RD7-ADS","RD7-AIS","RD7-ACS","RD7-RCS","RD7-RIS","RD8-ADS","RD8-AIS","RD8-ACS","RD8-RCS","RD8-RIS","RD9-ADS","RD9-AIS","RD9-ACS","RD9-RCS","RD9-RIS","GTW-ADS","GTW-AIS","GTW-ACS","GTW-RCS","GTW-RIS","REG-ADS","REG-AIS","REG-ACS","REG-RCS","REG-RIS","MSB-ADS","MSB-AIS","MSB-ACS","MSB-RCS","MSB-RIS","CFG-ADS","CFG-AIS","CFG-ACS","CFG-RCS","CFG-RIS","MSV1-ADS","MSV1-AIS","MSV1-ACS","MSV1-RCS","MSV1-RIS"
"1","3.0","1.0","3.0","0.23076923076923078","0.07692307692307693","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","3.0","0.0","0.0","0.23076923076923078","0.0","1.0","8.0","8.0","0.07692307692307693","0.6153846153846154","3.0","1.0","3.0","0.23076923076923078","0.07692307692307693","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","2.0","0.0","0.0","0.15384615384615385","0.0","3.0","1.0","3.0","0.23076923076923078","0.07692307692307693","3.0","0.0","0.0","0.23076923076923078","0.0","1.0","7.0","7.0","0.07692307692307693","0.5384615384615384","4.0","3.0","12.0","0.3076923076923077","0.23076923076923078","0.0","5.0","0.0","0.0","0.38461538461538464","0.0","0.0","0.0","0.0","0.0"
"2","3.0","1.0","3.0","0.23076923076923078","0.07692307692307693","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","3.0","0.0","0.0","0.23076923076923078","0.0","1.0","8.0","8.0","0.07692307692307693","0.6153846153846154","3.0","1.0","3.0","0.23076923076923078","0.07692307692307693","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","2.0","0.0","0.0","0.15384615384615385","0.0","3.0","1.0","3.0","0.23076923076923078","0.07692307692307693","3.0","0.0","0.0","0.23076923076923078","0.0","1.0","7.0","7.0","0.07692307692307693","0.5384615384615384","4.0","3.0","12.0","0.3076923076923077","0.23076923076923078","0.0","5.0","0.0","0.0","0.38461538461538464","0.0","0.0","0.0","0.0","0.0"
"3","3.0","1.0","3.0","0.23076923076923078","0.07692307692307693","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","3.0","0.0","0.0","0.23076923076923078","0.0","1.0","8.0","8.0","0.07692307692307693","0.6153846153846154","3.0","1.0","3.0","0.23076923076923078","0.07692307692307693","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","2.0","0.0","0.0","0.15384615384615385","0.0","3.0","1.0","3.0","0.23076923076923078","0.07692307692307693","3.0","0.0","0.0","0.23076923076923078","0.0","1.0","7.0","7.0","0.07692307692307693","0.5384615384615384","4.0","3.0","12.0","0.3076923076923077","0.23076923076923078","0.0","5.0","0.0","0.0","0.38461538461538464","0.0","0.0","0.0","0.0","0.0"
"4","3.0","1.0","3.0","0.21428571428571427","0.07142857142857142","2.0","1.0","2.0","0.14285714285714285","0.07142857142857142","2.0","1.0","2.0","0.14285714285714285","0.07142857142857142","3.0","0.0","0.0","0.21428571428571427","0.0","1.0","4.0","4.0","0.07142857142857142","0.2857142857142857","3.0","1.0","3.0","0.21428571428571427","0.07142857142857142","2.0","1.0","2.0","0.14285714285714285","0.07142857142857142","2.0","0.0","0.0","0.14285714285714285","0.0","3.0","1.0","3.0","0.21428571428571427","0.07142857142857142","3.0","0.0","0.0","0.21428571428571427","0.0","1.0","8.0","8.0","0.07142857142857142","0.5714285714285714","4.0","3.0","12.0","0.2857142857142857","0.21428571428571427","0.0","6.0","0.0","0.0","0.42857142857142855","2.0","4.0","8.0","0.14285714285714285","0.2857142857142857"
"5","3.0","1.0","3.0","0.21428571428571427","0.07142857142857142","2.0","1.0","2.0","0.14285714285714285","0.07142857142857142","2.0","1.0","2.0","0.14285714285714285","0.07142857142857142","3.0","0.0","0.0","0.21428571428571427","0.0","1.0","4.0","4.0","0.07142857142857142","0.2857142857142857","3.0","1.0","3.0","0.21428571428571427","0.07142857142857142","2.0","1.0","2.0","0.14285714285714285","0.07142857142857142","2.0","0.0","0.0","0.14285714285714285","0.0","3.0","1.0","3.0","0.21428571428571427","0.07142857142857142","3.0","0.0","0.0","0.21428571428571427","0.0","1.0","8.0","8.0","0.07142857142857142","0.5714285714285714","4.0","3.0","12.0","0.2857142857142857","0.21428571428571427","0.0","6.0","0.0","0.0","0.42857142857142855","2.0","4.0","8.0","0.14285714285714285","0.2857142857142857"
"6","3.0","1.0","3.0","0.21428571428571427","0.07142857142857142","2.0","1.0","2.0","0.14285714285714285","0.07142857142857142","2.0","1.0","2.0","0.14285714285714285","0.07142857142857142","3.0","0.0","0.0","0.21428571428571427","0.0","1.0","4.0","4.0","0.07142857142857142","0.2857142857142857","3.0","1.0","3.0","0.21428571428571427","0.07142857142857142","2.0","1.0","2.0","0.14285714285714285","0.07142857142857142","2.0","0.0","0.0","0.14285714285714285","0.0","3.0","1.0","3.0","0.21428571428571427","0.07142857142857142","3.0","0.0","0.0","0.21428571428571427","0.0","1.0","8.0","8.0","0.07142857142857142","0.5714285714285714","4.0","3.0","12.0","0.2857142857142857","0.21428571428571427","0.0","6.0","0.0","0.0","0.42857142857142855","2.0","4.0","8.0","0.14285714285714285","0.2857142857142857"
"7","3.0","1.0","3.0","0.21428571428571427","0.07142857142857142","2.0","1.0","2.0","0.14285714285714285","0.07142857142857142","2.0","1.0","2.0","0.14285714285714285","0.07142857142857142","3.0","0.0","0.0","0.21428571428571427","0.0","1.0","4.0","4.0","0.07142857142857142","0.2857142857142857","3.0","1.0","3.0","0.21428571428571427","0.07142857142857142","2.0","1.0","2.0","0.14285714285714285","0.07142857142857142","2.0","0.0","0.0","0.14285714285714285","0.0","3.0","1.0","3.0","0.21428571428571427","0.07142857142857142","3.0","0.0","0.0","0.21428571428571427","0.0","1.0","8.0","8.0","0.07142857142857142","0.5714285714285714","4.0","3.0","12.0","0.2857142857142857","0.21428571428571427","0.0","6.0","0.0","0.0","0.42857142857142855","2.0","4.0","8.0","0.14285714285714285","0.2857142857142857"
"8","3.0","1.0","3.0","0.21428571428571427","0.07142857142857142","2.0","1.0","2.0","0.14285714285714285","0.07142857142857142","2.0","1.0","2.0","0.14285714285714285","0.07142857142857142","3.0","0.0","0.0","0.21428571428571427","0.0","1.0","4.0","4.0","0.07142857142857142","0.2857142857142857","3.0","1.0","3.0","0.21428571428571427","0.07142857142857142","2.0","1.0","2.0","0.14285714285714285","0.07142857142857142","2.0","0.0","0.0","0.14285714285714285","0.0","3.0","1.0","3.0","0.21428571428571427","0.07142857142857142","3.0","0.0","0.0","0.21428571428571427","0.0","1.0","8.0","8.0","0.07142857142857142","0.5714285714285714","4.0","3.0","12.0","0.2857142857142857","0.21428571428571427","0.0","6.0","0.0","0.0","0.42857142857142855","2.0","4.0","8.0","0.14285714285714285","0.2857142857142857"
"9","3.0","1.0","3.0","0.21428571428571427","0.07142857142857142","2.0","1.0","2.0","0.14285714285714285","0.07142857142857142","2.0","1.0","2.0","0.14285714285714285","0.07142857142857142","3.0","0.0","0.0","0.21428571428571427","0.0","1.0","4.0","4.0","0.07142857142857142","0.2857142857142857","3.0","1.0","3.0","0.21428571428571427","0.07142857142857142","2.0","1.0","2.0","0.14285714285714285","0.07142857142857142","2.0","0.0","0.0","0.14285714285714285","0.0","3.0","1.0","3.0","0.21428571428571427","0.07142857142857142","3.0","0.0","0.0","0.21428571428571427","0.0","1.0","8.0","8.0","0.07142857142857142","0.5714285714285714","4.0","3.0","12.0","0.2857142857142857","0.21428571428571427","0.0","6.0","0.0","0.0","0.42857142857142855","2.0","4.0","8.0","0.14285714285714285","0.2857142857142857"
"10","3.0","1.0","3.0","0.21428571428571427","0.07142857142857142","2.0","1.0","2.0","0.14285714285714285","0.07142857142857142","2.0","1.0","2.0","0.14285714285714285","0.07142857142857142","3.0","0.0","0.0","0.21428571428571427","0.0","1.0","4.0","4.0","0.07142857142857142","0.2857142857142857","3.0","1.0","3.0","0.21428571428571427","0.07142857142857142","2.0","1.0","2.0","0.14285714285714285","0.07142857142857142","2.0","0.0","0.0","0.14285714285714285","0.0","3.0","1.0","3.0","0.21428571428571427","0.07142857142857142","3.0","0.0","0.0","0.21428571428571427","0.0","1.0","8.0","8.0","0.07142857142857142","0.5714285714285714","4.0","3.0","12.0","0.2857142857142857","0.21428571428571427","0.0","6.0","0.0","0.0","0.42857142857142855","2.0","4.0","8.0","0.14285714285714285","0.2857142857142857"
