"release","RD1-ADS","RD1-AIS","RD1-ACS","RD1-RCS","RD1-RIS","RD2-ADS","RD2-AIS","RD2-ACS","RD2-RCS","RD2-RIS","RD3-ADS","RD3-AIS","RD3-ACS","RD3-RCS","RD3-RIS","RD4-ADS","RD4-AIS","RD4-ACS","RD4-RCS","RD4-RIS","RD5-ADS","RD5-AIS","RD5-ACS","RD5-RCS","RD5-RIS","RD6-ADS","RD6-AIS","RD6-ACS","RD6-RCS","RD6-RIS","RD7-ADS","RD7-AIS","RD7-ACS","RD7-RCS","RD7-RIS","RD8-ADS","RD8-AIS","RD8-ACS","RD8-RCS","RD8-RIS","GTW-ADS","GTW-AIS","GTW-ACS","GTW-RCS","GTW-RIS","REG-ADS","REG-AIS","REG-ACS","REG-RCS","REG-RIS","MSB-ADS","MSB-AIS","MSB-ACS","MSB-RCS","MSB-RIS","TRC-ADS","TRC-AIS","TRC-ACS","TRC-RCS","TRC-RIS"
"11","1.0","3.0","3.0","0.08333333333333333","0.25","4.0","2.0","8.0","0.3333333333333333","0.16666666666666666","3.0","1.0","3.0","0.25","0.08333333333333333","2.0","2.0","4.0","0.16666666666666666","0.16666666666666666","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","5.0","1.0","5.0","0.4166666666666667","0.08333333333333333","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","2.0","2.0","4.0","0.16666666666666666","0.16666666666666666","4.0","0.0","0.0","0.3333333333333333","0.0","0.0","5.0","0.0","0.0","0.4166666666666667","5.0","4.0","20.0","0.4166666666666667","0.3333333333333333","1.0","9.0","9.0","0.08333333333333333","0.75"
"12","1.0","3.0","3.0","0.08333333333333333","0.25","4.0","2.0","8.0","0.3333333333333333","0.16666666666666666","3.0","1.0","3.0","0.25","0.08333333333333333","2.0","2.0","4.0","0.16666666666666666","0.16666666666666666","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","5.0","1.0","5.0","0.4166666666666667","0.08333333333333333","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","2.0","2.0","4.0","0.16666666666666666","0.16666666666666666","4.0","0.0","0.0","0.3333333333333333","0.0","0.0","5.0","0.0","0.0","0.4166666666666667","5.0","4.0","20.0","0.4166666666666667","0.3333333333333333","1.0","9.0","9.0","0.08333333333333333","0.75"
"13","1.0","3.0","3.0","0.08333333333333333","0.25","4.0","2.0","8.0","0.3333333333333333","0.16666666666666666","3.0","1.0","3.0","0.25","0.08333333333333333","2.0","2.0","4.0","0.16666666666666666","0.16666666666666666","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","5.0","1.0","5.0","0.4166666666666667","0.08333333333333333","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","2.0","2.0","4.0","0.16666666666666666","0.16666666666666666","4.0","0.0","0.0","0.3333333333333333","0.0","0.0","5.0","0.0","0.0","0.4166666666666667","5.0","4.0","20.0","0.4166666666666667","0.3333333333333333","1.0","9.0","9.0","0.08333333333333333","0.75"
"14","1.0","3.0","3.0","0.08333333333333333","0.25","4.0","2.0","8.0","0.3333333333333333","0.16666666666666666","3.0","1.0","3.0","0.25","0.08333333333333333","2.0","2.0","4.0","0.16666666666666666","0.16666666666666666","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","5.0","1.0","5.0","0.4166666666666667","0.08333333333333333","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","2.0","2.0","4.0","0.16666666666666666","0.16666666666666666","4.0","0.0","0.0","0.3333333333333333","0.0","0.0","5.0","0.0","0.0","0.4166666666666667","5.0","4.0","20.0","0.4166666666666667","0.3333333333333333","1.0","9.0","9.0","0.08333333333333333","0.75"
"15","1.0","3.0","3.0","0.08333333333333333","0.25","4.0","2.0","8.0","0.3333333333333333","0.16666666666666666","3.0","1.0","3.0","0.25","0.08333333333333333","2.0","2.0","4.0","0.16666666666666666","0.16666666666666666","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","5.0","1.0","5.0","0.4166666666666667","0.08333333333333333","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","2.0","2.0","4.0","0.16666666666666666","0.16666666666666666","4.0","0.0","0.0","0.3333333333333333","0.0","0.0","5.0","0.0","0.0","0.4166666666666667","5.0","4.0","20.0","0.4166666666666667","0.3333333333333333","1.0","9.0","9.0","0.08333333333333333","0.75"
"16","1.0","3.0","3.0","0.08333333333333333","0.25","4.0","2.0","8.0","0.3333333333333333","0.16666666666666666","3.0","1.0","3.0","0.25","0.08333333333333333","2.0","2.0","4.0","0.16666666666666666","0.16666666666666666","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","5.0","1.0","5.0","0.4166666666666667","0.08333333333333333","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","2.0","2.0","4.0","0.16666666666666666","0.16666666666666666","4.0","0.0","0.0","0.3333333333333333","0.0","0.0","5.0","0.0","0.0","0.4166666666666667","5.0","4.0","20.0","0.4166666666666667","0.3333333333333333","1.0","9.0","9.0","0.08333333333333333","0.75"
"17","1.0","3.0","3.0","0.08333333333333333","0.25","4.0","2.0","8.0","0.3333333333333333","0.16666666666666666","3.0","1.0","3.0","0.25","0.08333333333333333","2.0","2.0","4.0","0.16666666666666666","0.16666666666666666","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","5.0","1.0","5.0","0.4166666666666667","0.08333333333333333","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","2.0","2.0","4.0","0.16666666666666666","0.16666666666666666","4.0","0.0","0.0","0.3333333333333333","0.0","0.0","5.0","0.0","0.0","0.4166666666666667","5.0","4.0","20.0","0.4166666666666667","0.3333333333333333","1.0","9.0","9.0","0.08333333333333333","0.75"
"18","1.0","3.0","3.0","0.08333333333333333","0.25","4.0","2.0","8.0","0.3333333333333333","0.16666666666666666","3.0","1.0","3.0","0.25","0.08333333333333333","2.0","2.0","4.0","0.16666666666666666","0.16666666666666666","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","5.0","1.0","5.0","0.4166666666666667","0.08333333333333333","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","2.0","2.0","4.0","0.16666666666666666","0.16666666666666666","4.0","0.0","0.0","0.3333333333333333","0.0","0.0","5.0","0.0","0.0","0.4166666666666667","5.0","4.0","20.0","0.4166666666666667","0.3333333333333333","1.0","9.0","9.0","0.08333333333333333","0.75"
"19","1.0","3.0","3.0","0.08333333333333333","0.25","4.0","2.0","8.0","0.3333333333333333","0.16666666666666666","3.0","1.0","3.0","0.25","0.08333333333333333","2.0","2.0","4.0","0.16666666666666666","0.16666666666666666","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","5.0","1.0","5.0","0.4166666666666667","0.08333333333333333","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","2.0","2.0","4.0","0.16666666666666666","0.16666666666666666","4.0","0.0","0.0","0.3333333333333333","0.0","0.0","5.0","0.0","0.0","0.4166666666666667","5.0","4.0","20.0","0.4166666666666667","0.3333333333333333","1.0","9.0","9.0","0.08333333333333333","0.75"
"20","1.0","3.0","3.0","0.08333333333333333","0.25","4.0","2.0","8.0","0.3333333333333333","0.16666666666666666","3.0","1.0","3.0","0.25","0.08333333333333333","2.0","2.0","4.0","0.16666666666666666","0.16666666666666666","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","5.0","1.0","5.0","0.4166666666666667","0.08333333333333333","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","2.0","2.0","4.0","0.16666666666666666","0.16666666666666666","4.0","0.0","0.0","0.3333333333333333","0.0","0.0","5.0","0.0","0.0","0.4166666666666667","5.0","4.0","20.0","0.4166666666666667","0.3333333333333333","1.0","9.0","9.0","0.08333333333333333","0.75"
"21","1.0","3.0","3.0","0.08333333333333333","0.25","4.0","2.0","8.0","0.3333333333333333","0.16666666666666666","3.0","1.0","3.0","0.25","0.08333333333333333","2.0","2.0","4.0","0.16666666666666666","0.16666666666666666","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","5.0","1.0","5.0","0.4166666666666667","0.08333333333333333","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","2.0","2.0","4.0","0.16666666666666666","0.16666666666666666","4.0","0.0","0.0","0.3333333333333333","0.0","0.0","5.0","0.0","0.0","0.4166666666666667","5.0","4.0","20.0","0.4166666666666667","0.3333333333333333","1.0","9.0","9.0","0.08333333333333333","0.75"
