"release","RD1-ADS","RD1-AIS","RD1-ACS","RD1-RCS","RD1-RIS","RD2-ADS","RD2-AIS","RD2-ACS","RD2-RCS","RD2-RIS","RD3-ADS","RD3-AIS","RD3-ACS","RD3-RCS","RD3-RIS","RD4-ADS","RD4-AIS","RD4-ACS","RD4-RCS","RD4-RIS","RD5-ADS","RD5-AIS","RD5-ACS","RD5-RCS","RD5-RIS","RD6-ADS","RD6-AIS","RD6-ACS","RD6-RCS","RD6-RIS","RD7-ADS","RD7-AIS","RD7-ACS","RD7-RCS","RD7-RIS","RD8-ADS","RD8-AIS","RD8-ACS","RD8-RCS","RD8-RIS","RD9-ADS","RD9-AIS","RD9-ACS","RD9-RCS","RD9-RIS","RD10-ADS","RD10-AIS","RD10-ACS","RD10-RCS","RD10-RIS","RD11-ADS","RD11-AIS","RD11-ACS","RD11-RCS","RD11-RIS","RD12-ADS","RD12-AIS","RD12-ACS","RD12-RCS","RD12-RIS","GTW-ADS","GTW-AIS","GTW-ACS","GTW-RCS","GTW-RIS","REG-ADS","REG-AIS","REG-ACS","REG-RCS","REG-RIS","MSB-ADS","MSB-AIS","MSB-ACS","MSB-RCS","MSB-RIS","MSV1-ADS","MSV1-AIS","MSV1-ACS","MSV1-RCS","MSV1-RIS","MSV2-ADS","MSV2-AIS","MSV2-ACS","MSV2-RCS","MSV2-RIS","MSV3-ADS","MSV3-AIS","MSV3-ACS","MSV3-RCS","MSV3-RIS","MSV4-ADS","MSV4-AIS","MSV4-ACS","MSV4-RCS","MSV4-RIS","MSV5-ADS","MSV5-AIS","MSV5-ACS","MSV5-RCS","MSV5-RIS","MSV6-ADS","MSV6-AIS","MSV6-ACS","MSV6-RCS","MSV6-RIS"
"11","1.0","2.0","2.0","0.058823529411764705","0.11764705882352941","1.0","1.0","1.0","0.058823529411764705","0.058823529411764705","1.0","2.0","2.0","0.058823529411764705","0.11764705882352941","1.0","0.0","0.0","0.058823529411764705","0.0","1.0","1.0","1.0","0.058823529411764705","0.058823529411764705","1.0","2.0","2.0","0.058823529411764705","0.11764705882352941","1.0","2.0","2.0","0.058823529411764705","0.11764705882352941","2.0","2.0","4.0","0.11764705882352941","0.11764705882352941","1.0","2.0","2.0","0.058823529411764705","0.11764705882352941","9.0","1.0","9.0","0.5294117647058824","0.058823529411764705","1.0","1.0","1.0","0.058823529411764705","0.058823529411764705","1.0","2.0","2.0","0.058823529411764705","0.11764705882352941","5.0","0.0","0.0","0.29411764705882354","0.0","0.0","8.0","0.0","0.0","0.47058823529411764","6.0","6.0","36.0","0.35294117647058826","0.35294117647058826","1.0","1.0","1.0","0.058823529411764705","0.058823529411764705","1.0","1.0","1.0","0.058823529411764705","0.058823529411764705","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"12","1.0","2.0","2.0","0.058823529411764705","0.11764705882352941","1.0","1.0","1.0","0.058823529411764705","0.058823529411764705","1.0","2.0","2.0","0.058823529411764705","0.11764705882352941","1.0","0.0","0.0","0.058823529411764705","0.0","1.0","1.0","1.0","0.058823529411764705","0.058823529411764705","1.0","2.0","2.0","0.058823529411764705","0.11764705882352941","1.0","2.0","2.0","0.058823529411764705","0.11764705882352941","2.0","2.0","4.0","0.11764705882352941","0.11764705882352941","1.0","2.0","2.0","0.058823529411764705","0.11764705882352941","9.0","1.0","9.0","0.5294117647058824","0.058823529411764705","1.0","1.0","1.0","0.058823529411764705","0.058823529411764705","1.0","2.0","2.0","0.058823529411764705","0.11764705882352941","5.0","0.0","0.0","0.29411764705882354","0.0","0.0","8.0","0.0","0.0","0.47058823529411764","6.0","6.0","36.0","0.35294117647058826","0.35294117647058826","1.0","1.0","1.0","0.058823529411764705","0.058823529411764705","1.0","1.0","1.0","0.058823529411764705","0.058823529411764705","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"13","1.0","2.0","2.0","0.058823529411764705","0.11764705882352941","1.0","1.0","1.0","0.058823529411764705","0.058823529411764705","1.0","2.0","2.0","0.058823529411764705","0.11764705882352941","1.0","0.0","0.0","0.058823529411764705","0.0","1.0","1.0","1.0","0.058823529411764705","0.058823529411764705","1.0","2.0","2.0","0.058823529411764705","0.11764705882352941","1.0","2.0","2.0","0.058823529411764705","0.11764705882352941","2.0","2.0","4.0","0.11764705882352941","0.11764705882352941","1.0","2.0","2.0","0.058823529411764705","0.11764705882352941","9.0","1.0","9.0","0.5294117647058824","0.058823529411764705","1.0","1.0","1.0","0.058823529411764705","0.058823529411764705","1.0","2.0","2.0","0.058823529411764705","0.11764705882352941","5.0","0.0","0.0","0.29411764705882354","0.0","0.0","8.0","0.0","0.0","0.47058823529411764","6.0","6.0","36.0","0.35294117647058826","0.35294117647058826","1.0","1.0","1.0","0.058823529411764705","0.058823529411764705","1.0","1.0","1.0","0.058823529411764705","0.058823529411764705","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"14","1.0","2.0","2.0","0.05555555555555555","0.1111111111111111","1.0","1.0","1.0","0.05555555555555555","0.05555555555555555","1.0","2.0","2.0","0.05555555555555555","0.1111111111111111","1.0","0.0","0.0","0.05555555555555555","0.0","1.0","1.0","1.0","0.05555555555555555","0.05555555555555555","1.0","2.0","2.0","0.05555555555555555","0.1111111111111111","1.0","2.0","2.0","0.05555555555555555","0.1111111111111111","2.0","2.0","4.0","0.1111111111111111","0.1111111111111111","1.0","2.0","2.0","0.05555555555555555","0.1111111111111111","9.0","2.0","18.0","0.5","0.1111111111111111","1.0","1.0","1.0","0.05555555555555555","0.05555555555555555","1.0","2.0","2.0","0.05555555555555555","0.1111111111111111","6.0","0.0","0.0","0.3333333333333333","0.0","0.0","9.0","0.0","0.0","0.5","6.0","6.0","36.0","0.3333333333333333","0.3333333333333333","1.0","1.0","1.0","0.05555555555555555","0.05555555555555555","1.0","1.0","1.0","0.05555555555555555","0.05555555555555555","2.0","1.0","2.0","0.1111111111111111","0.05555555555555555","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"15","1.0","2.0","2.0","0.05555555555555555","0.1111111111111111","1.0","1.0","1.0","0.05555555555555555","0.05555555555555555","1.0","2.0","2.0","0.05555555555555555","0.1111111111111111","1.0","0.0","0.0","0.05555555555555555","0.0","1.0","1.0","1.0","0.05555555555555555","0.05555555555555555","1.0","2.0","2.0","0.05555555555555555","0.1111111111111111","1.0","2.0","2.0","0.05555555555555555","0.1111111111111111","2.0","2.0","4.0","0.1111111111111111","0.1111111111111111","1.0","2.0","2.0","0.05555555555555555","0.1111111111111111","9.0","2.0","18.0","0.5","0.1111111111111111","1.0","1.0","1.0","0.05555555555555555","0.05555555555555555","1.0","2.0","2.0","0.05555555555555555","0.1111111111111111","6.0","0.0","0.0","0.3333333333333333","0.0","0.0","9.0","0.0","0.0","0.5","6.0","6.0","36.0","0.3333333333333333","0.3333333333333333","1.0","1.0","1.0","0.05555555555555555","0.05555555555555555","1.0","1.0","1.0","0.05555555555555555","0.05555555555555555","2.0","1.0","2.0","0.1111111111111111","0.05555555555555555","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"16","1.0","2.0","2.0","0.05555555555555555","0.1111111111111111","1.0","1.0","1.0","0.05555555555555555","0.05555555555555555","1.0","2.0","2.0","0.05555555555555555","0.1111111111111111","1.0","0.0","0.0","0.05555555555555555","0.0","1.0","1.0","1.0","0.05555555555555555","0.05555555555555555","1.0","2.0","2.0","0.05555555555555555","0.1111111111111111","1.0","2.0","2.0","0.05555555555555555","0.1111111111111111","2.0","2.0","4.0","0.1111111111111111","0.1111111111111111","1.0","2.0","2.0","0.05555555555555555","0.1111111111111111","9.0","2.0","18.0","0.5","0.1111111111111111","1.0","1.0","1.0","0.05555555555555555","0.05555555555555555","1.0","2.0","2.0","0.05555555555555555","0.1111111111111111","6.0","0.0","0.0","0.3333333333333333","0.0","0.0","9.0","0.0","0.0","0.5","6.0","6.0","36.0","0.3333333333333333","0.3333333333333333","1.0","1.0","1.0","0.05555555555555555","0.05555555555555555","1.0","1.0","1.0","0.05555555555555555","0.05555555555555555","2.0","1.0","2.0","0.1111111111111111","0.05555555555555555","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"17","1.0","2.0","2.0","0.05555555555555555","0.1111111111111111","1.0","1.0","1.0","0.05555555555555555","0.05555555555555555","1.0","2.0","2.0","0.05555555555555555","0.1111111111111111","1.0","0.0","0.0","0.05555555555555555","0.0","1.0","1.0","1.0","0.05555555555555555","0.05555555555555555","1.0","2.0","2.0","0.05555555555555555","0.1111111111111111","1.0","2.0","2.0","0.05555555555555555","0.1111111111111111","2.0","2.0","4.0","0.1111111111111111","0.1111111111111111","1.0","2.0","2.0","0.05555555555555555","0.1111111111111111","9.0","2.0","18.0","0.5","0.1111111111111111","1.0","1.0","1.0","0.05555555555555555","0.05555555555555555","1.0","2.0","2.0","0.05555555555555555","0.1111111111111111","6.0","0.0","0.0","0.3333333333333333","0.0","0.0","9.0","0.0","0.0","0.5","6.0","6.0","36.0","0.3333333333333333","0.3333333333333333","1.0","1.0","1.0","0.05555555555555555","0.05555555555555555","1.0","1.0","1.0","0.05555555555555555","0.05555555555555555","2.0","1.0","2.0","0.1111111111111111","0.05555555555555555","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"18","1.0","2.0","2.0","0.05263157894736842","0.10526315789473684","1.0","1.0","1.0","0.05263157894736842","0.05263157894736842","1.0","2.0","2.0","0.05263157894736842","0.10526315789473684","1.0","0.0","0.0","0.05263157894736842","0.0","1.0","2.0","2.0","0.05263157894736842","0.10526315789473684","1.0","2.0","2.0","0.05263157894736842","0.10526315789473684","1.0","2.0","2.0","0.05263157894736842","0.10526315789473684","2.0","2.0","4.0","0.10526315789473684","0.10526315789473684","1.0","2.0","2.0","0.05263157894736842","0.10526315789473684","9.0","2.0","18.0","0.47368421052631576","0.10526315789473684","1.0","1.0","1.0","0.05263157894736842","0.05263157894736842","1.0","2.0","2.0","0.05263157894736842","0.10526315789473684","7.0","0.0","0.0","0.3684210526315789","0.0","0.0","10.0","0.0","0.0","0.5263157894736842","6.0","6.0","36.0","0.3157894736842105","0.3157894736842105","1.0","1.0","1.0","0.05263157894736842","0.05263157894736842","1.0","1.0","1.0","0.05263157894736842","0.05263157894736842","2.0","1.0","2.0","0.10526315789473684","0.05263157894736842","2.0","1.0","2.0","0.10526315789473684","0.05263157894736842","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"19","1.0","2.0","2.0","0.05","0.1","1.0","1.0","1.0","0.05","0.05","2.0","2.0","4.0","0.1","0.1","1.0","0.0","0.0","0.05","0.0","1.0","2.0","2.0","0.05","0.1","1.0","2.0","2.0","0.05","0.1","1.0","2.0","2.0","0.05","0.1","2.0","2.0","4.0","0.1","0.1","1.0","2.0","2.0","0.05","0.1","9.0","2.0","18.0","0.45","0.1","1.0","1.0","1.0","0.05","0.05","1.0","2.0","2.0","0.05","0.1","7.0","0.0","0.0","0.35","0.0","0.0","11.0","0.0","0.0","0.55","6.0","6.0","36.0","0.3","0.3","1.0","1.0","1.0","0.05","0.05","1.0","1.0","1.0","0.05","0.05","2.0","1.0","2.0","0.1","0.05","2.0","1.0","2.0","0.1","0.05","1.0","1.0","1.0","0.05","0.05","0.0","0.0","0.0","0.0","0.0"
"20","1.0","2.0","2.0","0.05","0.1","1.0","1.0","1.0","0.05","0.05","2.0","2.0","4.0","0.1","0.1","1.0","0.0","0.0","0.05","0.0","1.0","2.0","2.0","0.05","0.1","1.0","2.0","2.0","0.05","0.1","1.0","2.0","2.0","0.05","0.1","2.0","2.0","4.0","0.1","0.1","1.0","2.0","2.0","0.05","0.1","9.0","2.0","18.0","0.45","0.1","1.0","1.0","1.0","0.05","0.05","1.0","2.0","2.0","0.05","0.1","7.0","0.0","0.0","0.35","0.0","0.0","11.0","0.0","0.0","0.55","6.0","6.0","36.0","0.3","0.3","1.0","1.0","1.0","0.05","0.05","1.0","1.0","1.0","0.05","0.05","2.0","1.0","2.0","0.1","0.05","2.0","1.0","2.0","0.1","0.05","1.0","1.0","1.0","0.05","0.05","0.0","0.0","0.0","0.0","0.0"
"21","1.0","2.0","2.0","0.047619047619047616","0.09523809523809523","1.0","1.0","1.0","0.047619047619047616","0.047619047619047616","2.0","2.0","4.0","0.09523809523809523","0.09523809523809523","1.0","1.0","1.0","0.047619047619047616","0.047619047619047616","1.0","2.0","2.0","0.047619047619047616","0.09523809523809523","1.0","2.0","2.0","0.047619047619047616","0.09523809523809523","1.0","2.0","2.0","0.047619047619047616","0.09523809523809523","2.0","2.0","4.0","0.09523809523809523","0.09523809523809523","1.0","2.0","2.0","0.047619047619047616","0.09523809523809523","9.0","2.0","18.0","0.42857142857142855","0.09523809523809523","1.0","1.0","1.0","0.047619047619047616","0.047619047619047616","1.0","2.0","2.0","0.047619047619047616","0.09523809523809523","8.0","0.0","0.0","0.38095238095238093","0.0","0.0","12.0","0.0","0.0","0.5714285714285714","6.0","6.0","36.0","0.2857142857142857","0.2857142857142857","1.0","1.0","1.0","0.047619047619047616","0.047619047619047616","1.0","1.0","1.0","0.047619047619047616","0.047619047619047616","2.0","1.0","2.0","0.09523809523809523","0.047619047619047616","2.0","1.0","2.0","0.09523809523809523","0.047619047619047616","1.0","1.0","1.0","0.047619047619047616","0.047619047619047616","2.0","1.0","2.0","0.09523809523809523","0.047619047619047616"
