"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","BA1-ADS","BA1-GINI -ADS","BA1-AIS","BA1-GINI -AIS","BA2-ADS","BA2-GINI -ADS","BA2-AIS","BA2-GINI -AIS","BA3-ADS","BA3-GINI -ADS","BA3-AIS","BA3-GINI -AIS","BA4-ADS","BA4-GINI -ADS","BA4-AIS","BA4-GINI -AIS","BA5-ADS","BA5-GINI -ADS","BA5-AIS","BA5-GINI -AIS","BA6-ADS","BA6-GINI -ADS","BA6-AIS","BA6-GINI -AIS","BA7-ADS","BA7-GINI -ADS","BA7-AIS","BA7-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","MSB-ADS","MSB-GINI -ADS","MSB-AIS","MSB-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"0","0.25","0.55","0.2222222222222222","2.0","1.0","0","7.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","0.0","0","2.0","0","3.0","0","6.0","0","0.0","","0.0"
"1","0.25","0.55","0.2222222222222222","2.0","1.0","0","7.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","0.0","0","2.0","0","3.0","0","6.0","0","0.0","","0.0"
"2","0.25","0.55","0.2222222222222222","2.0","1.0","0","7.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","0.0","0","2.0","0","3.0","0","6.0","0","0.0","","0.0"
"3","0.25","0.55","0.2222222222222222","2.0","1.0","0","7.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","0.0","0","2.0","0","3.0","0","6.0","0","0.0","","0.0"
"4","0.25","0.55","0.2222222222222222","2.0","1.0","0","7.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","0.0","0","2.0","0","3.0","0","6.0","0","0.0","","0.0"
"5","0.25","0.55","0.2222222222222222","2.0","1.0","0","7.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","0.0","0","2.0","0","3.0","0","6.0","0","0.0","","0.0"
"6","0.25","0.55","0.2222222222222222","2.0","1.0","0","7.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","0.0","0","2.0","0","3.0","0","6.0","0","0.0","","0.0"
"7","0.25","0.55","0.2222222222222222","2.0","1.0","0","7.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","0.0","0","2.0","0","3.0","0","6.0","0","0.0","","0.0"
"8","0.2683983","0.4848485","0.19090909090909092","1.9090909090909092","1.0","0","4.0","0.04444444","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","0.0","0","3.0","0.04678363","3.0","0","6.0","0","1.0","0","3.0","0"
"9","0.2683983","0.4848485","0.19090909090909092","1.9090909090909092","1.0","0","4.0","0.075","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","0.0","0","3.0","0.07272727","3.0","0","6.0","0","1.0","0","3.0","0"
