"release","RD1-ADS","RD1-AIS","RD1-ACS","RD1-RCS","RD1-RIS","RD2-ADS","RD2-AIS","RD2-ACS","RD2-RCS","RD2-RIS","RD3-ADS","RD3-AIS","RD3-ACS","RD3-RCS","RD3-RIS","RD4-ADS","RD4-AIS","RD4-ACS","RD4-RCS","RD4-RIS","RD5-ADS","RD5-AIS","RD5-ACS","RD5-RCS","RD5-RIS","RD6-ADS","RD6-AIS","RD6-ACS","RD6-RCS","RD6-RIS","RD7-ADS","RD7-AIS","RD7-ACS","RD7-RCS","RD7-RIS","RD8-ADS","RD8-AIS","RD8-ACS","RD8-RCS","RD8-RIS","RD9-ADS","RD9-AIS","RD9-ACS","RD9-RCS","RD9-RIS","RD10-ADS","RD10-AIS","RD10-ACS","RD10-RCS","RD10-RIS","RD11-ADS","RD11-AIS","RD11-ACS","RD11-RCS","RD11-RIS","RD12-ADS","RD12-AIS","RD12-ACS","RD12-RCS","RD12-RIS","RD13-ADS","RD13-AIS","RD13-ACS","RD13-RCS","RD13-RIS","CPS1-ADS","CPS1-AIS","CPS1-ACS","CPS1-RCS","CPS1-RIS","REG-ADS","REG-AIS","REG-ACS","REG-RCS","REG-RIS","MSB-ADS","MSB-AIS","MSB-ACS","MSB-RCS","MSB-RIS","CFG-ADS","CFG-AIS","CFG-ACS","CFG-RCS","CFG-RIS","MSV1-ADS","MSV1-AIS","MSV1-ACS","MSV1-RCS","MSV1-RIS","MSV2-ADS","MSV2-AIS","MSV2-ACS","MSV2-RCS","MSV2-RIS","MSV3-ADS","MSV3-AIS","MSV3-ACS","MSV3-RCS","MSV3-RIS","MSV4-ADS","MSV4-AIS","MSV4-ACS","MSV4-RCS","MSV4-RIS","MSV5-ADS","MSV5-AIS","MSV5-ACS","MSV5-RCS","MSV5-RIS","MSV6-ADS","MSV6-AIS","MSV6-ACS","MSV6-RCS","MSV6-RIS","MSV7-ADS","MSV7-AIS","MSV7-ACS","MSV7-RCS","MSV7-RIS","MSV8-ADS","MSV8-AIS","MSV8-ACS","MSV8-RCS","MSV8-RIS","MSV9-ADS","MSV9-AIS","MSV9-ACS","MSV9-RCS","MSV9-RIS","MSV10-ADS","MSV10-AIS","MSV10-ACS","MSV10-RCS","MSV10-RIS"
"1","1.0","1.0","1.0","0.058823529411764705","0.058823529411764705","1.0","2.0","2.0","0.058823529411764705","0.11764705882352941","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","1.0","0.0","0.0","0.058823529411764705","0.0","2.0","0.0","0.0","0.11764705882352941","0.0","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","1.0","1.0","1.0","0.058823529411764705","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","2.0","0.0","0.0","0.11764705882352941","0.0","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","1.0","3.0","3.0","0.058823529411764705","0.17647058823529413","6.0","0.0","0.0","0.35294117647058826","0.0","1.0","6.0","6.0","0.058823529411764705","0.35294117647058826","5.0","9.0","45.0","0.29411764705882354","0.5294117647058824","0.0","7.0","0.0","0.0","0.4117647058823529","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2","1.0","1.0","1.0","0.058823529411764705","0.058823529411764705","1.0","2.0","2.0","0.058823529411764705","0.11764705882352941","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","1.0","0.0","0.0","0.058823529411764705","0.0","2.0","0.0","0.0","0.11764705882352941","0.0","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","1.0","1.0","1.0","0.058823529411764705","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","2.0","0.0","0.0","0.11764705882352941","0.0","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","1.0","3.0","3.0","0.058823529411764705","0.17647058823529413","6.0","0.0","0.0","0.35294117647058826","0.0","1.0","6.0","6.0","0.058823529411764705","0.35294117647058826","5.0","9.0","45.0","0.29411764705882354","0.5294117647058824","0.0","7.0","0.0","0.0","0.4117647058823529","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"3","1.0","1.0","1.0","0.058823529411764705","0.058823529411764705","1.0","2.0","2.0","0.058823529411764705","0.11764705882352941","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","1.0","0.0","0.0","0.058823529411764705","0.0","2.0","0.0","0.0","0.11764705882352941","0.0","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","1.0","1.0","1.0","0.058823529411764705","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","2.0","0.0","0.0","0.11764705882352941","0.0","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","1.0","3.0","3.0","0.058823529411764705","0.17647058823529413","6.0","0.0","0.0","0.35294117647058826","0.0","1.0","6.0","6.0","0.058823529411764705","0.35294117647058826","5.0","9.0","45.0","0.29411764705882354","0.5294117647058824","0.0","7.0","0.0","0.0","0.4117647058823529","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"4","1.0","1.0","1.0","0.058823529411764705","0.058823529411764705","1.0","2.0","2.0","0.058823529411764705","0.11764705882352941","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","1.0","0.0","0.0","0.058823529411764705","0.0","2.0","0.0","0.0","0.11764705882352941","0.0","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","1.0","1.0","1.0","0.058823529411764705","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","2.0","0.0","0.0","0.11764705882352941","0.0","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","1.0","3.0","3.0","0.058823529411764705","0.17647058823529413","6.0","0.0","0.0","0.35294117647058826","0.0","1.0","6.0","6.0","0.058823529411764705","0.35294117647058826","5.0","9.0","45.0","0.29411764705882354","0.5294117647058824","0.0","7.0","0.0","0.0","0.4117647058823529","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"5","1.0","1.0","1.0","0.058823529411764705","0.058823529411764705","1.0","2.0","2.0","0.058823529411764705","0.11764705882352941","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","1.0","0.0","0.0","0.058823529411764705","0.0","2.0","0.0","0.0","0.11764705882352941","0.0","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","1.0","1.0","1.0","0.058823529411764705","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","2.0","0.0","0.0","0.11764705882352941","0.0","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","1.0","3.0","3.0","0.058823529411764705","0.17647058823529413","6.0","0.0","0.0","0.35294117647058826","0.0","1.0","6.0","6.0","0.058823529411764705","0.35294117647058826","5.0","9.0","45.0","0.29411764705882354","0.5294117647058824","0.0","7.0","0.0","0.0","0.4117647058823529","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"6","1.0","1.0","1.0","0.05555555555555555","0.05555555555555555","1.0","2.0","2.0","0.05555555555555555","0.1111111111111111","2.0","1.0","2.0","0.1111111111111111","0.05555555555555555","3.0","1.0","3.0","0.16666666666666666","0.05555555555555555","1.0","0.0","0.0","0.05555555555555555","0.0","2.0","0.0","0.0","0.1111111111111111","0.0","2.0","1.0","2.0","0.1111111111111111","0.05555555555555555","1.0","1.0","1.0","0.05555555555555555","0.05555555555555555","2.0","1.0","2.0","0.1111111111111111","0.05555555555555555","3.0","1.0","3.0","0.16666666666666666","0.05555555555555555","2.0","0.0","0.0","0.1111111111111111","0.0","2.0","1.0","2.0","0.1111111111111111","0.05555555555555555","1.0","4.0","4.0","0.05555555555555555","0.2222222222222222","6.0","0.0","0.0","0.3333333333333333","0.0","1.0","7.0","7.0","0.05555555555555555","0.3888888888888889","5.0","9.0","45.0","0.2777777777777778","0.5","0.0","8.0","0.0","0.0","0.4444444444444444","3.0","0.0","0.0","0.16666666666666666","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"7","1.0","1.0","1.0","0.05555555555555555","0.05555555555555555","1.0","2.0","2.0","0.05555555555555555","0.1111111111111111","2.0","1.0","2.0","0.1111111111111111","0.05555555555555555","3.0","1.0","3.0","0.16666666666666666","0.05555555555555555","1.0","0.0","0.0","0.05555555555555555","0.0","2.0","0.0","0.0","0.1111111111111111","0.0","2.0","1.0","2.0","0.1111111111111111","0.05555555555555555","1.0","1.0","1.0","0.05555555555555555","0.05555555555555555","2.0","1.0","2.0","0.1111111111111111","0.05555555555555555","3.0","1.0","3.0","0.16666666666666666","0.05555555555555555","2.0","0.0","0.0","0.1111111111111111","0.0","2.0","1.0","2.0","0.1111111111111111","0.05555555555555555","1.0","4.0","4.0","0.05555555555555555","0.2222222222222222","6.0","0.0","0.0","0.3333333333333333","0.0","1.0","7.0","7.0","0.05555555555555555","0.3888888888888889","5.0","9.0","45.0","0.2777777777777778","0.5","0.0","8.0","0.0","0.0","0.4444444444444444","3.0","0.0","0.0","0.16666666666666666","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"8","1.0","1.0","1.0","0.05","0.05","1.0","2.0","2.0","0.05","0.1","2.0","1.0","2.0","0.1","0.05","3.0","1.0","3.0","0.15","0.05","1.0","0.0","0.0","0.05","0.0","2.0","0.0","0.0","0.1","0.0","2.0","1.0","2.0","0.1","0.05","1.0","1.0","1.0","0.05","0.05","2.0","1.0","2.0","0.1","0.05","3.0","1.0","3.0","0.15","0.05","2.0","0.0","0.0","0.1","0.0","2.0","1.0","2.0","0.1","0.05","1.0","6.0","6.0","0.05","0.3","6.0","0.0","0.0","0.3","0.0","1.0","9.0","9.0","0.05","0.45","5.0","9.0","45.0","0.25","0.45","0.0","8.0","0.0","0.0","0.4","3.0","0.0","0.0","0.15","0.0","2.0","0.0","0.0","0.1","0.0","2.0","0.0","0.0","0.1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"9","1.0","1.0","1.0","0.05","0.05","1.0","2.0","2.0","0.05","0.1","2.0","1.0","2.0","0.1","0.05","3.0","1.0","3.0","0.15","0.05","1.0","0.0","0.0","0.05","0.0","2.0","0.0","0.0","0.1","0.0","2.0","1.0","2.0","0.1","0.05","1.0","1.0","1.0","0.05","0.05","2.0","1.0","2.0","0.1","0.05","3.0","1.0","3.0","0.15","0.05","2.0","0.0","0.0","0.1","0.0","2.0","1.0","2.0","0.1","0.05","1.0","6.0","6.0","0.05","0.3","6.0","0.0","0.0","0.3","0.0","1.0","9.0","9.0","0.05","0.45","5.0","9.0","45.0","0.25","0.45","0.0","8.0","0.0","0.0","0.4","3.0","0.0","0.0","0.15","0.0","2.0","0.0","0.0","0.1","0.0","2.0","0.0","0.0","0.1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"10","1.0","1.0","1.0","0.05","0.05","1.0","2.0","2.0","0.05","0.1","2.0","1.0","2.0","0.1","0.05","3.0","1.0","3.0","0.15","0.05","1.0","0.0","0.0","0.05","0.0","2.0","0.0","0.0","0.1","0.0","2.0","1.0","2.0","0.1","0.05","1.0","1.0","1.0","0.05","0.05","2.0","1.0","2.0","0.1","0.05","3.0","1.0","3.0","0.15","0.05","2.0","0.0","0.0","0.1","0.0","2.0","1.0","2.0","0.1","0.05","1.0","6.0","6.0","0.05","0.3","6.0","0.0","0.0","0.3","0.0","1.0","9.0","9.0","0.05","0.45","5.0","9.0","45.0","0.25","0.45","0.0","8.0","0.0","0.0","0.4","3.0","0.0","0.0","0.15","0.0","2.0","0.0","0.0","0.1","0.0","2.0","0.0","0.0","0.1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
