"release","RD1-ADS","RD1-AIS","RD1-ACS","RD1-RCS","RD1-RIS","RD2-ADS","RD2-AIS","RD2-ACS","RD2-RCS","RD2-RIS","RD3-ADS","RD3-AIS","RD3-ACS","RD3-RCS","RD3-RIS","RD4-ADS","RD4-AIS","RD4-ACS","RD4-RCS","RD4-RIS","RD5-ADS","RD5-AIS","RD5-ACS","RD5-RCS","RD5-RIS","RD6-ADS","RD6-AIS","RD6-ACS","RD6-RCS","RD6-RIS","CPS1-ADS","CPS1-AIS","CPS1-ACS","CPS1-RCS","CPS1-RIS","GTW-ADS","GTW-AIS","GTW-ACS","GTW-RCS","GTW-RIS","REG-ADS","REG-AIS","REG-ACS","REG-RCS","REG-RIS","MSB-ADS","MSB-AIS","MSB-ACS","MSB-RCS","MSB-RIS","MSV1-ADS","MSV1-AIS","MSV1-ACS","MSV1-RCS","MSV1-RIS","MSV2-ADS","MSV2-AIS","MSV2-ACS","MSV2-RCS","MSV2-RIS","MSV3-ADS","MSV3-AIS","MSV3-ACS","MSV3-RCS","MSV3-RIS"
"11","1.0","1.0","1.0","0.09090909090909091","0.09090909090909091","5.0","1.0","5.0","0.45454545454545453","0.09090909090909091","1.0","2.0","2.0","0.09090909090909091","0.18181818181818182","1.0","2.0","2.0","0.09090909090909091","0.18181818181818182","1.0","2.0","2.0","0.09090909090909091","0.18181818181818182","0.0","2.0","0.0","0.0","0.18181818181818182","1.0","1.0","1.0","0.09090909090909091","0.09090909090909091","5.0","0.0","0.0","0.45454545454545453","0.0","0.0","5.0","0.0","0.0","0.45454545454545453","4.0","3.0","12.0","0.36363636363636365","0.2727272727272727","1.0","1.0","1.0","0.09090909090909091","0.09090909090909091","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"12","1.0","1.0","1.0","0.09090909090909091","0.09090909090909091","5.0","1.0","5.0","0.45454545454545453","0.09090909090909091","1.0","2.0","2.0","0.09090909090909091","0.18181818181818182","1.0","2.0","2.0","0.09090909090909091","0.18181818181818182","1.0","2.0","2.0","0.09090909090909091","0.18181818181818182","0.0","2.0","0.0","0.0","0.18181818181818182","1.0","1.0","1.0","0.09090909090909091","0.09090909090909091","5.0","0.0","0.0","0.45454545454545453","0.0","0.0","5.0","0.0","0.0","0.45454545454545453","4.0","3.0","12.0","0.36363636363636365","0.2727272727272727","1.0","1.0","1.0","0.09090909090909091","0.09090909090909091","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"13","1.0","1.0","1.0","0.09090909090909091","0.09090909090909091","5.0","1.0","5.0","0.45454545454545453","0.09090909090909091","1.0","2.0","2.0","0.09090909090909091","0.18181818181818182","1.0","2.0","2.0","0.09090909090909091","0.18181818181818182","1.0","2.0","2.0","0.09090909090909091","0.18181818181818182","0.0","2.0","0.0","0.0","0.18181818181818182","1.0","1.0","1.0","0.09090909090909091","0.09090909090909091","5.0","0.0","0.0","0.45454545454545453","0.0","0.0","5.0","0.0","0.0","0.45454545454545453","4.0","3.0","12.0","0.36363636363636365","0.2727272727272727","1.0","1.0","1.0","0.09090909090909091","0.09090909090909091","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"14","1.0","1.0","1.0","0.09090909090909091","0.09090909090909091","5.0","1.0","5.0","0.45454545454545453","0.09090909090909091","1.0","2.0","2.0","0.09090909090909091","0.18181818181818182","1.0","2.0","2.0","0.09090909090909091","0.18181818181818182","1.0","2.0","2.0","0.09090909090909091","0.18181818181818182","0.0","2.0","0.0","0.0","0.18181818181818182","1.0","1.0","1.0","0.09090909090909091","0.09090909090909091","5.0","0.0","0.0","0.45454545454545453","0.0","0.0","5.0","0.0","0.0","0.45454545454545453","4.0","3.0","12.0","0.36363636363636365","0.2727272727272727","1.0","1.0","1.0","0.09090909090909091","0.09090909090909091","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"15","1.0","1.0","1.0","0.09090909090909091","0.09090909090909091","5.0","1.0","5.0","0.45454545454545453","0.09090909090909091","1.0","2.0","2.0","0.09090909090909091","0.18181818181818182","1.0","2.0","2.0","0.09090909090909091","0.18181818181818182","1.0","2.0","2.0","0.09090909090909091","0.18181818181818182","0.0","2.0","0.0","0.0","0.18181818181818182","1.0","1.0","1.0","0.09090909090909091","0.09090909090909091","5.0","0.0","0.0","0.45454545454545453","0.0","0.0","5.0","0.0","0.0","0.45454545454545453","4.0","3.0","12.0","0.36363636363636365","0.2727272727272727","1.0","1.0","1.0","0.09090909090909091","0.09090909090909091","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"16","1.0","1.0","1.0","0.09090909090909091","0.09090909090909091","5.0","1.0","5.0","0.45454545454545453","0.09090909090909091","1.0","2.0","2.0","0.09090909090909091","0.18181818181818182","1.0","2.0","2.0","0.09090909090909091","0.18181818181818182","1.0","2.0","2.0","0.09090909090909091","0.18181818181818182","0.0","2.0","0.0","0.0","0.18181818181818182","1.0","1.0","1.0","0.09090909090909091","0.09090909090909091","5.0","0.0","0.0","0.45454545454545453","0.0","0.0","5.0","0.0","0.0","0.45454545454545453","4.0","3.0","12.0","0.36363636363636365","0.2727272727272727","1.0","1.0","1.0","0.09090909090909091","0.09090909090909091","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"17","1.0","1.0","1.0","0.08333333333333333","0.08333333333333333","5.0","1.0","5.0","0.4166666666666667","0.08333333333333333","1.0","2.0","2.0","0.08333333333333333","0.16666666666666666","1.0","2.0","2.0","0.08333333333333333","0.16666666666666666","1.0","2.0","2.0","0.08333333333333333","0.16666666666666666","1.0","2.0","2.0","0.08333333333333333","0.16666666666666666","1.0","1.0","1.0","0.08333333333333333","0.08333333333333333","5.0","0.0","0.0","0.4166666666666667","0.0","0.0","6.0","0.0","0.0","0.5","4.0","3.0","12.0","0.3333333333333333","0.25","1.0","1.0","1.0","0.08333333333333333","0.08333333333333333","1.0","1.0","1.0","0.08333333333333333","0.08333333333333333","0.0","0.0","0.0","0.0","0.0"
"18","1.0","1.0","1.0","0.08333333333333333","0.08333333333333333","5.0","1.0","5.0","0.4166666666666667","0.08333333333333333","1.0","2.0","2.0","0.08333333333333333","0.16666666666666666","1.0","2.0","2.0","0.08333333333333333","0.16666666666666666","1.0","2.0","2.0","0.08333333333333333","0.16666666666666666","1.0","2.0","2.0","0.08333333333333333","0.16666666666666666","1.0","1.0","1.0","0.08333333333333333","0.08333333333333333","5.0","0.0","0.0","0.4166666666666667","0.0","0.0","6.0","0.0","0.0","0.5","4.0","3.0","12.0","0.3333333333333333","0.25","1.0","1.0","1.0","0.08333333333333333","0.08333333333333333","1.0","1.0","1.0","0.08333333333333333","0.08333333333333333","0.0","0.0","0.0","0.0","0.0"
"19","1.0","1.0","1.0","0.08333333333333333","0.08333333333333333","5.0","1.0","5.0","0.4166666666666667","0.08333333333333333","1.0","2.0","2.0","0.08333333333333333","0.16666666666666666","1.0","2.0","2.0","0.08333333333333333","0.16666666666666666","1.0","2.0","2.0","0.08333333333333333","0.16666666666666666","1.0","2.0","2.0","0.08333333333333333","0.16666666666666666","1.0","1.0","1.0","0.08333333333333333","0.08333333333333333","5.0","0.0","0.0","0.4166666666666667","0.0","0.0","6.0","0.0","0.0","0.5","4.0","3.0","12.0","0.3333333333333333","0.25","1.0","1.0","1.0","0.08333333333333333","0.08333333333333333","1.0","1.0","1.0","0.08333333333333333","0.08333333333333333","0.0","0.0","0.0","0.0","0.0"
"20","1.0","1.0","1.0","0.08333333333333333","0.08333333333333333","5.0","1.0","5.0","0.4166666666666667","0.08333333333333333","1.0","2.0","2.0","0.08333333333333333","0.16666666666666666","1.0","2.0","2.0","0.08333333333333333","0.16666666666666666","1.0","2.0","2.0","0.08333333333333333","0.16666666666666666","1.0","2.0","2.0","0.08333333333333333","0.16666666666666666","1.0","1.0","1.0","0.08333333333333333","0.08333333333333333","5.0","0.0","0.0","0.4166666666666667","0.0","0.0","6.0","0.0","0.0","0.5","4.0","3.0","12.0","0.3333333333333333","0.25","1.0","1.0","1.0","0.08333333333333333","0.08333333333333333","1.0","1.0","1.0","0.08333333333333333","0.08333333333333333","0.0","0.0","0.0","0.0","0.0"
"21","1.0","1.0","1.0","0.07692307692307693","0.07692307692307693","5.0","1.0","5.0","0.38461538461538464","0.07692307692307693","1.0","2.0","2.0","0.07692307692307693","0.15384615384615385","1.0","2.0","2.0","0.07692307692307693","0.15384615384615385","1.0","2.0","2.0","0.07692307692307693","0.15384615384615385","1.0","2.0","2.0","0.07692307692307693","0.15384615384615385","1.0","1.0","1.0","0.07692307692307693","0.07692307692307693","6.0","1.0","6.0","0.46153846153846156","0.07692307692307693","0.0","7.0","0.0","0.0","0.5384615384615384","4.0","3.0","12.0","0.3076923076923077","0.23076923076923078","1.0","1.0","1.0","0.07692307692307693","0.07692307692307693","1.0","1.0","1.0","0.07692307692307693","0.07692307692307693","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693"
