"release","RD1-ADS","RD1-AIS","RD1-ACS","RD1-RCS","RD1-RIS","RD2-ADS","RD2-AIS","RD2-ACS","RD2-RCS","RD2-RIS","RD3-ADS","RD3-AIS","RD3-ACS","RD3-RCS","RD3-RIS","RD4-ADS","RD4-AIS","RD4-ACS","RD4-RCS","RD4-RIS","RD5-ADS","RD5-AIS","RD5-ACS","RD5-RCS","RD5-RIS","GTW-ADS","GTW-AIS","GTW-ACS","GTW-RCS","GTW-RIS","REG-ADS","REG-AIS","REG-ACS","REG-RCS","REG-RIS","TRC-ADS","TRC-AIS","TRC-ACS","TRC-RCS","TRC-RIS","MSV1-ADS","MSV1-AIS","MSV1-ACS","MSV1-RCS","MSV1-RIS","MSV2-ADS","MSV2-AIS","MSV2-ACS","MSV2-RCS","MSV2-RIS"
"1","2.0","3.0","6.0","0.25","0.375","3.0","1.0","3.0","0.375","0.125","3.0","1.0","3.0","0.375","0.125","3.0","1.0","3.0","0.375","0.125","2.0","1.0","2.0","0.25","0.125","5.0","0.0","0.0","0.625","0.0","0.0","6.0","0.0","0.0","0.75","1.0","6.0","6.0","0.125","0.75","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2","2.0","3.0","6.0","0.25","0.375","3.0","1.0","3.0","0.375","0.125","3.0","1.0","3.0","0.375","0.125","3.0","1.0","3.0","0.375","0.125","2.0","1.0","2.0","0.25","0.125","5.0","0.0","0.0","0.625","0.0","0.0","6.0","0.0","0.0","0.75","1.0","6.0","6.0","0.125","0.75","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"3","2.0","3.0","6.0","0.25","0.375","3.0","1.0","3.0","0.375","0.125","3.0","1.0","3.0","0.375","0.125","3.0","1.0","3.0","0.375","0.125","2.0","1.0","2.0","0.25","0.125","5.0","0.0","0.0","0.625","0.0","0.0","6.0","0.0","0.0","0.75","1.0","6.0","6.0","0.125","0.75","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"4","2.0","3.0","6.0","0.25","0.375","3.0","1.0","3.0","0.375","0.125","3.0","1.0","3.0","0.375","0.125","3.0","1.0","3.0","0.375","0.125","2.0","1.0","2.0","0.25","0.125","5.0","0.0","0.0","0.625","0.0","0.0","6.0","0.0","0.0","0.75","1.0","6.0","6.0","0.125","0.75","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"5","2.0","3.0","6.0","0.25","0.375","3.0","1.0","3.0","0.375","0.125","3.0","1.0","3.0","0.375","0.125","3.0","1.0","3.0","0.375","0.125","2.0","1.0","2.0","0.25","0.125","5.0","0.0","0.0","0.625","0.0","0.0","6.0","0.0","0.0","0.75","1.0","6.0","6.0","0.125","0.75","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"6","2.0","2.0","4.0","0.2222222222222222","0.2222222222222222","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","5.0","0.0","0.0","0.5555555555555556","0.0","0.0","7.0","0.0","0.0","0.7777777777777778","1.0","7.0","7.0","0.1111111111111111","0.7777777777777778","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","0.0","0.0","0.0","0.0","0.0"
"7","2.0","2.0","4.0","0.2222222222222222","0.2222222222222222","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","5.0","0.0","0.0","0.5555555555555556","0.0","0.0","7.0","0.0","0.0","0.7777777777777778","1.0","7.0","7.0","0.1111111111111111","0.7777777777777778","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","0.0","0.0","0.0","0.0","0.0"
"8","2.0","2.0","4.0","0.2222222222222222","0.2222222222222222","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","5.0","0.0","0.0","0.5555555555555556","0.0","0.0","7.0","0.0","0.0","0.7777777777777778","1.0","7.0","7.0","0.1111111111111111","0.7777777777777778","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","0.0","0.0","0.0","0.0","0.0"
"9","2.0","2.0","4.0","0.2222222222222222","0.2222222222222222","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","5.0","0.0","0.0","0.5555555555555556","0.0","0.0","7.0","0.0","0.0","0.7777777777777778","1.0","7.0","7.0","0.1111111111111111","0.7777777777777778","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","0.0","0.0","0.0","0.0","0.0"
"10","2.0","1.0","2.0","0.2","0.1","3.0","1.0","3.0","0.3","0.1","3.0","1.0","3.0","0.3","0.1","3.0","1.0","3.0","0.3","0.1","2.0","1.0","2.0","0.2","0.1","5.0","0.0","0.0","0.5","0.0","0.0","8.0","0.0","0.0","0.8","1.0","7.0","7.0","0.1","0.7","2.0","1.0","2.0","0.2","0.1","1.0","1.0","1.0","0.1","0.1"
"11","2.0","1.0","2.0","0.2","0.1","3.0","1.0","3.0","0.3","0.1","3.0","1.0","3.0","0.3","0.1","3.0","1.0","3.0","0.3","0.1","2.0","1.0","2.0","0.2","0.1","5.0","0.0","0.0","0.5","0.0","0.0","8.0","0.0","0.0","0.8","1.0","7.0","7.0","0.1","0.7","2.0","1.0","2.0","0.2","0.1","1.0","1.0","1.0","0.1","0.1"
"12","2.0","1.0","2.0","0.2","0.1","3.0","1.0","3.0","0.3","0.1","3.0","1.0","3.0","0.3","0.1","3.0","1.0","3.0","0.3","0.1","2.0","1.0","2.0","0.2","0.1","5.0","0.0","0.0","0.5","0.0","0.0","8.0","0.0","0.0","0.8","1.0","7.0","7.0","0.1","0.7","2.0","1.0","2.0","0.2","0.1","1.0","1.0","1.0","0.1","0.1"
"13","2.0","1.0","2.0","0.2","0.1","3.0","1.0","3.0","0.3","0.1","3.0","1.0","3.0","0.3","0.1","3.0","1.0","3.0","0.3","0.1","2.0","1.0","2.0","0.2","0.1","5.0","0.0","0.0","0.5","0.0","0.0","8.0","0.0","0.0","0.8","1.0","7.0","7.0","0.1","0.7","2.0","1.0","2.0","0.2","0.1","1.0","1.0","1.0","0.1","0.1"
"14","2.0","1.0","2.0","0.2","0.1","3.0","1.0","3.0","0.3","0.1","3.0","1.0","3.0","0.3","0.1","3.0","1.0","3.0","0.3","0.1","2.0","1.0","2.0","0.2","0.1","5.0","0.0","0.0","0.5","0.0","0.0","8.0","0.0","0.0","0.8","1.0","7.0","7.0","0.1","0.7","2.0","1.0","2.0","0.2","0.1","1.0","1.0","1.0","0.1","0.1"
