"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","RD1-ADS","RD1-GINI -ADS","RD1-AIS","RD1-GINI -AIS","RD2-ADS","RD2-GINI -ADS","RD2-AIS","RD2-GINI -AIS","RD3-ADS","RD3-GINI -ADS","RD3-AIS","RD3-GINI -AIS","RD4-ADS","RD4-GINI -ADS","RD4-AIS","RD4-GINI -AIS","RD5-ADS","RD5-GINI -ADS","RD5-AIS","RD5-GINI -AIS","RD6-ADS","RD6-GINI -ADS","RD6-AIS","RD6-GINI -AIS","RD7-ADS","RD7-GINI -ADS","RD7-AIS","RD7-GINI -AIS","RD8-ADS","RD8-GINI -ADS","RD8-AIS","RD8-GINI -AIS","RD9-ADS","RD9-GINI -ADS","RD9-AIS","RD9-GINI -AIS","RD10-ADS","RD10-GINI -ADS","RD10-AIS","RD10-GINI -AIS","RD11-ADS","RD11-GINI -ADS","RD11-AIS","RD11-GINI -AIS","RD12-ADS","RD12-GINI -ADS","RD12-AIS","RD12-GINI -AIS","RD13-ADS","RD13-GINI -ADS","RD13-AIS","RD13-GINI -AIS","RD14-ADS","RD14-GINI -ADS","RD14-AIS","RD14-GINI -AIS","RD15-ADS","RD15-GINI -ADS","RD15-AIS","RD15-GINI -AIS","RD16-ADS","RD16-GINI -ADS","RD16-AIS","RD16-GINI -AIS","RD17-ADS","RD17-GINI -ADS","RD17-AIS","RD17-GINI -AIS","RD18-ADS","RD18-GINI -ADS","RD18-AIS","RD18-GINI -AIS","RD19-ADS","RD19-GINI -ADS","RD19-AIS","RD19-GINI -AIS","RD20-ADS","RD20-GINI -ADS","RD20-AIS","RD20-GINI -AIS","CPS1-ADS","CPS1-GINI -ADS","CPS1-AIS","CPS1-GINI -AIS","CPS2-ADS","CPS2-GINI -ADS","CPS2-AIS","CPS2-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","TRC-ADS","TRC-GINI -ADS","TRC-AIS","TRC-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS","MSV2-ADS","MSV2-GINI -ADS","MSV2-AIS","MSV2-GINI -AIS","MSV3-ADS","MSV3-GINI -ADS","MSV3-AIS","MSV3-GINI -AIS","MSV4-ADS","MSV4-GINI -ADS","MSV4-AIS","MSV4-GINI -AIS","MSV5-ADS","MSV5-GINI -ADS","MSV5-AIS","MSV5-GINI -AIS","MSV6-ADS","MSV6-GINI -ADS","MSV6-AIS","MSV6-GINI -AIS","MSV7-ADS","MSV7-GINI -ADS","MSV7-AIS","MSV7-GINI -AIS","MSV8-ADS","MSV8-GINI -ADS","MSV8-AIS","MSV8-GINI -AIS","MSV9-ADS","MSV9-GINI -ADS","MSV9-AIS","MSV9-GINI -AIS","MSV10-ADS","MSV10-GINI -ADS","MSV10-AIS","MSV10-GINI -AIS","MSV11-ADS","MSV11-GINI -ADS","MSV11-AIS","MSV11-GINI -AIS","MSV12-ADS","MSV12-GINI -ADS","MSV12-AIS","MSV12-GINI -AIS","MSV13-ADS","MSV13-GINI -ADS","MSV13-AIS","MSV13-GINI -AIS","MSV14-ADS","MSV14-GINI -ADS","MSV14-AIS","MSV14-GINI -AIS","MSV15-ADS","MSV15-GINI -ADS","MSV15-AIS","MSV15-GINI -AIS","MSV16-ADS","MSV16-GINI -ADS","MSV16-AIS","MSV16-GINI -AIS","MSV17-ADS","MSV17-GINI -ADS","MSV17-AIS","MSV17-GINI -AIS"
"0","0.3244048","0.6061508","0.15217391304347827","3.5","5.0","0","1.0","0","3.0","0","3.0","0","15.0","0","0.0","0","6.0","0","2.0","0","4.0","0","2.0","0","3.0","0","0.0","0","3.0","0","2.0","0","4.0","0","1.0","0","2.0","0","3.0","0","2.0","0","4.0","0","3.0","0","1.0","0","3.0","0","2.0","0","4.0","0","3.0","0","3.0","0","1.0","0","3.0","0","3.0","0","4.0","0","2.0","0","3.0","0","3.0","0","2.0","0","2.0","0","2.0","0","4.0","0","1.0","0","1.0","0","4.0","0","0.0","0","4.0","0","0.0","0","0.0","0","22.0","0","1.0","0","22.0","0","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0"
"1","0.3244048","0.6061508","0.15217391304347827","3.5","5.0","0","1.0","0","3.0","0","3.0","0","15.0","0","0.0","0","6.0","0","2.0","0","4.0","0","2.0","0","3.0","0","0.0","0","3.0","0","2.0","0","4.0","0","1.0","0","2.0","0","3.0","0","2.0","0","4.0","0","3.0","0","1.0","0","3.0","0","2.0","0","4.0","0","3.0","0","3.0","0","1.0","0","3.0","0","3.0","0","4.0","0","2.0","0","3.0","0","3.0","0","2.0","0","2.0","0","2.0","0","4.0","0","1.0","0","1.0","0","4.0","0","0.0","0","4.0","0","0.0","0","0.0","0","22.0","0","1.0","0","22.0","0","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0"
"2","0.3244048","0.6061508","0.15217391304347827","3.5","5.0","0","1.0","0","3.0","0","3.0","0","15.0","0","0.0","0","6.0","0","2.0","0","4.0","0","2.0","0","3.0","0","0.0","0","3.0","0","2.0","0","4.0","0","1.0","0","2.0","0","3.0","0","2.0","0","4.0","0","3.0","0","1.0","0","3.0","0","2.0","0","4.0","0","3.0","0","3.0","0","1.0","0","3.0","0","3.0","0","4.0","0","2.0","0","3.0","0","3.0","0","2.0","0","2.0","0","2.0","0","4.0","0","1.0","0","1.0","0","4.0","0","0.0","0","4.0","0","0.0","0","0.0","0","22.0","0","1.0","0","22.0","0","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0"
"3","0.3246512","0.6260465","0.14333333333333334","3.44","5.0","0","1.0","0","3.0","0","3.0","0","15.0","0","0.0","0","6.0","0","2.0","0","4.0","0","2.0","0","3.0","0","0.0","0","3.0","0","2.0","0","4.0","0","1.0","0","2.0","0","3.0","0","2.0","0","4.0","0","3.0","0","1.0","0","3.0","0","2.0","0","4.0","0","3.0","0","3.0","0","1.0","0","3.0","0","4.0","0.05769231","4.0","0","2.0","0","3.0","0","3.0","0","2.0","0","2.0","0","2.0","0","4.0","0","1.0","0","1.0","0","4.0","0","0.0","0","4.0","0","0.0","0","0.0","0","23.0","0.008426966","1.0","0","22.0","0","2.0","0","0.0","0","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0"
"4","0.3246512","0.6260465","0.14333333333333334","3.44","5.0","0","1.0","0","3.0","0","3.0","0","15.0","0","0.0","0","6.0","0","2.0","0","4.0","0","2.0","0","3.0","0","0.0","0","3.0","0","2.0","0","4.0","0","1.0","0","2.0","0","3.0","0","2.0","0","4.0","0","3.0","0","1.0","0","3.0","0","2.0","0","4.0","0","3.0","0","3.0","0","1.0","0","3.0","0","4.0","0.07058824","4.0","0","2.0","0","3.0","0","3.0","0","2.0","0","2.0","0","2.0","0","4.0","0","1.0","0","1.0","0","4.0","0","0.0","0","4.0","0","0.0","0","0.0","0","23.0","0.01071429","1.0","0","22.0","0","2.0","0","0.0","0","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0"
"5","0.3305964","0.6331029","0.13692307692307693","3.423076923076923","5.0","0","1.0","0","3.0","0","3.0","0","15.0","0","0.0","0","7.0","0.02252252","2.0","0","4.0","0","2.0","0","3.0","0","0.0","0","3.0","0","2.0","0","4.0","0","1.0","0","2.0","0","3.0","0","2.0","0","4.0","0","3.0","0","1.0","0","3.0","0","2.0","0","4.0","0","3.0","0","3.0","0","1.0","0","3.0","0","4.0","0.07142857","4.0","0","2.0","0","3.0","0","3.0","0","2.0","0","2.0","0","2.0","0","4.0","0","1.0","0","1.0","0","4.0","0","0.0","0","4.0","0","0.0","0","0.0","0","24.0","0.01715686","1.0","0","23.0","0.006265664","2.0","0","0.0","0","2.0","0","1.0","0","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0"
"6","0.3389058","0.6420973","0.12433862433862433","3.357142857142857","5.0","0","1.0","0","3.0","0","3.0","0","15.0","0","0.0","0","7.0","0.03246753","2.0","0","4.0","0","2.0","0","3.0","0","0.0","0","3.0","0","2.0","0","4.0","0","1.0","0","2.0","0","3.0","0","2.0","0","4.0","0","3.0","0","1.0","0","3.0","0","2.0","0","4.0","0","3.0","0","3.0","0","1.0","0","4.0","0.03896104","4.0","0.06857143","4.0","0","2.0","0","4.0","0.03896104","3.0","0","2.0","0","2.0","0","2.0","0","4.0","0","1.0","0","1.0","0","4.0","0","0.0","0","4.0","0","0.0","0","0.0","0","26.0","0.02998236","1.0","0","24.0","0.01455869","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0"
"7","0.3419836","0.6469961","0.11945812807881774","3.3448275862068964","5.0","0","1.0","0","3.0","0","3.0","0","15.0","0","0.0","0","7.0","0.03676471","2.0","0","4.0","0","2.0","0","3.0","0","0.0","0","3.0","0","2.0","0","4.0","0","1.0","0","2.0","0","3.0","0","2.0","0","4.0","0","3.0","0","1.0","0","3.0","0","2.0","0","5.0","0.02651515","3.0","0","3.0","0","1.0","0","4.0","0.05769231","4.0","0.06465517","4.0","0","2.0","0","4.0","0.05769231","3.0","0","2.0","0","2.0","0","2.0","0","4.0","0","1.0","0","1.0","0","4.0","0","0.0","0","4.0","0","0.0","0","0.0","0","27.0","0.04034392","1.0","0","25.0","0.02335165","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","2.0","0","1.0","0","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0"
"8","0.3419836","0.6469961","0.11945812807881774","3.3448275862068964","5.0","0","1.0","0","3.0","0","3.0","0","15.0","0","0.0","0","7.0","0.03831418","2.0","0","4.0","0","2.0","0","3.0","0","0.0","0","3.0","0","2.0","0","4.0","0","1.0","0","2.0","0","3.0","0","2.0","0","4.0","0","3.0","0","1.0","0","3.0","0","2.0","0","5.0","0.04093567","3.0","0","3.0","0","1.0","0","4.0","0.06666667","4.0","0.06060606","4.0","0","2.0","0","4.0","0.06666667","3.0","0","2.0","0","2.0","0","2.0","0","4.0","0","1.0","0","1.0","0","4.0","0","0.0","0","4.0","0","0.0","0","0.0","0","27.0","0.04526749","1.0","0","25.0","0.02791197","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","2.0","0","1.0","0","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0"
"9","0.3419836","0.6469961","0.11945812807881774","3.3448275862068964","5.0","0","1.0","0","3.0","0","3.0","0","15.0","0","0.0","0","7.0","0.03846154","2.0","0","4.0","0","2.0","0","3.0","0","0.0","0","3.0","0","2.0","0","4.0","0","1.0","0","2.0","0","3.0","0","2.0","0","4.0","0","3.0","0","1.0","0","3.0","0","2.0","0","5.0","0.04883721","3.0","0","3.0","0","1.0","0","4.0","0.07058824","4.0","0.05675676","4.0","0","2.0","0","4.0","0.07058824","3.0","0","2.0","0","2.0","0","2.0","0","4.0","0","1.0","0","1.0","0","4.0","0","0.0","0","4.0","0","0.0","0","0.0","0","27.0","0.04732510","1.0","0","25.0","0.03017241","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","2.0","0","1.0","0","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0"
