"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","BA1-ADS","BA1-GINI -ADS","BA1-AIS","BA1-GINI -AIS","BA2-ADS","BA2-GINI -ADS","BA2-AIS","BA2-GINI -AIS","BA3-ADS","BA3-GINI -ADS","BA3-AIS","BA3-GINI -AIS","BA4-ADS","BA4-GINI -ADS","BA4-AIS","BA4-GINI -AIS","BA5-ADS","BA5-GINI -ADS","BA5-AIS","BA5-GINI -AIS","BA6-ADS","BA6-GINI -ADS","BA6-AIS","BA6-GINI -AIS","BA7-ADS","BA7-GINI -ADS","BA7-AIS","BA7-GINI -AIS","BA8-ADS","BA8-GINI -ADS","BA8-AIS","BA8-GINI -AIS","BA9-ADS","BA9-GINI -ADS","BA9-AIS","BA9-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS","TRC-ADS","TRC-GINI -ADS","TRC-AIS","TRC-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"0","0.2551595","0.5778612","0.26282051282051283","3.1538461538461537","3.0","0","2.0","0","3.0","0","7.0","0","3.0","0","1.0","0","3.0","0","0.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","7.0","0","0.0","0","1.0","0","10.0","0","1.0","0","5.0","0","1.0","0","11.0","0","0.0","","0.0"
"1","0.2551595","0.5778612","0.26282051282051283","3.1538461538461537","3.0","0","2.0","0","3.0","0","7.0","0","3.0","0","1.0","0","3.0","0","0.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","7.0","0","0.0","0","1.0","0","10.0","0","1.0","0","5.0","0","1.0","0","11.0","0","0.0","","0.0"
"2","0.2551595","0.5778612","0.26282051282051283","3.1538461538461537","3.0","0","2.0","0","3.0","0","7.0","0","3.0","0","1.0","0","3.0","0","0.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","7.0","0","0.0","0","1.0","0","10.0","0","1.0","0","5.0","0","1.0","0","11.0","0","0.0","","0.0"
"3","0.2551595","0.5778612","0.26282051282051283","3.1538461538461537","3.0","0","2.0","0","3.0","0","7.0","0","3.0","0","1.0","0","3.0","0","0.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","7.0","0","0.0","0","1.0","0","10.0","0","1.0","0","5.0","0","1.0","0","11.0","0","0.0","","0.0"
"4","0.2435065","0.5779221","0.24175824175824176","3.142857142857143","3.0","0","2.0","0","3.0","0","4.0","0.075","3.0","0","1.0","0","3.0","0","0.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","7.0","0","0.0","0","1.0","0","11.0","0.01568627","1.0","0","6.0","0.03076923","1.0","0","12.0","0.01428571","3.0","0","3.0","0"
"5","0.2435065","0.5779221","0.24175824175824176","3.142857142857143","3.0","0","2.0","0","3.0","0","4.0","0.1111111","3.0","0","1.0","0","3.0","0","0.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","7.0","0","0.0","0","1.0","0","11.0","0.02150538","1.0","0","6.0","0.04166667","1.0","0","12.0","0.01960784","3.0","0","3.0","0"
"6","0.2435065","0.5779221","0.24175824175824176","3.142857142857143","3.0","0","2.0","0","3.0","0","4.0","0.1285714","3.0","0","1.0","0","3.0","0","0.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","7.0","0","0.0","0","1.0","0","11.0","0.02348337","1.0","0","6.0","0.04511278","1.0","0","12.0","0.02142857","3.0","0","3.0","0"
"7","0.2435065","0.5779221","0.24175824175824176","3.142857142857143","3.0","0","2.0","0","3.0","0","4.0","0.1363636","3.0","0","1.0","0","3.0","0","0.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","7.0","0","0.0","0","1.0","0","11.0","0.02380952","1.0","0","6.0","0.04545455","1.0","0","12.0","0.02173913","3.0","0","3.0","0"
"8","0.2435065","0.5779221","0.24175824175824176","3.142857142857143","3.0","0","2.0","0","3.0","0","4.0","0.1388889","3.0","0","1.0","0","3.0","0","0.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","7.0","0","0.0","0","1.0","0","11.0","0.02339181","1.0","0","6.0","0.04444444","1.0","0","12.0","0.02136752","3.0","0","3.0","0"
"9","0.2435065","0.5779221","0.24175824175824176","3.142857142857143","3.0","0","2.0","0","3.0","0","4.0","0.1384615","3.0","0","1.0","0","3.0","0","0.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","7.0","0","0.0","0","1.0","0","11.0","0.02264151","1.0","0","6.0","0.04285714","1.0","0","12.0","0.02068966","3.0","0","3.0","0"
