"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","RD1-ADS","RD1-GINI -ADS","RD1-AIS","RD1-GINI -AIS","RD2-ADS","RD2-GINI -ADS","RD2-AIS","RD2-GINI -AIS","RD3-ADS","RD3-GINI -ADS","RD3-AIS","RD3-GINI -AIS","RD4-ADS","RD4-GINI -ADS","RD4-AIS","RD4-GINI -AIS","RD5-ADS","RD5-GINI -ADS","RD5-AIS","RD5-GINI -AIS","RD6-ADS","RD6-GINI -ADS","RD6-AIS","RD6-GINI -AIS","RD7-ADS","RD7-GINI -ADS","RD7-AIS","RD7-GINI -AIS","RD8-ADS","RD8-GINI -ADS","RD8-AIS","RD8-GINI -AIS","RD9-ADS","RD9-GINI -ADS","RD9-AIS","RD9-GINI -AIS","RD10-ADS","RD10-GINI -ADS","RD10-AIS","RD10-GINI -AIS","RD11-ADS","RD11-GINI -ADS","RD11-AIS","RD11-GINI -AIS","RD12-ADS","RD12-GINI -ADS","RD12-AIS","RD12-GINI -AIS","RD13-ADS","RD13-GINI -ADS","RD13-AIS","RD13-GINI -AIS","RD14-ADS","RD14-GINI -ADS","RD14-AIS","RD14-GINI -AIS","RD15-ADS","RD15-GINI -ADS","RD15-AIS","RD15-GINI -AIS","RD16-ADS","RD16-GINI -ADS","RD16-AIS","RD16-GINI -AIS","RD17-ADS","RD17-GINI -ADS","RD17-AIS","RD17-GINI -AIS","CPS1-ADS","CPS1-GINI -ADS","CPS1-AIS","CPS1-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","MSB-ADS","MSB-GINI -ADS","MSB-AIS","MSB-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS","TRC-ADS","TRC-GINI -ADS","TRC-AIS","TRC-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"0","0.3001060","0.5832450","0.16205533596837945","3.5652173913043477","3.0","0","1.0","0","3.0","0","11.0","0","3.0","0","1.0","0","4.0","0","2.0","0","4.0","0","2.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","4.0","0","1.0","0","3.0","0","2.0","0","2.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","8.0","0","1.0","0","3.0","0","0.0","0","1.0","0","9.0","0","13.0","0","11.0","0","1.0","0","9.0","0","1.0","0","20.0","0","0.0","","0.0"
"1","0.3001060","0.5832450","0.16205533596837945","3.5652173913043477","3.0","0","1.0","0","3.0","0","11.0","0","3.0","0","1.0","0","4.0","0","2.0","0","4.0","0","2.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","4.0","0","1.0","0","3.0","0","2.0","0","2.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","8.0","0","1.0","0","3.0","0","0.0","0","1.0","0","9.0","0","13.0","0","11.0","0","1.0","0","9.0","0","1.0","0","20.0","0","0.0","","0.0"
"2","0.3001060","0.5832450","0.16205533596837945","3.5652173913043477","3.0","0","1.0","0","3.0","0","11.0","0","3.0","0","1.0","0","4.0","0","2.0","0","4.0","0","2.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","4.0","0","1.0","0","3.0","0","2.0","0","2.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","8.0","0","1.0","0","3.0","0","0.0","0","1.0","0","9.0","0","13.0","0","11.0","0","1.0","0","9.0","0","1.0","0","20.0","0","0.0","","0.0"
"3","0.3001060","0.5832450","0.16205533596837945","3.5652173913043477","3.0","0","1.0","0","3.0","0","11.0","0","3.0","0","1.0","0","4.0","0","2.0","0","4.0","0","2.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","4.0","0","1.0","0","3.0","0","2.0","0","2.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","8.0","0","1.0","0","3.0","0","0.0","0","1.0","0","9.0","0","13.0","0","11.0","0","1.0","0","9.0","0","1.0","0","20.0","0","0.0","","0.0"
"4","0.3001060","0.5832450","0.16205533596837945","3.5652173913043477","3.0","0","1.0","0","3.0","0","11.0","0","3.0","0","1.0","0","4.0","0","2.0","0","4.0","0","2.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","4.0","0","1.0","0","3.0","0","2.0","0","2.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","8.0","0","1.0","0","3.0","0","0.0","0","1.0","0","9.0","0","13.0","0","11.0","0","1.0","0","9.0","0","1.0","0","20.0","0","0.0","","0.0"
"5","0.3001060","0.5832450","0.16205533596837945","3.5652173913043477","3.0","0","1.0","0","3.0","0","11.0","0","3.0","0","1.0","0","4.0","0","2.0","0","4.0","0","2.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","4.0","0","1.0","0","3.0","0","2.0","0","2.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","8.0","0","1.0","0","3.0","0","0.0","0","1.0","0","9.0","0","13.0","0","11.0","0","1.0","0","9.0","0","1.0","0","20.0","0","0.0","","0.0"
"6","0.3015873","0.5763889","0.15217391304347827","3.5","3.0","0","1.0","0","3.0","0","6.0","0.05952381","3.0","0","1.0","0","4.0","0","2.0","0","4.0","0","2.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","4.0","0","1.0","0","3.0","0","2.0","0","2.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","8.0","0","1.0","0","3.0","0","0.0","0","1.0","0","10.0","0.01339286","13.0","0","11.0","0","1.0","0","9.0","0","1.0","0","21.0","0.006079027","2.0","0","5.0","0"
"7","0.3015873","0.5763889","0.15217391304347827","3.5","3.0","0","1.0","0","3.0","0","6.0","0.09615385","3.0","0","1.0","0","4.0","0","2.0","0","4.0","0","2.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","4.0","0","1.0","0","3.0","0","2.0","0","2.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","8.0","0","1.0","0","3.0","0","0.0","0","1.0","0","10.0","0.02027027","13.0","0","11.0","0","1.0","0","9.0","0","1.0","0","21.0","0.009259259","2.0","0","5.0","0"
"8","0.3015873","0.5763889","0.15217391304347827","3.5","3.0","0","1.0","0","3.0","0","6.0","0.1190476","3.0","0","1.0","0","4.0","0","2.0","0","4.0","0","2.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","4.0","0","1.0","0","3.0","0","2.0","0","2.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","8.0","0","1.0","0","3.0","0","0.0","0","1.0","0","10.0","0.02380952","13.0","0","11.0","0","1.0","0","9.0","0","1.0","0","21.0","0.01092896","2.0","0","5.0","0"
"9","0.3015873","0.5763889","0.15217391304347827","3.5","3.0","0","1.0","0","3.0","0","6.0","0.1333333","3.0","0","1.0","0","4.0","0","2.0","0","4.0","0","2.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","4.0","0","1.0","0","3.0","0","2.0","0","2.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","8.0","0","1.0","0","3.0","0","0.0","0","1.0","0","10.0","0.02553191","13.0","0","11.0","0","1.0","0","9.0","0","1.0","0","21.0","0.01176471","2.0","0","5.0","0"
