"release","RD1-ADS","RD1-AIS","RD1-ACS","RD1-RCS","RD1-RIS","RD2-ADS","RD2-AIS","RD2-ACS","RD2-RCS","RD2-RIS","RD3-ADS","RD3-AIS","RD3-ACS","RD3-RCS","RD3-RIS","RD4-ADS","RD4-AIS","RD4-ACS","RD4-RCS","RD4-RIS","RD5-ADS","RD5-AIS","RD5-ACS","RD5-RCS","RD5-RIS","RD6-ADS","RD6-AIS","RD6-ACS","RD6-RCS","RD6-RIS","CPS1-ADS","CPS1-AIS","CPS1-ACS","CPS1-RCS","CPS1-RIS","GTW-ADS","GTW-AIS","GTW-ACS","GTW-RCS","GTW-RIS","REG-ADS","REG-AIS","REG-ACS","REG-RCS","REG-RIS","MSB-ADS","MSB-AIS","MSB-ACS","MSB-RCS","MSB-RIS","TRC-ADS","TRC-AIS","TRC-ACS","TRC-RCS","TRC-RIS","MSV1-ADS","MSV1-AIS","MSV1-ACS","MSV1-RCS","MSV1-RIS","MSV2-ADS","MSV2-AIS","MSV2-ACS","MSV2-RCS","MSV2-RIS","MSV3-ADS","MSV3-AIS","MSV3-ACS","MSV3-RCS","MSV3-RIS","MSV4-ADS","MSV4-AIS","MSV4-ACS","MSV4-RCS","MSV4-RIS","MSV5-ADS","MSV5-AIS","MSV5-ACS","MSV5-RCS","MSV5-RIS"
"1","2.0","2.0","4.0","0.18181818181818182","0.18181818181818182","2.0","2.0","4.0","0.18181818181818182","0.18181818181818182","2.0","2.0","4.0","0.18181818181818182","0.18181818181818182","2.0","2.0","4.0","0.18181818181818182","0.18181818181818182","2.0","1.0","2.0","0.18181818181818182","0.09090909090909091","6.0","1.0","6.0","0.5454545454545454","0.09090909090909091","2.0","1.0","2.0","0.18181818181818182","0.09090909090909091","4.0","0.0","0.0","0.36363636363636365","0.0","0.0","5.0","0.0","0.0","0.45454545454545453","5.0","4.0","20.0","0.45454545454545453","0.36363636363636365","1.0","8.0","8.0","0.09090909090909091","0.7272727272727273","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2","2.0","2.0","4.0","0.18181818181818182","0.18181818181818182","2.0","2.0","4.0","0.18181818181818182","0.18181818181818182","2.0","2.0","4.0","0.18181818181818182","0.18181818181818182","2.0","2.0","4.0","0.18181818181818182","0.18181818181818182","2.0","1.0","2.0","0.18181818181818182","0.09090909090909091","6.0","1.0","6.0","0.5454545454545454","0.09090909090909091","2.0","1.0","2.0","0.18181818181818182","0.09090909090909091","4.0","0.0","0.0","0.36363636363636365","0.0","0.0","5.0","0.0","0.0","0.45454545454545453","5.0","4.0","20.0","0.45454545454545453","0.36363636363636365","1.0","8.0","8.0","0.09090909090909091","0.7272727272727273","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"3","2.0","2.0","4.0","0.18181818181818182","0.18181818181818182","2.0","2.0","4.0","0.18181818181818182","0.18181818181818182","2.0","2.0","4.0","0.18181818181818182","0.18181818181818182","2.0","2.0","4.0","0.18181818181818182","0.18181818181818182","2.0","1.0","2.0","0.18181818181818182","0.09090909090909091","6.0","1.0","6.0","0.5454545454545454","0.09090909090909091","2.0","1.0","2.0","0.18181818181818182","0.09090909090909091","4.0","0.0","0.0","0.36363636363636365","0.0","0.0","5.0","0.0","0.0","0.45454545454545453","5.0","4.0","20.0","0.45454545454545453","0.36363636363636365","1.0","8.0","8.0","0.09090909090909091","0.7272727272727273","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"4","2.0","2.0","4.0","0.18181818181818182","0.18181818181818182","2.0","2.0","4.0","0.18181818181818182","0.18181818181818182","2.0","2.0","4.0","0.18181818181818182","0.18181818181818182","2.0","2.0","4.0","0.18181818181818182","0.18181818181818182","2.0","1.0","2.0","0.18181818181818182","0.09090909090909091","6.0","1.0","6.0","0.5454545454545454","0.09090909090909091","2.0","1.0","2.0","0.18181818181818182","0.09090909090909091","4.0","0.0","0.0","0.36363636363636365","0.0","0.0","5.0","0.0","0.0","0.45454545454545453","5.0","4.0","20.0","0.45454545454545453","0.36363636363636365","1.0","8.0","8.0","0.09090909090909091","0.7272727272727273","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"5","2.0","2.0","4.0","0.18181818181818182","0.18181818181818182","2.0","2.0","4.0","0.18181818181818182","0.18181818181818182","2.0","2.0","4.0","0.18181818181818182","0.18181818181818182","2.0","2.0","4.0","0.18181818181818182","0.18181818181818182","2.0","1.0","2.0","0.18181818181818182","0.09090909090909091","6.0","1.0","6.0","0.5454545454545454","0.09090909090909091","2.0","1.0","2.0","0.18181818181818182","0.09090909090909091","4.0","0.0","0.0","0.36363636363636365","0.0","0.0","5.0","0.0","0.0","0.45454545454545453","5.0","4.0","20.0","0.45454545454545453","0.36363636363636365","1.0","8.0","8.0","0.09090909090909091","0.7272727272727273","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"6","2.0","2.0","4.0","0.16666666666666666","0.16666666666666666","2.0","2.0","4.0","0.16666666666666666","0.16666666666666666","2.0","2.0","4.0","0.16666666666666666","0.16666666666666666","2.0","2.0","4.0","0.16666666666666666","0.16666666666666666","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","6.0","1.0","6.0","0.5","0.08333333333333333","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","5.0","1.0","5.0","0.4166666666666667","0.08333333333333333","0.0","6.0","0.0","0.0","0.5","5.0","4.0","20.0","0.4166666666666667","0.3333333333333333","1.0","8.0","8.0","0.08333333333333333","0.6666666666666666","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"7","2.0","2.0","4.0","0.16666666666666666","0.16666666666666666","2.0","2.0","4.0","0.16666666666666666","0.16666666666666666","2.0","2.0","4.0","0.16666666666666666","0.16666666666666666","2.0","2.0","4.0","0.16666666666666666","0.16666666666666666","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","6.0","1.0","6.0","0.5","0.08333333333333333","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","5.0","1.0","5.0","0.4166666666666667","0.08333333333333333","0.0","6.0","0.0","0.0","0.5","5.0","4.0","20.0","0.4166666666666667","0.3333333333333333","1.0","8.0","8.0","0.08333333333333333","0.6666666666666666","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"8","2.0","2.0","4.0","0.16666666666666666","0.16666666666666666","2.0","2.0","4.0","0.16666666666666666","0.16666666666666666","2.0","2.0","4.0","0.16666666666666666","0.16666666666666666","2.0","2.0","4.0","0.16666666666666666","0.16666666666666666","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","6.0","1.0","6.0","0.5","0.08333333333333333","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","5.0","1.0","5.0","0.4166666666666667","0.08333333333333333","0.0","6.0","0.0","0.0","0.5","5.0","4.0","20.0","0.4166666666666667","0.3333333333333333","1.0","8.0","8.0","0.08333333333333333","0.6666666666666666","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"9","2.0","2.0","4.0","0.16666666666666666","0.16666666666666666","2.0","2.0","4.0","0.16666666666666666","0.16666666666666666","2.0","2.0","4.0","0.16666666666666666","0.16666666666666666","2.0","2.0","4.0","0.16666666666666666","0.16666666666666666","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","6.0","1.0","6.0","0.5","0.08333333333333333","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","5.0","1.0","5.0","0.4166666666666667","0.08333333333333333","0.0","6.0","0.0","0.0","0.5","5.0","4.0","20.0","0.4166666666666667","0.3333333333333333","1.0","8.0","8.0","0.08333333333333333","0.6666666666666666","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"10","2.0","2.0","4.0","0.15384615384615385","0.15384615384615385","2.0","2.0","4.0","0.15384615384615385","0.15384615384615385","2.0","2.0","4.0","0.15384615384615385","0.15384615384615385","2.0","2.0","4.0","0.15384615384615385","0.15384615384615385","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","6.0","1.0","6.0","0.46153846153846156","0.07692307692307693","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","6.0","1.0","6.0","0.46153846153846156","0.07692307692307693","0.0","7.0","0.0","0.0","0.5384615384615384","5.0","4.0","20.0","0.38461538461538464","0.3076923076923077","1.0","9.0","9.0","0.07692307692307693","0.6923076923076923","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
