"release","RD1-ADS","RD1-AIS","RD1-ACS","RD1-RCS","RD1-RIS","RD2-ADS","RD2-AIS","RD2-ACS","RD2-RCS","RD2-RIS","RD3-ADS","RD3-AIS","RD3-ACS","RD3-RCS","RD3-RIS","RD4-ADS","RD4-AIS","RD4-ACS","RD4-RCS","RD4-RIS","RD5-ADS","RD5-AIS","RD5-ACS","RD5-RCS","RD5-RIS","RD6-ADS","RD6-AIS","RD6-ACS","RD6-RCS","RD6-RIS","RD7-ADS","RD7-AIS","RD7-ACS","RD7-RCS","RD7-RIS","RD8-ADS","RD8-AIS","RD8-ACS","RD8-RCS","RD8-RIS","GTW-ADS","GTW-AIS","GTW-ACS","GTW-RCS","GTW-RIS","REG-ADS","REG-AIS","REG-ACS","REG-RCS","REG-RIS","MSB-ADS","MSB-AIS","MSB-ACS","MSB-RCS","MSB-RIS","CFG-ADS","CFG-AIS","CFG-ACS","CFG-RCS","CFG-RIS","TRC-ADS","TRC-AIS","TRC-ACS","TRC-RCS","TRC-RIS","MSV1-ADS","MSV1-AIS","MSV1-ACS","MSV1-RCS","MSV1-RIS","MSV2-ADS","MSV2-AIS","MSV2-ACS","MSV2-RCS","MSV2-RIS","MSV3-ADS","MSV3-AIS","MSV3-ACS","MSV3-RCS","MSV3-RIS","MSV4-ADS","MSV4-AIS","MSV4-ACS","MSV4-RCS","MSV4-RIS"
"1","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","7.0","1.0","7.0","0.5384615384615384","0.07692307692307693","2.0","2.0","4.0","0.15384615384615385","0.15384615384615385","3.0","1.0","3.0","0.23076923076923078","0.07692307692307693","3.0","2.0","6.0","0.23076923076923078","0.15384615384615385","2.0","2.0","4.0","0.15384615384615385","0.15384615384615385","3.0","0.0","0.0","0.23076923076923078","0.0","2.0","2.0","4.0","0.15384615384615385","0.15384615384615385","7.0","0.0","0.0","0.5384615384615384","0.0","1.0","5.0","5.0","0.07692307692307693","0.38461538461538464","2.0","5.0","10.0","0.15384615384615385","0.38461538461538464","1.0","5.0","5.0","0.07692307692307693","0.38461538461538464","1.0","10.0","10.0","0.07692307692307693","0.7692307692307693","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","7.0","1.0","7.0","0.5384615384615384","0.07692307692307693","2.0","2.0","4.0","0.15384615384615385","0.15384615384615385","3.0","1.0","3.0","0.23076923076923078","0.07692307692307693","3.0","2.0","6.0","0.23076923076923078","0.15384615384615385","2.0","2.0","4.0","0.15384615384615385","0.15384615384615385","3.0","0.0","0.0","0.23076923076923078","0.0","2.0","2.0","4.0","0.15384615384615385","0.15384615384615385","7.0","0.0","0.0","0.5384615384615384","0.0","1.0","5.0","5.0","0.07692307692307693","0.38461538461538464","2.0","5.0","10.0","0.15384615384615385","0.38461538461538464","1.0","5.0","5.0","0.07692307692307693","0.38461538461538464","1.0","10.0","10.0","0.07692307692307693","0.7692307692307693","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"3","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","7.0","1.0","7.0","0.5384615384615384","0.07692307692307693","2.0","2.0","4.0","0.15384615384615385","0.15384615384615385","3.0","1.0","3.0","0.23076923076923078","0.07692307692307693","3.0","2.0","6.0","0.23076923076923078","0.15384615384615385","2.0","2.0","4.0","0.15384615384615385","0.15384615384615385","3.0","0.0","0.0","0.23076923076923078","0.0","2.0","2.0","4.0","0.15384615384615385","0.15384615384615385","7.0","0.0","0.0","0.5384615384615384","0.0","1.0","5.0","5.0","0.07692307692307693","0.38461538461538464","2.0","5.0","10.0","0.15384615384615385","0.38461538461538464","1.0","5.0","5.0","0.07692307692307693","0.38461538461538464","1.0","10.0","10.0","0.07692307692307693","0.7692307692307693","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"4","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","7.0","1.0","7.0","0.5384615384615384","0.07692307692307693","2.0","2.0","4.0","0.15384615384615385","0.15384615384615385","3.0","1.0","3.0","0.23076923076923078","0.07692307692307693","3.0","2.0","6.0","0.23076923076923078","0.15384615384615385","2.0","2.0","4.0","0.15384615384615385","0.15384615384615385","3.0","0.0","0.0","0.23076923076923078","0.0","2.0","2.0","4.0","0.15384615384615385","0.15384615384615385","7.0","0.0","0.0","0.5384615384615384","0.0","1.0","5.0","5.0","0.07692307692307693","0.38461538461538464","2.0","5.0","10.0","0.15384615384615385","0.38461538461538464","1.0","5.0","5.0","0.07692307692307693","0.38461538461538464","1.0","10.0","10.0","0.07692307692307693","0.7692307692307693","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"5","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","7.0","1.0","7.0","0.5384615384615384","0.07692307692307693","2.0","2.0","4.0","0.15384615384615385","0.15384615384615385","3.0","1.0","3.0","0.23076923076923078","0.07692307692307693","3.0","2.0","6.0","0.23076923076923078","0.15384615384615385","2.0","2.0","4.0","0.15384615384615385","0.15384615384615385","3.0","0.0","0.0","0.23076923076923078","0.0","2.0","2.0","4.0","0.15384615384615385","0.15384615384615385","7.0","0.0","0.0","0.5384615384615384","0.0","1.0","5.0","5.0","0.07692307692307693","0.38461538461538464","2.0","5.0","10.0","0.15384615384615385","0.38461538461538464","1.0","5.0","5.0","0.07692307692307693","0.38461538461538464","1.0","10.0","10.0","0.07692307692307693","0.7692307692307693","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"6","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","7.0","1.0","7.0","0.5384615384615384","0.07692307692307693","2.0","2.0","4.0","0.15384615384615385","0.15384615384615385","3.0","1.0","3.0","0.23076923076923078","0.07692307692307693","3.0","2.0","6.0","0.23076923076923078","0.15384615384615385","2.0","2.0","4.0","0.15384615384615385","0.15384615384615385","3.0","0.0","0.0","0.23076923076923078","0.0","2.0","2.0","4.0","0.15384615384615385","0.15384615384615385","7.0","0.0","0.0","0.5384615384615384","0.0","1.0","5.0","5.0","0.07692307692307693","0.38461538461538464","2.0","5.0","10.0","0.15384615384615385","0.38461538461538464","1.0","5.0","5.0","0.07692307692307693","0.38461538461538464","1.0","10.0","10.0","0.07692307692307693","0.7692307692307693","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"7","2.0","1.0","2.0","0.14285714285714285","0.07142857142857142","7.0","1.0","7.0","0.5","0.07142857142857142","2.0","2.0","4.0","0.14285714285714285","0.14285714285714285","3.0","1.0","3.0","0.21428571428571427","0.07142857142857142","3.0","2.0","6.0","0.21428571428571427","0.14285714285714285","3.0","2.0","6.0","0.21428571428571427","0.14285714285714285","3.0","0.0","0.0","0.21428571428571427","0.0","2.0","2.0","4.0","0.14285714285714285","0.14285714285714285","7.0","0.0","0.0","0.5","0.0","1.0","6.0","6.0","0.07142857142857142","0.42857142857142855","2.0","5.0","10.0","0.14285714285714285","0.35714285714285715","1.0","5.0","5.0","0.07142857142857142","0.35714285714285715","1.0","10.0","10.0","0.07142857142857142","0.7142857142857143","1.0","1.0","1.0","0.07142857142857142","0.07142857142857142","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"8","2.0","1.0","2.0","0.14285714285714285","0.07142857142857142","7.0","1.0","7.0","0.5","0.07142857142857142","2.0","2.0","4.0","0.14285714285714285","0.14285714285714285","3.0","1.0","3.0","0.21428571428571427","0.07142857142857142","3.0","2.0","6.0","0.21428571428571427","0.14285714285714285","3.0","2.0","6.0","0.21428571428571427","0.14285714285714285","3.0","0.0","0.0","0.21428571428571427","0.0","2.0","2.0","4.0","0.14285714285714285","0.14285714285714285","7.0","0.0","0.0","0.5","0.0","1.0","6.0","6.0","0.07142857142857142","0.42857142857142855","2.0","5.0","10.0","0.14285714285714285","0.35714285714285715","1.0","5.0","5.0","0.07142857142857142","0.35714285714285715","1.0","10.0","10.0","0.07142857142857142","0.7142857142857143","1.0","1.0","1.0","0.07142857142857142","0.07142857142857142","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"9","2.0","1.0","2.0","0.14285714285714285","0.07142857142857142","7.0","1.0","7.0","0.5","0.07142857142857142","2.0","2.0","4.0","0.14285714285714285","0.14285714285714285","3.0","1.0","3.0","0.21428571428571427","0.07142857142857142","3.0","2.0","6.0","0.21428571428571427","0.14285714285714285","3.0","2.0","6.0","0.21428571428571427","0.14285714285714285","3.0","0.0","0.0","0.21428571428571427","0.0","2.0","2.0","4.0","0.14285714285714285","0.14285714285714285","7.0","0.0","0.0","0.5","0.0","1.0","6.0","6.0","0.07142857142857142","0.42857142857142855","2.0","5.0","10.0","0.14285714285714285","0.35714285714285715","1.0","5.0","5.0","0.07142857142857142","0.35714285714285715","1.0","10.0","10.0","0.07142857142857142","0.7142857142857143","1.0","1.0","1.0","0.07142857142857142","0.07142857142857142","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"10","2.0","1.0","2.0","0.14285714285714285","0.07142857142857142","7.0","1.0","7.0","0.5","0.07142857142857142","2.0","2.0","4.0","0.14285714285714285","0.14285714285714285","3.0","1.0","3.0","0.21428571428571427","0.07142857142857142","3.0","2.0","6.0","0.21428571428571427","0.14285714285714285","3.0","2.0","6.0","0.21428571428571427","0.14285714285714285","3.0","0.0","0.0","0.21428571428571427","0.0","2.0","2.0","4.0","0.14285714285714285","0.14285714285714285","7.0","0.0","0.0","0.5","0.0","1.0","6.0","6.0","0.07142857142857142","0.42857142857142855","2.0","5.0","10.0","0.14285714285714285","0.35714285714285715","1.0","5.0","5.0","0.07142857142857142","0.35714285714285715","1.0","10.0","10.0","0.07142857142857142","0.7142857142857143","1.0","1.0","1.0","0.07142857142857142","0.07142857142857142","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
