"release","RD1-ADS","RD1-AIS","RD1-ACS","RD1-RCS","RD1-RIS","RD2-ADS","RD2-AIS","RD2-ACS","RD2-RCS","RD2-RIS","RD3-ADS","RD3-AIS","RD3-ACS","RD3-RCS","RD3-RIS","RD4-ADS","RD4-AIS","RD4-ACS","RD4-RCS","RD4-RIS","RD5-ADS","RD5-AIS","RD5-ACS","RD5-RCS","RD5-RIS","RD6-ADS","RD6-AIS","RD6-ACS","RD6-RCS","RD6-RIS","RD7-ADS","RD7-AIS","RD7-ACS","RD7-RCS","RD7-RIS","RD8-ADS","RD8-AIS","RD8-ACS","RD8-RCS","RD8-RIS","RD9-ADS","RD9-AIS","RD9-ACS","RD9-RCS","RD9-RIS","RD10-ADS","RD10-AIS","RD10-ACS","RD10-RCS","RD10-RIS","RD11-ADS","RD11-AIS","RD11-ACS","RD11-RCS","RD11-RIS","RD12-ADS","RD12-AIS","RD12-ACS","RD12-RCS","RD12-RIS","RD13-ADS","RD13-AIS","RD13-ACS","RD13-RCS","RD13-RIS","RD14-ADS","RD14-AIS","RD14-ACS","RD14-RCS","RD14-RIS","RD15-ADS","RD15-AIS","RD15-ACS","RD15-RCS","RD15-RIS","RD16-ADS","RD16-AIS","RD16-ACS","RD16-RCS","RD16-RIS","RD17-ADS","RD17-AIS","RD17-ACS","RD17-RCS","RD17-RIS","RD18-ADS","RD18-AIS","RD18-ACS","RD18-RCS","RD18-RIS","RD19-ADS","RD19-AIS","RD19-ACS","RD19-RCS","RD19-RIS","RD20-ADS","RD20-AIS","RD20-ACS","RD20-RCS","RD20-RIS","RD21-ADS","RD21-AIS","RD21-ACS","RD21-RCS","RD21-RIS","RD22-ADS","RD22-AIS","RD22-ACS","RD22-RCS","RD22-RIS","RD23-ADS","RD23-AIS","RD23-ACS","RD23-RCS","RD23-RIS","RD24-ADS","RD24-AIS","RD24-ACS","RD24-RCS","RD24-RIS","RD25-ADS","RD25-AIS","RD25-ACS","RD25-RCS","RD25-RIS","RD26-ADS","RD26-AIS","RD26-ACS","RD26-RCS","RD26-RIS","CPS1-ADS","CPS1-AIS","CPS1-ACS","CPS1-RCS","CPS1-RIS","CPS2-ADS","CPS2-AIS","CPS2-ACS","CPS2-RCS","CPS2-RIS","GTW-ADS","GTW-AIS","GTW-ACS","GTW-RCS","GTW-RIS","REG-ADS","REG-AIS","REG-ACS","REG-RCS","REG-RIS","CFG-ADS","CFG-AIS","CFG-ACS","CFG-RCS","CFG-RIS","TRC-ADS","TRC-AIS","TRC-ACS","TRC-RCS","TRC-RIS","MSV1-ADS","MSV1-AIS","MSV1-ACS","MSV1-RCS","MSV1-RIS"
"1","5.0","3.0","15.0","0.15625","0.09375","4.0","3.0","12.0","0.125","0.09375","5.0","1.0","5.0","0.15625","0.03125","4.0","2.0","8.0","0.125","0.0625","7.0","1.0","7.0","0.21875","0.03125","3.0","1.0","3.0","0.09375","0.03125","9.0","1.0","9.0","0.28125","0.03125","5.0","2.0","10.0","0.15625","0.0625","7.0","21.0","147.0","0.21875","0.65625","7.0","3.0","21.0","0.21875","0.09375","5.0","3.0","15.0","0.15625","0.09375","3.0","3.0","9.0","0.09375","0.09375","3.0","1.0","3.0","0.09375","0.03125","6.0","1.0","6.0","0.1875","0.03125","3.0","3.0","9.0","0.09375","0.09375","3.0","1.0","3.0","0.09375","0.03125","3.0","1.0","3.0","0.09375","0.03125","7.0","4.0","28.0","0.21875","0.125","4.0","3.0","12.0","0.125","0.09375","5.0","5.0","25.0","0.15625","0.15625","5.0","2.0","10.0","0.15625","0.0625","3.0","0.0","0.0","0.09375","0.0","7.0","1.0","7.0","0.21875","0.03125","7.0","1.0","7.0","0.21875","0.03125","4.0","1.0","4.0","0.125","0.03125","5.0","4.0","20.0","0.15625","0.125","5.0","1.0","5.0","0.15625","0.03125","4.0","1.0","4.0","0.125","0.03125","5.0","0.0","0.0","0.15625","0.0","1.0","29.0","29.0","0.03125","0.90625","1.0","13.0","13.0","0.03125","0.40625","1.0","30.0","30.0","0.03125","0.9375","0.0","0.0","0.0","0.0","0.0"
"2","5.0","3.0","15.0","0.15625","0.09375","4.0","3.0","12.0","0.125","0.09375","5.0","1.0","5.0","0.15625","0.03125","4.0","2.0","8.0","0.125","0.0625","7.0","1.0","7.0","0.21875","0.03125","3.0","1.0","3.0","0.09375","0.03125","9.0","1.0","9.0","0.28125","0.03125","5.0","2.0","10.0","0.15625","0.0625","7.0","21.0","147.0","0.21875","0.65625","7.0","3.0","21.0","0.21875","0.09375","5.0","3.0","15.0","0.15625","0.09375","3.0","3.0","9.0","0.09375","0.09375","3.0","1.0","3.0","0.09375","0.03125","6.0","1.0","6.0","0.1875","0.03125","3.0","3.0","9.0","0.09375","0.09375","3.0","1.0","3.0","0.09375","0.03125","3.0","1.0","3.0","0.09375","0.03125","7.0","4.0","28.0","0.21875","0.125","4.0","3.0","12.0","0.125","0.09375","5.0","5.0","25.0","0.15625","0.15625","5.0","2.0","10.0","0.15625","0.0625","3.0","0.0","0.0","0.09375","0.0","7.0","1.0","7.0","0.21875","0.03125","7.0","1.0","7.0","0.21875","0.03125","4.0","1.0","4.0","0.125","0.03125","5.0","4.0","20.0","0.15625","0.125","5.0","1.0","5.0","0.15625","0.03125","4.0","1.0","4.0","0.125","0.03125","5.0","0.0","0.0","0.15625","0.0","1.0","29.0","29.0","0.03125","0.90625","1.0","13.0","13.0","0.03125","0.40625","1.0","30.0","30.0","0.03125","0.9375","0.0","0.0","0.0","0.0","0.0"
"3","5.0","3.0","15.0","0.15625","0.09375","4.0","3.0","12.0","0.125","0.09375","5.0","1.0","5.0","0.15625","0.03125","4.0","2.0","8.0","0.125","0.0625","7.0","1.0","7.0","0.21875","0.03125","3.0","1.0","3.0","0.09375","0.03125","9.0","1.0","9.0","0.28125","0.03125","5.0","2.0","10.0","0.15625","0.0625","7.0","21.0","147.0","0.21875","0.65625","7.0","3.0","21.0","0.21875","0.09375","5.0","3.0","15.0","0.15625","0.09375","3.0","3.0","9.0","0.09375","0.09375","3.0","1.0","3.0","0.09375","0.03125","6.0","1.0","6.0","0.1875","0.03125","3.0","3.0","9.0","0.09375","0.09375","3.0","1.0","3.0","0.09375","0.03125","3.0","1.0","3.0","0.09375","0.03125","7.0","4.0","28.0","0.21875","0.125","4.0","3.0","12.0","0.125","0.09375","5.0","5.0","25.0","0.15625","0.15625","5.0","2.0","10.0","0.15625","0.0625","3.0","0.0","0.0","0.09375","0.0","7.0","1.0","7.0","0.21875","0.03125","7.0","1.0","7.0","0.21875","0.03125","4.0","1.0","4.0","0.125","0.03125","5.0","4.0","20.0","0.15625","0.125","5.0","1.0","5.0","0.15625","0.03125","4.0","1.0","4.0","0.125","0.03125","5.0","0.0","0.0","0.15625","0.0","1.0","29.0","29.0","0.03125","0.90625","1.0","13.0","13.0","0.03125","0.40625","1.0","30.0","30.0","0.03125","0.9375","0.0","0.0","0.0","0.0","0.0"
"4","5.0","3.0","15.0","0.15151515151515152","0.09090909090909091","4.0","3.0","12.0","0.12121212121212122","0.09090909090909091","5.0","1.0","5.0","0.15151515151515152","0.030303030303030304","4.0","2.0","8.0","0.12121212121212122","0.06060606060606061","7.0","1.0","7.0","0.21212121212121213","0.030303030303030304","3.0","1.0","3.0","0.09090909090909091","0.030303030303030304","9.0","1.0","9.0","0.2727272727272727","0.030303030303030304","5.0","2.0","10.0","0.15151515151515152","0.06060606060606061","7.0","11.0","77.0","0.21212121212121213","0.3333333333333333","7.0","3.0","21.0","0.21212121212121213","0.09090909090909091","5.0","3.0","15.0","0.15151515151515152","0.09090909090909091","3.0","3.0","9.0","0.09090909090909091","0.09090909090909091","3.0","1.0","3.0","0.09090909090909091","0.030303030303030304","6.0","1.0","6.0","0.18181818181818182","0.030303030303030304","3.0","3.0","9.0","0.09090909090909091","0.09090909090909091","3.0","1.0","3.0","0.09090909090909091","0.030303030303030304","3.0","1.0","3.0","0.09090909090909091","0.030303030303030304","7.0","4.0","28.0","0.21212121212121213","0.12121212121212122","4.0","3.0","12.0","0.12121212121212122","0.09090909090909091","5.0","5.0","25.0","0.15151515151515152","0.15151515151515152","5.0","2.0","10.0","0.15151515151515152","0.06060606060606061","3.0","0.0","0.0","0.09090909090909091","0.0","7.0","1.0","7.0","0.21212121212121213","0.030303030303030304","7.0","1.0","7.0","0.21212121212121213","0.030303030303030304","4.0","1.0","4.0","0.12121212121212122","0.030303030303030304","5.0","4.0","20.0","0.15151515151515152","0.12121212121212122","5.0","1.0","5.0","0.15151515151515152","0.030303030303030304","4.0","1.0","4.0","0.12121212121212122","0.030303030303030304","5.0","0.0","0.0","0.15151515151515152","0.0","1.0","30.0","30.0","0.030303030303030304","0.9090909090909091","1.0","14.0","14.0","0.030303030303030304","0.42424242424242425","1.0","31.0","31.0","0.030303030303030304","0.9393939393939394","3.0","10.0","30.0","0.09090909090909091","0.30303030303030304"
"5","5.0","3.0","15.0","0.15151515151515152","0.09090909090909091","4.0","3.0","12.0","0.12121212121212122","0.09090909090909091","5.0","1.0","5.0","0.15151515151515152","0.030303030303030304","4.0","2.0","8.0","0.12121212121212122","0.06060606060606061","7.0","1.0","7.0","0.21212121212121213","0.030303030303030304","3.0","1.0","3.0","0.09090909090909091","0.030303030303030304","9.0","1.0","9.0","0.2727272727272727","0.030303030303030304","5.0","2.0","10.0","0.15151515151515152","0.06060606060606061","7.0","11.0","77.0","0.21212121212121213","0.3333333333333333","7.0","3.0","21.0","0.21212121212121213","0.09090909090909091","5.0","3.0","15.0","0.15151515151515152","0.09090909090909091","3.0","3.0","9.0","0.09090909090909091","0.09090909090909091","3.0","1.0","3.0","0.09090909090909091","0.030303030303030304","6.0","1.0","6.0","0.18181818181818182","0.030303030303030304","3.0","3.0","9.0","0.09090909090909091","0.09090909090909091","3.0","1.0","3.0","0.09090909090909091","0.030303030303030304","3.0","1.0","3.0","0.09090909090909091","0.030303030303030304","7.0","4.0","28.0","0.21212121212121213","0.12121212121212122","4.0","3.0","12.0","0.12121212121212122","0.09090909090909091","5.0","5.0","25.0","0.15151515151515152","0.15151515151515152","5.0","2.0","10.0","0.15151515151515152","0.06060606060606061","3.0","0.0","0.0","0.09090909090909091","0.0","7.0","1.0","7.0","0.21212121212121213","0.030303030303030304","7.0","1.0","7.0","0.21212121212121213","0.030303030303030304","4.0","1.0","4.0","0.12121212121212122","0.030303030303030304","5.0","4.0","20.0","0.15151515151515152","0.12121212121212122","5.0","1.0","5.0","0.15151515151515152","0.030303030303030304","4.0","1.0","4.0","0.12121212121212122","0.030303030303030304","5.0","0.0","0.0","0.15151515151515152","0.0","1.0","30.0","30.0","0.030303030303030304","0.9090909090909091","1.0","14.0","14.0","0.030303030303030304","0.42424242424242425","1.0","31.0","31.0","0.030303030303030304","0.9393939393939394","3.0","10.0","30.0","0.09090909090909091","0.30303030303030304"
"6","5.0","3.0","15.0","0.15151515151515152","0.09090909090909091","4.0","3.0","12.0","0.12121212121212122","0.09090909090909091","5.0","1.0","5.0","0.15151515151515152","0.030303030303030304","4.0","2.0","8.0","0.12121212121212122","0.06060606060606061","7.0","1.0","7.0","0.21212121212121213","0.030303030303030304","3.0","1.0","3.0","0.09090909090909091","0.030303030303030304","9.0","1.0","9.0","0.2727272727272727","0.030303030303030304","5.0","2.0","10.0","0.15151515151515152","0.06060606060606061","7.0","11.0","77.0","0.21212121212121213","0.3333333333333333","7.0","3.0","21.0","0.21212121212121213","0.09090909090909091","5.0","3.0","15.0","0.15151515151515152","0.09090909090909091","3.0","3.0","9.0","0.09090909090909091","0.09090909090909091","3.0","1.0","3.0","0.09090909090909091","0.030303030303030304","6.0","1.0","6.0","0.18181818181818182","0.030303030303030304","3.0","3.0","9.0","0.09090909090909091","0.09090909090909091","3.0","1.0","3.0","0.09090909090909091","0.030303030303030304","3.0","1.0","3.0","0.09090909090909091","0.030303030303030304","7.0","4.0","28.0","0.21212121212121213","0.12121212121212122","4.0","3.0","12.0","0.12121212121212122","0.09090909090909091","5.0","5.0","25.0","0.15151515151515152","0.15151515151515152","5.0","2.0","10.0","0.15151515151515152","0.06060606060606061","3.0","0.0","0.0","0.09090909090909091","0.0","7.0","1.0","7.0","0.21212121212121213","0.030303030303030304","7.0","1.0","7.0","0.21212121212121213","0.030303030303030304","4.0","1.0","4.0","0.12121212121212122","0.030303030303030304","5.0","4.0","20.0","0.15151515151515152","0.12121212121212122","5.0","1.0","5.0","0.15151515151515152","0.030303030303030304","4.0","1.0","4.0","0.12121212121212122","0.030303030303030304","5.0","0.0","0.0","0.15151515151515152","0.0","1.0","30.0","30.0","0.030303030303030304","0.9090909090909091","1.0","14.0","14.0","0.030303030303030304","0.42424242424242425","1.0","31.0","31.0","0.030303030303030304","0.9393939393939394","3.0","10.0","30.0","0.09090909090909091","0.30303030303030304"
"7","5.0","3.0","15.0","0.15151515151515152","0.09090909090909091","4.0","3.0","12.0","0.12121212121212122","0.09090909090909091","5.0","1.0","5.0","0.15151515151515152","0.030303030303030304","4.0","2.0","8.0","0.12121212121212122","0.06060606060606061","7.0","1.0","7.0","0.21212121212121213","0.030303030303030304","3.0","1.0","3.0","0.09090909090909091","0.030303030303030304","9.0","1.0","9.0","0.2727272727272727","0.030303030303030304","5.0","2.0","10.0","0.15151515151515152","0.06060606060606061","7.0","11.0","77.0","0.21212121212121213","0.3333333333333333","7.0","3.0","21.0","0.21212121212121213","0.09090909090909091","5.0","3.0","15.0","0.15151515151515152","0.09090909090909091","3.0","3.0","9.0","0.09090909090909091","0.09090909090909091","3.0","1.0","3.0","0.09090909090909091","0.030303030303030304","6.0","1.0","6.0","0.18181818181818182","0.030303030303030304","3.0","3.0","9.0","0.09090909090909091","0.09090909090909091","3.0","1.0","3.0","0.09090909090909091","0.030303030303030304","3.0","1.0","3.0","0.09090909090909091","0.030303030303030304","7.0","4.0","28.0","0.21212121212121213","0.12121212121212122","4.0","3.0","12.0","0.12121212121212122","0.09090909090909091","5.0","5.0","25.0","0.15151515151515152","0.15151515151515152","5.0","2.0","10.0","0.15151515151515152","0.06060606060606061","3.0","0.0","0.0","0.09090909090909091","0.0","7.0","1.0","7.0","0.21212121212121213","0.030303030303030304","7.0","1.0","7.0","0.21212121212121213","0.030303030303030304","4.0","1.0","4.0","0.12121212121212122","0.030303030303030304","5.0","4.0","20.0","0.15151515151515152","0.12121212121212122","5.0","1.0","5.0","0.15151515151515152","0.030303030303030304","4.0","1.0","4.0","0.12121212121212122","0.030303030303030304","5.0","0.0","0.0","0.15151515151515152","0.0","1.0","30.0","30.0","0.030303030303030304","0.9090909090909091","1.0","14.0","14.0","0.030303030303030304","0.42424242424242425","1.0","31.0","31.0","0.030303030303030304","0.9393939393939394","3.0","10.0","30.0","0.09090909090909091","0.30303030303030304"
"8","5.0","3.0","15.0","0.15151515151515152","0.09090909090909091","4.0","3.0","12.0","0.12121212121212122","0.09090909090909091","5.0","1.0","5.0","0.15151515151515152","0.030303030303030304","4.0","2.0","8.0","0.12121212121212122","0.06060606060606061","7.0","1.0","7.0","0.21212121212121213","0.030303030303030304","3.0","1.0","3.0","0.09090909090909091","0.030303030303030304","9.0","1.0","9.0","0.2727272727272727","0.030303030303030304","5.0","2.0","10.0","0.15151515151515152","0.06060606060606061","7.0","11.0","77.0","0.21212121212121213","0.3333333333333333","7.0","3.0","21.0","0.21212121212121213","0.09090909090909091","5.0","3.0","15.0","0.15151515151515152","0.09090909090909091","3.0","3.0","9.0","0.09090909090909091","0.09090909090909091","3.0","1.0","3.0","0.09090909090909091","0.030303030303030304","6.0","1.0","6.0","0.18181818181818182","0.030303030303030304","3.0","3.0","9.0","0.09090909090909091","0.09090909090909091","3.0","1.0","3.0","0.09090909090909091","0.030303030303030304","3.0","1.0","3.0","0.09090909090909091","0.030303030303030304","7.0","4.0","28.0","0.21212121212121213","0.12121212121212122","4.0","3.0","12.0","0.12121212121212122","0.09090909090909091","5.0","5.0","25.0","0.15151515151515152","0.15151515151515152","5.0","2.0","10.0","0.15151515151515152","0.06060606060606061","3.0","0.0","0.0","0.09090909090909091","0.0","7.0","1.0","7.0","0.21212121212121213","0.030303030303030304","7.0","1.0","7.0","0.21212121212121213","0.030303030303030304","4.0","1.0","4.0","0.12121212121212122","0.030303030303030304","5.0","4.0","20.0","0.15151515151515152","0.12121212121212122","5.0","1.0","5.0","0.15151515151515152","0.030303030303030304","4.0","1.0","4.0","0.12121212121212122","0.030303030303030304","5.0","0.0","0.0","0.15151515151515152","0.0","1.0","30.0","30.0","0.030303030303030304","0.9090909090909091","1.0","14.0","14.0","0.030303030303030304","0.42424242424242425","1.0","31.0","31.0","0.030303030303030304","0.9393939393939394","3.0","10.0","30.0","0.09090909090909091","0.30303030303030304"
"9","5.0","3.0","15.0","0.15151515151515152","0.09090909090909091","4.0","3.0","12.0","0.12121212121212122","0.09090909090909091","5.0","1.0","5.0","0.15151515151515152","0.030303030303030304","4.0","2.0","8.0","0.12121212121212122","0.06060606060606061","7.0","1.0","7.0","0.21212121212121213","0.030303030303030304","3.0","1.0","3.0","0.09090909090909091","0.030303030303030304","9.0","1.0","9.0","0.2727272727272727","0.030303030303030304","5.0","2.0","10.0","0.15151515151515152","0.06060606060606061","7.0","11.0","77.0","0.21212121212121213","0.3333333333333333","7.0","3.0","21.0","0.21212121212121213","0.09090909090909091","5.0","3.0","15.0","0.15151515151515152","0.09090909090909091","3.0","3.0","9.0","0.09090909090909091","0.09090909090909091","3.0","1.0","3.0","0.09090909090909091","0.030303030303030304","6.0","1.0","6.0","0.18181818181818182","0.030303030303030304","3.0","3.0","9.0","0.09090909090909091","0.09090909090909091","3.0","1.0","3.0","0.09090909090909091","0.030303030303030304","3.0","1.0","3.0","0.09090909090909091","0.030303030303030304","7.0","4.0","28.0","0.21212121212121213","0.12121212121212122","4.0","3.0","12.0","0.12121212121212122","0.09090909090909091","5.0","5.0","25.0","0.15151515151515152","0.15151515151515152","5.0","2.0","10.0","0.15151515151515152","0.06060606060606061","3.0","0.0","0.0","0.09090909090909091","0.0","7.0","1.0","7.0","0.21212121212121213","0.030303030303030304","7.0","1.0","7.0","0.21212121212121213","0.030303030303030304","4.0","1.0","4.0","0.12121212121212122","0.030303030303030304","5.0","4.0","20.0","0.15151515151515152","0.12121212121212122","5.0","1.0","5.0","0.15151515151515152","0.030303030303030304","4.0","1.0","4.0","0.12121212121212122","0.030303030303030304","5.0","0.0","0.0","0.15151515151515152","0.0","1.0","30.0","30.0","0.030303030303030304","0.9090909090909091","1.0","14.0","14.0","0.030303030303030304","0.42424242424242425","1.0","31.0","31.0","0.030303030303030304","0.9393939393939394","3.0","10.0","30.0","0.09090909090909091","0.30303030303030304"
"10","5.0","3.0","15.0","0.15151515151515152","0.09090909090909091","4.0","3.0","12.0","0.12121212121212122","0.09090909090909091","5.0","1.0","5.0","0.15151515151515152","0.030303030303030304","4.0","2.0","8.0","0.12121212121212122","0.06060606060606061","7.0","1.0","7.0","0.21212121212121213","0.030303030303030304","3.0","1.0","3.0","0.09090909090909091","0.030303030303030304","9.0","1.0","9.0","0.2727272727272727","0.030303030303030304","5.0","2.0","10.0","0.15151515151515152","0.06060606060606061","7.0","11.0","77.0","0.21212121212121213","0.3333333333333333","7.0","3.0","21.0","0.21212121212121213","0.09090909090909091","5.0","3.0","15.0","0.15151515151515152","0.09090909090909091","3.0","3.0","9.0","0.09090909090909091","0.09090909090909091","3.0","1.0","3.0","0.09090909090909091","0.030303030303030304","6.0","1.0","6.0","0.18181818181818182","0.030303030303030304","3.0","3.0","9.0","0.09090909090909091","0.09090909090909091","3.0","1.0","3.0","0.09090909090909091","0.030303030303030304","3.0","1.0","3.0","0.09090909090909091","0.030303030303030304","7.0","4.0","28.0","0.21212121212121213","0.12121212121212122","4.0","3.0","12.0","0.12121212121212122","0.09090909090909091","5.0","5.0","25.0","0.15151515151515152","0.15151515151515152","5.0","2.0","10.0","0.15151515151515152","0.06060606060606061","3.0","0.0","0.0","0.09090909090909091","0.0","7.0","1.0","7.0","0.21212121212121213","0.030303030303030304","7.0","1.0","7.0","0.21212121212121213","0.030303030303030304","4.0","1.0","4.0","0.12121212121212122","0.030303030303030304","5.0","4.0","20.0","0.15151515151515152","0.12121212121212122","5.0","1.0","5.0","0.15151515151515152","0.030303030303030304","4.0","1.0","4.0","0.12121212121212122","0.030303030303030304","5.0","0.0","0.0","0.15151515151515152","0.0","1.0","30.0","30.0","0.030303030303030304","0.9090909090909091","1.0","14.0","14.0","0.030303030303030304","0.42424242424242425","1.0","31.0","31.0","0.030303030303030304","0.9393939393939394","3.0","10.0","30.0","0.09090909090909091","0.30303030303030304"
