"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","BA1-ADS","BA1-GINI -ADS","BA1-AIS","BA1-GINI -AIS","BA2-ADS","BA2-GINI -ADS","BA2-AIS","BA2-GINI -AIS","BA3-ADS","BA3-GINI -ADS","BA3-AIS","BA3-GINI -AIS","BA4-ADS","BA4-GINI -ADS","BA4-AIS","BA4-GINI -AIS","BA5-ADS","BA5-GINI -ADS","BA5-AIS","BA5-GINI -AIS","BA6-ADS","BA6-GINI -ADS","BA6-AIS","BA6-GINI -AIS","BA7-ADS","BA7-GINI -ADS","BA7-AIS","BA7-GINI -AIS","BA8-ADS","BA8-GINI -ADS","BA8-AIS","BA8-GINI -AIS","BA9-ADS","BA9-GINI -ADS","BA9-AIS","BA9-GINI -AIS","BA10-ADS","BA10-GINI -ADS","BA10-AIS","BA10-GINI -AIS","BA11-ADS","BA11-GINI -ADS","BA11-AIS","BA11-GINI -AIS","BA12-ADS","BA12-GINI -ADS","BA12-AIS","BA12-GINI -AIS","BA13-ADS","BA13-GINI -ADS","BA13-AIS","BA13-GINI -AIS","BA14-ADS","BA14-GINI -ADS","BA14-AIS","BA14-GINI -AIS","BA15-ADS","BA15-GINI -ADS","BA15-AIS","BA15-GINI -AIS","BA16-ADS","BA16-GINI -ADS","BA16-AIS","BA16-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","MSB-ADS","MSB-GINI -ADS","MSB-AIS","MSB-GINI -AIS"
"10","0.5047233","0.4507422","0.11403508771929824","2.0526315789473686","5.0","0","1.0","0","0.0","0.6363636","5.0","0","2.0","0","1.0","0","1.0","0","2.0","0","2.0","0","2.0","0","2.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","2.0","0","2.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","12.0","0","0.0","0","0.0","0","9.0","0","4.0","0","6.0","0.03636364"
"11","0.5047233","0.4507422","0.11403508771929824","2.0526315789473686","5.0","0","1.0","0","0.0","0.6666667","5.0","0","2.0","0","1.0","0","1.0","0","2.0","0","2.0","0","2.0","0","2.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","2.0","0","2.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","12.0","0","0.0","0","0.0","0","9.0","0","4.0","0","6.0","0.03508772"
"12","0.5047233","0.4507422","0.11403508771929824","2.0526315789473686","5.0","0","1.0","0","0.0","0.6923077","5.0","0","2.0","0","1.0","0","1.0","0","2.0","0","2.0","0","2.0","0","2.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","2.0","0","2.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","12.0","0","0.0","0","0.0","0","9.0","0","4.0","0","6.0","0.03377111"
"13","0.5047233","0.4507422","0.11403508771929824","2.0526315789473686","5.0","0","1.0","0","0.0","0.7142857","5.0","0","2.0","0","1.0","0","1.0","0","2.0","0","2.0","0","2.0","0","2.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","2.0","0","2.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","12.0","0","0.0","0","0.0","0","9.0","0","4.0","0","6.0","0.03246753"
"14","0.5047233","0.4507422","0.11403508771929824","2.0526315789473686","5.0","0","1.0","0","0.0","0.7333333","5.0","0","2.0","0","1.0","0","1.0","0","2.0","0","2.0","0","2.0","0","2.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","2.0","0","2.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","12.0","0","0.0","0","0.0","0","9.0","0","4.0","0","6.0","0.03120567"
"15","0.5047233","0.4507422","0.11403508771929824","2.0526315789473686","5.0","0","1.0","0","0.0","0.75","5.0","0","2.0","0","1.0","0","1.0","0","2.0","0","2.0","0","2.0","0","2.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","2.0","0","2.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","12.0","0","0.0","0","0.0","0","9.0","0","4.0","0","6.0","0.03"
"16","0.5047233","0.4507422","0.11403508771929824","2.0526315789473686","5.0","0","1.0","0","0.0","0.7647059","5.0","0","2.0","0","1.0","0","1.0","0","2.0","0","2.0","0","2.0","0","2.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","2.0","0","2.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","12.0","0","0.0","0","0.0","0","9.0","0","4.0","0","6.0","0.02885683"
"17","0.5047233","0.4507422","0.11403508771929824","2.0526315789473686","5.0","0","1.0","0","0.0","0.7777778","5.0","0","2.0","0","1.0","0","1.0","0","2.0","0","2.0","0","2.0","0","2.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","2.0","0","2.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","12.0","0","0.0","0","0.0","0","9.0","0","4.0","0","6.0","0.02777778"
"18","0.5047233","0.4507422","0.11403508771929824","2.0526315789473686","5.0","0","1.0","0","0.0","0.7894737","5.0","0","2.0","0","1.0","0","1.0","0","2.0","0","2.0","0","2.0","0","2.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","2.0","0","2.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","12.0","0","0.0","0","0.0","0","9.0","0","4.0","0","6.0","0.02676182"
"19","0.5047233","0.4507422","0.11403508771929824","2.0526315789473686","5.0","0","1.0","0","0.0","0.8","5.0","0","2.0","0","1.0","0","1.0","0","2.0","0","2.0","0","2.0","0","2.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","2.0","0","2.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","12.0","0","0.0","0","0.0","0","9.0","0","4.0","0","6.0","0.02580645"
"20","0.5047233","0.4507422","0.11403508771929824","2.0526315789473686","5.0","0","1.0","0","0.0","0.8095238","5.0","0","2.0","0","1.0","0","1.0","0","2.0","0","2.0","0","2.0","0","2.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","2.0","0","2.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","12.0","0","0.0","0","0.0","0","9.0","0","4.0","0","6.0","0.02490842"
