"release","RD1-ADS","RD1-AIS","RD1-ACS","RD1-RCS","RD1-RIS","RD2-ADS","RD2-AIS","RD2-ACS","RD2-RCS","RD2-RIS","RD3-ADS","RD3-AIS","RD3-ACS","RD3-RCS","RD3-RIS","RD4-ADS","RD4-AIS","RD4-ACS","RD4-RCS","RD4-RIS","RD5-ADS","RD5-AIS","RD5-ACS","RD5-RCS","RD5-RIS","RD6-ADS","RD6-AIS","RD6-ACS","RD6-RCS","RD6-RIS","GTW-ADS","GTW-AIS","GTW-ACS","GTW-RCS","GTW-RIS","REG-ADS","REG-AIS","REG-ACS","REG-RCS","REG-RIS","MSB-ADS","MSB-AIS","MSB-ACS","MSB-RCS","MSB-RIS","CFG-ADS","CFG-AIS","CFG-ACS","CFG-RCS","CFG-RIS","MSV1-ADS","MSV1-AIS","MSV1-ACS","MSV1-RCS","MSV1-RIS","MSV2-ADS","MSV2-AIS","MSV2-ACS","MSV2-RCS","MSV2-RIS","MSV3-ADS","MSV3-AIS","MSV3-ACS","MSV3-RCS","MSV3-RIS","MSV4-ADS","MSV4-AIS","MSV4-ACS","MSV4-RCS","MSV4-RIS"
"1","5.0","1.0","5.0","0.5","0.1","1.0","2.0","2.0","0.1","0.2","1.0","2.0","2.0","0.1","0.2","1.0","1.0","1.0","0.1","0.1","1.0","1.0","1.0","0.1","0.1","2.0","2.0","4.0","0.2","0.2","5.0","0.0","0.0","0.5","0.0","1.0","2.0","2.0","0.1","0.2","2.0","5.0","10.0","0.2","0.5","0.0","3.0","0.0","0.0","0.3","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2","5.0","1.0","5.0","0.5","0.1","1.0","2.0","2.0","0.1","0.2","1.0","2.0","2.0","0.1","0.2","1.0","1.0","1.0","0.1","0.1","1.0","1.0","1.0","0.1","0.1","2.0","2.0","4.0","0.2","0.2","5.0","0.0","0.0","0.5","0.0","1.0","2.0","2.0","0.1","0.2","2.0","5.0","10.0","0.2","0.5","0.0","3.0","0.0","0.0","0.3","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"3","5.0","1.0","5.0","0.5","0.1","1.0","2.0","2.0","0.1","0.2","1.0","2.0","2.0","0.1","0.2","1.0","1.0","1.0","0.1","0.1","1.0","1.0","1.0","0.1","0.1","2.0","2.0","4.0","0.2","0.2","5.0","0.0","0.0","0.5","0.0","1.0","2.0","2.0","0.1","0.2","2.0","5.0","10.0","0.2","0.5","0.0","3.0","0.0","0.0","0.3","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"4","5.0","1.0","5.0","0.5","0.1","1.0","2.0","2.0","0.1","0.2","1.0","2.0","2.0","0.1","0.2","1.0","1.0","1.0","0.1","0.1","1.0","1.0","1.0","0.1","0.1","2.0","2.0","4.0","0.2","0.2","5.0","0.0","0.0","0.5","0.0","1.0","2.0","2.0","0.1","0.2","2.0","5.0","10.0","0.2","0.5","0.0","3.0","0.0","0.0","0.3","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"5","5.0","1.0","5.0","0.5","0.1","1.0","2.0","2.0","0.1","0.2","1.0","2.0","2.0","0.1","0.2","1.0","1.0","1.0","0.1","0.1","1.0","1.0","1.0","0.1","0.1","2.0","2.0","4.0","0.2","0.2","5.0","0.0","0.0","0.5","0.0","1.0","2.0","2.0","0.1","0.2","2.0","5.0","10.0","0.2","0.5","0.0","3.0","0.0","0.0","0.3","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"6","5.0","1.0","5.0","0.5","0.1","1.0","2.0","2.0","0.1","0.2","1.0","2.0","2.0","0.1","0.2","1.0","1.0","1.0","0.1","0.1","1.0","1.0","1.0","0.1","0.1","2.0","2.0","4.0","0.2","0.2","5.0","0.0","0.0","0.5","0.0","1.0","2.0","2.0","0.1","0.2","2.0","5.0","10.0","0.2","0.5","0.0","3.0","0.0","0.0","0.3","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"7","5.0","1.0","5.0","0.45454545454545453","0.09090909090909091","1.0","2.0","2.0","0.09090909090909091","0.18181818181818182","1.0","2.0","2.0","0.09090909090909091","0.18181818181818182","1.0","1.0","1.0","0.09090909090909091","0.09090909090909091","1.0","1.0","1.0","0.09090909090909091","0.09090909090909091","2.0","3.0","6.0","0.18181818181818182","0.2727272727272727","6.0","0.0","0.0","0.5454545454545454","0.0","1.0","3.0","3.0","0.09090909090909091","0.2727272727272727","2.0","5.0","10.0","0.18181818181818182","0.45454545454545453","0.0","3.0","0.0","0.0","0.2727272727272727","2.0","1.0","2.0","0.18181818181818182","0.09090909090909091","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"8","5.0","1.0","5.0","0.45454545454545453","0.09090909090909091","1.0","2.0","2.0","0.09090909090909091","0.18181818181818182","1.0","2.0","2.0","0.09090909090909091","0.18181818181818182","1.0","1.0","1.0","0.09090909090909091","0.09090909090909091","1.0","1.0","1.0","0.09090909090909091","0.09090909090909091","2.0","3.0","6.0","0.18181818181818182","0.2727272727272727","6.0","0.0","0.0","0.5454545454545454","0.0","1.0","3.0","3.0","0.09090909090909091","0.2727272727272727","2.0","5.0","10.0","0.18181818181818182","0.45454545454545453","0.0","3.0","0.0","0.0","0.2727272727272727","2.0","1.0","2.0","0.18181818181818182","0.09090909090909091","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"9","5.0","1.0","5.0","0.45454545454545453","0.09090909090909091","1.0","2.0","2.0","0.09090909090909091","0.18181818181818182","1.0","2.0","2.0","0.09090909090909091","0.18181818181818182","1.0","1.0","1.0","0.09090909090909091","0.09090909090909091","1.0","1.0","1.0","0.09090909090909091","0.09090909090909091","2.0","3.0","6.0","0.18181818181818182","0.2727272727272727","6.0","0.0","0.0","0.5454545454545454","0.0","1.0","3.0","3.0","0.09090909090909091","0.2727272727272727","2.0","5.0","10.0","0.18181818181818182","0.45454545454545453","0.0","3.0","0.0","0.0","0.2727272727272727","2.0","1.0","2.0","0.18181818181818182","0.09090909090909091","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"10","5.0","1.0","5.0","0.45454545454545453","0.09090909090909091","1.0","2.0","2.0","0.09090909090909091","0.18181818181818182","1.0","2.0","2.0","0.09090909090909091","0.18181818181818182","1.0","1.0","1.0","0.09090909090909091","0.09090909090909091","1.0","1.0","1.0","0.09090909090909091","0.09090909090909091","2.0","3.0","6.0","0.18181818181818182","0.2727272727272727","6.0","0.0","0.0","0.5454545454545454","0.0","1.0","3.0","3.0","0.09090909090909091","0.2727272727272727","2.0","5.0","10.0","0.18181818181818182","0.45454545454545453","0.0","3.0","0.0","0.0","0.2727272727272727","2.0","1.0","2.0","0.18181818181818182","0.09090909090909091","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
