"release","RD1-ADS","RD1-AIS","RD1-ACS","RD1-RCS","RD1-RIS","RD2-ADS","RD2-AIS","RD2-ACS","RD2-RCS","RD2-RIS","RD3-ADS","RD3-AIS","RD3-ACS","RD3-RCS","RD3-RIS","RD4-ADS","RD4-AIS","RD4-ACS","RD4-RCS","RD4-RIS","RD5-ADS","RD5-AIS","RD5-ACS","RD5-RCS","RD5-RIS","RD6-ADS","RD6-AIS","RD6-ACS","RD6-RCS","RD6-RIS","RD7-ADS","RD7-AIS","RD7-ACS","RD7-RCS","RD7-RIS","RD8-ADS","RD8-AIS","RD8-ACS","RD8-RCS","RD8-RIS","RD9-ADS","RD9-AIS","RD9-ACS","RD9-RCS","RD9-RIS","RD10-ADS","RD10-AIS","RD10-ACS","RD10-RCS","RD10-RIS","RD11-ADS","RD11-AIS","RD11-ACS","RD11-RCS","RD11-RIS","RD12-ADS","RD12-AIS","RD12-ACS","RD12-RCS","RD12-RIS","GTW-ADS","GTW-AIS","GTW-ACS","GTW-RCS","GTW-RIS","REG-ADS","REG-AIS","REG-ACS","REG-RCS","REG-RIS","CFG-ADS","CFG-AIS","CFG-ACS","CFG-RCS","CFG-RIS","TRC-ADS","TRC-AIS","TRC-ACS","TRC-RCS","TRC-RIS","MSV1-ADS","MSV1-AIS","MSV1-ACS","MSV1-RCS","MSV1-RIS","MSV2-ADS","MSV2-AIS","MSV2-ACS","MSV2-RCS","MSV2-RIS","MSV3-ADS","MSV3-AIS","MSV3-ACS","MSV3-RCS","MSV3-RIS","MSV4-ADS","MSV4-AIS","MSV4-ACS","MSV4-RCS","MSV4-RIS","MSV5-ADS","MSV5-AIS","MSV5-ACS","MSV5-RCS","MSV5-RIS"
"1","5.0","4.0","20.0","0.3125","0.25","4.0","2.0","8.0","0.25","0.125","4.0","1.0","4.0","0.25","0.0625","2.0","4.0","8.0","0.125","0.25","3.0","1.0","3.0","0.1875","0.0625","6.0","1.0","6.0","0.375","0.0625","2.0","1.0","2.0","0.125","0.0625","5.0","1.0","5.0","0.3125","0.0625","5.0","1.0","5.0","0.3125","0.0625","3.0","1.0","3.0","0.1875","0.0625","4.0","2.0","8.0","0.25","0.125","6.0","4.0","24.0","0.375","0.25","4.0","0.0","0.0","0.25","0.0","1.0","13.0","13.0","0.0625","0.8125","1.0","6.0","6.0","0.0625","0.375","1.0","14.0","14.0","0.0625","0.875","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2","5.0","4.0","20.0","0.3125","0.25","4.0","2.0","8.0","0.25","0.125","4.0","1.0","4.0","0.25","0.0625","2.0","4.0","8.0","0.125","0.25","3.0","1.0","3.0","0.1875","0.0625","6.0","1.0","6.0","0.375","0.0625","2.0","1.0","2.0","0.125","0.0625","5.0","1.0","5.0","0.3125","0.0625","5.0","1.0","5.0","0.3125","0.0625","3.0","1.0","3.0","0.1875","0.0625","4.0","2.0","8.0","0.25","0.125","6.0","4.0","24.0","0.375","0.25","4.0","0.0","0.0","0.25","0.0","1.0","13.0","13.0","0.0625","0.8125","1.0","6.0","6.0","0.0625","0.375","1.0","14.0","14.0","0.0625","0.875","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"3","5.0","4.0","20.0","0.3125","0.25","4.0","2.0","8.0","0.25","0.125","4.0","1.0","4.0","0.25","0.0625","2.0","4.0","8.0","0.125","0.25","3.0","1.0","3.0","0.1875","0.0625","6.0","1.0","6.0","0.375","0.0625","2.0","1.0","2.0","0.125","0.0625","5.0","1.0","5.0","0.3125","0.0625","5.0","1.0","5.0","0.3125","0.0625","3.0","1.0","3.0","0.1875","0.0625","4.0","2.0","8.0","0.25","0.125","6.0","4.0","24.0","0.375","0.25","4.0","0.0","0.0","0.25","0.0","1.0","13.0","13.0","0.0625","0.8125","1.0","6.0","6.0","0.0625","0.375","1.0","14.0","14.0","0.0625","0.875","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"4","5.0","4.0","20.0","0.3125","0.25","4.0","2.0","8.0","0.25","0.125","4.0","1.0","4.0","0.25","0.0625","2.0","4.0","8.0","0.125","0.25","3.0","1.0","3.0","0.1875","0.0625","6.0","1.0","6.0","0.375","0.0625","2.0","1.0","2.0","0.125","0.0625","5.0","1.0","5.0","0.3125","0.0625","5.0","1.0","5.0","0.3125","0.0625","3.0","1.0","3.0","0.1875","0.0625","4.0","2.0","8.0","0.25","0.125","6.0","4.0","24.0","0.375","0.25","4.0","0.0","0.0","0.25","0.0","1.0","13.0","13.0","0.0625","0.8125","1.0","6.0","6.0","0.0625","0.375","1.0","14.0","14.0","0.0625","0.875","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"5","5.0","4.0","20.0","0.3125","0.25","4.0","2.0","8.0","0.25","0.125","4.0","1.0","4.0","0.25","0.0625","2.0","4.0","8.0","0.125","0.25","3.0","1.0","3.0","0.1875","0.0625","6.0","1.0","6.0","0.375","0.0625","2.0","1.0","2.0","0.125","0.0625","5.0","1.0","5.0","0.3125","0.0625","5.0","1.0","5.0","0.3125","0.0625","3.0","1.0","3.0","0.1875","0.0625","4.0","2.0","8.0","0.25","0.125","6.0","4.0","24.0","0.375","0.25","4.0","0.0","0.0","0.25","0.0","1.0","13.0","13.0","0.0625","0.8125","1.0","6.0","6.0","0.0625","0.375","1.0","14.0","14.0","0.0625","0.875","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"6","5.0","4.0","20.0","0.29411764705882354","0.23529411764705882","4.0","2.0","8.0","0.23529411764705882","0.11764705882352941","4.0","1.0","4.0","0.23529411764705882","0.058823529411764705","2.0","4.0","8.0","0.11764705882352941","0.23529411764705882","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","7.0","1.0","7.0","0.4117647058823529","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","5.0","1.0","5.0","0.29411764705882354","0.058823529411764705","5.0","1.0","5.0","0.29411764705882354","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","4.0","2.0","8.0","0.23529411764705882","0.11764705882352941","6.0","4.0","24.0","0.35294117647058826","0.23529411764705882","4.0","0.0","0.0","0.23529411764705882","0.0","1.0","14.0","14.0","0.058823529411764705","0.8235294117647058","1.0","7.0","7.0","0.058823529411764705","0.4117647058823529","1.0","15.0","15.0","0.058823529411764705","0.8823529411764706","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"7","5.0","4.0","20.0","0.29411764705882354","0.23529411764705882","4.0","2.0","8.0","0.23529411764705882","0.11764705882352941","4.0","1.0","4.0","0.23529411764705882","0.058823529411764705","2.0","4.0","8.0","0.11764705882352941","0.23529411764705882","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","7.0","1.0","7.0","0.4117647058823529","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","5.0","1.0","5.0","0.29411764705882354","0.058823529411764705","5.0","1.0","5.0","0.29411764705882354","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","4.0","2.0","8.0","0.23529411764705882","0.11764705882352941","6.0","4.0","24.0","0.35294117647058826","0.23529411764705882","4.0","0.0","0.0","0.23529411764705882","0.0","1.0","14.0","14.0","0.058823529411764705","0.8235294117647058","1.0","7.0","7.0","0.058823529411764705","0.4117647058823529","1.0","15.0","15.0","0.058823529411764705","0.8823529411764706","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"8","5.0","4.0","20.0","0.29411764705882354","0.23529411764705882","4.0","2.0","8.0","0.23529411764705882","0.11764705882352941","4.0","1.0","4.0","0.23529411764705882","0.058823529411764705","2.0","4.0","8.0","0.11764705882352941","0.23529411764705882","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","7.0","1.0","7.0","0.4117647058823529","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","5.0","1.0","5.0","0.29411764705882354","0.058823529411764705","5.0","1.0","5.0","0.29411764705882354","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","4.0","2.0","8.0","0.23529411764705882","0.11764705882352941","6.0","4.0","24.0","0.35294117647058826","0.23529411764705882","4.0","0.0","0.0","0.23529411764705882","0.0","1.0","14.0","14.0","0.058823529411764705","0.8235294117647058","1.0","7.0","7.0","0.058823529411764705","0.4117647058823529","1.0","15.0","15.0","0.058823529411764705","0.8823529411764706","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"9","5.0","4.0","20.0","0.29411764705882354","0.23529411764705882","4.0","2.0","8.0","0.23529411764705882","0.11764705882352941","4.0","1.0","4.0","0.23529411764705882","0.058823529411764705","2.0","4.0","8.0","0.11764705882352941","0.23529411764705882","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","7.0","1.0","7.0","0.4117647058823529","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","5.0","1.0","5.0","0.29411764705882354","0.058823529411764705","5.0","1.0","5.0","0.29411764705882354","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","4.0","2.0","8.0","0.23529411764705882","0.11764705882352941","6.0","4.0","24.0","0.35294117647058826","0.23529411764705882","4.0","0.0","0.0","0.23529411764705882","0.0","1.0","14.0","14.0","0.058823529411764705","0.8235294117647058","1.0","7.0","7.0","0.058823529411764705","0.4117647058823529","1.0","15.0","15.0","0.058823529411764705","0.8823529411764706","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"10","5.0","4.0","20.0","0.2777777777777778","0.2222222222222222","4.0","2.0","8.0","0.2222222222222222","0.1111111111111111","4.0","1.0","4.0","0.2222222222222222","0.05555555555555555","2.0","4.0","8.0","0.1111111111111111","0.2222222222222222","3.0","1.0","3.0","0.16666666666666666","0.05555555555555555","8.0","1.0","8.0","0.4444444444444444","0.05555555555555555","2.0","1.0","2.0","0.1111111111111111","0.05555555555555555","5.0","1.0","5.0","0.2777777777777778","0.05555555555555555","5.0","1.0","5.0","0.2777777777777778","0.05555555555555555","3.0","1.0","3.0","0.16666666666666666","0.05555555555555555","4.0","2.0","8.0","0.2222222222222222","0.1111111111111111","6.0","4.0","24.0","0.3333333333333333","0.2222222222222222","4.0","0.0","0.0","0.2222222222222222","0.0","1.0","15.0","15.0","0.05555555555555555","0.8333333333333334","1.0","7.0","7.0","0.05555555555555555","0.3888888888888889","1.0","16.0","16.0","0.05555555555555555","0.8888888888888888","3.0","1.0","3.0","0.16666666666666666","0.05555555555555555","2.0","1.0","2.0","0.1111111111111111","0.05555555555555555","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
