"release","SIY","SCF","ADCS"
"0","","0.15","3.0"
"1","","0.15","3.0"
"2","","0.15","3.0"
"3","","0.14285714285714285","3.0"
"4","","0.14285714285714285","3.0"
"5","","0.14285714285714285","3.0"
"6","","0.14285714285714285","3.0"
"7","","0.14285714285714285","3.0"
"8","","0.14285714285714285","3.0"
"9","","0.14285714285714285","3.0"
"10","","0.14285714285714285","3.0"
"11","","0.14285714285714285","3.0"
"12","","0.14285714285714285","3.0"
"13","","0.14285714285714285","3.0"
"14","","0.14285714285714285","3.0"
"15","","0.14285714285714285","3.0"
"16","","0.14285714285714285","3.0"
"17","","0.14285714285714285","3.0"
"18","","0.14285714285714285","3.0"
"19","","0.14285714285714285","3.0"
"20","","0.14285714285714285","3.0"
