"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","RD1-ADS","RD1-GINI -ADS","RD1-AIS","RD1-GINI -AIS","RD2-ADS","RD2-GINI -ADS","RD2-AIS","RD2-GINI -AIS","RD3-ADS","RD3-GINI -ADS","RD3-AIS","RD3-GINI -AIS","RD4-ADS","RD4-GINI -ADS","RD4-AIS","RD4-GINI -AIS","RD5-ADS","RD5-GINI -ADS","RD5-AIS","RD5-GINI -AIS","RD6-ADS","RD6-GINI -ADS","RD6-AIS","RD6-GINI -AIS","RD7-ADS","RD7-GINI -ADS","RD7-AIS","RD7-GINI -AIS","RD8-ADS","RD8-GINI -ADS","RD8-AIS","RD8-GINI -AIS","RD9-ADS","RD9-GINI -ADS","RD9-AIS","RD9-GINI -AIS","RD10-ADS","RD10-GINI -ADS","RD10-AIS","RD10-GINI -AIS","RD11-ADS","RD11-GINI -ADS","RD11-AIS","RD11-GINI -AIS","RD12-ADS","RD12-GINI -ADS","RD12-AIS","RD12-GINI -AIS","RD13-ADS","RD13-GINI -ADS","RD13-AIS","RD13-GINI -AIS","RD14-ADS","RD14-GINI -ADS","RD14-AIS","RD14-GINI -AIS","RD15-ADS","RD15-GINI -ADS","RD15-AIS","RD15-GINI -AIS","RD16-ADS","RD16-GINI -ADS","RD16-AIS","RD16-GINI -AIS","RD17-ADS","RD17-GINI -ADS","RD17-AIS","RD17-GINI -AIS","RD18-ADS","RD18-GINI -ADS","RD18-AIS","RD18-GINI -AIS","RD19-ADS","RD19-GINI -ADS","RD19-AIS","RD19-GINI -AIS","CPS1-ADS","CPS1-GINI -ADS","CPS1-AIS","CPS1-GINI -AIS","CPS2-ADS","CPS2-GINI -ADS","CPS2-AIS","CPS2-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","TRC-ADS","TRC-GINI -ADS","TRC-AIS","TRC-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"0","0.24375","0.60625","0.14492753623188406","3.3333333333333335","3.0","0","6.0","0","3.0","0","2.0","0","2.0","0","3.0","0","2.0","0","2.0","0","4.0","0","1.0","0","5.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","6.0","0","1.0","0","2.0","0","1.0","0","5.0","0","1.0","0","2.0","0","3.0","0","4.0","0","3.0","0","3.0","0","1.0","0","3.0","0","2.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","5.0","0","1.0","0","6.0","0","0.0","0","0.0","0","22.0","0","1.0","0","22.0","0","0.0","","0.0"
"1","0.24375","0.60625","0.14492753623188406","3.3333333333333335","3.0","0","6.0","0","3.0","0","2.0","0","2.0","0","3.0","0","2.0","0","2.0","0","4.0","0","1.0","0","5.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","6.0","0","1.0","0","2.0","0","1.0","0","5.0","0","1.0","0","2.0","0","3.0","0","4.0","0","3.0","0","3.0","0","1.0","0","3.0","0","2.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","5.0","0","1.0","0","6.0","0","0.0","0","0.0","0","22.0","0","1.0","0","22.0","0","0.0","","0.0"
"2","0.24375","0.60625","0.14492753623188406","3.3333333333333335","3.0","0","6.0","0","3.0","0","2.0","0","2.0","0","3.0","0","2.0","0","2.0","0","4.0","0","1.0","0","5.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","6.0","0","1.0","0","2.0","0","1.0","0","5.0","0","1.0","0","2.0","0","3.0","0","4.0","0","3.0","0","3.0","0","1.0","0","3.0","0","2.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","5.0","0","1.0","0","6.0","0","0.0","0","0.0","0","22.0","0","1.0","0","22.0","0","0.0","","0.0"
"3","0.24375","0.60625","0.14492753623188406","3.3333333333333335","3.0","0","6.0","0","3.0","0","2.0","0","2.0","0","3.0","0","2.0","0","2.0","0","4.0","0","1.0","0","5.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","6.0","0","1.0","0","2.0","0","1.0","0","5.0","0","1.0","0","2.0","0","3.0","0","4.0","0","3.0","0","3.0","0","1.0","0","3.0","0","2.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","5.0","0","1.0","0","6.0","0","0.0","0","0.0","0","22.0","0","1.0","0","22.0","0","0.0","","0.0"
"4","0.2468293","0.5970732","0.13666666666666666","3.28","3.0","0","3.0","0.08888889","3.0","0","2.0","0","2.0","0","3.0","0","2.0","0","2.0","0","4.0","0","1.0","0","5.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","6.0","0","1.0","0","2.0","0","1.0","0","5.0","0","1.0","0","2.0","0","3.0","0","4.0","0","3.0","0","3.0","0","1.0","0","3.0","0","2.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","5.0","0","1.0","0","6.0","0","0.0","0","0.0","0","23.0","0.007207207","1.0","0","23.0","0.007207207","2.0","0","3.0","0"
"5","0.2468293","0.5970732","0.13666666666666666","3.28","3.0","0","3.0","0.1333333","3.0","0","2.0","0","2.0","0","3.0","0","2.0","0","2.0","0","4.0","0","1.0","0","5.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","6.0","0","1.0","0","2.0","0","1.0","0","5.0","0","1.0","0","2.0","0","3.0","0","4.0","0","3.0","0","3.0","0","1.0","0","3.0","0","2.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","5.0","0","1.0","0","6.0","0","0.0","0","0.0","0","23.0","0.009950249","1.0","0","23.0","0.009950249","2.0","0","3.0","0"
"6","0.2468293","0.5970732","0.13666666666666666","3.28","3.0","0","3.0","0.1558442","3.0","0","2.0","0","2.0","0","3.0","0","2.0","0","2.0","0","4.0","0","1.0","0","5.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","6.0","0","1.0","0","2.0","0","1.0","0","5.0","0","1.0","0","2.0","0","3.0","0","4.0","0","3.0","0","3.0","0","1.0","0","3.0","0","2.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","5.0","0","1.0","0","6.0","0","0.0","0","0.0","0","23.0","0.01091902","1.0","0","23.0","0.01091902","2.0","0","3.0","0"
"7","0.2468293","0.5970732","0.13666666666666666","3.28","3.0","0","3.0","0.1666667","3.0","0","2.0","0","2.0","0","3.0","0","2.0","0","2.0","0","4.0","0","1.0","0","5.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","6.0","0","1.0","0","2.0","0","1.0","0","5.0","0","1.0","0","2.0","0","3.0","0","4.0","0","3.0","0","3.0","0","1.0","0","3.0","0","2.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","5.0","0","1.0","0","6.0","0","0.0","0","0.0","0","23.0","0.01111111","1.0","0","23.0","0.01111111","2.0","0","3.0","0"
"8","0.2468293","0.5970732","0.13666666666666666","3.28","3.0","0","3.0","0.1709402","3.0","0","2.0","0","2.0","0","3.0","0","2.0","0","2.0","0","4.0","0","1.0","0","5.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","6.0","0","1.0","0","2.0","0","1.0","0","5.0","0","1.0","0","2.0","0","3.0","0","4.0","0","3.0","0","3.0","0","1.0","0","3.0","0","2.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","5.0","0","1.0","0","6.0","0","0.0","0","0.0","0","23.0","0.01094691","1.0","0","23.0","0.01094691","2.0","0","3.0","0"
"9","0.2468293","0.5970732","0.13666666666666666","3.28","3.0","0","3.0","0.1714286","3.0","0","2.0","0","2.0","0","3.0","0","2.0","0","2.0","0","4.0","0","1.0","0","5.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","6.0","0","1.0","0","2.0","0","1.0","0","5.0","0","1.0","0","2.0","0","3.0","0","4.0","0","3.0","0","3.0","0","1.0","0","3.0","0","2.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","5.0","0","1.0","0","6.0","0","0.0","0","0.0","0","23.0","0.01061947","1.0","0","23.0","0.01061947","2.0","0","3.0","0"
